frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	0.789	0.817	1.372	1.018
2	0.955	0.987	1.549	1.177
3	0.926	0.958	1.572	1.17
4	0.909	0.936	1.57	1.155
5	0.889	0.917	1.54	1.134
6	0.864	0.89	1.568	1.136
7	1.091	1.111	1.719	1.331
8	0.992	1.016	1.655	1.256
9	1.035	1.069	1.7	1.298
10	1.029	1.057	1.687	1.287
11	1.015	1.027	1.744	1.293
12	1.302	1.318	1.923	1.52
13	1.008	1.036	1.77	1.323
14	1.009	1.036	1.799	1.318
15	1.051	1.08	1.833	1.363
16	0.962	0.99	1.697	1.243
17	1.014	1.039	1.791	1.312
18	1.045	1.07	1.821	1.352
19	0.996	1.024	1.767	1.296
20	0.904	0.928	1.711	1.22
21	0.867	0.897	1.754	1.24
22	0.989	1.021	1.842	1.343
23	0.978	1.008	1.853	1.342
24	1.003	1.03	1.835	1.347
25	1.002	1.031	1.815	1.326
26	1.219	1.245	1.961	1.509
27	1.089	1.114	1.875	1.404
28	1.114	1.14	1.886	1.422
29	1.104	1.129	1.893	1.414
30	1.055	1.079	1.844	1.37
31	1.096	1.123	1.842	1.392
32	1.067	1.092	1.851	1.374
33	1.031	1.054	1.813	1.344
34	1.1	1.124	1.903	1.423
35	0.97	1.006	1.809	1.317
36	1.162	1.184	1.937	1.468
37	1.147	1.167	1.916	1.472
38	1.161	1.178	1.999	1.503
39	1.051	1.073	1.928	1.418
40	1.104	1.123	1.951	1.454
41	1.046	1.072	1.866	1.37
42	1.138	1.155	1.917	1.444
43	1.163	1.186	1.944	1.476
44	1.28	1.3	2.025	1.575
45	1.35	1.362	2.094	1.649
46	1.248	1.258	2.082	1.591
47	1.35	1.363	2.132	1.671
48	1.415	1.425	2.208	1.738
49	1.35	1.366	2.129	1.659
50	1.155	1.17	2.016	1.501
51	1.379	1.392	2.161	1.687
52	1.237	1.252	2.007	1.532
53	1.445	1.461	2.15	1.715
54	1.251	1.267	2.055	1.574
55	1.193	1.215	2.009	1.511
56	1.167	1.187	1.97	1.484
57	1.251	1.269	2.056	1.568
58	1.184	1.203	2.025	1.528
59	1.154	1.18	2.035	1.5
60	1.13	1.148	1.965	1.443
61	1.135	1.155	1.991	1.456
62	1.095	1.108	1.972	1.439
63	1.236	1.255	2.078	1.575
64	1.206	1.213	2.041	1.527
65	1.195	1.208	2.032	1.521
66	1.085	1.096	1.969	1.438
67	1.2	1.212	2.092	1.555
68	1.145	1.157	2.005	1.479
69	1.295	1.305	2.062	1.578
70	1.1	1.114	1.951	1.432
71	0.989	1.01	1.914	1.354
72	1.067	1.087	1.932	1.404
73	1.041	1.065	1.971	1.423
74	1.067	1.081	1.994	1.428
75	1.088	1.109	1.983	1.443
76	1.094	1.117	1.955	1.428
77	1.02	1.045	1.937	1.38
78	1.065	1.085	1.961	1.421
79	1.036	1.055	2.02	1.439
80	1.076	1.092	1.995	1.448
81	1.084	1.095	2.008	1.452
82	1.023	1.037	1.961	1.414
83	1.118	1.134	2.005	1.462
84	1.098	1.111	2.017	1.46
85	1.099	1.125	2.035	1.478
86	1.22	1.231	2.078	1.549
87	1.169	1.185	2.012	1.495
88	1.087	1.104	1.965	1.436
89	1.218	1.234	2.048	1.553
90	1.079	1.086	1.988	1.443
91	1.154	1.167	2.035	1.514
92	1.158	1.175	2.021	1.493
93	1.001	1.024	1.917	1.376
94	1.13	1.136	2.038	1.483
95	1.046	1.072	1.998	1.426
96	1.203	1.22	2.11	1.555
97	1.055	1.081	2.044	1.455
98	1.232	1.247	2.143	1.585
99	1.39	1.4	2.254	1.731
100	1.163	1.178	2.109	1.539
101	1.12	1.132	2.078	1.509
102	1.296	1.3	2.219	1.667
103	1.176	1.192	2.102	1.547
104	1.243	1.248	2.191	1.628
105	1.163	1.177	2.107	1.534
106	1.125	1.144	2.096	1.516
107	1.185	1.197	2.123	1.567
108	1.235	1.249	2.2	1.639
109	1.234	1.238	2.188	1.62
110	1.152	1.171	2.103	1.539
111	1.262	1.272	2.195	1.636
112	1.256	1.273	2.193	1.627
113	1.356	1.372	2.249	1.71
114	1.351	1.357	2.261	1.724
115	1.174	1.189	2.167	1.575
116	1.285	1.296	2.201	1.658
117	1.209	1.223	2.169	1.593
118	1.253	1.266	2.211	1.648
119	1.148	1.171	2.072	1.525
120	1.202	1.212	2.139	1.581
121	1.11	1.132	2.095	1.517
122	1.248	1.268	2.158	1.615
123	1.194	1.217	2.097	1.56
124	1.247	1.266	2.182	1.618
125	1.249	1.256	2.206	1.633
126	1.309	1.325	2.188	1.658
127	1.237	1.25	2.163	1.618
128	1.434	1.437	2.31	1.779
129	1.207	1.219	2.151	1.599
130	1.381	1.407	2.232	1.723
131	1.447	1.459	2.296	1.789
132	1.25	1.278	2.15	1.619
133	1.45	1.474	2.291	1.786
134	1.511	1.52	2.305	1.83
135	1.329	1.349	2.177	1.671
136	1.341	1.355	2.215	1.699
137	1.453	1.46	2.304	1.799
138	1.377	1.386	2.239	1.726
139	1.485	1.493	2.281	1.809
140	1.323	1.335	2.166	1.673
141	1.267	1.29	2.095	1.601
142	1.257	1.278	2.094	1.585
143	1.291	1.31	2.177	1.652
144	1.295	1.301	2.196	1.657
145	1.297	1.313	2.222	1.682
146	1.43	1.444	2.315	1.793
147	1.452	1.465	2.301	1.804
148	1.265	1.282	2.217	1.659
149	1.403	1.414	2.264	1.743
150	1.399	1.406	2.318	1.771
151	1.305	1.327	2.245	1.699
152	1.448	1.458	2.287	1.774
153	1.489	1.503	2.35	1.829
154	1.451	1.484	2.274	1.797
155	1.533	1.553	2.298	1.841
156	1.536	1.56	2.309	1.853
157	1.47	1.485	2.254	1.788
158	1.394	1.414	2.295	1.775
159	1.538	1.548	2.393	1.907
160	1.431	1.449	2.33	1.826
161	1.337	1.361	2.306	1.758
162	1.601	1.613	2.411	1.936
163	1.608	1.623	2.456	1.969
164	1.484	1.5	2.384	1.874
165	1.608	1.606	2.456	1.958
166	1.492	1.495	2.433	1.892
167	1.601	1.607	2.54	2.006
168	1.644	1.649	2.535	2.015
169	1.411	1.419	2.393	1.836
170	1.542	1.565	2.456	1.942
171	1.322	1.339	2.319	1.754
172	1.489	1.497	2.426	1.895
173	1.301	1.317	2.324	1.751
174	1.453	1.472	2.38	1.853
175	1.371	1.385	2.297	1.77
176	1.453	1.464	2.391	1.86
177	1.508	1.519	2.454	1.917
178	1.543	1.558	2.492	1.964
179	1.306	1.321	2.34	1.774
180	1.351	1.368	2.377	1.814
181	1.28	1.292	2.321	1.752
182	1.296	1.311	2.359	1.775
