frame#,Prot_CA,Prot_Backbone,Prot_Sidechain,Prot_All_Heavy
0,0.000,0.000,0.000,0.000
1,3.050,3.040,3.717,3.324
2,3.499,3.499,3.827,3.631
3,4.084,4.102,4.384,4.234
4,3.649,3.679,4.069,3.865
5,4.642,4.639,4.880,4.766
6,3.933,3.943,4.446,4.193
7,4.560,4.579,4.818,4.705
8,4.299,4.274,4.907,4.572
9,4.673,4.682,4.974,4.822
10,5.053,5.032,5.253,5.182
11,5.192,5.179,5.326,5.267
12,5.357,5.328,5.882,5.620
13,5.167,5.113,5.543,5.357
14,5.236,5.209,5.428,5.346
15,5.139,5.133,5.463,5.356
16,5.548,5.542,5.817,5.728
17,5.815,5.796,6.141,5.995
18,5.790,5.795,6.143,6.029
19,5.655,5.668,6.264,6.017
20,5.702,5.707,6.354,6.074
21,5.819,5.787,6.492,6.204
22,5.419,5.403,6.273,5.895
23,5.275,5.272,5.834,5.611
24,5.182,5.136,6.164,5.668
25,4.603,4.544,5.520,5.074
26,5.104,5.047,6.018,5.585
27,4.856,4.793,6.034,5.481
28,5.707,5.631,6.587,6.150
29,5.944,5.893,6.944,6.495
30,6.865,6.799,7.408,7.119
31,6.197,6.140,6.963,6.586
32,5.367,5.296,6.081,5.727
33,5.324,5.289,5.992,5.636
34,4.799,4.729,5.669,5.155
35,6.013,5.957,6.635,6.266
36,6.255,6.162,6.786,6.419
37,5.126,5.016,5.995,5.497
38,4.947,4.892,5.789,5.339
39,5.758,5.740,6.223,5.941
40,4.566,4.549,5.420,4.919
41,4.802,4.765,5.590,5.115
42,4.213,4.213,4.966,4.531
43,4.361,4.362,5.304,4.795
44,4.328,4.299,5.223,4.769
45,4.486,4.471,5.333,4.894
46,4.206,4.172,5.176,4.668
47,4.419,4.359,5.362,4.878
48,4.355,4.301,5.330,4.806
49,4.328,4.294,5.303,4.828
50,4.155,4.139,5.025,4.602
51,4.054,3.984,5.082,4.547
52,4.170,4.089,5.107,4.615
53,4.068,4.019,5.111,4.570
54,4.344,4.278,5.261,4.783
55,4.909,4.858,5.955,5.406
56,4.878,4.861,5.802,5.322
57,4.922,4.852,6.011,5.470
58,4.865,4.818,5.827,5.340
59,4.879,4.828,5.826,5.343
60,4.394,4.339,5.591,4.975
61,4.781,4.693,5.998,5.368
62,5.118,5.032,6.297,5.672
63,4.449,4.382,5.557,5.002
64,5.164,5.086,6.346,5.771
65,4.754,4.665,5.934,5.348
66,4.281,4.227,5.356,4.819
67,4.727,4.697,5.740,5.246
68,4.871,4.792,5.953,5.410
69,5.407,5.315,6.581,5.972
70,5.724,5.678,6.817,6.277
71,5.617,5.540,6.789,6.222
72,5.664,5.612,6.742,6.216
73,4.832,4.762,5.918,5.366
74,5.566,5.465,6.557,6.027
75,5.343,5.256,6.325,5.817
76,5.016,4.952,6.101,5.548
77,5.471,5.396,6.496,5.944
78,5.334,5.234,6.357,5.809
79,5.754,5.691,6.799,6.283
80,5.614,5.507,6.651,6.103
81,5.472,5.369,6.542,5.965
82,5.097,5.019,6.140,5.604
83,4.370,4.293,5.587,4.942
84,5.216,5.116,6.290,5.719
85,5.134,5.075,6.010,5.565
86,5.060,4.966,6.078,5.558
87,5.179,5.093,6.195,5.660
88,5.315,5.219,6.153,5.671
89,5.199,5.148,6.078,5.623
90,5.437,5.347,6.568,5.959
91,4.521,4.435,5.715,5.080
92,5.002,4.919,6.159,5.557
93,4.960,4.874,6.212,5.574
94,5.293,5.217,6.414,5.819
95,5.406,5.305,6.562,5.949
96,5.051,4.967,6.177,5.584
97,5.258,5.177,6.244,5.716
98,5.509,5.429,6.610,6.041
99,5.882,5.775,7.017,6.445
100,5.087,4.984,6.335,5.655
101,5.455,5.383,6.587,6.011
102,5.328,5.223,6.427,5.816
103,5.596,5.500,6.651,6.073
104,5.620,5.545,6.627,6.063
105,5.354,5.280,6.368,5.824
106,5.740,5.687,6.779,6.246
107,5.947,5.901,6.869,6.392
108,5.678,5.617,6.595,6.089
109,5.623,5.544,6.481,6.010
110,5.457,5.367,6.576,6.016
111,5.646,5.570,6.652,6.103
112,5.479,5.391,6.515,5.985
113,5.577,5.476,6.624,6.086
114,5.652,5.559,6.598,6.096
115,5.460,5.373,6.434,5.909
116,4.939,4.860,6.045,5.442
117,5.489,5.398,6.500,5.962
118,5.507,5.428,6.548,6.017
119,5.464,5.379,6.450,5.916
120,5.158,5.083,6.084,5.586
121,4.765,4.706,5.825,5.260
122,4.775,4.692,5.825,5.248
123,5.184,5.108,6.299,5.695
124,4.950,4.888,5.876,5.374
125,4.782,4.716,5.773,5.245
126,5.068,4.988,6.122,5.571
127,4.867,4.798,5.795,5.309
128,4.499,4.432,5.435,4.934
129,5.193,5.127,6.085,5.620
130,5.625,5.555,6.430,5.982
131,5.385,5.329,6.285,5.808
132,4.907,4.822,5.968,5.394
133,4.840,4.743,5.834,5.295
134,4.991,4.909,5.991,5.458
135,5.209,5.145,6.118,5.664
136,5.438,5.359,6.356,5.901
137,5.058,4.999,5.955,5.496
138,5.460,5.383,6.377,5.914
139,5.517,5.476,6.275,5.921
140,5.693,5.655,6.506,6.112
141,5.744,5.701,6.587,6.160
142,5.738,5.689,6.587,6.160
143,6.008,5.916,6.906,6.434
144,5.730,5.647,6.764,6.216
145,5.630,5.545,6.703,6.172
146,5.655,5.583,6.680,6.143
147,5.013,4.942,6.172,5.550
148,4.782,4.676,6.043,5.366
149,5.245,5.149,6.237,5.686
150,5.410,5.345,6.415,5.865
