frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	0.942	0.958	1.535	1.153
2	0.893	0.903	1.521	1.109
3	1.007	1.013	1.636	1.229
4	1.113	1.123	1.765	1.34
5	0.985	1.005	1.683	1.237
6	0.994	1.009	1.757	1.283
7	1.062	1.075	1.832	1.353
8	1.148	1.162	1.919	1.438
9	1.002	1.011	1.779	1.293
10	1.042	1.054	1.822	1.332
11	1.048	1.057	1.856	1.35
12	0.964	0.973	1.782	1.274
13	1.006	1.012	1.852	1.341
14	1.005	1.021	1.828	1.326
15	1.111	1.123	1.877	1.408
16	1.109	1.119	1.919	1.437
17	1.104	1.119	1.939	1.432
18	1.137	1.149	1.931	1.442
19	1.088	1.099	1.933	1.421
20	1.088	1.099	1.902	1.4
21	1.172	1.189	1.943	1.482
22	1.25	1.261	2.054	1.566
23	1.234	1.248	2.008	1.535
24	1.255	1.261	2.022	1.535
25	1.364	1.387	2.12	1.657
26	1.301	1.321	2.07	1.6
27	1.169	1.181	1.992	1.484
28	1.148	1.166	2.023	1.502
29	1.149	1.176	1.999	1.486
30	1.137	1.15	1.987	1.48
31	1.323	1.341	2.129	1.648
32	1.163	1.175	2.038	1.513
33	1.324	1.33	2.18	1.656
34	1.283	1.293	2.168	1.639
35	1.31	1.321	2.179	1.652
36	1.314	1.327	2.185	1.662
37	1.344	1.352	2.126	1.627
38	1.279	1.287	2.146	1.621
39	1.332	1.339	2.189	1.674
40	1.266	1.272	2.126	1.614
41	1.238	1.255	2.069	1.579
42	1.429	1.433	2.246	1.729
43	1.245	1.253	2.129	1.582
44	1.324	1.335	2.174	1.643
45	1.48	1.494	2.329	1.797
46	1.412	1.427	2.243	1.719
47	1.328	1.341	2.217	1.665
48	1.335	1.345	2.225	1.682
49	1.471	1.473	2.298	1.767
50	1.518	1.524	2.299	1.794
51	1.531	1.537	2.311	1.808
52	1.576	1.58	2.376	1.868
53	1.518	1.528	2.296	1.805
54	1.349	1.35	2.214	1.673
55	1.288	1.294	2.16	1.622
56	1.319	1.322	2.238	1.667
57	1.374	1.382	2.294	1.727
58	1.404	1.416	2.267	1.724
59	1.469	1.485	2.368	1.82
60	1.462	1.468	2.346	1.804
61	1.482	1.491	2.338	1.804
62	1.522	1.526	2.385	1.854
63	1.513	1.508	2.373	1.841
64	1.521	1.526	2.354	1.839
65	1.385	1.393	2.281	1.734
66	1.53	1.54	2.36	1.845
67	1.479	1.487	2.293	1.781
68	1.454	1.458	2.271	1.764
69	1.59	1.598	2.373	1.877
70	1.3	1.308	2.228	1.668
71	1.382	1.387	2.253	1.726
72	1.495	1.503	2.338	1.824
73	1.448	1.451	2.353	1.801
74	1.252	1.257	2.193	1.627
75	1.344	1.355	2.279	1.727
76	1.379	1.384	2.276	1.75
77	1.294	1.306	2.213	1.677
78	1.283	1.284	2.208	1.66
79	1.308	1.315	2.182	1.656
80	1.375	1.377	2.253	1.726
81	1.199	1.207	2.123	1.586
82	1.392	1.41	2.247	1.732
83	1.272	1.289	2.179	1.633
84	1.3	1.313	2.231	1.693
85	1.136	1.148	2.055	1.517
86	1.308	1.315	2.137	1.643
87	1.141	1.148	2.046	1.522
88	1.139	1.156	2.058	1.522
89	1.326	1.327	2.223	1.68
90	1.213	1.222	2.173	1.615
91	1.188	1.19	2.117	1.555
92	1.246	1.25	2.192	1.63
93	1.257	1.262	2.141	1.601
94	1.391	1.397	2.247	1.733
95	1.254	1.266	2.108	1.599
96	1.298	1.301	2.159	1.633
97	1.459	1.468	2.283	1.78
98	1.212	1.226	2.139	1.585
99	1.385	1.395	2.272	1.737
100	1.333	1.345	2.187	1.666
101	1.28	1.292	2.19	1.647
102	1.354	1.357	2.282	1.724
103	1.332	1.337	2.261	1.699
104	1.418	1.426	2.306	1.772
105	1.368	1.374	2.216	1.696
106	1.225	1.234	2.16	1.597
107	1.343	1.353	2.222	1.692
108	1.227	1.232	2.216	1.641
109	1.23	1.239	2.184	1.625
110	1.319	1.328	2.202	1.676
111	1.32	1.335	2.226	1.683
112	1.363	1.374	2.246	1.718
113	1.412	1.415	2.285	1.759
114	1.284	1.296	2.2	1.647
115	1.278	1.291	2.226	1.67
116	1.24	1.254	2.205	1.642
117	1.267	1.279	2.181	1.634
118	1.273	1.279	2.262	1.681
119	1.293	1.302	2.245	1.673
120	1.249	1.264	2.253	1.657
121	1.297	1.319	2.222	1.669
122	1.198	1.208	2.18	1.6
123	1.349	1.35	2.3	1.724
