  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      0.886           0.906           1.504           1.103
         2      0.822           0.849           1.556           1.115
         3      0.915           0.928           1.640           1.192
         4      1.041           1.056           1.748           1.311
         5      1.003           1.024           1.774           1.304
         6      1.044           1.063           1.786           1.348
         7      1.050           1.069           1.857           1.392
         8      0.982           1.007           1.793           1.306
         9      1.229           1.241           1.934           1.497
        10      1.074           1.091           1.867           1.391
        11      1.267           1.287           1.992           1.566
        12      1.126           1.149           1.885           1.435
        13      1.118           1.131           1.870           1.418
        14      1.244           1.261           1.956           1.527
        15      1.196           1.206           1.947           1.490
        16      1.064           1.090           1.935           1.438
        17      1.180           1.197           1.949           1.487
        18      1.328           1.352           2.063           1.619
        19      1.336           1.358           2.085           1.628
        20      1.195           1.213           1.957           1.499
        21      1.232           1.256           2.010           1.540
        22      1.233           1.243           2.015           1.544
        23      1.093           1.110           1.968           1.451
        24      1.206           1.224           2.028           1.532
        25      1.379           1.404           2.200           1.713
        26      1.345           1.365           2.180           1.678
        27      1.448           1.480           2.248           1.774
        28      1.238           1.262           2.123           1.601
        29      1.245           1.261           2.104           1.592
        30      1.289           1.308           2.102           1.621
        31      1.208           1.223           2.103           1.581
        32      1.153           1.173           2.100           1.556
        33      1.241           1.260           2.133           1.619
        34      1.317           1.338           2.171           1.664
        35      1.289           1.307           2.191           1.681
        36      1.173           1.192           2.125           1.578
        37      1.346           1.367           2.217           1.708
        38      1.227           1.248           2.158           1.612
        39      1.292           1.308           2.185           1.657
        40      1.316           1.353           2.106           1.628
        41      1.369           1.399           2.216           1.704
        42      1.366           1.396           2.228           1.723
        43      1.277           1.304           2.164           1.640
        44      1.292           1.320           2.127           1.630
        45      1.489           1.508           2.336           1.826
        46      1.267           1.300           2.148           1.630
        47      1.364           1.400           2.229           1.725
        48      1.376           1.400           2.256           1.747
        49      1.341           1.371           2.237           1.712
        50      1.214           1.241           2.183           1.625
        51      1.322           1.350           2.200           1.684
        52      1.179           1.197           2.151           1.589
        53      1.167           1.195           2.133           1.561
        54      1.219           1.244           2.190           1.618
        55      1.169           1.198           2.131           1.579
        56      1.072           1.093           2.089           1.504
        57      1.472           1.492           2.347           1.831
        58      1.283           1.305           2.264           1.700
        59      1.225           1.251           2.211           1.660
        60      1.420           1.433           2.340           1.810
        61      1.325           1.345           2.216           1.689
        62      1.314           1.342           2.243           1.712
        63      1.175           1.191           2.148           1.578
        64      1.301           1.320           2.270           1.724
        65      1.316           1.332           2.232           1.703
        66      1.422           1.430           2.269           1.773
        67      1.280           1.291           2.186           1.650
        68      1.282           1.299           2.249           1.691
        69      1.206           1.224           2.146           1.605
        70      1.166           1.180           2.145           1.578
        71      1.255           1.281           2.180           1.645
        72      1.204           1.231           2.191           1.641
        73      1.049           1.076           2.096           1.505
        74      1.186           1.210           2.170           1.610
        75      1.548           1.570           2.425           1.913
        76      1.396           1.426           2.298           1.772
        77      1.383           1.408           2.306           1.771
        78      1.394           1.411           2.311           1.774
        79      1.458           1.469           2.336           1.827
        80      1.448           1.461           2.341           1.813
        81      1.456           1.475           2.384           1.840
        82      1.363           1.370           2.364           1.786
        83      1.188           1.206           2.203           1.635
        84      1.376           1.394           2.342           1.798
        85      1.320           1.341           2.286           1.739
        86      1.314           1.324           2.299           1.727
        87      1.486           1.500           2.448           1.891
        88      1.370           1.386           2.321           1.777
        89      1.410           1.430           2.337           1.792
        90      1.318           1.336           2.258           1.712
        91      1.342           1.359           2.313           1.756
        92      1.257           1.286           2.248           1.683
        93      1.141           1.159           2.180           1.603
        94      1.391           1.417           2.336           1.792
        95      1.323           1.349           2.287           1.728
        96      1.175           1.186           2.200           1.608
        97      1.345           1.364           2.324           1.762
        98      1.131           1.142           2.162           1.579
        99      1.304           1.327           2.293           1.717
       100      1.186           1.200           2.251           1.651
       101      1.154           1.171           2.186           1.594
       102      1.224           1.242           2.217           1.641
       103      1.176           1.196           2.186           1.603
       104      1.268           1.281           2.250           1.681
       105      1.271           1.278           2.290           1.711
       106      1.281           1.293           2.265           1.691
       107      1.136           1.154           2.186           1.597
       108      1.186           1.203           2.169           1.605
       109      1.243           1.257           2.233           1.671
       110      1.173           1.190           2.226           1.620
       111      1.101           1.122           2.183           1.561
       112      1.186           1.199           2.249           1.654
       113      1.176           1.190           2.265           1.645
       114      1.281           1.301           2.336           1.742
       115      1.196           1.219           2.285           1.666
       116      1.351           1.370           2.329           1.768
       117      1.391           1.412           2.349           1.795
       118      1.423           1.445           2.381           1.820
       119      1.245           1.266           2.300           1.704
       120      1.397           1.413           2.340           1.787
       121      1.339           1.350           2.359           1.766
       122      1.398           1.406           2.374           1.802
       123      1.322           1.344           2.322           1.731
       124      1.290           1.310           2.264           1.705
       125      1.449           1.465           2.433           1.865
       126      1.226           1.241           2.256           1.667
       127      1.245           1.271           2.268           1.690
       128      1.345           1.363           2.259           1.726
       129      1.383           1.401           2.310           1.790
       130      1.423           1.446           2.364           1.832
       131      1.344           1.359           2.249           1.738
       132      1.387           1.402           2.290           1.784
       133      1.458           1.481           2.363           1.860
       134      1.523           1.542           2.470           1.938
       135      1.273           1.300           2.260           1.715
       136      1.374           1.392           2.329           1.796
       137      1.436           1.460           2.387           1.864
       138      1.456           1.476           2.422           1.886
       139      1.496           1.516           2.450           1.920
       140      1.431           1.445           2.379           1.845
       141      1.321           1.342           2.399           1.816
       142      1.284           1.303           2.380           1.766
       143      1.623           1.638           2.594           2.042
       144      1.434           1.461           2.486           1.902
       145      1.623           1.638           2.597           2.049
       146      1.735           1.749           2.656           2.146
       147      1.533           1.535           2.548           1.968
       148      1.492           1.504           2.492           1.920
       149      1.452           1.465           2.434           1.871
       150      1.708           1.719           2.558           2.067
       151      1.646           1.670           2.521           2.012
       152      1.400           1.420           2.367           1.822
       153      1.375           1.397           2.306           1.768
       154      1.301           1.327           2.251           1.706
