# Frame, Distance
1,23.787003
2,24.034
3,34.933002
4,22.299002
5,24.223999
6,16.708002
7,18.744999
8,22.478998
9,28.911001
10,31.317999
11,26.213001
12,17.242002
13,16.307
14,14.747002
15,19.48
16,20.314
17,20.019001
18,23.258
19,24.681
20,21.004002
21,26.848
22,22.131
23,26.271
24,23.489
25,24.401001
26,32.814
27,36.324
28,16.516998
29,25.578
30,28.715
31,31.25
32,30.320002
33,23.763
34,28.166
35,32.921
36,35.744
37,18.763
38,25.317001
39,23.691002
40,20.401001
41,24.335
42,32.810997
43,31.709
44,27.633001
45,24.817001
46,32.827
47,29.408
48,18.339
49,27.682999
50,21.208
51,22.873001
52,31.876999
53,33.682
54,35.962
55,41.454
56,50.066998
57,47.846
58,38.814
59,40.704002
60,43.224
61,36.195
62,40.562
63,36.455
64,41.733997
65,46.97
66,44.315998
67,45.078
68,49.891
69,47.08
70,51.584
71,51.350998
72,44.633003
73,45.567997
74,47.779
75,44.486
76,41.041
77,41.883
78,47.219
79,51.025
80,50.705
81,50.14
82,52.326
83,49.231
84,54.118
85,54.722
86,54.668
87,53.057
88,48.055
89,48.87
90,48.438
91,33.597
92,43.15
93,37.298
94,41.263
95,43.34
96,50.392002
97,40.629
98,46.406
99,46.203003
100,55.822998
101,51.207
102,47.678
103,45.995003
104,49.981003
105,51.771
106,54.642
107,50.208
108,51.586
109,53.68
110,50.271
111,49.733
112,53.944
113,50.759003
114,49.872
115,48.438
116,48.531
117,41.778
118,51.737
119,48.074997
120,47.614
121,48.228
122,49.620003
123,52.012
124,48.554
125,45.904
126,49.057
127,52.043
128,45.021
129,53.18
130,49.774002
131,46.145
132,45.068
133,44.677
134,51.672
135,52.188
136,50.296997
137,47.098
138,50.843
139,54.948997
140,49.239
141,46.830997
142,45.426003
143,40.321
144,31.539001
145,30.796001
146,35.531
147,25.933
148,39.259
149,39.653
150,34.659
151,40.578003
152,33.753
153,37.91
154,48.743
155,50.874
156,49.996002
157,41.536003
158,44.347
159,41.598
160,46.315002
161,48.358
162,47.162
163,47.120003
164,47.728
165,46.112
166,46.31
167,48.124
168,49.199
169,42.386
170,49.139
171,48.526
172,51.937996
173,43.123
174,51.142998
175,49.628998
176,46.980003
177,51.497997
178,38.225002
179,40.663002
180,46.996998
181,41.62
182,54.855
183,50.966
184,45.528
185,46.591
186,44.182003
187,48.947998
188,51.418
189,49.767
190,49.815998
191,46.559998
192,54.137
193,53.658
194,53.818
195,51.376
196,54.147
197,55.824
198,55.327003
199,57.029
200,52.295
201,48.870003
202,51.93
203,49.322002
204,54.375
205,47.433002
206,46.725
207,53.083
208,52.271
209,55.204002
210,44.369
211,49.141
212,43.385
213,38.72
214,44.184
215,42.795
216,42.944
217,28.947002
218,40.897
219,41.372
220,37.008
221,42.868004
222,45.57
223,43.872997
224,45.994
225,38.344
226,40.083
227,45.443
228,42.451
229,46.833
230,48.211998
231,46.897
232,46.331
233,39.156998
234,38.415
235,35.871002
236,32.707
237,34.623
238,34.135998
239,27.815
240,35.488
241,34.493
242,38.24
243,45.459
244,41.214
245,40.522
246,45.148
247,34.981
248,30.937
249,40.724
250,38.433002
251,31.961
252,27.579
253,39.017
254,35.312
255,39.249
256,49.879997
257,50.97
258,45.167
259,45.956
260,51.372
261,53.656998
262,44.585
263,51.4
264,52.261
265,51.272003
266,48.433002
267,40.216003
268,41.315
269,44.402
270,42.628
271,37.114
272,35.405
273,44.324
274,40.324
275,35.156998
276,37.896
277,46.298
278,48.039997
279,49.512
280,46.433
281,51.106003
282,53.78
283,47.412003
284,50.208
285,50.189003
286,50.679
287,50.397
288,50.346
289,52.871
290,41.045
291,48.977
292,50.038998
293,52.344997
294,46.673
295,45.491
296,39.668
297,41.609
298,48.699
299,45.469
300,48.453
301,50.529
302,46.166
303,49.897003
304,50.809
305,51.974
306,49.819
307,49.003
308,48.952
309,46.886
310,46.564003
311,45.878
312,49.187
313,46.001
314,40.758
315,47.706
316,45.942
317,47.769
318,41.341
319,43.048
320,37.825
321,31.367998
322,43.239
323,47.628002
324,43.751
325,41.613003
326,49.878
327,50.011
328,46.385
329,49.957
330,41.87
331,43.434002
332,46.319
333,43.965
334,37.949
335,38.447
336,38.281002
337,42.990997
338,45.551003
339,50.456
340,49.267002
341,50.458
342,45.386
343,48.109
344,50.921
345,48.727
346,39.649998
347,40.224003
348,38.503998
349,34.836002
350,38.207
351,36.583
352,37.467
353,41.981003
354,38.251003
355,36.542
356,30.713
357,32.519
358,37.578003
359,36.322
360,39.278
361,47.062
362,46.482
363,46.639
364,44.8
365,43.892998
366,41.115
367,52.04
368,51.161003
369,49.82
370,51.304
371,44.338
372,50.218002
373,49.793
374,37.867
375,37.603
376,44.612
377,47.593002
378,46.263
379,46.381
380,42.162
381,44.851
382,48.024
383,40.809998
384,38.429
385,42.795002
386,44.404
387,43.941
388,44.188004
389,35.828
390,47.472
391,43.7
392,48.649002
393,50.283
394,42.532997
395,49.471
396,42.236
397,43.941998
398,41.095
399,46.237
400,48.645
401,46.663998
402,50.590996
403,44.247
404,38.336
405,41.576
406,48.949
407,44.530003
408,41.938
409,49.363
410,39.901
411,45.372
412,41.896004
413,42.271
414,45.366997
415,44.542
416,39.407997
417,35.887
418,44.765
419,34.643
420,35.594997
421,34.284
422,42.357
423,37.316
424,37.635
425,30.272
426,32.493
427,38.98
428,38.532
429,46.214
430,42.314
431,43.49
432,46.966
433,48.395
434,49.866997
435,43.681
436,44.47
437,40.45
438,42.311
439,49.906998
440,47.953
441,43.225998
442,50.017998
443,44.796
444,45.567
445,42.766
446,42.481
447,46.655
448,48.396
449,47.225
450,42.847
451,39.305
452,34.919
453,42.471
454,41.234
455,43.482002
456,45.412
457,48.023
458,46.505997
459,45.766
460,47.661003
461,48.111
462,47.420002
463,40.678
464,40.606003
465,44.447998
466,45.690002
467,46.57
468,45.256
469,43.232002
470,44.328
471,43.213997
472,51.068
473,49.368
474,45.607002
475,51.551003
476,51.137
477,43.685997
478,51.932
479,43.107002
480,47.386
481,48.058
482,47.272003
483,50.97
484,46.914
485,48.228
486,48.637
487,42.53
488,46.318
489,45.904
490,45.711002
491,48.152
492,45.442
493,46.264
494,46.002
495,41.64
496,45.267
497,43.253002
498,41.957
499,46.041
500,42.009
501,42.99
502,42.695
503,39.893
504,41.533
505,46.01
506,43.638
507,41.418
508,48.369
509,45.03
510,46.559002
511,46.702
512,46.957
513,49.282
514,42.688
515,42.765
516,43.427998
517,48.789
518,38.44
519,39.805
520,40.117
521,42.25
522,50.142
523,50.46
524,53.345
525,45.253002
526,36.637
527,41.006
528,37.611
529,38.832
530,41.79
531,39.75
532,42.455
533,42.555
534,30.668
535,38.378
536,37.97
537,36.8
538,39.459
539,45.368
540,43.44
541,44.689003
542,45.617
543,35.694
544,38.467003
545,37.862
546,45.59
547,43.755
548,43.932
549,38.058
550,44.177002
551,41.694
552,39.439
553,38.899998
554,35.557
555,33.114998
556,30.946001
557,35.668
558,41.852
559,43.303
560,46.793
561,46.585
562,42.616
563,46.77
564,46.273
565,47.066
566,37.711998
567,42.906998
568,38.229
569,32.055
570,37.28
571,37.496
572,41.621
573,41.223003
574,33.784
575,36.138
576,42.486
577,39.730003
578,43.446
579,50.003
580,52.638
581,48.089
582,47.662
583,44.473
584,49.031998
585,44.094
586,42.668
587,41.350998
588,44.761
589,44.958
590,42.562996
591,40.496
592,42.149002
593,36.345
594,38.161
595,36.316
596,34.061
597,38.107
598,32.825
599,40.78
600,42.482998
601,36.051003
602,39.864998
603,34.66
604,43.361
605,40.052002
606,40.128002
607,37.389
608,43.508003
609,39.523
610,46.064
611,45.895
612,45.353996
613,46.953
614,47.364
615,33.079
616,41.691
617,40.832
618,36.051003
619,44.102
620,45.922
621,45.688
622,46.482002
623,40.823997
624,39.797997
625,42.29
626,41.584
627,49.007004
628,44.447
629,44.531002
630,43.233
631,42.341003
632,45.670998
633,39.83
634,44.555
635,45.083
636,46.228
637,40.769997
638,44.105
639,44.56
640,44.156998
641,37.863
642,48.043
643,49.812
644,40.171
645,47.939
646,39.979
647,37.762
648,45.381
649,43.468
650,41.297
651,43.946
652,41.888
653,43.749
654,43.431
655,50.286
656,39.231
657,44.371
658,45.616
659,45.775
660,44.412
661,47.565002
662,45.651
663,47.957
664,47.716
665,49.469
666,47.984
667,42.103
668,47.717
669,49.781998
670,43.83
671,43.244003
672,45.966003
673,36.913
674,44.415
675,42.336
676,44.282
677,36.971
678,42.713
679,45.376
680,45.274002
681,45.788
682,49.308
683,47.434
684,43.519
685,44.201
686,44.804
687,46.998
688,49.641003
689,43.498
690,46.600998
691,50.168
692,44.543
693,38.966
694,38.938
695,40.111
696,42.375
697,41.837
698,43.552998
699,43.913002
700,44.214
701,34.196
702,35.795
703,41.461998
704,46.010998
705,44.415
706,35.03
707,38.857
708,40.783
709,42.04
710,41.197998
711,47.777
712,40.524
713,49.127003
714,48.376
715,42.791
716,36.378
717,41.76
718,44.636
719,41.975998
720,45.36
721,48.974
722,47.595
723,32.432
724,42.997
725,45.274002
726,43.472
727,43.097
728,44.551003
729,35.418
730,43.472
731,46.263
732,48.697998
733,40.361
734,42.123
735,48.608997
736,46.443
737,48.812
738,45.993
739,45.477997
740,44.693
741,42.034
742,48.417
743,39.744
744,46.611
745,47.796997
746,45.72
747,43.991
748,48.917
749,49.983
750,51.788002
751,47.913002
752,43.958
753,43.356
754,40.187
755,37.759
756,46.704998
757,42.317
758,42.426003
759,38.488
760,49.472
761,48.696
762,39.375
763,40.745
764,42.15
765,49.067
766,41.528
767,46.291
768,41.362
769,46.227997
770,44.878998
771,41.483
772,47.862
773,46.233
774,46.336998
775,39.659
776,40.679
777,42.841003
778,38.027
779,48.525
780,49.954998
781,52.546997
782,51.25
783,49.955
784,48.383003
785,45.516
786,48.288002
787,42.709
788,52.408
789,48.371002
790,48.277
791,46.885
792,48.526
793,48.810997
794,45.368004
795,45.373
796,41.593002
797,47.428997
798,36.139
799,42.295002
800,45.788998
801,44.173004
802,42.69
803,45.260002
804,40.338997
805,44.508003
806,38.388
807,31.774998
808,40.697
809,37.198997
810,39.045
811,46.945
812,42.872
813,52.649
814,47.883
815,47.659
816,44.898003
817,44.381996
818,45.074
819,46.598
820,39.762
821,45.884003
822,46.843998
823,46.586002
824,42.023003
825,39.266
826,44.678
827,35.711
828,33.098
829,32.662003
830,31.953
831,36.787
832,34.354
833,42.176
834,41.990997
835,43.66
836,39.06
837,42.29
838,41.690002
839,42.593002
840,41.355
841,47.991
842,46.509
843,44.638
844,46.229
845,42.039
846,42.844
847,39.814
848,39.527
849,41.211002
850,38.574997
851,45.019
852,44.506996
853,41.935997
854,45.363
855,37.737
856,33.955
857,43.841
858,47.003998
859,45.111
860,44.748
861,39.959
862,42.752003
863,46.721
864,48.337997
865,46.524002
866,43.996
867,37.014
868,39.273
869,29.313
870,41.149998
871,41.03
872,42.777
873,34.951
874,43.889
875,46.056
876,39.502
877,43.808
878,42.199997
879,46.017998
880,46.593998
881,44.391
882,42.718
883,46.139
884,44.552
885,45.164
886,40.586002
887,43.502003
888,40.232
889,43.36
890,38.601
891,42.369
892,46.699997
893,43.032997
894,40.376
895,42.065998
896,46.288998
897,43.313
898,43.654
899,40.115997
900,42.785
901,42.309998
902,46.309998
903,41.468
904,43.104
905,39.661003
906,40.881
907,43.449
908,42.02
909,41.639
910,41.562
911,36.552002
912,42.503998
913,44.708
914,38.164997
915,42.577
916,39.641003
917,41.883
918,34.824
919,35.414
920,33.345
921,41.347
922,49.22
923,46.296997
924,46.211998
925,41.034
926,40.137
927,39.43
928,39.365997
929,34.485
930,34.321
931,32.708
932,34.237
933,43.055
934,40.717
935,31.955
936,30.338001
937,31.116
938,35.909
939,33.605
940,36.497
941,30.853
942,27.936
943,34.068
944,36.877
945,37.761997
946,40.098
947,40.866
948,42.343
949,44.459
950,40.944
951,42.277
952,45.601
953,38.639
954,40.021
955,38.132
956,41.683002
957,39.225002
958,43.54
959,44.072998
960,44.828
961,41.547
962,39.398
963,39.328
964,35.944
965,43.773003
966,45.686996
967,40.105
968,37.532
969,38.745
970,46.102
971,41.294
972,36.771
973,41.263
974,43.132004
975,40.465
976,38.402
977,41.175
978,35.767
979,40.623
980,40.181
981,38.306
982,39.619
983,43.34
984,44.318
985,46.099
986,43.386
987,45.909
988,47.239
989,47.965
990,47.736
991,47.548996
992,47.56
993,43.533
994,38.614
995,37.695
996,41.069
997,33.114998
998,37.364998
999,38.597
1000,42.811
1001,42.192
1002,45.432
1003,42.675
1004,35.669
1005,44.155003
1006,38.645
1007,39.544003
1008,38.274
1009,35.597
1010,39.903
1011,40.892
1012,32.142
1013,41.325
1014,42.212997
1015,39.32
1016,43.872
1017,38.961998
1018,36.531002
1019,32.968002
1020,42.281
1021,40.75
1022,43.525
1023,49.176003
1024,47.151
1025,43.277
1026,47.671997
1027,39.787003
1028,45.319
1029,40.078003
1030,39.822
1031,42.686
1032,42.835003
1033,44.36
1034,45.277
1035,40.331997
1036,50.408997
1037,46.626
1038,49.676003
1039,40.375
1040,49.91
1041,48.473
1042,45.633003
1043,43.317
1044,38.76
1045,41.568
1046,37.225998
1047,39.369
1048,41.747997
1049,42.59
1050,49.234
1051,47.711998
1052,42.85
1053,32.273003
1054,44.381
1055,47.591003
1056,43.644997
1057,47.850002
1058,45.564003
1059,46.25
1060,45.732
1061,37.114
1062,45.181
1063,43.591
1064,43.476
1065,45.336
1066,38.756
1067,43.859
1068,40.683002
1069,49.038
1070,37.446
1071,38.737
1072,41.875
1073,47.241
1074,45.407997
1075,47.086
1076,45.149998
1077,41.568
1078,45.857998
1079,39.704
1080,47.211002
1081,37.681
1082,44.556
1083,44.955997
1084,40.985
1085,41.346
1086,43.782
1087,38.666
1088,40.139
1089,42.087997
1090,42.105
1091,39.336
1092,45.308
1093,41.384003
1094,37.585003
1095,40.958
1096,39.16
1097,39.718002
1098,36.251
