  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      0.945           0.965           1.511           1.147
         2      0.988           1.008           1.615           1.225
         3      1.291           1.308           1.846           1.495
         4      0.935           0.959           1.579           1.178
         5      1.075           1.099           1.759           1.339
         6      1.072           1.099           1.766           1.343
         7      1.157           1.175           1.856           1.433
         8      1.129           1.155           1.870           1.424
         9      1.063           1.072           1.831           1.384
        10      1.184           1.202           1.946           1.488
        11      0.973           0.990           1.820           1.324
        12      1.044           1.060           1.884           1.385
        13      0.990           1.015           1.843           1.338
        14      1.360           1.381           2.019           1.619
        15      0.963           0.987           1.767           1.298
        16      0.983           1.014           1.802           1.310
        17      1.055           1.077           1.852           1.372
        18      1.209           1.225           1.960           1.500
        19      0.968           0.993           1.834           1.329
        20      1.067           1.089           1.848           1.385
        21      0.983           1.005           1.868           1.364
        22      0.917           0.937           1.793           1.283
        23      1.105           1.123           1.980           1.479
        24      1.110           1.132           1.961           1.456
        25      1.136           1.148           1.969           1.458
        26      1.199           1.221           2.042           1.537
        27      1.098           1.116           1.969           1.444
        28      1.201           1.219           2.023           1.530
        29      1.128           1.145           1.951           1.456
        30      1.200           1.211           2.012           1.521
        31      1.209           1.224           2.039           1.548
        32      1.237           1.253           2.030           1.556
        33      1.179           1.196           2.062           1.543
        34      1.141           1.153           2.026           1.503
        35      1.038           1.054           1.969           1.423
        36      1.141           1.149           2.024           1.507
        37      1.078           1.096           2.015           1.487
        38      1.299           1.314           2.064           1.608
        39      1.449           1.464           2.175           1.733
        40      1.191           1.216           1.994           1.517
        41      1.067           1.092           1.914           1.425
        42      1.139           1.155           1.966           1.475
        43      1.096           1.110           1.978           1.464
        44      1.103           1.126           1.966           1.454
        45      0.957           0.978           1.872           1.361
        46      1.148           1.170           1.992           1.511
        47      1.094           1.116           1.934           1.441
        48      1.225           1.242           2.030           1.546
        49      1.078           1.091           1.918           1.412
        50      1.178           1.193           1.977           1.499
        51      1.111           1.125           1.953           1.453
        52      1.250           1.261           2.087           1.582
        53      1.061           1.076           1.971           1.445
        54      1.178           1.197           2.031           1.529
        55      1.199           1.219           2.071           1.562
        56      1.153           1.167           2.014           1.513
        57      1.183           1.201           1.991           1.508
        58      1.361           1.385           2.115           1.667
        59      1.429           1.442           2.159           1.716
        60      1.360           1.379           2.144           1.681
        61      1.395           1.415           2.142           1.687
        62      1.331           1.353           2.117           1.655
        63      1.179           1.204           2.060           1.558
        64      1.157           1.177           2.055           1.548
        65      1.244           1.268           2.105           1.598
        66      1.225           1.243           2.094           1.599
        67      1.344           1.363           2.178           1.695
        68      1.218           1.239           2.142           1.610
        69      1.258           1.283           2.142           1.635
        70      1.241           1.263           2.171           1.640
        71      1.375           1.395           2.248           1.751
        72      1.304           1.320           2.194           1.689
        73      1.191           1.205           2.122           1.588
        74      1.248           1.272           2.236           1.683
        75      1.283           1.305           2.239           1.712
        76      1.383           1.408           2.350           1.819
        77      1.315           1.332           2.296           1.751
        78      1.202           1.222           2.180           1.631
        79      1.324           1.338           2.256           1.728
        80      1.253           1.263           2.247           1.678
        81      1.330           1.345           2.264           1.729
        82      1.079           1.100           2.150           1.563
        83      1.123           1.144           2.102           1.557
        84      1.165           1.186           2.137           1.590
        85      1.025           1.036           2.070           1.494
        86      1.049           1.057           2.112           1.516
        87      1.023           1.038           2.137           1.515
        88      1.206           1.218           2.279           1.676
        89      1.129           1.145           2.159           1.562
        90      1.071           1.081           2.163           1.558
        91      1.018           1.034           2.165           1.524
        92      1.114           1.131           2.172           1.581
        93      1.107           1.122           2.177           1.572
        94      1.103           1.111           2.127           1.548
        95      0.977           1.000           2.032           1.440
        96      1.025           1.040           2.072           1.474
        97      1.045           1.063           2.105           1.514
        98      1.082           1.098           2.118           1.526
        99      1.141           1.153           2.135           1.559
       100      1.177           1.194           2.138           1.584
       101      1.097           1.108           2.142           1.546
       102      1.056           1.070           2.135           1.522
       103      1.083           1.107           2.098           1.523
       104      1.158           1.170           2.168           1.590
       105      1.052           1.054           2.129           1.519
       106      1.176           1.190           2.169           1.609
       107      1.143           1.157           2.153           1.575
       108      1.216           1.229           2.209           1.646
       109      1.164           1.185           2.113           1.557
       110      1.153           1.169           2.118           1.563
       111      1.319           1.331           2.231           1.694
       112      1.373           1.382           2.228           1.713
       113      1.197           1.219           2.143           1.583
       114      1.294           1.301           2.171           1.632
       115      1.351           1.354           2.228           1.692
       116      1.354           1.364           2.259           1.720
       117      1.364           1.363           2.274           1.731
       118      1.414           1.416           2.323           1.772
       119      1.299           1.307           2.230           1.670
       120      1.263           1.271           2.255           1.662
       121      1.338           1.350           2.276           1.707
       122      1.294           1.310           2.249           1.694
       123      1.359           1.369           2.298           1.746
       124      1.306           1.316           2.261           1.697
       125      1.253           1.263           2.197           1.644
       126      1.286           1.293           2.249           1.692
       127      1.331           1.337           2.228           1.693
       128      1.281           1.290           2.176           1.640
       129      1.369           1.378           2.263           1.724
       130      1.326           1.334           2.252           1.700
       131      1.317           1.333           2.240           1.705
       132      1.336           1.340           2.244           1.696
       133      1.391           1.403           2.290           1.747
       134      1.401           1.409           2.327           1.781
       135      1.317           1.327           2.267           1.698
       136      1.416           1.430           2.316           1.790
       137      1.354           1.370           2.259           1.721
       138      1.409           1.426           2.325           1.793
       139      1.359           1.372           2.312           1.752
       140      1.496           1.503           2.423           1.871
       141      1.475           1.502           2.349           1.826
       142      1.314           1.341           2.310           1.739
       143      1.329           1.343           2.306           1.728
       144      1.380           1.389           2.329           1.774
       145      1.265           1.281           2.240           1.667
       146      1.301           1.313           2.249           1.689
       147      1.339           1.354           2.286           1.724
       148      1.338           1.347           2.224           1.683
       149      1.348           1.356           2.292           1.727
       150      1.488           1.498           2.391           1.840
       151      1.577           1.597           2.433           1.923
       152      1.414           1.435           2.285           1.760
       153      1.479           1.491           2.385           1.842
       154      1.595           1.609           2.446           1.927
       155      1.449           1.459           2.349           1.810
       156      1.383           1.389           2.324           1.771
       157      1.439           1.448           2.369           1.813
       158      1.407           1.425           2.320           1.796
       159      1.553           1.558           2.403           1.891
       160      1.456           1.479           2.308           1.810
       161      1.451           1.471           2.338           1.813
       162      1.515           1.532           2.356           1.851
       163      1.336           1.350           2.286           1.741
       164      1.401           1.413           2.370           1.809
       165      1.290           1.296           2.228           1.675
       166      1.543           1.555           2.394           1.883
       167      1.385           1.402           2.305           1.775
       168      1.481           1.495           2.285           1.795
       169      1.469           1.489           2.302           1.807
       170      1.472           1.497           2.331           1.817
       171      1.433           1.452           2.276           1.773
       172      1.516           1.534           2.343           1.846
       173      1.523           1.538           2.320           1.839
       174      1.418           1.427           2.263           1.746
       175      1.535           1.553           2.350           1.853
       176      1.245           1.264           2.206           1.659
       177      1.458           1.476           2.348           1.834
       178      1.338           1.356           2.322           1.752
       179      1.390           1.408           2.360           1.808
       180      1.484           1.496           2.401           1.870
       181      1.645           1.657           2.463           1.974
       182      1.365           1.382           2.267           1.738
       183      1.522           1.537           2.329           1.829
       184      1.379           1.392           2.290           1.745
       185      1.426           1.442           2.338           1.802
       186      1.394           1.414           2.313           1.762
       187      1.612           1.623           2.420           1.935
       188      1.504           1.516           2.349           1.828
       189      1.470           1.482           2.370           1.822
       190      1.726           1.731           2.535           2.041
       191      1.523           1.531           2.409           1.883
       192      1.572           1.576           2.389           1.894
       193      1.495           1.504           2.327           1.816
       194      1.456           1.466           2.292           1.789
       195      1.388           1.392           2.265           1.738
       196      1.491           1.500           2.355           1.834
       197      1.469           1.485           2.377           1.833
       198      1.359           1.375           2.265           1.713
       199      1.580           1.591           2.412           1.911
       200      1.466           1.475           2.364           1.825
       201      1.296           1.309           2.222           1.672
       202      1.292           1.307           2.250           1.680
