#Simulation Analysis Results CSV File 2020-11-25T13:51:59.281917
#Generated on structure: "frame1"
TimeStep,Torsion_psi,Torsion_phi
400008.0,-108.31,57.263
400108.00200000004,-109.021,56.531
400208.004,-134.629,69.437
400308.006,-112.186,72.657
400408.00800000003,-108.769,38.039
400508.01,-114.067,70.638
400608.012,-131.601,75.477
400708.014,-122.001,76.694
400808.016,-123.516,62.395
400908.018,-114.941,64.121
401008.02,-121.485,81.757
401108.022,-133.87,61.967
401208.02400000003,-117.274,60.096
401308.026,-124.794,56.52
401408.028,-117.064,22.926
401508.03,-120.312,75.87
401608.032,-117.612,40.427
401708.034,-114.767,53.906
401808.036,-125.38,67.926
401908.038,-113.056,64.831
402008.04000000004,-124.516,58.192
402108.042,-125.181,50.085
402208.044,-102.358,39.191
402308.04600000003,-118.356,63.591
402408.048,-136.841,58.543
402508.05,-119.529,51.472
402608.052,-109.712,63.815
402708.054,-109.248,72.633
402808.056,-119.587,64.784
402908.058,-112.626,61.877
403008.06,-118.529,68.86
403108.06200000003,-145.082,63.019
403208.064,-112.892,71.616
403308.066,-119.859,55.202
403408.068,-116.884,65.592
403508.07,-131.786,66.347
403608.072,-124.947,56.578
403708.074,-124.733,66.094
403808.076,-120.14,61.426
403908.078,-117.445,48.318
404008.08,-109.088,64.559
404108.082,-115.077,59.29
404208.08400000003,-112.171,73.496
404308.086,-115.349,51.146
404408.088,-128.877,58.919
404508.09,-112.91,40.19
404608.092,-103.497,68.438
404708.094,-135.857,57.346
404808.096,-101.571,50.723
404908.098,-120.269,44.197
405008.10000000003,-127.834,61.91
405108.102,-110.432,34.861
405208.104,-137.819,77.704
405308.106,-129.07,74.051
405408.108,-110.809,46.246
405508.11,-122.605,47.584
405608.112,-117.862,60.251
405708.114,-127.211,70.045
405808.116,-94.971,72.49
405908.118,-115.242,51.847
406008.12,-122.804,62.161
406108.12200000003,-116.939,87.765
406208.124,-126.642,58.597
406308.126,-118.405,62.784
406408.128,-126.382,56.834
406508.13,-127.358,52.17
406608.132,-124.521,37.467
406708.134,-137.811,57.227
406808.136,-108.721,37.697
406908.13800000004,-86.607,33.163
407008.14,-113.359,62.427
407108.142,-105.577,36.055
407208.14400000003,-116.469,59.322
407308.146,-137.061,60.257
407408.148,-130.46,62.39
407508.15,-115.547,72.011
407608.152,-129.997,59.238
407708.154,-125.784,60.838
407808.156,-101.371,44.549
407908.158,-120.7,83.53
408008.16000000003,-107.644,52.033
408108.162,-113.139,46.346
408208.164,-123.092,66.365
408308.166,-111.372,77.859
408408.168,-121.139,42.504
408508.17,-104.134,41.169
408608.172,-113.916,43.726
408708.174,-115.134,54.196
408808.17600000004,-134.148,68.504
408908.178,-103.889,73.152
409008.18,-114.918,63.387
409108.18200000003,-120.655,51.878
409208.184,-123.874,52.086
409308.186,-111.089,74.12
409408.188,-102.725,40.811
409508.19,-133.898,46.683
409608.192,-105.394,43.318
409708.194,-135.328,60.485
409808.196,-120.25,67.98
409908.19800000003,-108.545,45.719
410008.2,-116.756,69.882
410108.202,-122.667,59.656
410208.204,-133.419,86.008
410308.206,-119.62,45.067
410408.208,-105.951,70.498
410508.21,-114.864,47.539
410608.212,-111.281,75.745
410708.21400000004,-114.965,66.982
410808.216,-100.969,62.557
410908.218,-127.342,52.046
411008.22000000003,-109.693,80.823
411108.222,-107.535,36.703
411208.224,-130.164,69.296
411308.226,-118.852,49.87
411408.228,-125.016,55.037
411508.23,-113.798,76.373
411608.232,-111.028,66.742
411708.234,-115.226,52.841
411808.23600000003,-114.763,53.474
411908.238,-117.946,80.023
412008.24,-112.804,37.283
412108.242,-136.611,83.825
412208.244,-114.778,68.361
412308.246,-122.054,52.505
412408.248,-135.466,78.068
412508.25,-132.927,65.143
412608.25200000004,-122.126,77.16
412708.254,-112.298,52.267
412808.256,-117.066,55.014
412908.25800000003,-117.279,74.352
413008.26,-118.322,63.376
413108.262,-109.842,74.879
413208.264,-125.039,65.041
413308.266,-121.276,67.098
413408.268,-124.088,62.986
413508.27,-121.003,46.254
413608.272,-126.458,50.785
413708.27400000003,-137.925,71.554
413808.276,-125.143,52.93
413908.278,-120.085,41.793
414008.28,-145.144,58.561
414108.282,-122.769,44.028
414208.284,-118.761,43.158
414308.286,-137.537,70.472
414408.288,-128.133,35.579
414508.29000000004,-128.66,66.96
414608.292,-122.054,40.387
414708.294,-116.684,62.017
414808.29600000003,-120.352,62.066
414908.298,-123.475,56.261
415008.3,-119.941,59.221
415108.302,-117.567,69.354
415208.304,-129.664,75.338
415308.306,-126.118,69.24
415408.308,-129.682,53.658
415508.31,-111.238,65.525
415608.31200000003,-125.685,71.532
415708.314,-125.336,59.025
415808.316,-117.936,47.575
415908.318,-135.633,61.253
416008.32,-118.812,47.014
416108.322,-108.576,60.953
416208.324,-133.016,75.326
416308.326,-121.514,57.763
416408.32800000004,-133.235,62.095
416508.33,-133.779,69.459
416608.332,-140.107,44.874
416708.33400000003,-124.809,65.757
416808.336,-120.027,72.865
416908.338,-96.516,33.231
417008.34,-110.791,86.437
417108.342,-130.114,67.342
417208.344,-133.079,70.042
417308.346,-135.066,67.641
417408.348,-113.871,65.567
417508.35000000003,-114.584,40.382
417608.352,-120.061,62.172
417708.354,-111.436,84.036
417808.356,-120.125,62.097
417908.358,-141.065,72.793
418008.36,-115.845,49.472
418108.362,-123.766,65.976
418208.364,-110.548,39.359
418308.366,-130.512,69.702
418408.368,-115.989,57.58
418508.37,-115.665,61.117
418608.37200000003,-109.928,52.043
418708.374,-126.98,56.668
418808.376,-120.862,55.976
418908.378,-151.234,65.039
419008.38,-106.57,52.285
419108.382,-118.2,64.032
419208.384,-120.94,46.966
419308.386,-106.118,37.359
419408.38800000004,-134.634,77.933
419508.39,-108.731,47.813
419608.392,-133.325,70.324
419708.39400000003,-136.705,70.482
419808.396,-134.821,56.511
419908.398,-119.262,52.949
420008.4,-118.616,61.294
420108.402,-119.191,80.775
420208.404,-131.881,70.38
420308.406,-132.347,42.905
420408.408,-127.711,57.174
420508.41000000003,-119.233,61.157
420608.412,-103.284,47.272
420708.414,-140.13,66.54
420808.416,-111.601,66.488
420908.418,-110.675,67.678
421008.42,-119.055,68.7
421108.422,-100.721,49.666
421208.424,-134.728,64.183
421308.42600000004,-112.105,71.912
421408.428,-146.547,51.881
421508.43,-114.076,59.175
421608.43200000003,-120.317,51.41
421708.434,-115.627,73.863
421808.436,-119.242,55.386
421908.438,-136.459,52.125
422008.44,-125.541,67.698
422108.442,-126.335,71.398
422208.444,-117.254,56.572
422308.446,-124.182,52.19
422408.44800000003,-111.555,49.996
422508.45,-133.348,70.214
422608.452,-124.22,78.066
422708.454,-115.959,48.086
422808.456,-114.275,61.286
422908.458,-119.62,72.156
423008.46,-121.353,44.943
423108.462,-134.83,69.537
423208.46400000004,-127.58,74.994
423308.466,-109.039,62.139
423408.468,-116.255,77.133
423508.47000000003,-112.705,67.982
423608.472,-129.187,67.824
423708.474,-119.413,43.296
423808.476,-108.719,49.83
423908.478,-111.484,57.082
424008.48,-134.674,61.538
424108.482,-98.868,45.154
424208.484,-126.97,47.404
424308.48600000003,-120.407,47.822
424408.488,-118.326,80.039
424508.49,-126.496,57.224
424608.492,-100.131,66.134
424708.494,-138.897,77.037
424808.496,-120.199,47.783
424908.498,-132.274,65.446
425008.5,-106.765,68.49
425108.50200000004,-116.881,55.49
425208.504,-125.398,66.986
425308.506,-115.664,63.677
425408.50800000003,-131.051,46.145
425508.51,-130.79,66.079
425608.512,-127.939,57.896
425708.514,-126.667,59.35
425808.516,-127.215,79.632
425908.518,-125.181,48.148
426008.52,-116.866,42.706
426108.522,-125.394,83.074
426208.52400000003,-114.091,65.212
426308.526,-133.158,51.727
426408.528,-117.024,69.14
426508.53,-113.084,61.871
426608.532,-119.978,59.406
426708.534,-109.319,60.714
426808.536,-120.23,65.429
426908.538,-118.647,65.854
427008.54000000004,-122.127,50.069
427108.542,-125.563,76.504
427208.544,-126.676,43.328
427308.54600000003,-127.418,30.987
427408.548,-124.326,66.805
427508.55,-127.509,63.448
427608.552,-123.821,57.787
427708.554,-139.451,68.99
