#Simulation Analysis Results CSV File 2020-11-25T15:28:12.638470
#Generated on structure: "frame1"
TimeStep,Torsion_psi,Torsion_phi
0.0,110.63,-54.828
250.002,151.427,-55.226
500.004,142.979,-62.091
750.006,150.622,-66.729
1000.008,130.026,-61.194
1250.01,137.286,-51.189
1500.012,124.634,-31.189
1750.0140000000001,121.527,-48.138
2000.016,138.202,-51.87
2250.018,145.468,-64.607
2500.02,134.048,-51.928
2750.022,125.464,-59.049
3000.024,123.97,-53.604
3250.0260000000003,150.349,-48.499
3500.0280000000002,122.263,-37.445
3750.03,125.4,-39.518
4000.032,128.732,-65.923
4250.034,138.246,-55.954
4500.036,130.07,-36.224
4750.0380000000005,135.951,-44.334
5000.04,123.407,-32.904
5250.042,128.381,-49.655
5500.044,131.839,-50.667
5750.046,141.808,-69.145
6000.048,120.338,-46.2
6250.05,122.611,-57.109
6500.052000000001,138.439,-55.036
6750.054,134.305,-55.625
7000.0560000000005,147.852,-63.151
7250.058,142.079,-84.695
7500.06,118.458,-33.236
7750.062,134.595,-36.445
8000.064,155.56,-47.646
8250.066,136.15,-41.258
8500.068,141.064,-56.041
8750.07,137.565,-53.596
9000.072,136.914,-47.406
9250.074,151.856,-51.284
9500.076000000001,146.894,-66.394
9750.078,130.461,-49.282
10000.08,148.204,-68.479
10250.082,133.31,-52.17
10500.084,129.636,-75.698
10750.086,137.795,-42.448
11000.088,124.983,-31.697
11250.09,138.758,-52.087
11500.092,127.489,-37.654
11750.094000000001,149.57,-64.037
12000.096,116.199,-19.951
12250.098,139.324,-50.86
12500.1,142.734,-52.252
12750.102,141.513,-40.606
13000.104000000001,139.429,-54.887
13250.106,143.839,-73.058
13500.108,121.11,-34.015
13750.11,144.132,-58.992
14000.112000000001,130.208,-41.729
14250.114,134.966,-69.342
14500.116,103.92,-1.296
14750.118,122.75,-37.82
15000.12,136.694,-56.609
15250.122000000001,35.235,44.49
15500.124,102.058,-48.921
15750.126,117.095,-37.339
16000.128,75.73,-12.515
16250.130000000001,130.384,-61.696
16500.132,122.298,-43.286
16750.134000000002,141.136,-53.911
17000.136,121.722,-61.046
17250.138,130.15,-37.596
17500.14,119.939,-46.582
17750.142,128.918,-57.271
18000.144,122.17,-29.303
18250.146,134.622,-40.912
18500.148,128.479,-54.876
18750.15,116.005,-32.547
19000.152000000002,146.045,-69.635
19250.154,142.176,-57.476
19500.156,133.645,-50.228
19750.158,146.009,-71.086
20000.16,124.62,-52.384
20250.162,151.155,-48.829
20500.164,135.973,-41.319
20750.166,134.334,-68.467
21000.168,141.989,-44.177
21250.170000000002,141.15,-55.044
21500.172,126.213,-42.984
21750.174,123.805,-40.372
22000.176,134.136,-37.676
22250.178,139.088,-62.244
22500.18,139.014,-51.823
22750.182,129.929,-60.96
23000.184,148.762,-56.108
23250.186,114.892,-11.965
23500.188000000002,146.37,-67.027
23750.19,142.719,-61.831
24000.192,134.823,-52.566
24250.194,132.239,-54.759
24500.196,138.258,-63.754
24750.198,104.156,-43.319
25000.2,117.834,-28.183
25250.202,119.75,-45.337
25500.204,127.464,-45.742
25750.206000000002,145.7,-58.273
26000.208000000002,136.761,-47.982
26250.21,131.135,-31.312
26500.212,147.971,-73.694
26750.214,127.045,-53.032
27000.216,126.462,-47.166
27250.218,90.623,6.4
27500.22,125.259,-60.047
27750.222,139.828,-60.953
28000.224000000002,118.619,-61.288
28250.226000000002,143.253,89.029
28500.228,128.374,-43.4
28750.23,143.587,-69.783
29000.232,129.159,-53.734
29250.234,144.389,-64.916
29500.236,128.047,-57.365
29750.238,136.432,-49.58
30000.24,152.902,-56.877
30250.242000000002,137.299,-62.615
30500.244000000002,101.595,-39.833
30750.246,126.895,-64.176
31000.248,139.458,-72.88
31250.25,125.525,-46.581
31500.252,133.745,-42.926
31750.254,108.921,-33.737
32000.256,92.213,-8.233
32250.258,83.183,-9.908
32500.260000000002,80.215,-19.753
32750.262000000002,124.074,-42.574
33000.264,63.798,6.494
33250.266,115.173,-47.935
33500.268000000004,87.267,-21.246
33750.270000000004,101.476,-34.952
34000.272,68.178,4.369
34250.274,77.412,-19.751
34500.276,63.538,24.632
34750.278,95.045,-48.807
35000.28,109.54,-47.962
35250.282,91.715,-45.181
35500.284,79.543,-3.086
35750.286,73.488,0.505
36000.288,93.723,-32.137
36250.29,61.771,6.354
36500.292,104.457,-35.657
36750.294,94.739,-19.26
37000.296,69.233,8.524
37250.298,86.914,-23.385
37500.3,108.914,-52.315
37750.302,76.986,-11.716
38000.304000000004,137.237,-58.229
38250.306000000004,135.397,-62.66
38500.308,119.426,-47.055
38750.31,127.683,-54.385
39000.312,132.604,-64.496
39250.314,119.823,-48.715
39500.316,135.661,-49.333
39750.318,114.59,-49.758
40000.32,118.449,-37.377
40250.322,131.632,-41.779
40500.324,126.184,-50.464
40750.326,103.918,-42.228
41000.328,130.805,-34.72
41250.33,116.509,-36.528
41500.332,131.482,-50.61
41750.334,73.971,17.598
42000.336,112.666,-35.546
42250.338,124.283,-65.191
42500.340000000004,125.831,-64.96
42750.342000000004,126.014,-48.583
43000.344,132.637,-52.89
43250.346,115.511,-33.623
43500.348,113.196,-40.558
43750.35,150.689,-53.58
44000.352,114.96,-61.951
44250.354,133.127,-65.511
44500.356,133.385,-63.032
44750.358,152.272,-70.036
45000.36,133.412,-70.032
45250.362,121.697,-47.333
45500.364,134.553,-64.391
45750.366,134.58,-52.547
46000.368,132.011,-40.02
46250.37,131.336,-29.125
46500.372,129.82,-54.27
46750.374,121.018,-25.482
47000.376000000004,104.406,-31.703
47250.378000000004,81.359,3.732
47500.38,61.606,26.008
47750.382,106.743,-44.329
48000.384,98.092,-25.741
48250.386,137.806,-65.546
48500.388,126.513,-54.46
48750.39,97.284,-53.032
49000.392,118.385,-64.028
49250.394,38.273,45.326
49500.396,53.746,8.659
49750.398,123.717,-58.191
50000.4,109.805,-50.429
50250.402,83.952,-23.798
50500.404,107.568,-26.916
50750.406,122.388,-50.661
51000.408,136.093,-58.244
51250.41,115.331,-36.008
51500.412000000004,102.981,-31.022
51750.414000000004,130.451,-57.819
52000.416000000005,130.034,-64.549
52250.418,126.921,-38.314
52500.42,134.242,-66.594
52750.422,145.99,-67.154
53000.424,137.863,-55.379
53250.426,116.83,-33.919
53500.428,129.264,-39.134
53750.43,144.678,-50.958
54000.432,133.789,-53.442
54250.434,137.733,-57.259
54500.436,133.374,-64.16
54750.438,109.846,-54.619
55000.44,109.203,-37.445
55250.442,129.966,-47.49
55500.444,138.461,-57.109
55750.446,134.152,-54.858
56000.448000000004,120.41,-26.963
56250.450000000004,55.333,44.103
56500.452000000005,136.995,-53.979
56750.454,136.504,-60.444
57000.456,122.857,-71.665
57250.458,110.272,-43.286
57500.46,128.189,-55.428
57750.462,115.536,-50.347
58000.464,130.598,-50.252
58250.466,117.265,-47.592
58500.468,99.753,-28.862
58750.47,127.231,-51.291
59000.472,116.808,-44.114
59250.474,126.324,-63.721
59500.476,101.917,-33.877
59750.478,144.145,-58.423
60000.48,128.076,-40.508
60250.482,131.942,-72.434
60500.484000000004,113.507,-60.315
60750.486000000004,136.045,-49.944
61000.488000000005,113.149,-14.768
61250.49,124.704,-40.423
61500.492,115.272,-45.934
61750.494,121.006,-80.903
62000.496,140.146,-61.256
62250.498,157.968,-60.234
62500.5,144.186,-39.084
62750.502,129.469,-39.665
63000.504,125.338,-54.902
63250.506,144.37,-58.703
63500.508,152.489,-52.406
63750.51,145.004,-46.127
64000.512,125.323,-58.512
64250.514,147.829,-66.964
64500.516,134.276,-49.979
64750.518000000004,128.304,-60.342
65000.520000000004,121.287,-43.415
65250.522000000004,121.561,-41.842
65500.524000000005,147.86,-63.926
65750.526,138.068,-48.247
66000.528,127.971,-52.359
66250.53,119.139,-26.652
66500.532,143.97,-64.999
66750.534,129.598,-21.3
67000.53600000001,142.717,-61.587
67250.538,120.135,-61.216
67500.54000000001,105.618,-22.159
67750.542,130.013,-32.141
68000.544,146.772,-61.165
68250.546,139.326,-54.338
68500.548,129.931,-57.101
68750.55,116.43,-38.786
69000.552,135.801,-63.901
69250.554,133.142,-54.786
69500.556,140.664,-61.052
69750.558,142.374,-67.042
70000.56,149.346,-51.436
70250.562,132.406,-47.395
70500.564,135.547,-35.776
70750.566,129.169,-50.29
71000.568,127.944,-56.662
71250.57,134.216,-41.816
71500.572,135.899,-51.926
71750.57400000001,106.466,-27.98
72000.576,143.191,-57.377
72250.57800000001,128.432,-66.198
72500.58,134.803,-49.546
72750.582,126.72,-49.163
73000.584,148.478,-53.202
73250.586,136.979,-42.435
73500.588,110.719,-33.727
73750.59,87.983,-5.914
74000.592,88.674,-26.652
74250.594,92.372,2.981
74500.596,69.577,12.503
74750.598,86.72,10.489
75000.6,20.337,57.248
75250.602,132.631,-57.209
75500.604,121.516,-52.403
75750.606,122.108,-58.704
76000.60800000001,144.835,-58.691
76250.61,115.999,-47.671
76500.61200000001,149.466,-66.878
76750.614,131.375,-58.517
77000.616,141.36,-56.746
77250.618,122.069,-70.016
77500.62,108.832,-17.146
77750.622,27.42,56.993
78000.624,137.979,-60.797
78250.626,121.467,-50.29
78500.628,141.841,-55.827
78750.63,127.375,-45.354
79000.632,131.222,-52.274
79250.634,145.58,-74.841
79500.636,137.868,-60.028
79750.638,145.142,-68.556
80000.64,128.337,-48.646
80250.642,130.175,-47.697
80500.644,113.12,-32.747
80750.64600000001,146.599,-59.429
81000.648,141.672,-45.38
81250.65000000001,148.383,-56.497
81500.652,139.718,-69.727
81750.654,134.121,-36.041
82000.656,134.578,-63.989
82250.658,138.617,-63.696
82500.66,129.726,-44.961
82750.662,133.112,-35.916
83000.664,137.697,-56.917
83250.666,133.129,-39.749
83500.668,116.019,-45.039
83750.67,130.73,-56.486
84000.672,132.879,-66.043
84250.674,135.722,-55.583
84500.676,113.253,-46.457
84750.678,135.474,-74.297
85000.68000000001,128.318,-52.899
85250.682,126.844,-57.698
85500.68400000001,114.809,-42.608
85750.686,126.087,-49.13
86000.688,120.357,-50.198
86250.69,137.651,-49.23
86500.692,133.328,-57.203
86750.694,142.83,-64.695
87000.696,125.12,-26.916
87250.698,132.627,-58.294
87500.7,154.84,-56.422
87750.702,137.346,-55.817
88000.704,140.205,-44.033
88250.706,140.25,-50.577
88500.708,134.127,-46.2
88750.71,130.641,-45.113
89000.712,150.521,-56.675
89250.714,127.247,-61.237
89500.716,123.725,-68.734
89750.71800000001,131.702,-64.057
90000.72,130.469,-50.741
90250.72200000001,134.638,-56.071
90500.724,138.867,-61.356
90750.726,140.631,-51.211
91000.728,156.241,-69.11
91250.73,120.546,-43.203
