#Simulation Analysis Results CSV File 2020-11-25T15:37:16.532039
#Generated on structure: "frame1"
TimeStep,Torsion_psi,Torsion_phi
0.0,100.142,-27.248
100.002,130.943,-56.973
200.004,129.268,-49.189
300.00600000000003,107.694,-39.249
400.008,133.746,-40.805
500.01,108.198,-36.182
600.0120000000001,126.903,-31.276
700.014,120.044,-61.018
800.016,126.57,-39.223
900.018,128.821,-41.22
1000.02,152.285,-63.875
1100.022,105.747,-49.314
1200.0240000000001,110.092,-24.308
1300.026,110.141,-47.459
1400.028,123.273,-45.652
1500.03,125.344,-32.021
1600.032,128.357,-53.092
1700.034,145.973,-65.203
1800.036,120.708,-40.429
1900.038,121.471,-20.779
2000.04,109.407,-40.319
2100.042,142.859,-46.083
2200.044,151.849,-67.433
2300.046,128.572,-45.335
2400.0480000000002,123.54,-47.791
2500.05,135.951,-49.405
2600.052,136.213,-56.224
2700.054,134.206,-37.963
2800.056,140.568,-52.461
2900.058,122.715,-22.821
3000.06,145.964,-54.329
3100.062,121.391,-30.311
3200.064,121.765,-23.026
3300.0660000000003,123.022,-30.831
3400.068,129.663,-71.774
3500.07,128.531,-47.833
3600.072,134.738,-45.795
3700.074,132.625,-48.608
3800.076,118.559,-44.65
3900.078,134.724,-60.017
4000.08,116.669,-41.567
4100.082,115.829,-41.338
4200.084,134.072,-53.752
4300.086,131.048,-34.294
4400.088,135.171,-53.556
4500.09,125.558,-56.1
4600.092,133.109,-59.516
4700.094,128.914,-53.737
4800.0960000000005,147.919,-73.97
4900.098,120.075,-50.116
5000.1,129.487,-52.063
5100.102,143.504,-52.221
5200.104,126.533,-41.223
5300.106,134.258,-46.409
5400.108,132.451,-61.375
5500.11,119.177,-55.329
5600.112,144.982,-58.734
5700.1140000000005,147.974,-41.4
5800.116,141.77,-64.014
5900.118,136.094,-54.444
6000.12,105.322,-46.055
6100.122,119.833,-60.243
6200.124,138.926,-44.285
6300.126,131.932,-66.396
6400.128,129.125,-74.711
6500.13,129.32,-47.326
6600.1320000000005,129.16,-58.228
6700.134,147.879,-58.597
6800.136,129.068,-29.811
6900.138,132.815,-60.414
7000.14,144.19,-57.927
7100.142,122.77,-53.084
7200.144,129.274,-59.819
7300.146,130.619,-37.321
7400.148,124.614,-50.483
7500.150000000001,137.904,-50.47
7600.152,117.4,-34.646
7700.154,119.409,-53.937
7800.156,132.243,-55.095
7900.158,138.452,-48.992
8000.16,129.518,-47.61
8100.162,141.847,-41.451
8200.164,141.591,-55.246
8300.166000000001,53.127,27.237
8400.168,34.97,45.808
8500.17,97.885,-34.947
8600.172,26.555,50.678
8700.174,105.46,-22.726
8800.176,125.238,-34.382
8900.178,122.965,-38.093
9000.18,141.639,-57.811
9100.182,105.73,-25.519
9200.184,133.593,-44.615
9300.186,129.372,-48.239
9400.188,144.692,-62.248
9500.19,116.669,88.452
9600.192000000001,40.775,88.007
9700.194,121.911,-30.665
9800.196,136.777,-38.093
9900.198,127.724,62.548
10000.2,82.673,85.088
10100.202,92.777,73.99
10200.204,102.916,101.684
10300.206,136.017,94.517
10400.208,130.623,83.284
10500.210000000001,133.728,85.323
10600.212,123.741,122.292
10700.214,107.349,-11.23
10800.216,91.33,73.98
10900.218,157.9,97.762
11000.22,140.747,81.874
11100.222,135.112,76.167
11200.224,130.281,86.304
