#Simulation Analysis Results CSV File 2020-11-26T09:00:49.387342
#Generated on structure: "frame1"
TimeStep,Torsion_psi,Torsion_phi
800016.0,-115.96,24.6
800116.002,-129.536,56.427
800216.0040000001,-124.332,52.083
800316.006,-126.194,57.659
800416.008,-124.658,59.46
800516.01,-118.372,33.304
800616.012,-125.522,51.977
800716.014,-112.816,61.232
800816.0160000001,-126.967,59.145
800916.018,-100.358,51.681
801016.02,-123.516,38.609
801116.022,-121.805,52.363
801216.024,-111.343,31.195
801316.0260000001,-123.977,33.881
801416.028,-123.702,50.392
801516.03,-115.928,55.724
801616.032,-131.773,56.475
801716.034,-121.404,52.272
801816.036,-118.951,58.499
801916.0380000001,-129.099,40.704
802016.04,-127.84,44.982
802116.042,-124.445,63.038
802216.044,-124.271,36.843
802316.046,-118.422,49.018
802416.0480000001,-130.077,38.059
802516.05,-112.872,52.524
802616.052,-120.219,18.201
802716.054,-134.892,60.708
802816.056,-130.172,45.181
802916.058,-133.887,50.104
803016.06,-119.085,58.262
803116.062,-136.822,73.216
803216.064,-106.731,47.89
803316.066,-115.485,58.29
803416.068,-119.149,63.594
803516.0700000001,-120.34,55.811
803616.072,-124.529,52.543
803716.074,-130.321,35.552
803816.076,-122.516,51.43
803916.078,-122.387,50.803
804016.0800000001,-115.293,43.871
804116.082,-114.987,43.385
804216.084,-125.263,44.325
804316.086,-113.431,68.34
804416.088,-120.746,49.445
804516.09,-125.292,46.521
804616.0920000001,-131.086,60.946
804716.094,-141.637,59.835
804816.096,-128.011,59.183
804916.098,-128.717,71.423
805016.1,-116.783,42.754
805116.1020000001,-131.179,68.81
805216.104,-115.524,55.183
805316.106,-125.561,49.798
805416.108,-128.304,42.324
805516.11,-124.906,61.797
805616.112,-123.578,57.246
805716.1140000001,-97.205,20.036
805816.116,-121.026,33.089
805916.118,-141.63,57.517
806016.12,-111.017,57.025
806116.122,-124.569,58.002
806216.1240000001,-101.56,20.26
806316.126,-125.467,54.15
806416.128,-131.277,61.712
806516.13,-122.732,44.131
806616.132,-118.599,29.633
806716.134,-125.642,63.692
806816.136,-127.497,58.465
806916.138,-118.245,38.148
807016.14,-140.171,59.218
807116.142,-116.293,49.355
807216.144,-112.188,43.038
807316.1460000001,-97.933,36.267
807416.148,-116.546,43.088
807516.15,-113.136,39.776
807616.152,-121.266,52.184
807716.154,-104.725,45.214
807816.156,-109.577,64.146
807916.158,-135.312,59.807
808016.16,-121.907,61.786
808116.162,-129.089,42.763
808216.164,-122.509,46.525
808316.166,-113.59,65.462
808416.1680000001,-137.447,52.373
808516.17,-128.788,73.611
808616.172,-131.388,59.917
808716.174,-122.537,59.373
808816.176,-127.409,84.333
808916.1780000001,-124.601,43.437
809016.18,-134.638,53.177
809116.182,-122.878,77.61
809216.184,-116.399,59.248
809316.186,-131.369,52.293
809416.188,-126.485,50.022
809516.1900000001,-129.632,65.217
809616.192,-113.736,62.64
809716.194,-122.055,53.785
809816.196,-101.035,51.663
809916.198,-126.192,50.85
810016.2000000001,-119.698,50.284
810116.202,-115.602,47.404
810216.204,-134.088,49.808
810316.206,-110.738,59.972
810416.208,-119.655,29.066
810516.21,-133.856,43.272
810616.212,-116.209,49.159
810716.214,-133.079,57.356
810816.216,-110.802,35.89
810916.218,-96.669,12.106
811016.22,-127.105,53.649
811116.2220000001,-120.684,89.383
811216.224,-119.915,55.564
811316.226,-112.516,45.003
811416.228,-108.903,50.607
811516.23,-127.169,43.828
811616.232,-106.843,87.273
811716.234,-110.497,48.181
811816.236,-110.013,63.334
811916.238,-145.142,60.779
812016.24,-139.612,72.638
812116.242,-127.869,47.893
812216.2440000001,-109.668,39.77
812316.246,-108.467,32.702
812416.248,-121.973,32.63
812516.25,-112.996,61.764
812616.252,-133.943,70.986
812716.2540000001,-122.297,45.022
812816.256,-132.449,54.406
812916.258,-119.656,61.286
813016.26,-127.004,48.5
813116.262,-111.934,25.976
813216.264,-125.287,69.362
813316.2660000001,-134.796,38.799
813416.268,-128.848,70.719
813516.27,-137.714,62.313
813616.272,-124.289,40.324
813716.274,-116.671,58.251
813816.2760000001,-144.478,66.768
813916.278,-117.169,50.855
814016.28,-111.765,49.098
814116.282,-129.22,63.722
814216.284,-127.604,60.047
814316.286,-119.861,43.335
814416.2880000001,-133.834,52.155
814516.29,-134.797,43.526
814616.292,-124.821,44.501
814716.294,-125.648,47.252
814816.296,-131.61,76.521
814916.2980000001,-122.1,62.097
815016.3,-122.172,48.844
815116.302,-111.541,52.239
815216.304,-110.568,64.683
815316.306,-132.82,77.058
815416.308,-108.972,27.447
815516.31,-118.03,40.933
815616.312,-111.449,50.715
815716.314,-117.541,44.842
815816.316,-117.003,61.777
815916.318,-132.772,57.786
816016.3200000001,-105.712,44.609
816116.322,-135.462,41.589
816216.324,-110.481,68.933
816316.326,-121.606,62.804
816416.328,-114.324,12.871
816516.3300000001,-123.477,62.507
816616.332,-121.5,38.557
816716.334,-133.055,48.554
816816.336,-120.378,46.338
816916.338,-107.979,64.873
817016.34,-118.634,51.974
817116.3420000001,-119.132,37.683
817216.344,-122.771,50.234
817316.346,-147.399,54.102
817416.348,-134.38,45.923
817516.35,-126.433,27.352
817616.3520000001,-131.121,47.822
817716.354,-120.612,47.878
817816.356,-113.144,23.529
