#Simulation Analysis Results CSV File 2020-11-25T10:22:10.612672
#Generated on structure: "frame1"
TimeStep,Torsion_psi,Torsion_phi
0.0,123.529,-52.984
120.0,132.942,-52.372
240.0,148.731,-52.861
360.0,126.875,-51.423
480.0,124.247,-50.287
600.0,124.563,-49.875
720.0,121.146,-35.14
840.0,140.165,-47.552
960.0,130.443,-36.876
1080.0,113.808,-15.396
1200.0,135.824,-53.091
1320.0,107.076,-17.097
1440.0,101.425,6.173
1560.0,133.533,-44.803
1680.0,120.663,-45.59
1800.0,123.281,-25.846
1920.0,117.067,-26.963
2040.0,103.881,73.736
2160.0,117.005,84.304
2280.0,127.111,-22.914
2400.0,114.35,-20.683
2520.0,121.046,-28.91
2640.0,143.281,-61.443
2760.0,148.31,-57.555
2880.0,133.077,-44.086
3000.0,109.219,-24.919
3120.0,123.706,-30.144
3240.0,121.951,-34.215
3360.0,135.053,-32.961
3480.0,124.385,-25.402
3600.0,118.203,-24.115
3720.0,145.209,-55.644
3840.0,117.835,-24.431
3960.0,120.998,-30.09
4080.0,85.92,8.91
4200.0,64.24,13.822
4320.0,36.493,45.372
4440.0,55.702,81.087
4560.0,129.182,-54.989
4680.0,110.958,-16.935
4800.0,117.163,-43.617
4920.0,132.926,76.76
5040.0,133.775,-40.615
5160.0,122.224,-48.969
5280.0,124.919,-5.618
5400.0,136.082,94.294
5520.0,122.64,75.294
5640.0,103.762,80.419
5760.0,146.841,69.785
5880.0,121.422,73.803
6000.0,105.974,-7.38
6120.0,137.89,90.777
6240.0,146.777,74.028
6360.0,125.782,92.0
6480.0,80.727,67.737
6600.0,112.691,-15.891
6720.0,129.862,64.49
6840.0,41.197,39.907
6960.0,33.859,52.872
7080.0,48.816,62.568
7200.0,79.676,89.31
7320.0,50.402,79.679
7440.0,51.733,69.411
7560.0,49.675,86.87
7680.0,38.77,51.877
7800.0,102.035,98.793
7920.0,49.134,55.006
8040.0,76.815,55.751
8160.0,62.331,63.679
8280.0,81.382,69.702
8400.0,66.973,76.023
8520.0,60.58,64.82
8640.0,54.162,50.292
8760.0,44.67,55.593
8880.0,9.045,81.791
9000.0,67.939,84.241
9120.0,115.851,76.143
9240.0,45.285,116.934
9360.0,35.176,42.621
9480.0,71.408,79.276
9600.0,102.593,83.405
9720.0,85.699,84.335
9840.0,101.95,90.191
9960.0,91.354,90.234
10080.0,95.502,93.051
10200.0,75.577,93.652
10320.0,72.468,83.667
10440.0,64.097,92.924
10560.0,80.752,80.199
10680.0,82.814,86.613
10800.0,70.107,84.892
10920.0,31.678,73.396
11040.0,58.74,87.789
11160.0,61.617,77.012
11280.0,83.894,85.884
11400.0,44.793,72.103
11520.0,81.618,78.235
11640.0,63.54,74.361
11760.0,63.994,72.541
11880.0,66.339,64.906
12000.0,63.145,84.318
12120.0,84.226,79.94
12240.0,60.045,23.35
12360.0,41.27,100.69
12480.0,99.123,68.652
12600.0,86.635,63.741
12720.0,60.329,102.032
12840.0,76.084,96.158
12960.0,77.926,80.678
13080.0,85.063,90.792
13200.0,95.813,99.541
13320.0,67.88,76.609
13440.0,32.106,89.875
13560.0,91.001,78.339
13680.0,76.749,62.152
13800.0,73.973,101.962
13920.0,70.994,84.428
14040.0,78.908,85.123
14160.0,108.275,61.752
14280.0,54.925,56.769
14400.0,66.848,61.854
14520.0,111.088,-20.584
14640.0,114.148,-24.289
14760.0,119.646,-37.779
14880.0,109.726,-31.405
15000.0,119.55,-24.003
15120.0,110.423,-33.28
15240.0,128.662,-31.881
15360.0,123.454,-15.421
15480.0,111.37,-21.254
15600.0,4.159,85.771
15720.0,42.804,49.314
15840.0,100.564,64.866
15960.0,81.499,85.852
16080.0,86.494,66.186
16200.0,113.527,-46.183
16320.0,126.385,-41.736
16440.0,78.476,74.311
16560.0,90.412,85.827
16680.0,107.904,95.76
16800.0,95.781,98.259
