#Simulation Analysis Results CSV File 2020-11-25T15:13:10.926223
#Generated on structure: "frame1"
TimeStep,Torsion_psi,Torsion_phi
0.0,137.094,-50.717
250.002,109.791,-48.692
500.004,126.118,-42.944
750.006,98.968,-17.291
1000.008,98.995,-23.725
1250.01,93.568,-8.999
1500.012,71.926,21.584
1750.0140000000001,63.683,50.085
2000.016,100.477,-26.934
2250.018,47.603,34.413
2500.02,81.691,86.24
2750.022,99.894,92.82
3000.024,104.534,80.828
3250.0260000000003,87.381,79.71
3500.0280000000002,86.261,85.333
3750.03,109.166,102.459
4000.032,93.066,94.373
4250.034,85.353,94.391
4500.036,91.454,113.552
4750.0380000000005,65.768,24.578
5000.04,99.903,61.233
5250.042,80.186,81.881
5500.044,95.444,-21.75
5750.046,90.285,-20.674
6000.048,97.075,78.435
6250.05,132.914,81.377
6500.052000000001,79.545,70.889
6750.054,99.259,18.628
7000.0560000000005,49.572,79.538
7250.058,121.824,93.363
7500.06,87.91,78.445
7750.062,70.464,86.164
8000.064,90.645,90.15
8250.066,81.467,80.555
8500.068,100.069,87.133
8750.07,91.853,69.879
9000.072,88.169,64.994
9250.074,106.936,68.839
9500.076000000001,126.26,80.202
9750.078,85.492,95.613
10000.08,54.912,45.079
10250.082,61.468,69.278
10500.084,94.604,-12.356
10750.086,87.083,0.554
11000.088,87.1,-33.587
11250.09,55.225,32.451
11500.092,81.618,-10.726
11750.094000000001,122.61,-45.407
12000.096,109.023,-45.137
12250.098,53.429,42.896
12500.1,48.166,49.347
12750.102,95.264,73.375
13000.104000000001,50.394,44.77
13250.106,57.656,48.31
13500.108,82.957,-20.193
13750.11,75.319,20.519
14000.112000000001,95.376,-31.319
14250.114,71.194,16.651
14500.116,134.434,-39.884
14750.118,38.305,47.516
15000.12,75.838,5.848
15250.122000000001,61.757,26.241
15500.124,132.917,-43.037
15750.126,113.796,-18.23
16000.128,142.174,-54.351
16250.130000000001,123.8,-50.467
16500.132,114.826,-16.008
16750.134000000002,102.525,-22.015
17000.136,128.157,-12.581
17250.138,120.04,-18.222
17500.14,134.694,-53.415
17750.142,102.779,-16.723
18000.144,130.61,-69.71
18250.146,107.7,-36.567
18500.148,134.471,-46.42
18750.15,136.972,-47.748
19000.152000000002,131.781,-43.819
19250.154,128.874,-50.313
19500.156,127.432,-49.789
19750.158,120.674,-47.54
20000.16,96.37,-21.897
20250.162,136.396,-45.677
20500.164,137.3,-60.79
20750.166,119.697,-38.004
21000.168,126.974,-60.496
21250.170000000002,137.027,-57.22
21500.172,144.276,-40.49
21750.174,108.321,-32.696
22000.176,135.53,-63.212
22250.178,115.342,-25.125
22500.18,133.595,-38.473
22750.182,129.857,-57.504
23000.184,118.561,-55.237
23250.186,134.12,-53.28
23500.188000000002,142.81,-60.395
23750.19,129.048,-63.809
24000.192,118.846,-55.507
24250.194,121.716,-36.179
24500.196,129.197,-58.444
24750.198,131.417,-43.918
25000.2,133.067,-55.273
25250.202,121.012,-15.567
