frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	0.864	0.879	1.451	1.064
2	0.877	0.898	1.525	1.106
3	1.028	1.059	1.676	1.273
4	1.153	1.18	1.76	1.388
5	0.926	0.953	1.658	1.197
6	0.882	0.91	1.645	1.175
7	0.963	0.995	1.704	1.244
8	1.07	1.091	1.775	1.333
9	1.097	1.111	1.828	1.375
10	1.065	1.089	1.809	1.346
11	0.927	0.962	1.729	1.246
12	0.981	1.011	1.764	1.298
13	1.018	1.047	1.792	1.325
14	1.094	1.12	1.85	1.385
15	1.115	1.134	1.876	1.41
16	1.075	1.083	1.858	1.38
17	1.007	1.035	1.808	1.327
18	1.104	1.131	1.878	1.418
19	1.174	1.193	1.944	1.494
20	1.205	1.221	1.943	1.493
21	1.119	1.134	1.941	1.463
22	1.159	1.184	1.959	1.475
23	1.147	1.17	1.964	1.478
24	1.275	1.294	2.046	1.582
25	1.328	1.345	2.054	1.619
26	1.065	1.086	1.871	1.396
27	1.082	1.1	1.899	1.433
28	1.185	1.207	1.932	1.483
29	1.146	1.173	1.947	1.475
30	1.15	1.168	1.91	1.46
31	1.233	1.255	2.013	1.552
32	1.194	1.208	1.975	1.505
33	1.163	1.183	1.958	1.486
34	1.108	1.122	1.916	1.441
35	1.181	1.196	1.977	1.494
36	1.217	1.227	1.957	1.489
37	1.236	1.254	1.979	1.533
38	1.162	1.171	1.946	1.463
39	1.077	1.097	1.925	1.434
40	1.099	1.12	1.984	1.467
41	1.191	1.2	2.046	1.539
42	1.077	1.086	1.951	1.424
43	1.202	1.21	2.047	1.53
44	1.165	1.181	2.042	1.522
45	1.136	1.15	2.072	1.527
46	1.241	1.258	2.124	1.598
47	1.247	1.27	2.102	1.604
48	1.148	1.162	2.044	1.507
49	1.164	1.185	2.057	1.532
50	1.249	1.262	2.111	1.596
51	1.167	1.179	2.038	1.526
52	1.325	1.341	2.159	1.67
53	1.217	1.228	2.076	1.566
54	1.247	1.264	2.089	1.597
55	1.252	1.267	2.107	1.597
56	1.292	1.312	2.165	1.655
57	1.215	1.226	2.103	1.587
58	1.213	1.236	2.102	1.579
59	1.352	1.369	2.165	1.683
60	1.216	1.226	2.086	1.558
61	1.345	1.35	2.188	1.671
62	1.309	1.323	2.193	1.667
63	1.274	1.286	2.113	1.621
64	1.367	1.376	2.176	1.693
65	1.344	1.357	2.163	1.662
66	1.316	1.342	2.175	1.672
67	1.248	1.263	2.187	1.638
68	1.267	1.278	2.157	1.624
69	1.216	1.224	2.045	1.545
70	1.227	1.234	2.166	1.609
71	1.245	1.256	2.122	1.603
72	1.318	1.329	2.22	1.682
73	1.15	1.163	2.094	1.535
74	1.243	1.254	2.116	1.593
75	1.253	1.263	2.075	1.567
76	1.28	1.293	2.142	1.627
77	1.262	1.282	2.143	1.623
78	1.303	1.314	2.207	1.681
79	1.272	1.278	2.15	1.639
80	1.267	1.28	2.19	1.662
81	1.279	1.29	2.157	1.645
82	1.293	1.317	2.162	1.662
83	1.321	1.348	2.267	1.729
84	1.256	1.277	2.202	1.665
85	1.209	1.235	2.144	1.603
86	1.224	1.242	2.147	1.606
87	1.302	1.322	2.166	1.669
88	1.214	1.232	2.136	1.61
89	1.24	1.256	2.176	1.631
90	1.294	1.301	2.23	1.676
91	1.387	1.395	2.274	1.757
92	1.333	1.346	2.246	1.713
93	1.336	1.346	2.247	1.725
94	1.297	1.308	2.176	1.662
95	1.248	1.257	2.192	1.644
96	1.307	1.315	2.229	1.686
97	1.306	1.31	2.266	1.717
98	1.353	1.368	2.281	1.742
99	1.334	1.346	2.277	1.732
100	1.298	1.303	2.275	1.711
101	1.358	1.373	2.256	1.737
102	1.361	1.366	2.249	1.731
103	1.364	1.379	2.319	1.763
104	1.283	1.3	2.223	1.676
105	1.286	1.303	2.251	1.703
106	1.297	1.305	2.243	1.691
107	1.306	1.321	2.191	1.67
108	1.318	1.333	2.229	1.688
109	1.369	1.382	2.271	1.738
110	1.419	1.431	2.288	1.766
111	1.399	1.411	2.248	1.728
112	1.343	1.359	2.21	1.69
113	1.376	1.382	2.276	1.75
114	1.363	1.369	2.217	1.706
115	1.43	1.438	2.288	1.775
116	1.328	1.337	2.226	1.692
117	1.397	1.402	2.303	1.771
118	1.373	1.381	2.233	1.715
119	1.37	1.372	2.237	1.718
120	1.351	1.363	2.265	1.728
121	1.28	1.286	2.219	1.662
122	1.325	1.337	2.201	1.702
123	1.362	1.366	2.237	1.715
124	1.342	1.343	2.239	1.698
125	1.263	1.269	2.235	1.667
126	1.401	1.407	2.297	1.766
127	1.322	1.342	2.221	1.696
128	1.469	1.481	2.322	1.819
129	1.328	1.334	2.242	1.711
130	1.375	1.389	2.253	1.747
131	1.282	1.287	2.156	1.642
132	1.335	1.347	2.208	1.691
133	1.369	1.382	2.227	1.73
134	1.326	1.333	2.214	1.692
135	1.387	1.395	2.303	1.758
136	1.377	1.387	2.238	1.73
137	1.414	1.409	2.26	1.758
138	1.401	1.412	2.213	1.725
139	1.354	1.366	2.213	1.706
140	1.408	1.415	2.276	1.765
141	1.503	1.506	2.356	1.841
142	1.418	1.421	2.282	1.778
143	1.326	1.328	2.202	1.68
144	1.377	1.381	2.234	1.719
145	1.314	1.307	2.223	1.678
146	1.416	1.424	2.264	1.752
147	1.382	1.385	2.262	1.74
148	1.395	1.395	2.277	1.769
149	1.29	1.295	2.191	1.672
150	1.477	1.486	2.318	1.828
151	1.524	1.533	2.367	1.887
152	1.531	1.539	2.354	1.865
153	1.409	1.424	2.247	1.753
154	1.544	1.551	2.313	1.849
155	1.5	1.505	2.313	1.827
156	1.461	1.461	2.272	1.795
157	1.659	1.672	2.407	1.964
158	1.394	1.4	2.248	1.748
159	1.399	1.412	2.226	1.735
160	1.433	1.448	2.276	1.771
161	1.519	1.529	2.363	1.862
162	1.526	1.537	2.352	1.866
163	1.37	1.371	2.236	1.715
164	1.512	1.523	2.331	1.843
165	1.592	1.598	2.392	1.921
166	1.481	1.498	2.317	1.835
167	1.546	1.556	2.391	1.902
168	1.446	1.448	2.337	1.818
169	1.564	1.576	2.376	1.904
170	1.581	1.591	2.388	1.913
171	1.531	1.54	2.353	1.879
172	1.418	1.432	2.309	1.803
173	1.563	1.57	2.35	1.887
174	1.458	1.466	2.314	1.82
175	1.55	1.566	2.352	1.893
176	1.555	1.564	2.393	1.919
177	1.462	1.476	2.361	1.855
178	1.63	1.639	2.522	2.014
179	1.628	1.637	2.508	2.006
180	1.506	1.513	2.454	1.927
181	1.421	1.433	2.357	1.83
182	1.417	1.431	2.325	1.803
183	1.463	1.48	2.369	1.858
184	1.332	1.346	2.298	1.751
185	1.428	1.436	2.39	1.846
186	1.392	1.406	2.39	1.824
187	1.39	1.403	2.429	1.859
188	1.504	1.514	2.436	1.906
189	1.434	1.449	2.382	1.851
190	1.461	1.476	2.454	1.905
191	1.335	1.349	2.338	1.787
192	1.31	1.334	2.318	1.758
193	1.437	1.451	2.375	1.844
194	1.433	1.453	2.395	1.844
195	1.421	1.452	2.354	1.832
196	1.465	1.482	2.438	1.894
197	1.449	1.469	2.378	1.857
198	1.508	1.518	2.418	1.899
199	1.588	1.611	2.489	1.98
200	1.43	1.453	2.381	1.848
201	1.383	1.404	2.32	1.787
202	1.42	1.444	2.422	1.869
203	1.341	1.372	2.312	1.77
204	1.388	1.414	2.333	1.792
205	1.436	1.463	2.356	1.827
206	1.465	1.488	2.384	1.859
207	1.508	1.538	2.45	1.937
208	1.542	1.561	2.469	1.952
209	1.461	1.477	2.401	1.866
210	1.38	1.4	2.379	1.821
211	1.63	1.641	2.526	2.01
212	1.518	1.537	2.447	1.92
213	1.644	1.662	2.53	2.011
214	1.614	1.623	2.493	1.99
215	1.444	1.458	2.381	1.842
216	1.499	1.514	2.466	1.919
217	1.444	1.464	2.406	1.868
218	1.736	1.736	2.61	2.128
219	1.789	1.798	2.572	2.13
220	1.71	1.719	2.558	2.075
221	1.67	1.68	2.553	2.05
222	1.854	1.861	2.685	2.207
223	1.812	1.815	2.599	2.136
224	1.848	1.846	2.709	2.199
225	2.015	2.018	2.8	2.328
226	1.743	1.749	2.58	2.1
227	1.732	1.744	2.581	2.086
228	1.616	1.623	2.524	2.008
229	1.801	1.803	2.622	2.155
230	1.634	1.631	2.538	2.016
231	1.688	1.688	2.55	2.044
232	1.72	1.722	2.557	2.071
233	1.613	1.615	2.493	1.973
234	1.758	1.763	2.572	2.091
235	1.655	1.652	2.484	1.994
236	1.626	1.627	2.516	2.016
237	1.824	1.822	2.618	2.154
238	1.755	1.76	2.557	2.097
239	1.782	1.776	2.578	2.116
240	1.744	1.748	2.513	2.061
241	1.543	1.545	2.398	1.901
242	1.728	1.727	2.499	2.04
243	1.769	1.768	2.567	2.112
244	1.699	1.706	2.499	2.038
245	1.68	1.674	2.493	2.025
246	1.67	1.665	2.489	2.024
247	1.676	1.681	2.487	2.023
248	1.61	1.619	2.438	1.957
249	1.672	1.673	2.509	2.03
250	1.65	1.653	2.483	2.014
251	1.61	1.613	2.436	1.972
252	1.541	1.553	2.388	1.913
253	1.837	1.841	2.616	2.165
254	1.566	1.574	2.462	1.965
255	1.461	1.459	2.416	1.877
256	1.635	1.645	2.464	1.992
257	1.656	1.655	2.482	2
258	1.581	1.596	2.496	1.986
259	1.557	1.571	2.45	1.957
260	1.601	1.61	2.498	1.991
261	1.533	1.541	2.484	1.964
262	1.493	1.511	2.412	1.905
263	1.562	1.575	2.44	1.936
264	1.489	1.504	2.435	1.905
265	1.326	1.339	2.329	1.777
266	1.444	1.455	2.411	1.871
267	1.431	1.447	2.402	1.861
268	1.395	1.407	2.39	1.821
269	1.445	1.453	2.433	1.874
270	1.481	1.492	2.433	1.893
271	1.441	1.45	2.46	1.871
272	1.431	1.447	2.438	1.87
273	1.506	1.507	2.453	1.914
274	1.454	1.46	2.444	1.891
275	1.42	1.434	2.419	1.856
276	1.443	1.462	2.433	1.873
277	1.479	1.486	2.439	1.891
278	1.493	1.507	2.43	1.896
279	1.534	1.554	2.477	1.945
280	1.377	1.386	2.398	1.826
281	1.519	1.535	2.51	1.957
282	1.435	1.442	2.461	1.88
283	1.472	1.48	2.451	1.891
284	1.458	1.477	2.458	1.893
285	1.462	1.475	2.466	1.913
286	1.489	1.501	2.49	1.924
287	1.472	1.485	2.476	1.902
288	1.438	1.452	2.444	1.881
289	1.482	1.495	2.514	1.938
290	1.404	1.421	2.467	1.869
291	1.394	1.408	2.459	1.862
292	1.402	1.421	2.461	1.867
293	1.532	1.549	2.529	1.969
294	1.498	1.52	2.498	1.93
295	1.45	1.469	2.507	1.904
296	1.497	1.514	2.48	1.921
297	1.465	1.481	2.477	1.904
298	1.418	1.431	2.452	1.871
299	1.514	1.529	2.524	1.947
300	1.507	1.523	2.521	1.942
301	1.519	1.542	2.5	1.945
302	1.434	1.444	2.483	1.881
303	1.453	1.46	2.513	1.926
304	1.46	1.471	2.517	1.941
305	1.508	1.515	2.498	1.944
306	1.425	1.434	2.478	1.892
307	1.524	1.533	2.492	1.938
308	1.468	1.477	2.443	1.882
309	1.423	1.44	2.45	1.87
310	1.499	1.51	2.532	1.948
311	1.439	1.447	2.458	1.883
312	1.601	1.607	2.599	2.019
313	1.557	1.561	2.585	1.99
314	1.54	1.536	2.571	1.98
315	1.629	1.63	2.624	2.057
316	1.567	1.573	2.612	2.02
317	1.601	1.61	2.567	2.015
318	1.559	1.568	2.569	1.992
319	1.593	1.597	2.578	2.013
320	1.545	1.549	2.531	1.97
321	1.573	1.577	2.549	1.992
322	1.595	1.607	2.568	2.011
323	1.522	1.519	2.534	1.963
324	1.632	1.639	2.591	2.051
325	1.518	1.531	2.515	1.951
326	1.592	1.601	2.572	2.013
327	1.613	1.619	2.569	2.016
328	1.531	1.538	2.549	1.98
329	1.506	1.519	2.526	1.948
330	1.385	1.398	2.455	1.84
331	1.454	1.466	2.446	1.866
332	1.494	1.501	2.504	1.921
333	1.596	1.603	2.548	1.992
334	1.531	1.54	2.505	1.953
335	1.547	1.555	2.494	1.952
336	1.589	1.597	2.545	1.994
337	1.454	1.452	2.466	1.884
338	1.534	1.541	2.464	1.921
339	1.423	1.433	2.386	1.836
340	1.538	1.549	2.464	1.932
341	1.519	1.545	2.484	1.93
342	1.484	1.494	2.416	1.875
343	1.526	1.535	2.514	1.944
344	1.459	1.466	2.478	1.897
345	1.595	1.6	2.556	2
346	1.536	1.541	2.519	1.953
347	1.534	1.531	2.493	1.93
348	1.632	1.636	2.575	2.03
349	1.672	1.677	2.626	2.077
350	1.549	1.551	2.561	1.97
351	1.634	1.633	2.615	2.046
352	1.676	1.678	2.656	2.111
353	1.656	1.655	2.671	2.084
354	1.602	1.607	2.57	2.012
355	1.562	1.576	2.561	1.996
356	1.685	1.683	2.636	2.085
357	1.712	1.716	2.609	2.086
358	1.684	1.695	2.574	2.05
359	1.729	1.74	2.636	2.107
360	1.61	1.616	2.612	2.04
361	1.752	1.764	2.674	2.151
362	1.676	1.681	2.655	2.092
363	1.548	1.556	2.552	1.992
364	1.641	1.646	2.606	2.05
365	1.72	1.728	2.649	2.1
366	1.591	1.594	2.572	1.99
367	1.613	1.629	2.571	2.014
368	1.512	1.52	2.508	1.937
369	1.609	1.621	2.613	2.037
370	1.49	1.5	2.527	1.931
371	1.55	1.551	2.57	1.983
372	1.643	1.646	2.619	2.046
373	1.752	1.754	2.696	2.141
374	1.659	1.664	2.63	2.064
375	1.684	1.686	2.652	2.091
376	1.764	1.764	2.69	2.15
377	1.724	1.724	2.689	2.123
378	1.683	1.693	2.667	2.097
379	1.681	1.686	2.663	2.095
380	1.644	1.652	2.639	2.069
381	1.678	1.686	2.67	2.092
382	1.735	1.744	2.662	2.13
383	1.572	1.583	2.548	1.986
384	1.65	1.658	2.615	2.049
385	1.649	1.657	2.654	2.072
386	1.515	1.533	2.593	1.991
387	1.741	1.751	2.711	2.163
388	1.719	1.732	2.649	2.119
389	1.783	1.785	2.78	2.202
390	1.67	1.681	2.615	2.062
391	1.765	1.783	2.665	2.143
392	1.736	1.748	2.706	2.149
393	1.788	1.8	2.687	2.159
394	1.786	1.8	2.701	2.175
395	1.643	1.658	2.579	2.033
396	1.712	1.727	2.611	2.083
397	1.756	1.772	2.624	2.113
398	1.725	1.741	2.582	2.064
399	1.76	1.771	2.64	2.107
400	1.649	1.669	2.56	2.031
401	1.874	1.886	2.745	2.238
402	1.77	1.779	2.679	2.148
403	1.874	1.883	2.775	2.249
404	1.801	1.813	2.706	2.177
405	1.627	1.642	2.583	2.045
406	1.706	1.72	2.637	2.121
407	1.721	1.73	2.609	2.099
408	1.656	1.66	2.59	2.06
409	1.691	1.697	2.601	2.083
410	1.686	1.695	2.563	2.06
411	1.704	1.722	2.629	2.104
412	1.673	1.685	2.609	2.078
413	1.778	1.787	2.655	2.159
414	1.702	1.721	2.592	2.092
415	1.696	1.712	2.608	2.096
416	1.751	1.763	2.612	2.124
417	1.606	1.619	2.529	2.016
418	1.65	1.658	2.547	2.035
419	1.562	1.576	2.542	2.002
420	1.619	1.629	2.596	2.047
421	1.652	1.664	2.567	2.049
422	1.563	1.575	2.517	1.978
423	1.67	1.681	2.595	2.073
424	1.748	1.758	2.66	2.146
425	1.654	1.664	2.593	2.072
426	1.606	1.615	2.558	2.018
427	1.695	1.701	2.6	2.086
428	1.713	1.717	2.634	2.12
429	1.706	1.719	2.612	2.103
430	1.675	1.679	2.628	2.101
431	1.621	1.631	2.582	2.041
432	1.678	1.692	2.614	2.084
433	1.712	1.721	2.608	2.1
434	1.708	1.727	2.571	2.084
435	1.747	1.757	2.625	2.12
436	1.709	1.713	2.58	2.085
437	1.673	1.688	2.553	2.056
438	1.874	1.884	2.732	2.24
439	1.738	1.751	2.631	2.136
440	1.717	1.731	2.6	2.088
441	1.746	1.762	2.631	2.123
442	1.916	1.926	2.758	2.26
443	1.667	1.686	2.568	2.039
444	1.905	1.916	2.717	2.236
445	1.779	1.785	2.653	2.144
446	1.668	1.68	2.616	2.081
447	1.684	1.695	2.605	2.072
448	1.726	1.74	2.643	2.129
449	1.69	1.7	2.574	2.057
450	1.819	1.828	2.722	2.203
451	1.756	1.775	2.586	2.097
452	1.863	1.876	2.717	2.212
453	1.935	1.942	2.784	2.283
454	1.798	1.8	2.697	2.168
455	1.685	1.696	2.609	2.074
456	1.836	1.836	2.701	2.192
457	1.937	1.946	2.762	2.274
458	1.731	1.739	2.608	2.097
459	1.763	1.773	2.636	2.127
460	1.862	1.868	2.707	2.22
461	1.883	1.887	2.734	2.237
462	1.871	1.882	2.74	2.236
463	1.782	1.788	2.679	2.168
464	1.854	1.859	2.715	2.217
465	2.008	2.017	2.849	2.356
466	1.947	1.955	2.827	2.313
467	1.742	1.754	2.677	2.148
468	1.956	1.967	2.814	2.316
469	1.629	1.644	2.579	2.039
470	1.799	1.814	2.659	2.168
471	1.808	1.821	2.691	2.193
472	1.814	1.83	2.686	2.191
473	1.818	1.837	2.683	2.194
474	1.701	1.702	2.613	2.091
475	1.691	1.703	2.663	2.116
476	1.794	1.801	2.717	2.188
477	1.886	1.906	2.795	2.274
478	1.856	1.867	2.762	2.237
479	1.777	1.787	2.691	2.166
480	1.727	1.736	2.606	2.106
481	1.863	1.865	2.747	2.239
482	1.856	1.865	2.7	2.222
483	1.753	1.773	2.645	2.134
484	1.668	1.681	2.624	2.078
485	1.675	1.686	2.581	2.065
486	1.827	1.842	2.737	2.212
487	1.684	1.702	2.62	2.093
488	1.744	1.76	2.689	2.156
489	1.651	1.664	2.647	2.094
490	1.732	1.746	2.671	2.14
491	1.822	1.845	2.743	2.215
492	1.698	1.718	2.626	2.097
493	1.772	1.788	2.764	2.198
494	1.782	1.792	2.721	2.186
495	1.669	1.68	2.645	2.081
496	1.777	1.792	2.727	2.184
497	1.785	1.79	2.695	2.18
498	1.781	1.793	2.691	2.163
499	1.774	1.783	2.707	2.17
500	1.761	1.769	2.644	2.133
501	1.806	1.824	2.723	2.206
502	1.82	1.825	2.731	2.206
503	1.684	1.693	2.654	2.108
504	1.79	1.798	2.708	2.184
505	1.685	1.685	2.688	2.121
506	1.872	1.879	2.765	2.246
507	1.748	1.757	2.681	2.137
508	1.738	1.75	2.669	2.136
509	1.634	1.646	2.652	2.082
510	1.753	1.77	2.681	2.142
511	1.688	1.695	2.655	2.095
512	1.776	1.791	2.704	2.17
513	1.66	1.661	2.644	2.081
514	1.618	1.627	2.617	2.046
515	1.699	1.704	2.675	2.127
516	1.84	1.841	2.803	2.256
517	1.701	1.711	2.657	2.122
518	1.714	1.726	2.671	2.134
519	1.818	1.829	2.687	2.192
520	1.739	1.757	2.683	2.163
521	1.856	1.865	2.73	2.226
522	1.856	1.866	2.734	2.229
523	1.827	1.838	2.735	2.218
524	1.825	1.84	2.724	2.228
525	1.905	1.923	2.798	2.295
526	1.795	1.805	2.731	2.201
527	1.805	1.824	2.726	2.204
528	1.897	1.9	2.742	2.251
529	1.754	1.759	2.662	2.143
530	1.703	1.716	2.683	2.131
531	1.869	1.88	2.744	2.236
532	1.842	1.844	2.728	2.21
533	1.74	1.753	2.661	2.138
534	1.788	1.796	2.659	2.151
535	1.788	1.794	2.694	2.173
536	1.683	1.701	2.615	2.087
537	1.962	1.971	2.788	2.306
538	1.792	1.806	2.678	2.173
539	1.899	1.917	2.766	2.269
540	1.74	1.751	2.636	2.125
541	1.756	1.767	2.66	2.139
542	1.823	1.837	2.735	2.214
543	1.815	1.823	2.705	2.202
544	1.818	1.834	2.713	2.198
545	1.799	1.809	2.717	2.192
546	1.794	1.808	2.688	2.175
547	1.779	1.789	2.688	2.176
548	1.729	1.744	2.649	2.133
549	1.837	1.848	2.731	2.218
550	1.711	1.718	2.639	2.115
551	1.831	1.84	2.724	2.217
552	1.877	1.889	2.782	2.277
553	1.897	1.909	2.753	2.267
554	1.752	1.755	2.663	2.156
555	1.778	1.786	2.696	2.18
556	1.735	1.741	2.646	2.122
557	1.863	1.87	2.738	2.23
558	1.784	1.795	2.678	2.162
559	1.743	1.753	2.655	2.129
560	1.779	1.783	2.675	2.151
561	1.867	1.871	2.75	2.254
562	1.826	1.829	2.709	2.206
563	1.865	1.872	2.768	2.259
564	1.818	1.825	2.682	2.188
565	1.738	1.741	2.631	2.121
566	1.858	1.866	2.753	2.242
567	1.86	1.869	2.801	2.271
568	1.74	1.744	2.726	2.188
569	1.734	1.743	2.694	2.16
570	1.713	1.719	2.7	2.162
571	1.793	1.803	2.665	2.165
572	1.841	1.851	2.727	2.236
573	1.746	1.759	2.642	2.136
574	1.804	1.816	2.688	2.188
575	1.747	1.758	2.631	2.124
576	1.813	1.823	2.689	2.19
577	1.719	1.728	2.625	2.124
578	1.768	1.772	2.683	2.164
579	1.846	1.862	2.71	2.213
580	1.85	1.859	2.699	2.207
581	1.793	1.793	2.669	2.163
582	1.76	1.766	2.642	2.131
583	1.736	1.743	2.612	2.099
584	1.706	1.71	2.585	2.071
585	1.692	1.697	2.622	2.095
586	1.722	1.722	2.611	2.099
587	1.718	1.716	2.641	2.112
588	1.685	1.693	2.6	2.07
589	1.783	1.79	2.667	2.145
590	1.726	1.733	2.598	2.088
591	1.763	1.764	2.65	2.135
592	1.854	1.864	2.7	2.217
593	1.808	1.815	2.734	2.21
594	1.784	1.783	2.69	2.176
595	1.803	1.803	2.669	2.177
596	1.758	1.764	2.687	2.165
597	1.692	1.699	2.626	2.101
598	1.759	1.763	2.652	2.154
599	1.833	1.833	2.755	2.233
600	1.811	1.825	2.673	2.197
601	1.738	1.746	2.628	2.133
602	1.815	1.822	2.674	2.195
603	1.731	1.738	2.609	2.123
604	1.734	1.74	2.654	2.139
605	1.667	1.667	2.627	2.093
606	1.849	1.85	2.72	2.237
607	1.839	1.847	2.712	2.219
608	1.77	1.778	2.676	2.177
609	1.83	1.836	2.71	2.214
610	1.7	1.708	2.606	2.099
611	1.656	1.66	2.587	2.073
612	1.655	1.662	2.536	2.046
613	1.71	1.715	2.615	2.113
614	1.694	1.703	2.585	2.091
615	1.662	1.677	2.56	2.058
616	1.686	1.698	2.573	2.078
617	1.739	1.753	2.627	2.135
618	1.71	1.72	2.582	2.092
619	1.743	1.748	2.627	2.137
620	1.632	1.641	2.59	2.065
621	1.832	1.843	2.711	2.219
622	1.614	1.629	2.558	2.031
623	1.762	1.768	2.654	2.155
624	1.681	1.689	2.611	2.078
625	1.618	1.636	2.557	2.028
626	1.631	1.636	2.561	2.046
627	1.678	1.682	2.638	2.11
628	1.761	1.764	2.657	2.152
629	1.714	1.721	2.609	2.107
630	1.736	1.744	2.658	2.128
631	1.613	1.619	2.567	2.035
632	1.817	1.823	2.713	2.221
633	1.73	1.738	2.652	2.156
634	1.734	1.735	2.615	2.116
635	1.78	1.788	2.674	2.178
636	1.803	1.82	2.701	2.204
637	1.766	1.773	2.675	2.16
