  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      2.323           2.334           2.961           2.562
         2      2.458           2.469           3.198           2.751
         3      2.293           2.313           3.142           2.637
         4      2.487           2.495           3.303           2.806
         5      2.521           2.530           3.362           2.864
         6      2.377           2.380           3.271           2.742
         7      2.743           2.745           3.553           3.064
         8      2.667           2.678           3.481           3.001
         9      2.751           2.754           3.574           3.083
        10      2.682           2.694           3.505           3.026
        11      2.715           2.724           3.549           3.062
        12      2.826           2.844           3.639           3.166
        13      2.702           2.718           3.547           3.058
        14      2.705           2.710           3.604           3.075
        15      2.765           2.762           3.641           3.120
        16      2.594           2.599           3.513           2.976
        17      2.707           2.713           3.622           3.099
        18      2.691           2.691           3.577           3.063
        19      2.624           2.624           3.556           3.019
        20      2.681           2.684           3.581           3.074
        21      2.657           2.658           3.552           3.039
        22      2.695           2.691           3.564           3.048
        23      2.547           2.551           3.411           2.896
        24      2.529           2.536           3.423           2.891
        25      2.658           2.664           3.524           3.019
        26      2.647           2.661           3.548           3.027
        27      2.660           2.670           3.563           3.034
        28      2.609           2.613           3.498           2.970
        29      2.610           2.622           3.498           2.978
        30      2.554           2.566           3.488           2.941
        31      2.552           2.563           3.479           2.936
        32      2.606           2.622           3.504           2.970
        33      2.807           2.809           3.667           3.162
        34      2.551           2.557           3.480           2.937
        35      2.654           2.665           3.510           3.005
        36      2.636           2.639           3.548           3.014
        37      2.703           2.704           3.597           3.066
        38      2.693           2.700           3.563           3.046
        39      2.863           2.868           3.685           3.185
        40      2.583           2.584           3.502           2.958
        41      2.681           2.676           3.574           3.043
        42      2.674           2.678           3.615           3.067
        43      2.660           2.664           3.541           3.014
        44      2.587           2.585           3.466           2.942
        45      2.650           2.658           3.556           3.010
        46      2.653           2.651           3.540           3.020
        47      2.722           2.721           3.615           3.078
        48      2.497           2.492           3.426           2.867
        49      2.495           2.497           3.420           2.865
        50      2.547           2.540           3.501           2.935
        51      2.596           2.597           3.526           2.983
        52      2.483           2.483           3.381           2.844
        53      2.638           2.637           3.535           2.995
        54      2.621           2.621           3.485           2.972
        55      2.688           2.687           3.576           3.043
        56      2.817           2.819           3.655           3.156
        57      2.779           2.776           3.639           3.133
        58      2.735           2.734           3.610           3.092
        59      2.899           2.905           3.711           3.234
        60      2.900           2.900           3.716           3.239
        61      2.804           2.816           3.645           3.159
        62      2.738           2.737           3.585           3.093
        63      2.618           2.616           3.465           2.960
        64      2.618           2.625           3.437           2.951
        65      2.541           2.546           3.448           2.927
        66      2.601           2.606           3.497           2.981
        67      2.729           2.738           3.597           3.100
        68      2.694           2.699           3.557           3.059
        69      2.527           2.530           3.438           2.912
        70      2.743           2.755           3.636           3.125
