  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      0.979           0.990           1.499           1.155
         2      0.884           0.910           1.458           1.079
         3      0.946           0.979           1.579           1.178
         4      1.012           1.038           1.635           1.250
         5      1.073           1.101           1.740           1.320
         6      1.090           1.123           1.755           1.341
         7      1.219           1.246           1.881           1.452
         8      1.145           1.180           1.789           1.389
         9      1.179           1.215           1.849           1.443
        10      1.292           1.319           1.959           1.553
        11      1.243           1.270           1.986           1.572
        12      1.333           1.351           2.012           1.619
        13      1.308           1.317           2.066           1.636
        14      1.245           1.263           2.021           1.575
        15      1.076           1.084           1.965           1.472
        16      1.200           1.213           2.038           1.566
        17      1.302           1.316           2.094           1.623
        18      1.222           1.237           2.103           1.599
        19      1.161           1.176           2.021           1.516
        20      1.427           1.443           2.186           1.735
        21      1.329           1.339           2.141           1.667
        22      1.333           1.345           2.123           1.660
        23      1.374           1.386           2.218           1.733
        24      1.426           1.422           2.263           1.781
        25      1.135           1.132           2.085           1.550
        26      1.199           1.218           2.132           1.599
        27      1.257           1.276           2.194           1.676
        28      1.153           1.171           2.120           1.583
        29      1.249           1.266           2.193           1.663
        30      1.174           1.191           2.141           1.604
        31      1.200           1.224           2.176           1.651
        32      1.222           1.239           2.179           1.658
        33      1.150           1.170           2.085           1.585
        34      1.292           1.313           2.145           1.666
        35      1.479           1.495           2.303           1.828
        36      1.412           1.421           2.275           1.797
        37      1.424           1.434           2.299           1.816
        38      1.463           1.484           2.291           1.827
        39      1.464           1.481           2.276           1.817
        40      1.567           1.590           2.334           1.894
        41      1.531           1.548           2.368           1.902
        42      1.487           1.508           2.364           1.898
        43      1.485           1.504           2.286           1.839
        44      1.465           1.493           2.238           1.798
        45      1.252           1.281           2.146           1.653
        46      1.336           1.357           2.189           1.717
        47      1.396           1.416           2.215           1.769
        48      1.173           1.199           2.121           1.621
        49      1.230           1.239           2.155           1.649
        50      1.172           1.188           2.083           1.581
        51      1.306           1.320           2.204           1.716
        52      1.267           1.290           2.167           1.667
