  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      1.078           1.101           1.672           1.290
         2      1.057           1.079           1.689           1.301
         3      0.981           1.004           1.708           1.257
         4      1.069           1.089           1.804           1.358
         5      1.010           1.030           1.705           1.266
         6      1.140           1.164           1.853           1.416
         7      1.082           1.097           1.869           1.396
         8      1.193           1.210           1.960           1.512
         9      1.171           1.187           1.917           1.464
        10      1.161           1.178           1.956           1.492
        11      1.121           1.140           1.873           1.431
        12      1.312           1.325           2.061           1.617
        13      1.284           1.300           2.042           1.588
        14      1.215           1.218           1.978           1.518
        15      1.266           1.274           1.994           1.540
        16      1.317           1.324           2.036           1.604
        17      1.364           1.377           2.068           1.637
        18      1.194           1.213           1.939           1.492
        19      1.357           1.372           2.088           1.634
        20      1.279           1.299           2.043           1.577
        21      1.306           1.325           2.018           1.567
        22      1.217           1.236           2.024           1.539
        23      1.291           1.309           2.050           1.592
        24      1.407           1.412           2.142           1.700
        25      1.465           1.474           2.138           1.718
        26      1.477           1.485           2.199           1.755
        27      1.370           1.365           2.112           1.650
        28      1.399           1.392           2.113           1.670
        29      1.400           1.405           2.187           1.714
        30      1.395           1.397           2.143           1.689
        31      1.584           1.588           2.285           1.857
        32      1.415           1.422           2.180           1.721
        33      1.493           1.506           2.266           1.802
        34      1.467           1.471           2.230           1.775
        35      1.392           1.412           2.248           1.746
        36      1.296           1.309           2.204           1.682
        37      1.263           1.289           2.155           1.652
        38      1.584           1.588           2.352           1.894
        39      1.411           1.420           2.203           1.745
        40      1.360           1.367           2.219           1.713
        41      1.340           1.347           2.213           1.693
        42      1.502           1.509           2.345           1.851
        43      1.608           1.625           2.375           1.915
        44      1.542           1.557           2.332           1.874
        45      1.486           1.498           2.278           1.813
        46      1.565           1.580           2.420           1.918
        47      1.405           1.407           2.308           1.789
        48      1.512           1.520           2.425           1.899
        49      1.599           1.608           2.446           1.938
        50      1.519           1.532           2.384           1.872
        51      1.450           1.460           2.335           1.829
        52      1.433           1.452           2.277           1.791
        53      1.404           1.424           2.309           1.782
        54      1.346           1.358           2.246           1.730
        55      1.496           1.510           2.377           1.867
        56      1.515           1.522           2.403           1.880
        57      1.471           1.480           2.370           1.856
        58      1.544           1.545           2.379           1.893
        59      1.605           1.613           2.405           1.933
        60      1.630           1.637           2.423           1.969
        61      1.565           1.568           2.389           1.912
        62      1.556           1.570           2.398           1.919
        63      1.578           1.594           2.385           1.911
        64      1.527           1.547           2.363           1.886
        65      1.719           1.723           2.517           2.057
        66      1.567           1.579           2.382           1.917
        67      1.577           1.590           2.393           1.920
        68      1.640           1.652           2.436           1.963
        69      1.551           1.570           2.396           1.903
        70      1.535           1.545           2.370           1.878
        71      1.577           1.582           2.445           1.945
        72      1.770           1.773           2.542           2.080
        73      1.512           1.514           2.413           1.883
        74      1.534           1.533           2.408           1.891
        75      1.838           1.842           2.648           2.183
        76      1.681           1.688           2.532           2.049
        77      1.703           1.711           2.532           2.050
        78      1.992           2.000           2.711           2.288
        79      1.754           1.766           2.585           2.108
        80      1.653           1.672           2.508           2.020
        81      1.642           1.645           2.516           2.008
        82      1.728           1.745           2.535           2.081
        83      1.627           1.638           2.497           2.006
        84      1.553           1.557           2.442           1.931
        85      1.605           1.615           2.444           1.962
        86      1.614           1.632           2.486           2.002
        87      1.776           1.787           2.569           2.121
        88      1.732           1.744           2.515           2.067
        89      1.788           1.803           2.604           2.141
        90      1.765           1.780           2.528           2.093
        91      1.788           1.802           2.552           2.107
        92      1.854           1.861           2.560           2.139
        93      1.761           1.777           2.564           2.094
        94      1.730           1.743           2.476           2.032
        95      1.649           1.667           2.436           1.985
        96      1.697           1.705           2.437           2.009
        97      1.770           1.778           2.531           2.095
        98      1.729           1.744           2.564           2.082
        99      1.782           1.790           2.587           2.118
       100      1.608           1.617           2.472           1.978
       101      1.658           1.668           2.499           2.015
       102      1.629           1.634           2.502           2.004
       103      1.695           1.706           2.533           2.040
       104      1.674           1.680           2.566           2.050
       105      1.863           1.869           2.726           2.230
       106      1.903           1.922           2.698           2.225
       107      1.601           1.621           2.469           1.972
       108      1.713           1.731           2.577           2.083
       109      1.659           1.671           2.536           2.025
       110      1.723           1.734           2.582           2.083
       111      1.760           1.772           2.621           2.131
       112      1.651           1.668           2.498           2.012
       113      1.729           1.738           2.563           2.093
       114      1.884           1.890           2.650           2.210
       115      1.854           1.858           2.640           2.167
       116      1.818           1.828           2.605           2.133
       117      2.107           2.120           2.799           2.384
       118      1.880           1.881           2.668           2.220
       119      1.945           1.956           2.700           2.254
       120      1.910           1.923           2.647           2.214
       121      1.843           1.849           2.654           2.181
       122      1.795           1.803           2.598           2.122
       123      1.821           1.839           2.595           2.146
       124      1.715           1.725           2.517           2.044
       125      1.709           1.719           2.511           2.039
       126      1.719           1.717           2.548           2.048
       127      1.989           1.995           2.725           2.287
       128      2.032           2.039           2.761           2.326
       129      1.916           1.928           2.684           2.231
       130      1.980           1.982           2.668           2.248
       131      1.865           1.875           2.643           2.164
       132      1.797           1.799           2.544           2.103
       133      1.787           1.801           2.539           2.085
       134      1.811           1.815           2.561           2.134
       135      1.696           1.708           2.512           2.043
       136      1.669           1.675           2.513           2.029
       137      1.796           1.800           2.580           2.117
       138      1.801           1.803           2.598           2.131
       139      1.831           1.834           2.598           2.140
       140      1.794           1.799           2.578           2.110
       141      1.752           1.764           2.555           2.083
       142      1.873           1.874           2.639           2.184
       143      1.932           1.946           2.695           2.242
       144      1.747           1.755           2.553           2.087
       145      1.825           1.827           2.587           2.135
       146      1.800           1.805           2.588           2.135
       147      1.874           1.879           2.647           2.188
       148      1.757           1.771           2.537           2.076
       149      1.911           1.916           2.677           2.225
       150      1.841           1.853           2.679           2.188
       151      1.956           1.964           2.726           2.267
       152      1.873           1.883           2.627           2.178
       153      2.107           2.119           2.800           2.382
       154      1.821           1.837           2.566           2.131
       155      1.820           1.833           2.604           2.127
       156      2.119           2.126           2.794           2.392
       157      1.909           1.914           2.617           2.192
       158      1.909           1.921           2.615           2.192
       159      1.900           1.906           2.557           2.148
       160      2.058           2.069           2.688           2.296
       161      1.960           1.962           2.647           2.235
       162      1.914           1.924           2.613           2.187
       163      2.056           2.070           2.750           2.324
       164      2.072           2.077           2.749           2.339
       165      2.027           2.036           2.724           2.307
       166      2.014           2.024           2.737           2.314
       167      2.011           2.017           2.758           2.325
       168      2.007           2.019           2.726           2.296
       169      2.087           2.098           2.776           2.361
       170      1.943           1.955           2.653           2.222
       171      1.929           1.945           2.624           2.194
       172      1.970           1.976           2.677           2.255
       173      1.803           1.815           2.571           2.122
       174      1.978           1.984           2.710           2.268
       175      1.943           1.947           2.678           2.238
       176      1.935           1.945           2.656           2.224
       177      1.872           1.880           2.643           2.181
       178      1.857           1.867           2.566           2.130
       179      1.801           1.804           2.553           2.092
       180      1.903           1.911           2.675           2.217
       181      1.781           1.791           2.598           2.110
       182      1.824           1.838           2.571           2.125
       183      1.760           1.770           2.596           2.107
       184      1.767           1.775           2.610           2.119
       185      1.948           1.962           2.761           2.280
       186      1.687           1.694           2.598           2.069
       187      1.696           1.705           2.565           2.053
       188      2.073           2.088           2.789           2.357
       189      1.858           1.867           2.631           2.164
       190      1.780           1.793           2.579           2.095
       191      2.012           2.025           2.712           2.281
       192      1.762           1.776           2.584           2.095
       193      1.847           1.861           2.629           2.164
       194      1.881           1.895           2.664           2.195
       195      1.675           1.690           2.520           2.015
       196      1.681           1.697           2.531           2.032
       197      1.699           1.715           2.513           2.033
       198      1.723           1.739           2.500           2.049
       199      1.626           1.649           2.502           1.993
       200      1.700           1.711           2.545           2.043
       201      1.624           1.643           2.544           2.017
       202      1.800           1.815           2.668           2.173
       203      1.587           1.608           2.510           1.992
       204      1.650           1.677           2.578           2.051
       205      1.566           1.590           2.501           1.974
       206      1.628           1.645           2.525           2.008
       207      1.600           1.621           2.454           1.968
       208      1.764           1.784           2.634           2.140
       209      1.783           1.807           2.677           2.160
       210      1.631           1.648           2.553           2.032
       211      1.655           1.670           2.549           2.032
       212      1.664           1.680           2.572           2.040
       213      1.687           1.706           2.574           2.052
       214      1.648           1.662           2.567           2.026
       215      1.820           1.837           2.644           2.153
       216      1.584           1.607           2.446           1.933
       217      1.643           1.668           2.494           2.005
       218      1.539           1.560           2.467           1.927
       219      1.513           1.528           2.420           1.885
       220      1.455           1.478           2.391           1.850
       221      1.672           1.695           2.569           2.057
       222      1.655           1.676           2.496           2.003
       223      1.525           1.548           2.465           1.919
       224      1.546           1.575           2.445           1.923
       225      1.563           1.583           2.457           1.940
       226      1.580           1.608           2.507           1.989
       227      1.759           1.785           2.639           2.121
       228      1.673           1.694           2.547           2.031
       229      1.942           1.959           2.664           2.224
       230      1.723           1.736           2.549           2.053
       231      1.910           1.922           2.680           2.210
       232      1.879           1.897           2.672           2.208
       233      1.705           1.726           2.561           2.066
       234      1.807           1.818           2.637           2.146
       235      1.719           1.736           2.578           2.080
       236      1.791           1.814           2.604           2.123
       237      1.801           1.820           2.654           2.152
       238      1.790           1.805           2.618           2.142
       239      1.750           1.772           2.595           2.104
       240      1.828           1.844           2.642           2.164
       241      1.813           1.830           2.669           2.176
       242      1.715           1.728           2.570           2.064
       243      1.801           1.813           2.606           2.124
       244      1.785           1.807           2.614           2.131
       245      1.762           1.783           2.626           2.119
       246      1.797           1.822           2.609           2.135
       247      1.848           1.864           2.627           2.172
       248      1.843           1.855           2.664           2.173
       249      1.927           1.935           2.719           2.253
       250      1.731           1.751           2.581           2.095
       251      1.929           1.943           2.671           2.230
       252      1.731           1.743           2.585           2.084
       253      1.804           1.817           2.603           2.125
       254      1.654           1.672           2.517           2.010
       255      1.829           1.844           2.582           2.127
       256      1.769           1.783           2.590           2.091
       257      1.707           1.722           2.575           2.059
       258      1.791           1.808           2.640           2.138
       259      1.764           1.776           2.628           2.119
       260      1.876           1.887           2.724           2.222
       261      1.713           1.731           2.573           2.069
       262      1.884           1.898           2.672           2.204
       263      1.789           1.802           2.612           2.129
       264      1.682           1.699           2.471           1.997
       265      1.861           1.881           2.684           2.187
       266      1.812           1.831           2.625           2.143
       267      1.815           1.838           2.636           2.134
       268      1.872           1.889           2.645           2.172
       269      2.017           2.036           2.794           2.337
       270      2.118           2.140           2.854           2.408
       271      1.946           1.971           2.699           2.249
       272      1.982           2.003           2.743           2.284
       273      1.793           1.815           2.611           2.128
       274      1.895           1.918           2.608           2.171
       275      1.853           1.877           2.619           2.164
       276      1.967           1.985           2.706           2.263
       277      1.823           1.846           2.643           2.164
       278      1.815           1.840           2.581           2.124
       279      1.849           1.871           2.589           2.133
       280      1.763           1.791           2.558           2.087
       281      1.806           1.826           2.629           2.136
       282      1.921           1.943           2.673           2.215
       283      1.731           1.756           2.520           2.048
       284      1.727           1.750           2.526           2.035
       285      1.704           1.727           2.541           2.042
       286      1.822           1.840           2.602           2.120
       287      1.867           1.882           2.645           2.166
       288      1.778           1.792           2.602           2.099
       289      1.751           1.767           2.582           2.081
       290      1.969           1.978           2.765           2.281
       291      2.058           2.075           2.871           2.400
       292      1.761           1.771           2.641           2.116
       293      1.857           1.873           2.718           2.201
       294      1.868           1.885           2.684           2.191
       295      1.780           1.799           2.618           2.109
       296      2.048           2.067           2.813           2.355
       297      1.962           1.971           2.758           2.277
       298      1.965           1.978           2.731           2.284
       299      1.740           1.757           2.599           2.084
       300      1.759           1.775           2.595           2.077
       301      1.859           1.880           2.678           2.177
       302      1.856           1.870           2.691           2.193
       303      1.678           1.690           2.521           2.004
       304      1.977           1.991           2.799           2.298
       305      1.671           1.688           2.560           2.030
       306      1.726           1.734           2.549           2.046
       307      1.933           1.945           2.717           2.251
       308      2.051           2.064           2.836           2.365
       309      2.018           2.031           2.800           2.328
       310      2.097           2.112           2.915           2.427
       311      2.039           2.058           2.807           2.350
       312      1.916           1.929           2.714           2.231
       313      1.956           1.966           2.790           2.301
       314      1.794           1.810           2.658           2.159
       315      1.848           1.866           2.671           2.185
       316      1.749           1.770           2.617           2.117
       317      1.689           1.704           2.566           2.059
       318      1.911           1.928           2.732           2.257
       319      1.778           1.800           2.631           2.129
       320      1.780           1.804           2.617           2.119
       321      1.776           1.793           2.606           2.120
       322      1.730           1.753           2.545           2.063
       323      1.875           1.894           2.698           2.199
       324      1.897           1.907           2.668           2.183
       325      1.878           1.890           2.665           2.183
       326      1.966           1.994           2.694           2.252
       327      1.950           1.968           2.708           2.256
       328      1.821           1.841           2.648           2.162
       329      1.768           1.790           2.577           2.091
       330      1.970           1.984           2.722           2.264
       331      1.899           1.916           2.696           2.220
       332      2.053           2.062           2.837           2.363
       333      1.883           1.896           2.662           2.185
       334      1.886           1.886           2.693           2.211
       335      1.783           1.793           2.614           2.122
       336      2.024           2.032           2.819           2.349
       337      2.042           2.049           2.825           2.359
       338      2.061           2.069           2.859           2.387
       339      1.930           1.942           2.729           2.254
       340      1.843           1.854           2.640           2.169
       341      1.858           1.867           2.636           2.167
       342      1.730           1.733           2.535           2.047
       343      1.816           1.828           2.593           2.116
       344      1.837           1.849           2.667           2.172
       345      1.768           1.777           2.611           2.107
       346      1.643           1.652           2.487           1.977
       347      1.781           1.784           2.621           2.120
       348      1.819           1.821           2.661           2.152
       349      1.719           1.729           2.563           2.054
       350      1.679           1.685           2.542           2.024
       351      1.823           1.828           2.640           2.154
       352      1.769           1.779           2.621           2.118
       353      1.609           1.615           2.440           1.946
       354      1.747           1.750           2.608           2.092
       355      1.796           1.806           2.613           2.119
       356      1.738           1.752           2.571           2.079
       357      1.899           1.915           2.707           2.218
       358      1.729           1.735           2.585           2.070
       359      1.756           1.775           2.649           2.136
       360      1.805           1.814           2.716           2.179
       361      1.627           1.642           2.600           2.044
       362      1.663           1.676           2.641           2.084
