  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      0.957           0.982           1.437           1.114
         2      0.832           0.858           1.482           1.074
         3      0.874           0.891           1.545           1.125
         4      0.991           1.019           1.603           1.219
         5      0.910           0.938           1.552           1.152
         6      0.923           0.950           1.626           1.196
         7      1.038           1.054           1.652           1.256
         8      0.919           0.951           1.630           1.208
         9      1.042           1.070           1.727           1.312
        10      1.170           1.185           1.867           1.444
        11      1.069           1.093           1.809           1.382
        12      1.137           1.169           1.838           1.429
        13      1.182           1.204           1.904           1.476
        14      1.148           1.159           1.876           1.440
        15      1.395           1.411           2.140           1.703
        16      1.308           1.335           2.048           1.633
        17      1.263           1.279           2.032           1.582
        18      1.243           1.256           2.011           1.566
        19      1.182           1.193           2.062           1.581
        20      1.146           1.167           1.993           1.515
        21      1.161           1.188           1.958           1.503
        22      1.172           1.189           1.973           1.514
        23      1.257           1.271           2.096           1.611
        24      1.207           1.224           2.068           1.581
        25      1.270           1.288           2.126           1.638
        26      1.211           1.227           2.038           1.560
        27      1.141           1.157           2.035           1.528
        28      1.256           1.263           2.071           1.591
        29      1.309           1.323           2.114           1.648
        30      1.193           1.214           2.059           1.560
        31      1.254           1.259           2.132           1.623
        32      1.364           1.373           2.167           1.702
        33      1.226           1.243           2.102           1.594
        34      1.319           1.333           2.166           1.673
        35      1.294           1.310           2.137           1.665
        36      1.238           1.257           2.095           1.611
        37      1.320           1.333           2.146           1.670
        38      1.301           1.320           2.154           1.655
        39      1.338           1.362           2.164           1.682
        40      1.248           1.256           2.141           1.631
        41      1.250           1.256           2.179           1.662
        42      1.214           1.233           2.109           1.595
        43      1.228           1.234           2.156           1.633
        44      1.267           1.268           2.134           1.620
        45      1.217           1.227           2.134           1.608
        46      1.173           1.178           2.133           1.589
        47      1.228           1.238           2.123           1.604
        48      1.188           1.213           2.111           1.594
        49      1.308           1.324           2.210           1.693
        50      1.287           1.300           2.200           1.673
        51      1.251           1.261           2.190           1.649
        52      1.262           1.270           2.171           1.648
        53      1.272           1.280           2.177           1.645
        54      1.211           1.223           2.158           1.611
        55      1.233           1.247           2.205           1.648
        56      1.337           1.347           2.247           1.720
        57      1.325           1.337           2.248           1.720
        58      1.265           1.276           2.160           1.638
        59      1.223           1.242           2.168           1.633
        60      1.320           1.333           2.218           1.694
        61      1.290           1.304           2.180           1.663
        62      1.294           1.311           2.205           1.668
        63      1.268           1.281           2.232           1.674
        64      1.339           1.350           2.245           1.709
        65      1.308           1.320           2.249           1.700
        66      1.225           1.239           2.149           1.604
        67      1.175           1.191           2.142           1.585
        68      1.295           1.314           2.222           1.693
        69      1.302           1.314           2.192           1.672
        70      1.252           1.266           2.197           1.658
        71      1.214           1.220           2.177           1.621
        72      1.317           1.337           2.219           1.700
        73      1.245           1.257           2.235           1.670
        74      1.196           1.214           2.166           1.613
        75      1.448           1.466           2.295           1.804
        76      1.417           1.439           2.327           1.812
        77      1.395           1.407           2.260           1.761
        78      1.404           1.422           2.255           1.766
        79      1.416           1.435           2.297           1.801
        80      1.357           1.374           2.264           1.747
        81      1.453           1.465           2.272           1.793
        82      1.420           1.432           2.273           1.783
