frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	0.753	0.769	1.34	0.958
2	0.842	0.869	1.477	1.079
3	0.896	0.917	1.541	1.142
4	0.873	0.893	1.535	1.119
5	1.068	1.089	1.747	1.322
6	1.119	1.132	1.801	1.38
7	1.049	1.062	1.748	1.31
8	1.091	1.104	1.8	1.36
9	1.019	1.042	1.778	1.314
10	1.121	1.142	1.817	1.396
11	1.039	1.06	1.782	1.331
12	1.232	1.247	1.92	1.498
13	1.061	1.072	1.805	1.348
14	1.113	1.13	1.87	1.409
15	0.979	0.998	1.813	1.329
16	0.971	0.981	1.832	1.335
17	1.14	1.15	1.922	1.46
18	1.108	1.129	1.984	1.479
19	1.128	1.152	1.955	1.463
20	1.279	1.288	2.04	1.584
21	1.129	1.149	1.947	1.457
22	1.123	1.141	1.924	1.454
23	1.02	1.051	1.856	1.382
24	1.129	1.141	1.955	1.469
25	1.144	1.158	1.991	1.493
26	1.103	1.123	1.953	1.455
27	1.08	1.096	1.988	1.456
28	1.128	1.136	2.009	1.49
29	1.013	1.029	1.895	1.376
30	1.053	1.072	1.904	1.401
31	1.143	1.17	1.964	1.465
32	1.169	1.192	1.95	1.469
33	1.12	1.131	1.952	1.443
34	1.09	1.104	1.971	1.434
35	1.263	1.271	2.049	1.562
36	1.3	1.315	2.138	1.64
37	1.355	1.366	2.164	1.671
38	1.256	1.278	2.116	1.613
39	1.146	1.155	2.023	1.49
40	1.33	1.345	2.145	1.658
41	1.221	1.241	2.063	1.562
42	1.23	1.247	2.052	1.562
43	1.108	1.128	2.003	1.478
44	1.248	1.262	2.1	1.592
45	1.379	1.399	2.162	1.701
46	1.27	1.28	2.076	1.598
47	1.271	1.286	2.047	1.565
48	1.234	1.244	2.073	1.565
49	1.182	1.2	2.048	1.535
50	1.249	1.273	2.138	1.618
51	1.252	1.268	2.116	1.591
52	1.378	1.393	2.205	1.709
53	1.199	1.211	2.085	1.559
54	1.186	1.196	2.112	1.576
55	1.21	1.22	2.069	1.559
56	1.351	1.357	2.158	1.665
57	1.422	1.426	2.211	1.734
58	1.171	1.182	2.122	1.581
59	1.355	1.355	2.206	1.701
60	1.216	1.226	2.092	1.562
61	1.201	1.202	2.072	1.547
62	1.233	1.231	2.103	1.579
63	1.449	1.454	2.219	1.74
64	1.351	1.361	2.237	1.712
65	1.345	1.362	2.162	1.664
66	1.249	1.273	2.126	1.609
67	1.284	1.292	2.149	1.636
68	1.25	1.259	2.119	1.596
69	1.229	1.25	2.098	1.591
70	1.349	1.364	2.16	1.677
71	1.351	1.356	2.179	1.669
72	1.503	1.505	2.311	1.819
73	1.564	1.572	2.327	1.857
74	1.442	1.446	2.208	1.739
75	1.468	1.477	2.237	1.762
76	1.542	1.55	2.302	1.828
77	1.348	1.357	2.195	1.678
78	1.353	1.363	2.175	1.672
79	1.565	1.57	2.358	1.865
80	1.315	1.327	2.183	1.653
81	1.562	1.566	2.313	1.849
82	1.552	1.562	2.281	1.832
83	1.684	1.692	2.424	1.965
84	1.57	1.575	2.354	1.876
85	1.458	1.464	2.267	1.775
86	1.434	1.448	2.26	1.762
87	1.46	1.473	2.314	1.805
88	1.347	1.355	2.224	1.696
89	1.343	1.358	2.182	1.678
90	1.335	1.345	2.184	1.667
91	1.255	1.267	2.197	1.651
92	1.409	1.426	2.29	1.767
93	1.432	1.445	2.303	1.785
94	1.433	1.438	2.288	1.769
95	1.551	1.558	2.391	1.892
96	1.661	1.673	2.464	1.981
97	1.422	1.431	2.264	1.753
98	1.72	1.721	2.436	1.981
99	1.638	1.642	2.446	1.959
100	1.392	1.399	2.274	1.753
101	1.635	1.647	2.435	1.948
102	1.556	1.571	2.325	1.85
103	1.616	1.618	2.387	1.897
104	1.408	1.411	2.277	1.74
105	1.531	1.529	2.364	1.861
106	1.786	1.788	2.485	2.044
107	1.749	1.751	2.456	2.011
108	1.593	1.589	2.371	1.88
109	1.786	1.791	2.496	2.059
110	1.577	1.575	2.408	1.905
111	1.504	1.516	2.326	1.836
112	1.364	1.369	2.243	1.725
113	1.588	1.595	2.393	1.914
114	1.656	1.667	2.408	1.955
115	1.879	1.886	2.622	2.18
116	1.593	1.602	2.377	1.901
117	1.497	1.512	2.353	1.843
118	1.415	1.426	2.318	1.781
119	1.438	1.448	2.329	1.791
120	1.473	1.484	2.335	1.816
121	1.526	1.529	2.382	1.867
122	1.542	1.556	2.383	1.881
123	1.444	1.453	2.327	1.795
124	1.602	1.608	2.426	1.927
125	1.539	1.544	2.4	1.881
126	1.467	1.472	2.36	1.829
127	1.473	1.471	2.365	1.83
128	1.591	1.599	2.429	1.921
129	1.653	1.653	2.506	1.996
130	1.597	1.599	2.459	1.94
131	1.617	1.62	2.436	1.948
132	1.501	1.507	2.38	1.857
133	1.505	1.511	2.409	1.883
134	1.512	1.521	2.369	1.862
135	1.56	1.568	2.359	1.877
136	1.577	1.58	2.398	1.908
137	1.413	1.416	2.3	1.778
138	1.387	1.392	2.28	1.755
139	1.357	1.36	2.296	1.742
140	1.464	1.465	2.334	1.815
141	1.557	1.56	2.387	1.894
142	1.536	1.538	2.352	1.859
143	1.676	1.686	2.483	2.002
144	1.365	1.376	2.279	1.741
145	1.439	1.449	2.31	1.796
146	1.425	1.424	2.305	1.786
147	1.494	1.501	2.357	1.855
148	1.767	1.771	2.578	2.096
149	1.533	1.539	2.404	1.877
150	1.425	1.434	2.319	1.781
151	1.494	1.498	2.389	1.864
152	1.552	1.565	2.383	1.881
153	1.543	1.553	2.39	1.881
154	1.704	1.713	2.486	2.016
155	1.798	1.807	2.605	2.119
156	1.919	1.921	2.654	2.205
157	1.75	1.754	2.573	2.086
158	1.84	1.846	2.625	2.157
159	1.728	1.745	2.526	2.055
160	1.711	1.724	2.509	2.039
161	1.961	1.963	2.71	2.257
162	1.52	1.526	2.407	1.889
163	1.504	1.512	2.379	1.871
164	1.454	1.462	2.398	1.866
165	1.798	1.814	2.583	2.125
166	1.58	1.594	2.457	1.951
167	1.527	1.547	2.409	1.912
168	1.318	1.337	2.303	1.75
169	1.4	1.416	2.338	1.799
170	1.356	1.369	2.361	1.799
171	1.498	1.51	2.447	1.898
172	1.394	1.409	2.348	1.803
173	1.406	1.415	2.382	1.823
174	1.437	1.443	2.424	1.863
175	1.368	1.379	2.355	1.797
176	1.338	1.353	2.347	1.783
177	1.514	1.526	2.494	1.933
178	1.396	1.411	2.351	1.815
179	1.388	1.402	2.377	1.817
180	1.46	1.465	2.436	1.874
181	1.247	1.25	2.323	1.713
182	1.497	1.509	2.464	1.921
183	1.466	1.479	2.429	1.871
184	1.452	1.462	2.469	1.901
185	1.586	1.593	2.534	1.998
186	1.369	1.384	2.381	1.81
187	1.367	1.378	2.377	1.802
188	1.305	1.316	2.312	1.743
189	1.317	1.327	2.358	1.763
190	1.392	1.399	2.372	1.803
191	1.332	1.337	2.383	1.781
192	1.49	1.495	2.459	1.895
193	1.451	1.451	2.422	1.863
194	1.45	1.456	2.418	1.869
195	1.479	1.487	2.422	1.876
196	1.408	1.428	2.428	1.851
197	1.547	1.559	2.506	1.954
198	1.405	1.418	2.408	1.839
199	1.486	1.493	2.471	1.918
200	1.376	1.389	2.436	1.846
201	1.499	1.517	2.492	1.914
202	1.465	1.477	2.455	1.887
203	1.449	1.464	2.424	1.865
204	1.546	1.561	2.5	1.952
205	1.468	1.481	2.482	1.906
206	1.539	1.551	2.513	1.948
207	1.527	1.541	2.518	1.955
208	1.643	1.663	2.606	2.054
209	1.407	1.42	2.443	1.86
210	1.481	1.497	2.433	1.884
211	1.464	1.483	2.459	1.887
212	1.444	1.464	2.436	1.859
213	1.481	1.495	2.444	1.88
214	1.531	1.545	2.507	1.935
215	1.475	1.491	2.542	1.932
216	1.507	1.518	2.542	1.947
217	1.527	1.53	2.553	1.953
218	1.48	1.486	2.509	1.918
219	1.598	1.607	2.589	2.023
220	1.614	1.627	2.589	2.032
221	1.417	1.425	2.453	1.865
222	1.5	1.515	2.495	1.922
223	1.502	1.508	2.488	1.922
224	1.528	1.538	2.516	1.947
225	1.51	1.511	2.52	1.941
226	1.434	1.44	2.463	1.881
227	1.349	1.358	2.399	1.805
228	1.492	1.506	2.437	1.893
229	1.417	1.43	2.417	1.843
230	1.504	1.517	2.502	1.927
231	1.59	1.595	2.582	2.014
232	1.5	1.51	2.523	1.949
233	1.483	1.491	2.504	1.931
234	1.495	1.503	2.482	1.92
235	1.445	1.449	2.426	1.87
236	1.483	1.5	2.481	1.916
237	1.431	1.447	2.439	1.871
238	1.541	1.548	2.497	1.953
239	1.48	1.49	2.488	1.92
240	1.41	1.419	2.455	1.856
241	1.465	1.473	2.505	1.917
242	1.359	1.363	2.459	1.849
243	1.443	1.448	2.444	1.872
244	1.348	1.36	2.445	1.839
245	1.537	1.543	2.578	1.995
246	1.64	1.643	2.623	2.069
247	1.44	1.449	2.492	1.901
248	1.388	1.402	2.427	1.841
249	1.442	1.452	2.505	1.916
250	1.423	1.44	2.442	1.872
251	1.454	1.46	2.492	1.908
252	1.412	1.417	2.473	1.877
253	1.43	1.44	2.452	1.866
254	1.407	1.412	2.491	1.887
255	1.498	1.505	2.474	1.917
256	1.616	1.623	2.545	2.011
257	1.479	1.489	2.501	1.921
258	1.417	1.425	2.458	1.872
259	1.363	1.372	2.466	1.852
260	1.501	1.509	2.517	1.944
261	1.363	1.371	2.398	1.83
262	1.364	1.376	2.387	1.813
263	1.394	1.409	2.43	1.846
264	1.369	1.386	2.444	1.854
265	1.465	1.477	2.46	1.9
266	1.435	1.449	2.467	1.896
267	1.368	1.385	2.413	1.824
268	1.551	1.564	2.528	1.968
269	1.487	1.504	2.496	1.922
270	1.428	1.438	2.452	1.877
271	1.566	1.579	2.514	1.979
272	1.615	1.627	2.611	2.049
273	1.397	1.411	2.435	1.845
274	1.639	1.649	2.593	2.048
275	1.592	1.605	2.513	1.981
276	1.655	1.661	2.576	2.052
277	1.802	1.814	2.666	2.165
278	1.598	1.608	2.547	2.007
279	1.451	1.459	2.422	1.863
280	1.316	1.34	2.362	1.775
281	1.498	1.511	2.457	1.903
282	1.456	1.469	2.383	1.845
283	1.462	1.469	2.382	1.854
284	1.442	1.446	2.401	1.855
285	1.458	1.463	2.422	1.88
286	1.572	1.576	2.537	1.986
287	1.463	1.47	2.428	1.892
288	1.478	1.486	2.437	1.893
289	1.309	1.331	2.337	1.764
290	1.34	1.345	2.314	1.769
291	1.321	1.338	2.319	1.757
292	1.335	1.35	2.296	1.757
293	1.412	1.429	2.401	1.845
294	1.416	1.431	2.447	1.863
295	1.483	1.494	2.477	1.907
296	1.44	1.459	2.448	1.878
297	1.577	1.601	2.5	1.975
298	1.428	1.44	2.395	1.843
299	1.43	1.445	2.406	1.847
300	1.455	1.465	2.434	1.865
301	1.432	1.445	2.416	1.858
302	1.342	1.357	2.343	1.775
303	1.423	1.432	2.402	1.838
304	1.43	1.438	2.412	1.863
305	1.429	1.442	2.404	1.848
306	1.469	1.471	2.419	1.87
307	1.43	1.446	2.442	1.883
308	1.505	1.521	2.459	1.909
309	1.642	1.645	2.502	1.99
310	1.488	1.491	2.493	1.922
311	1.465	1.471	2.423	1.875
312	1.468	1.471	2.467	1.898
313	1.412	1.418	2.466	1.873
314	1.614	1.614	2.581	2.03
315	1.527	1.537	2.452	1.914
316	1.637	1.645	2.541	2.016
317	1.531	1.541	2.465	1.93
318	1.384	1.393	2.425	1.841
319	1.392	1.397	2.407	1.821
320	1.351	1.365	2.403	1.807
321	1.411	1.424	2.378	1.827
322	1.511	1.522	2.439	1.905
323	1.446	1.462	2.395	1.852
324	1.356	1.371	2.344	1.792
325	1.442	1.455	2.403	1.855
326	1.309	1.325	2.324	1.765
327	1.484	1.491	2.413	1.876
328	1.391	1.415	2.324	1.798
329	1.364	1.386	2.312	1.778
330	1.357	1.363	2.319	1.771
331	1.42	1.43	2.419	1.847
332	1.478	1.491	2.443	1.893
333	1.325	1.339	2.375	1.79
334	1.375	1.384	2.4	1.824
335	1.393	1.402	2.405	1.832
336	1.518	1.524	2.48	1.939
337	1.551	1.566	2.457	1.944
338	1.694	1.701	2.519	2.041
339	1.541	1.555	2.456	1.935
340	1.359	1.381	2.415	1.833
341	1.429	1.442	2.437	1.878
342	1.447	1.46	2.441	1.886
343	1.429	1.444	2.4	1.857
344	1.582	1.586	2.45	1.952
345	1.613	1.617	2.487	1.986
346	1.732	1.741	2.548	2.085
347	1.801	1.802	2.592	2.133
348	1.747	1.759	2.543	2.083
349	1.866	1.869	2.586	2.163
350	1.825	1.825	2.598	2.155
351	1.848	1.855	2.577	2.149
352	1.641	1.646	2.517	2.016
353	1.693	1.696	2.537	2.043
354	1.639	1.644	2.528	2.027
355	1.771	1.763	2.602	2.128
356	1.593	1.594	2.524	1.995
357	1.558	1.562	2.454	1.943
358	1.584	1.595	2.473	1.965
359	1.62	1.621	2.494	1.996
360	1.528	1.53	2.473	1.926
361	1.784	1.777	2.574	2.097
362	1.831	1.824	2.625	2.147
363	1.68	1.678	2.551	2.041
364	1.625	1.635	2.492	1.983
365	1.543	1.554	2.507	1.967
366	1.571	1.572	2.531	1.988
367	1.529	1.541	2.496	1.951
368	1.643	1.645	2.557	2.025
369	1.646	1.65	2.519	2.01
370	1.627	1.629	2.502	1.989
371	1.633	1.638	2.547	2.025
372	1.589	1.589	2.526	1.985
373	1.511	1.516	2.463	1.914
374	1.645	1.639	2.579	2.035
375	1.671	1.675	2.621	2.067
376	1.638	1.64	2.526	2.011
377	1.627	1.636	2.603	2.056
378	1.571	1.575	2.509	1.977
379	1.504	1.518	2.476	1.929
380	1.53	1.532	2.521	1.95
381	1.609	1.615	2.526	1.996
382	1.62	1.628	2.532	2.011
383	1.465	1.476	2.46	1.886
384	1.506	1.512	2.501	1.926
385	1.474	1.481	2.451	1.889
386	1.491	1.499	2.508	1.932
387	1.48	1.491	2.526	1.933
388	1.546	1.551	2.526	1.964
389	1.56	1.549	2.582	1.993
390	1.533	1.542	2.531	1.956
391	1.639	1.646	2.651	2.067
392	1.572	1.585	2.571	1.991
393	1.547	1.558	2.542	1.972
394	1.577	1.582	2.555	1.995
395	1.391	1.405	2.496	1.875
396	1.423	1.431	2.504	1.889
397	1.644	1.646	2.612	2.055
398	1.58	1.581	2.577	2.004
399	1.497	1.509	2.565	1.958
400	1.585	1.591	2.581	2.006
401	1.625	1.63	2.569	2.021
402	1.65	1.654	2.629	2.059
403	1.619	1.626	2.561	2.015
404	1.615	1.618	2.585	2.03
405	1.563	1.574	2.53	1.975
406	1.584	1.602	2.471	1.956
407	1.859	1.866	2.672	2.195
408	1.57	1.579	2.527	1.986
409	1.511	1.519	2.524	1.948
410	1.473	1.483	2.454	1.894
411	1.464	1.479	2.455	1.895
412	1.56	1.563	2.46	1.939
413	1.525	1.54	2.487	1.949
414	1.552	1.555	2.49	1.951
415	1.575	1.581	2.487	1.974
416	1.555	1.556	2.488	1.948
417	1.789	1.785	2.6	2.123
418	1.5	1.509	2.43	1.898
419	1.536	1.538	2.466	1.933
420	1.539	1.546	2.493	1.945
421	1.57	1.578	2.541	1.984
422	1.475	1.487	2.466	1.909
423	1.662	1.669	2.55	2.034
424	1.628	1.637	2.516	1.998
425	1.603	1.605	2.463	1.96
426	1.64	1.64	2.479	1.984
427	1.531	1.545	2.433	1.919
428	1.639	1.645	2.558	2.027
429	1.657	1.661	2.53	2.023
430	1.497	1.494	2.485	1.929
431	1.44	1.45	2.335	1.821
432	1.543	1.544	2.491	1.954
433	1.69	1.692	2.524	2.048
434	1.551	1.553	2.491	1.957
435	1.626	1.627	2.518	2.01
436	1.609	1.604	2.525	1.991
437	1.523	1.534	2.499	1.956
438	1.572	1.578	2.5	1.966
439	1.57	1.575	2.552	1.995
440	1.674	1.682	2.587	2.061
441	1.656	1.664	2.579	2.049
442	1.652	1.662	2.574	2.058
443	1.7	1.709	2.603	2.088
444	1.751	1.764	2.645	2.126
445	1.697	1.701	2.632	2.091
446	1.756	1.77	2.633	2.126
447	1.697	1.707	2.61	2.09
448	1.861	1.864	2.697	2.207
449	1.915	1.917	2.712	2.241
450	1.752	1.756	2.593	2.097
451	1.528	1.531	2.496	1.939
452	1.694	1.702	2.62	2.084
453	1.626	1.627	2.606	2.051
454	1.562	1.569	2.559	1.993
455	1.677	1.689	2.629	2.085
456	1.724	1.734	2.648	2.12
457	1.805	1.807	2.685	2.184
458	1.877	1.875	2.697	2.222
459	1.89	1.884	2.754	2.263
460	1.791	1.781	2.685	2.174
461	1.618	1.631	2.569	2.036
462	1.618	1.636	2.583	2.034
463	1.683	1.688	2.551	2.057
464	1.68	1.684	2.594	2.075
465	1.526	1.525	2.498	1.943
466	1.524	1.539	2.564	1.975
467	1.539	1.55	2.539	1.968
468	1.634	1.644	2.624	2.064
469	1.733	1.74	2.684	2.133
470	1.668	1.674	2.588	2.048
471	1.79	1.792	2.673	2.163
472	1.701	1.708	2.58	2.069
473	1.608	1.616	2.549	2.012
474	1.678	1.684	2.589	2.066
475	1.649	1.651	2.569	2.042
476	1.739	1.744	2.6	2.1
477	1.581	1.585	2.511	1.976
478	1.659	1.67	2.579	2.052
479	1.584	1.6	2.52	1.983
480	1.567	1.58	2.52	1.972
481	1.742	1.753	2.604	2.099
482	1.712	1.726	2.655	2.117
483	1.697	1.702	2.585	2.07
484	1.756	1.762	2.601	2.107
485	1.67	1.683	2.55	2.039
486	1.662	1.671	2.532	2.037
487	1.71	1.714	2.61	2.089
488	1.857	1.863	2.678	2.199
489	1.83	1.836	2.592	2.148
490	1.652	1.658	2.489	1.993
491	1.755	1.763	2.56	2.089
492	1.572	1.586	2.492	1.975
493	1.604	1.616	2.469	1.959
494	1.612	1.616	2.525	2.006
495	1.564	1.586	2.446	1.931
496	1.711	1.726	2.597	2.077
497	1.56	1.572	2.485	1.953
498	1.776	1.788	2.618	2.115
499	1.587	1.602	2.535	1.994
500	1.674	1.686	2.562	2.037
501	1.605	1.617	2.569	2.023
502	1.565	1.575	2.508	1.951
503	1.495	1.507	2.53	1.936
504	1.596	1.605	2.547	1.993
505	1.603	1.617	2.567	2.018
506	1.501	1.521	2.485	1.923
507	1.511	1.531	2.461	1.909
508	1.664	1.677	2.551	2.036
509	1.72	1.733	2.606	2.089
510	1.711	1.723	2.588	2.067
511	1.717	1.732	2.569	2.059
512	1.525	1.526	2.47	1.929
513	1.504	1.514	2.487	1.929
514	1.597	1.603	2.522	1.997
515	1.546	1.551	2.485	1.947
516	1.512	1.52	2.454	1.912
517	1.505	1.506	2.463	1.918
518	1.582	1.591	2.502	1.97
519	1.718	1.73	2.635	2.105
520	1.721	1.724	2.642	2.116
521	1.547	1.555	2.551	1.99
522	1.503	1.521	2.513	1.945
523	1.851	1.86	2.73	2.235
524	1.677	1.682	2.634	2.095
525	1.65	1.662	2.591	2.055
526	1.823	1.83	2.746	2.209
527	1.784	1.79	2.67	2.149
528	1.483	1.496	2.495	1.916
529	1.726	1.744	2.603	2.088
530	1.657	1.664	2.571	2.039
531	1.669	1.685	2.588	2.047
532	1.513	1.529	2.496	1.92
533	1.603	1.618	2.574	2.01
534	1.748	1.757	2.689	2.146
535	1.517	1.521	2.553	1.957
536	1.539	1.552	2.53	1.952
537	1.497	1.504	2.519	1.93
538	1.547	1.551	2.526	1.963
539	1.803	1.808	2.734	2.19
540	1.674	1.685	2.609	2.071
541	1.806	1.815	2.7	2.167
542	1.844	1.857	2.716	2.216
543	1.639	1.645	2.575	2.022
544	1.719	1.728	2.655	2.112
545	1.769	1.778	2.67	2.139
546	1.844	1.849	2.679	2.176
547	1.587	1.592	2.526	1.977
548	1.777	1.786	2.66	2.149
549	1.707	1.71	2.625	2.096
550	1.707	1.704	2.624	2.081
551	1.563	1.571	2.549	1.978
552	1.566	1.577	2.591	1.994
553	1.673	1.674	2.63	2.077
554	1.71	1.72	2.617	2.085
555	1.811	1.817	2.708	2.185
556	1.608	1.616	2.575	2.027
557	1.576	1.588	2.536	1.996
558	1.51	1.518	2.514	1.947
559	1.658	1.671	2.573	2.047
560	1.758	1.761	2.645	2.129
561	1.821	1.826	2.738	2.212
562	1.518	1.535	2.482	1.944
563	1.454	1.471	2.49	1.912
564	1.605	1.626	2.589	2.04
565	1.475	1.49	2.532	1.945
566	1.503	1.522	2.567	1.982
567	1.581	1.593	2.633	2.052
568	1.742	1.751	2.723	2.176
569	1.606	1.61	2.667	2.079
570	1.595	1.609	2.641	2.073
571	1.652	1.656	2.665	2.11
572	1.386	1.392	2.497	1.898
573	1.618	1.628	2.673	2.109
574	1.543	1.548	2.572	2.005
575	1.535	1.544	2.552	1.973
576	1.501	1.51	2.527	1.963
577	1.546	1.549	2.575	2.002
578	1.605	1.616	2.608	2.051
579	1.568	1.571	2.624	2.043
580	1.655	1.664	2.67	2.102
581	1.641	1.649	2.703	2.129
582	1.616	1.628	2.665	2.084
583	1.689	1.694	2.679	2.12
584	1.516	1.521	2.566	1.979
585	1.62	1.625	2.628	2.06
586	1.62	1.626	2.622	2.061
587	1.64	1.64	2.65	2.095
588	1.697	1.702	2.699	2.14
589	1.584	1.588	2.624	2.05
590	1.594	1.6	2.64	2.056
591	1.679	1.685	2.691	2.129
592	1.776	1.786	2.716	2.182
