  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      0.931           0.945           1.617           1.174
         2      0.883           0.912           1.659           1.196
         3      0.872           0.880           1.727           1.212
         4      0.922           0.943           1.724           1.232
         5      0.946           0.967           1.749           1.278
         6      0.957           0.973           1.795           1.291
         7      1.026           1.046           1.839           1.351
         8      0.872           0.888           1.723           1.207
         9      0.956           0.977           1.752           1.258
        10      0.886           0.901           1.743           1.226
        11      1.076           1.098           1.922           1.406
        12      0.962           0.990           1.776           1.271
        13      1.071           1.094           1.829           1.342
        14      1.018           1.046           1.844           1.335
        15      0.978           0.992           1.775           1.265
        16      1.027           1.050           1.802           1.305
        17      0.915           0.928           1.835           1.276
        18      0.964           0.980           1.852           1.323
        19      0.924           0.947           1.817           1.286
        20      0.955           0.982           1.897           1.339
        21      1.018           1.040           1.924           1.381
        22      0.935           0.968           1.847           1.301
        23      1.006           1.033           1.796           1.294
        24      1.005           1.026           1.846           1.333
        25      0.960           0.980           1.845           1.306
        26      1.018           1.040           1.853           1.341
        27      0.902           0.922           1.807           1.268
        28      1.062           1.072           1.894           1.384
        29      0.978           0.986           1.874           1.331
        30      0.964           0.982           1.862           1.335
        31      0.994           1.004           1.871           1.342
        32      1.119           1.127           1.943           1.439
        33      1.027           1.047           1.849           1.355
        34      1.059           1.071           1.924           1.407
        35      0.965           0.979           1.842           1.319
        36      0.988           1.006           1.891           1.359
        37      0.975           0.986           1.890           1.338
        38      1.006           1.015           1.883           1.357
        39      1.087           1.101           1.914           1.404
        40      0.935           0.944           1.833           1.280
        41      1.091           1.108           1.865           1.373
        42      0.993           1.026           1.822           1.315
        43      0.987           1.017           1.854           1.323
        44      1.053           1.054           1.940           1.395
        45      0.950           0.985           1.884           1.326
        46      0.996           1.034           1.869           1.331
        47      1.011           1.032           1.926           1.372
        48      1.066           1.087           1.911           1.396
        49      1.065           1.075           1.896           1.370
        50      1.001           1.021           1.885           1.322
        51      0.995           1.006           1.883           1.322
        52      0.947           0.964           1.936           1.345
        53      1.015           1.043           1.965           1.376
        54      1.113           1.121           2.064           1.478
        55      0.998           1.008           1.960           1.372
        56      1.101           1.114           2.047           1.463
        57      0.980           0.998           1.938           1.351
        58      0.994           0.998           1.984           1.402
        59      1.026           1.036           2.004           1.427
        60      0.956           0.964           1.984           1.379
        61      1.037           1.040           2.002           1.429
        62      0.998           1.006           1.961           1.384
        63      1.092           1.103           2.047           1.491
        64      1.147           1.155           2.088           1.525
        65      1.165           1.173           2.098           1.543
        66      1.065           1.069           2.036           1.467
        67      1.111           1.125           2.077           1.500
        68      1.160           1.177           2.060           1.523
        69      1.157           1.161           2.124           1.550
        70      1.216           1.226           2.120           1.571
        71      1.118           1.120           2.111           1.521
        72      1.158           1.160           2.098           1.532
        73      1.077           1.083           2.039           1.456
        74      1.203           1.214           2.141           1.568
        75      1.112           1.121           2.087           1.508
        76      1.229           1.248           2.155           1.601
        77      1.082           1.085           2.048           1.462
        78      1.120           1.130           2.102           1.521
        79      1.143           1.147           2.110           1.536
        80      1.137           1.153           2.081           1.517
        81      1.110           1.116           2.111           1.520
        82      1.028           1.053           2.022           1.451
        83      1.168           1.182           2.123           1.552
        84      1.140           1.157           2.148           1.567
        85      1.052           1.068           2.016           1.442
        86      1.168           1.189           2.127           1.558
        87      1.125           1.130           2.069           1.507
        88      1.105           1.114           2.084           1.501
        89      1.143           1.166           2.082           1.529
        90      1.023           1.047           2.040           1.451
        91      1.104           1.124           2.100           1.513
        92      1.080           1.097           2.006           1.453
        93      1.065           1.088           2.039           1.469
        94      1.148           1.165           2.107           1.529
        95      1.119           1.147           2.031           1.486
        96      1.071           1.091           2.086           1.496
        97      1.114           1.135           2.098           1.523
        98      1.178           1.203           2.105           1.552
        99      1.209           1.236           2.123           1.566
       100      1.284           1.314           2.135           1.608
       101      1.268           1.294           2.089           1.585
       102      1.163           1.186           2.005           1.488
       103      1.224           1.242           2.065           1.547
       104      1.146           1.157           2.017           1.476
       105      1.175           1.186           2.107           1.538
       106      1.189           1.205           2.144           1.562
       107      1.183           1.200           2.180           1.578
       108      1.185           1.205           2.091           1.531
       109      1.277           1.290           2.188           1.622
       110      1.101           1.109           2.071           1.479
       111      1.139           1.165           2.115           1.544
       112      1.167           1.190           2.187           1.584
       113      1.148           1.173           2.170           1.564
       114      1.217           1.236           2.262           1.646
       115      1.247           1.267           2.229           1.638
       116      1.211           1.228           2.292           1.649
       117      1.242           1.256           2.247           1.633
       118      1.301           1.323           2.229           1.664
       119      1.202           1.223           2.257           1.650
       120      1.196           1.214           2.223           1.608
       121      1.228           1.250           2.245           1.644
       122      1.266           1.290           2.251           1.675
       123      1.234           1.263           2.165           1.597
       124      1.218           1.244           2.161           1.597
       125      1.265           1.279           2.247           1.652
       126      1.253           1.277           2.228           1.636
       127      1.218           1.237           2.249           1.638
       128      1.210           1.223           2.242           1.625
       129      1.309           1.330           2.254           1.682
       130      1.135           1.156           2.172           1.564
       131      1.281           1.294           2.191           1.631
       132      1.235           1.252           2.209           1.610
       133      1.331           1.351           2.221           1.668
       134      1.218           1.237           2.151           1.596
       135      1.167           1.180           2.115           1.556
       136      1.270           1.293           2.183           1.631
       137      1.207           1.229           2.180           1.597
       138      1.210           1.230           2.136           1.584
       139      1.268           1.285           2.235           1.672
       140      1.346           1.365           2.275           1.725
       141      1.212           1.234           2.199           1.624
       142      1.242           1.271           2.205           1.632
       143      1.190           1.208           2.180           1.606
       144      1.356           1.373           2.290           1.726
       145      1.285           1.305           2.247           1.670
       146      1.200           1.216           2.214           1.612
       147      1.238           1.255           2.238           1.648
       148      1.260           1.277           2.219           1.645
       149      1.263           1.289           2.267           1.679
       150      1.469           1.491           2.402           1.848
       151      1.340           1.366           2.291           1.734
       152      1.320           1.345           2.267           1.710
       153      1.330           1.350           2.258           1.687
       154      1.262           1.288           2.167           1.619
       155      1.224           1.242           2.151           1.590
       156      1.311           1.324           2.182           1.646
       157      1.323           1.339           2.224           1.682
       158      1.262           1.287           2.152           1.604
       159      1.291           1.310           2.208           1.642
       160      1.301           1.316           2.218           1.656
       161      1.340           1.353           2.273           1.693
       162      1.267           1.288           2.208           1.636
       163      1.341           1.365           2.268           1.693
       164      1.205           1.225           2.228           1.624
       165      1.295           1.315           2.202           1.654
       166      1.269           1.298           2.222           1.656
       167      1.317           1.345           2.288           1.714
       168      1.284           1.303           2.219           1.645
       169      1.261           1.280           2.232           1.663
       170      1.263           1.279           2.238           1.655
       171      1.238           1.261           2.165           1.607
       172      1.213           1.228           2.200           1.612
       173      1.251           1.266           2.202           1.636
       174      1.335           1.347           2.271           1.711
       175      1.415           1.435           2.314           1.756
       176      1.337           1.359           2.260           1.689
       177      1.367           1.383           2.360           1.767
       178      1.219           1.230           2.269           1.644
       179      1.233           1.249           2.278           1.661
       180      1.215           1.222           2.341           1.688
       181      1.173           1.185           2.201           1.577
       182      1.183           1.205           2.252           1.624
       183      1.132           1.158           2.181           1.560
       184      1.225           1.247           2.236           1.629
       185      1.318           1.338           2.302           1.705
       186      1.182           1.187           2.239           1.603
       187      1.197           1.208           2.248           1.617
       188      1.196           1.206           2.206           1.605
       189      1.274           1.285           2.253           1.658
       190      1.352           1.362           2.342           1.745
       191      1.212           1.224           2.254           1.632
       192      1.453           1.478           2.409           1.815
       193      1.230           1.250           2.212           1.625
       194      1.283           1.302           2.273           1.678
       195      1.225           1.243           2.294           1.653
       196      1.229           1.243           2.230           1.609
       197      1.240           1.255           2.231           1.630
       198      1.171           1.190           2.162           1.555
       199      1.194           1.214           2.203           1.604
       200      1.102           1.123           2.126           1.530
       201      1.157           1.186           2.197           1.578
       202      1.271           1.298           2.244           1.655
       203      1.172           1.201           2.224           1.605
       204      1.227           1.246           2.203           1.619
       205      1.119           1.144           2.118           1.517
       206      1.145           1.178           2.173           1.567
       207      1.188           1.219           2.197           1.600
       208      1.279           1.305           2.263           1.664
       209      1.281           1.302           2.228           1.642
       210      1.199           1.221           2.198           1.581
       211      1.137           1.147           2.232           1.580
       212      1.198           1.219           2.184           1.598
       213      1.250           1.265           2.276           1.661
       214      1.131           1.161           2.199           1.570
       215      1.263           1.276           2.297           1.683
       216      1.339           1.359           2.318           1.717
       217      1.224           1.237           2.215           1.605
       218      1.359           1.371           2.275           1.692
       219      1.282           1.294           2.205           1.616
       220      1.278           1.299           2.237           1.645
       221      1.270           1.287           2.224           1.636
       222      1.328           1.340           2.320           1.706
       223      1.265           1.282           2.316           1.686
       224      1.349           1.360           2.355           1.752
       225      1.322           1.346           2.323           1.723
       226      1.276           1.291           2.306           1.689
       227      1.248           1.269           2.256           1.645
       228      1.270           1.287           2.276           1.656
       229      1.334           1.353           2.282           1.699
       230      1.262           1.292           2.220           1.635
       231      1.196           1.210           2.242           1.610
       232      1.168           1.190           2.158           1.564
       233      1.230           1.258           2.238           1.651
       234      1.207           1.228           2.239           1.627
       235      1.214           1.229           2.236           1.622
       236      1.242           1.264           2.249           1.648
       237      1.279           1.291           2.263           1.675
       238      1.221           1.243           2.242           1.646
       239      1.276           1.295           2.233           1.666
       240      1.233           1.251           2.205           1.615
       241      1.238           1.260           2.268           1.654
       242      1.411           1.416           2.339           1.765
       243      1.297           1.312           2.296           1.689
       244      1.377           1.402           2.282           1.730
       245      1.202           1.224           2.243           1.628
       246      1.206           1.232           2.189           1.601
       247      1.221           1.242           2.224           1.624
       248      1.141           1.172           2.165           1.553
       249      1.113           1.139           2.185           1.565
       250      1.188           1.203           2.180           1.583
       251      1.122           1.134           2.163           1.544
       252      1.177           1.197           2.192           1.578
       253      1.170           1.186           2.117           1.525
       254      1.190           1.207           2.195           1.579
       255      1.304           1.326           2.247           1.661
       256      1.318           1.344           2.236           1.671
       257      1.228           1.240           2.170           1.587
       258      1.366           1.385           2.284           1.724
       259      1.306           1.323           2.263           1.685
       260      1.416           1.429           2.382           1.791
       261      1.406           1.416           2.355           1.770
       262      1.412           1.426           2.351           1.769
       263      1.321           1.334           2.276           1.689
       264      1.325           1.344           2.268           1.692
       265      1.274           1.292           2.223           1.646
       266      1.217           1.233           2.193           1.611
       267      1.409           1.440           2.287           1.745
       268      1.240           1.267           2.190           1.622
       269      1.303           1.332           2.223           1.664
       270      1.248           1.279           2.218           1.641
       271      1.247           1.268           2.256           1.647
       272      1.372           1.395           2.328           1.743
       273      1.273           1.290           2.267           1.673
       274      1.266           1.290           2.228           1.637
       275      1.239           1.264           2.181           1.605
       276      1.322           1.346           2.280           1.708
       277      1.366           1.375           2.354           1.753
       278      1.365           1.388           2.282           1.724
       279      1.353           1.375           2.323           1.740
       280      1.406           1.423           2.405           1.817
       281      1.271           1.295           2.319           1.700
       282      1.279           1.293           2.282           1.679
       283      1.302           1.327           2.313           1.714
       284      1.313           1.342           2.329           1.733
       285      1.346           1.365           2.350           1.760
       286      1.587           1.604           2.480           1.944
       287      1.522           1.548           2.440           1.891
       288      1.273           1.306           2.241           1.664
       289      1.281           1.322           2.237           1.669
       290      1.254           1.270           2.239           1.644
       291      1.356           1.385           2.278           1.703
       292      1.416           1.432           2.321           1.751
       293      1.377           1.408           2.294           1.726
       294      1.334           1.363           2.309           1.713
       295      1.397           1.419           2.317           1.758
       296      1.314           1.338           2.370           1.742
       297      1.359           1.391           2.373           1.762
       298      1.308           1.329           2.308           1.707
       299      1.330           1.356           2.369           1.758
       300      1.330           1.359           2.372           1.752
       301      1.318           1.345           2.406           1.772
       302      1.373           1.401           2.431           1.815
       303      1.343           1.361           2.381           1.757
       304      1.416           1.442           2.410           1.814
       305      1.320           1.343           2.420           1.778
       306      1.372           1.393           2.441           1.808
       307      1.257           1.284           2.342           1.715
       308      1.256           1.284           2.325           1.701
       309      1.233           1.260           2.276           1.664
       310      1.224           1.252           2.282           1.649
       311      1.302           1.338           2.277           1.687
       312      1.313           1.347           2.306           1.705
       313      1.294           1.319           2.334           1.715
       314      1.365           1.393           2.378           1.759
       315      1.468           1.494           2.462           1.868
       316      1.438           1.467           2.390           1.804
       317      1.449           1.474           2.374           1.796
       318      1.351           1.374           2.359           1.736
       319      1.330           1.353           2.373           1.733
       320      1.275           1.294           2.298           1.665
       321      1.308           1.335           2.343           1.727
       322      1.393           1.421           2.406           1.809
       323      1.348           1.369           2.406           1.776
       324      1.365           1.399           2.358           1.758
       325      1.445           1.467           2.472           1.857
       326      1.387           1.416           2.412           1.793
       327      1.395           1.415           2.364           1.769
       328      1.310           1.334           2.402           1.758
       329      1.485           1.522           2.486           1.895
       330      1.450           1.487           2.413           1.836
       331      1.446           1.473           2.453           1.842
       332      1.425           1.455           2.413           1.822
       333      1.437           1.466           2.390           1.810
       334      1.435           1.466           2.374           1.791
       335      1.507           1.529           2.427           1.848
       336      1.426           1.448           2.406           1.810
       337      1.380           1.397           2.404           1.791
       338      1.459           1.481           2.448           1.846
       339      1.342           1.373           2.378           1.740
       340      1.364           1.387           2.373           1.750
       341      1.466           1.483           2.455           1.838
       342      1.442           1.463           2.451           1.839
       343      1.413           1.439           2.409           1.786
       344      1.421           1.445           2.443           1.819
       345      1.433           1.447           2.381           1.780
       346      1.461           1.484           2.424           1.819
       347      1.411           1.422           2.444           1.820
       348      1.440           1.457           2.436           1.816
       349      1.385           1.404           2.365           1.753
       350      1.443           1.475           2.406           1.811
       351      1.349           1.378           2.417           1.784
       352      1.283           1.308           2.351           1.704
       353      1.436           1.457           2.352           1.772
       354      1.351           1.378           2.436           1.782
       355      1.302           1.330           2.335           1.702
       356      1.382           1.402           2.376           1.759
       357      1.402           1.418           2.394           1.779
       358      1.424           1.437           2.361           1.773
       359      1.281           1.296           2.279           1.662
       360      1.385           1.411           2.339           1.748
       361      1.499           1.503           2.491           1.878
       362      1.399           1.410           2.393           1.793
       363      1.378           1.392           2.393           1.776
       364      1.399           1.414           2.437           1.804
       365      1.375           1.387           2.389           1.760
       366      1.262           1.271           2.286           1.645
       367      1.342           1.357           2.290           1.685
       368      1.236           1.257           2.295           1.651
       369      1.324           1.336           2.303           1.704
       370      1.316           1.319           2.283           1.696
       371      1.416           1.418           2.415           1.801
       372      1.436           1.443           2.322           1.768
       373      1.353           1.375           2.289           1.717
       374      1.376           1.399           2.302           1.734
       375      1.386           1.405           2.311           1.742
       376      1.275           1.304           2.264           1.672
       377      1.395           1.417           2.266           1.729
       378      1.310           1.332           2.295           1.707
       379      1.434           1.448           2.344           1.773
       380      1.321           1.340           2.268           1.687
       381      1.269           1.302           2.255           1.664
       382      1.307           1.330           2.306           1.704
       383      1.407           1.425           2.405           1.811
       384      1.282           1.305           2.307           1.706
       385      1.259           1.285           2.257           1.660
       386      1.340           1.361           2.328           1.751
       387      1.246           1.276           2.240           1.653
       388      1.344           1.368           2.352           1.759
       389      1.373           1.391           2.344           1.764
       390      1.351           1.364           2.281           1.714
       391      1.215           1.236           2.250           1.636
       392      1.300           1.316           2.243           1.658
       393      1.363           1.378           2.273           1.695
       394      1.225           1.240           2.190           1.592
       395      1.351           1.369           2.273           1.709
       396      1.305           1.318           2.285           1.681
       397      1.200           1.220           2.263           1.629
       398      1.263           1.275           2.228           1.635
       399      1.257           1.269           2.256           1.643
       400      1.314           1.335           2.259           1.688
       401      1.349           1.365           2.272           1.702
       402      1.386           1.395           2.347           1.763
       403      1.437           1.445           2.325           1.763
       404      1.341           1.353           2.300           1.711
       405      1.360           1.374           2.259           1.691
       406      1.370           1.386           2.291           1.710
       407      1.270           1.288           2.241           1.646
       408      1.312           1.325           2.280           1.685
       409      1.523           1.538           2.406           1.854
       410      1.397           1.416           2.319           1.746
       411      1.399           1.412           2.319           1.750
       412      1.398           1.411           2.345           1.749
       413      1.286           1.293           2.275           1.675
       414      1.283           1.305           2.238           1.652
       415      1.321           1.345           2.306           1.710
       416      1.433           1.454           2.339           1.777
       417      1.299           1.313           2.270           1.682
       418      1.423           1.435           2.343           1.773
       419      1.339           1.365           2.279           1.708
       420      1.312           1.331           2.281           1.686
       421      1.315           1.343           2.286           1.700
       422      1.235           1.257           2.223           1.623
       423      1.411           1.433           2.392           1.813
       424      1.308           1.322           2.293           1.710
       425      1.230           1.258           2.262           1.648
       426      1.254           1.265           2.266           1.665
       427      1.274           1.299           2.287           1.679
       428      1.236           1.251           2.269           1.667
       429      1.365           1.383           2.308           1.751
       430      1.356           1.372           2.302           1.743
       431      1.221           1.238           2.255           1.634
       432      1.247           1.260           2.242           1.646
       433      1.274           1.285           2.330           1.715
       434      1.216           1.239           2.242           1.644
       435      1.285           1.296           2.325           1.711
       436      1.304           1.318           2.300           1.716
       437      1.305           1.321           2.294           1.712
       438      1.382           1.394           2.390           1.789
       439      1.300           1.313           2.308           1.700
       440      1.282           1.289           2.338           1.726
       441      1.261           1.271           2.260           1.677
       442      1.282           1.296           2.313           1.714
       443      1.349           1.358           2.333           1.748
       444      1.506           1.523           2.432           1.881
       445      1.279           1.299           2.293           1.695
       446      1.270           1.279           2.356           1.727
       447      1.310           1.317           2.327           1.725
       448      1.354           1.373           2.295           1.735
       449      1.268           1.279           2.271           1.675
       450      1.296           1.303           2.336           1.731
