  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      1.241           1.242           1.889           1.441
         2      1.195           1.213           1.910           1.449
         3      1.285           1.287           2.034           1.542
         4      1.226           1.236           1.975           1.484
         5      1.215           1.225           2.010           1.514
         6      1.108           1.113           2.013           1.465
         7      1.315           1.316           2.161           1.642
         8      1.401           1.394           2.191           1.683
         9      1.318           1.316           2.124           1.604
        10      1.176           1.165           2.074           1.516
        11      1.268           1.270           2.160           1.603
        12      1.154           1.161           2.074           1.503
        13      1.232           1.237           2.097           1.549
        14      1.196           1.207           2.129           1.554
        15      1.238           1.241           2.151           1.582
        16      1.196           1.198           2.100           1.533
        17      1.500           1.482           2.448           1.857
        18      1.252           1.247           2.243           1.662
        19      1.293           1.287           2.269           1.691
        20      1.299           1.292           2.320           1.705
        21      1.518           1.511           2.400           1.837
        22      1.838           1.815           2.755           2.165
        23      1.653           1.639           2.478           1.925
        24      1.838           1.817           2.596           2.079
        25      1.889           1.868           2.660           2.127
        26      1.920           1.904           2.676           2.161
        27      1.797           1.772           2.552           2.028
        28      1.682           1.662           2.442           1.933
        29      1.483           1.473           2.354           1.800
        30      1.310           1.304           2.269           1.686
        31      1.266           1.258           2.264           1.665
        32      1.311           1.300           2.249           1.674
        33      1.294           1.291           2.221           1.664
        34      1.305           1.294           2.264           1.695
        35      1.263           1.258           2.189           1.629
        36      1.260           1.258           2.205           1.642
        37      1.304           1.297           2.198           1.656
        38      1.225           1.219           2.167           1.600
        39      1.295           1.289           2.196           1.644
        40      1.259           1.254           2.184           1.615
        41      1.281           1.285           2.118           1.596
        42      1.480           1.482           2.250           1.754
        43      1.509           1.501           2.323           1.801
        44      1.316           1.296           2.250           1.670
        45      1.222           1.222           2.215           1.607
        46      1.394           1.397           2.304           1.734
        47      1.281           1.282           2.204           1.638
        48      1.283           1.293           2.187           1.640
        49      1.547           1.530           2.357           1.826
        50      1.231           1.229           2.119           1.546
        51      1.243           1.238           2.129           1.570
        52      1.444           1.442           2.285           1.752
        53      1.341           1.346           2.255           1.680
        54      1.580           1.569           2.433           1.886
        55      1.414           1.410           2.281           1.731
        56      1.423           1.418           2.307           1.746
        57      1.165           1.169           2.193           1.571
        58      1.149           1.146           2.171           1.562
        59      1.228           1.220           2.243           1.641
        60      1.173           1.162           2.211           1.586
        61      1.280           1.270           2.272           1.671
        62      1.347           1.342           2.283           1.701
        63      1.357           1.361           2.302           1.737
        64      1.394           1.393           2.323           1.757
        65      1.404           1.402           2.380           1.800
        66      1.397           1.385           2.363           1.778
        67      1.404           1.402           2.366           1.777
        68      1.499           1.491           2.390           1.838
        69      1.535           1.518           2.485           1.897
        70      1.712           1.701           2.529           1.999
        71      1.380           1.362           2.387           1.773
        72      1.554           1.532           2.474           1.893
        73      1.368           1.351           2.346           1.736
        74      1.525           1.517           2.468           1.873
        75      1.504           1.488           2.481           1.877
        76      1.549           1.551           2.454           1.889
        77      1.604           1.587           2.458           1.908
        78      1.325           1.327           2.335           1.736
        79      1.356           1.351           2.356           1.765
        80      1.464           1.462           2.383           1.817
        81      1.512           1.506           2.443           1.863
        82      1.722           1.720           2.523           2.009
        83      1.690           1.681           2.535           1.989
        84      1.997           1.986           2.772           2.256
        85      1.752           1.740           2.535           2.018
        86      1.744           1.743           2.569           2.032
        87      1.807           1.793           2.571           2.062
        88      1.911           1.896           2.641           2.143
        89      1.773           1.775           2.515           2.026
        90      1.763           1.759           2.563           2.044
        91      1.475           1.478           2.395           1.828
        92      1.818           1.811           2.552           2.053
        93      1.649           1.645           2.505           1.967
        94      1.804           1.790           2.641           2.088
        95      1.851           1.844           2.635           2.117
        96      1.838           1.824           2.669           2.128
        97      1.874           1.857           2.704           2.161
        98      1.904           1.888           2.667           2.149
        99      1.754           1.750           2.557           2.023
       100      1.757           1.765           2.518           2.012
       101      1.571           1.581           2.332           1.842
       102      1.648           1.646           2.369           1.887
       103      1.754           1.745           2.460           1.985
       104      1.453           1.455           2.256           1.734
       105      1.543           1.540           2.373           1.844
       106      1.548           1.547           2.426           1.867
       107      1.472           1.474           2.391           1.812
       108      1.493           1.495           2.353           1.794
       109      1.776           1.763           2.572           2.044
       110      1.825           1.800           2.587           2.069
       111      1.608           1.610           2.507           1.954
       112      1.509           1.508           2.498           1.899
       113      1.369           1.367           2.402           1.774
       114      1.553           1.545           2.582           1.957
       115      1.624           1.614           2.579           1.987
       116      1.432           1.426           2.495           1.848
       117      1.505           1.495           2.527           1.893
       118      1.567           1.562           2.526           1.923
       119      1.460           1.464           2.525           1.902
       120      1.626           1.623           2.593           1.989
       121      1.703           1.695           2.660           2.064
       122      1.746           1.741           2.641           2.077
       123      1.640           1.642           2.521           1.956
       124      1.591           1.592           2.494           1.931
       125      1.729           1.711           2.666           2.074
       126      1.711           1.694           2.649           2.050
       127      1.765           1.740           2.708           2.101
       128      1.561           1.542           2.591           1.946
       129      1.831           1.818           2.732           2.152
       130      1.680           1.665           2.620           2.026
       131      2.043           2.022           2.779           2.264
       132      1.937           1.915           2.773           2.209
       133      2.029           2.012           2.794           2.273
       134      1.881           1.869           2.690           2.163
       135      1.825           1.805           2.673           2.127
       136      1.936           1.924           2.748           2.207
       137      1.955           1.938           2.763           2.222
       138      1.850           1.833           2.688           2.137
       139      1.910           1.890           2.832           2.256
       140      2.232           2.207           3.007           2.482
       141      2.155           2.132           2.944           2.418
       142      2.215           2.196           2.990           2.453
       143      2.087           2.063           2.905           2.370
       144      2.070           2.046           2.864           2.334
       145      2.186           2.161           2.994           2.448
       146      1.880           1.859           2.756           2.183
       147      2.012           1.983           2.907           2.324
       148      2.242           2.218           3.004           2.480
       149      1.999           1.986           2.857           2.298
       150      2.311           2.299           3.094           2.569
       151      2.119           2.098           2.939           2.401
       152      2.092           2.072           2.873           2.352
       153      1.985           1.966           2.773           2.236
       154      1.953           1.941           2.715           2.204
       155      1.760           1.749           2.601           2.050
       156      1.718           1.706           2.563           2.013
       157      1.813           1.804           2.651           2.107
       158      1.970           1.959           2.717           2.206
       159      1.711           1.701           2.606           2.030
       160      1.803           1.790           2.660           2.099
       161      1.965           1.956           2.781           2.235
       162      1.868           1.860           2.713           2.161
       163      2.010           2.006           2.814           2.286
       164      1.767           1.763           2.671           2.098
       165      1.859           1.852           2.693           2.157
       166      1.892           1.886           2.722           2.185
       167      1.883           1.886           2.727           2.186
       168      1.781           1.775           2.652           2.085
       169      1.898           1.880           2.732           2.196
       170      1.865           1.849           2.731           2.174
       171      1.934           1.920           2.692           2.172
       172      1.953           1.931           2.761           2.214
       173      1.824           1.806           2.690           2.124
       174      1.904           1.882           2.779           2.211
       175      2.127           2.114           2.884           2.359
       176      2.077           2.064           2.870           2.326
       177      1.999           1.982           2.831           2.282
       178      1.969           1.947           2.826           2.258
       179      2.162           2.137           2.985           2.428
       180      1.863           1.836           2.814           2.203
       181      2.203           2.175           2.998           2.442
       182      1.865           1.855           2.764           2.183
       183      1.892           1.888           2.740           2.179
       184      1.771           1.769           2.624           2.067
       185      2.034           2.022           2.865           2.313
       186      1.704           1.687           2.626           2.032
       187      1.938           1.918           2.776           2.211
       188      1.754           1.733           2.632           2.064
       189      1.902           1.890           2.728           2.182
       190      2.052           2.035           2.873           2.331
       191      1.646           1.636           2.578           1.994
       192      1.911           1.909           2.783           2.210
       193      1.740           1.730           2.585           2.039
       194      1.754           1.746           2.642           2.066
       195      2.262           2.244           3.045           2.501
       196      2.130           2.115           2.917           2.369
       197      1.881           1.874           2.719           2.167
       198      1.932           1.923           2.719           2.181
       199      2.095           2.084           2.872           2.348
       200      1.969           1.963           2.755           2.229
       201      1.951           1.961           2.760           2.222
       202      1.883           1.893           2.745           2.185
       203      1.798           1.803           2.681           2.109
       204      1.961           1.964           2.751           2.225
       205      2.004           1.999           2.773           2.252
       206      2.052           2.051           2.833           2.304
       207      2.058           2.060           2.861           2.334
       208      2.102           2.094           2.853           2.333
       209      1.968           1.962           2.744           2.214
       210      1.971           1.967           2.760           2.212
       211      1.974           1.949           2.827           2.246
       212      1.961           1.953           2.769           2.221
       213      1.911           1.900           2.751           2.191
       214      1.653           1.654           2.617           2.012
       215      1.723           1.714           2.635           2.052
       216      1.787           1.784           2.660           2.088
       217      1.579           1.580           2.513           1.911
       218      1.733           1.728           2.618           2.036
       219      1.590           1.588           2.515           1.914
       220      1.636           1.632           2.570           1.970
       221      1.624           1.623           2.576           1.982
       222      1.574           1.574           2.558           1.940
       223      1.539           1.550           2.576           1.944
       224      1.660           1.652           2.644           2.028
       225      1.557           1.562           2.572           1.943
       226      1.529           1.526           2.538           1.906
       227      1.439           1.442           2.414           1.801
       228      1.402           1.409           2.387           1.766
