  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      1.415           1.413           2.187           1.733
         2      1.484           1.478           2.346           1.864
         3      1.670           1.645           2.442           1.998
         4      2.045           2.027           2.756           2.360
         5      2.359           2.333           2.990           2.617
         6      2.127           2.099           2.790           2.376
         7      2.479           2.446           3.096           2.713
         8      2.249           2.217           3.015           2.539
         9      2.357           2.328           3.048           2.625
        10      2.138           2.100           2.839           2.393
        11      2.164           2.145           2.913           2.474
        12      2.473           2.443           3.075           2.673
        13      2.302           2.264           2.964           2.545
        14      2.768           2.725           3.377           2.980
        15      2.642           2.604           3.255           2.851
        16      3.299           3.269           3.841           3.483
        17      3.023           2.992           3.650           3.261
        18      3.358           3.325           3.965           3.598
        19      2.991           2.956           3.533           3.217
        20      2.714           2.686           3.384           2.998
        21      2.956           2.917           3.564           3.222
        22      2.488           2.454           3.157           2.792
        23      2.626           2.598           3.354           2.950
        24      2.649           2.636           3.375           2.956
        25      2.696           2.678           3.429           3.000
        26      3.150           3.113           3.777           3.413
        27      2.614           2.592           3.308           2.918
        28      2.773           2.748           3.389           3.048
        29      2.887           2.858           3.563           3.199
        30      2.973           2.948           3.657           3.284
        31      2.714           2.689           3.469           3.041
        32      3.009           2.982           3.626           3.277
        33      2.695           2.681           3.391           3.020
        34      2.639           2.607           3.275           2.913
        35      2.705           2.691           3.304           2.964
        36      2.586           2.556           3.227           2.877
        37      2.896           2.861           3.383           3.103
        38      2.520           2.481           3.147           2.782
        39      2.501           2.465           3.142           2.777
        40      2.608           2.576           3.283           2.887
        41      3.069           3.039           3.662           3.309
        42      2.745           2.710           3.414           3.029
        43      2.958           2.929           3.578           3.231
        44      2.748           2.722           3.381           3.025
        45      2.673           2.644           3.364           2.990
        46      2.526           2.501           3.344           2.892
        47      2.770           2.750           3.563           3.123
        48      2.370           2.338           3.166           2.726
        49      2.492           2.479           3.250           2.829
        50      2.337           2.315           3.134           2.696
        51      2.552           2.533           3.320           2.898
        52      2.603           2.585           3.346           2.918
        53      2.623           2.594           3.354           2.923
        54      2.771           2.739           3.428           3.067
        55      2.637           2.616           3.363           2.963
        56      2.848           2.828           3.452           3.099
        57      2.589           2.569           3.393           2.931
        58      2.960           2.938           3.687           3.280
        59      2.699           2.679           3.463           3.030
        60      2.404           2.382           3.228           2.773
        61      2.398           2.393           3.179           2.750
        62      2.536           2.513           3.299           2.867
        63      2.482           2.453           3.275           2.815
        64      2.639           2.627           3.393           2.971
        65      2.520           2.498           3.288           2.859
        66      2.886           2.870           3.595           3.192
        67      2.616           2.609           3.457           2.985
        68      2.917           2.911           3.645           3.238
        69      2.460           2.447           3.301           2.817
        70      2.717           2.701           3.488           3.052
        71      2.586           2.558           3.372           2.933
        72      3.008           2.975           3.700           3.317
        73      3.140           3.119           3.706           3.401
        74      3.163           3.137           3.736           3.428
        75      2.894           2.868           3.494           3.175
        76      2.894           2.872           3.476           3.167
        77      3.103           3.072           3.716           3.379
        78      3.353           3.335           3.901           3.607
        79      3.463           3.444           4.004           3.713
        80      3.094           3.070           3.669           3.359
        81      3.226           3.208           3.821           3.505
        82      3.112           3.092           3.715           3.382
        83      2.986           2.970           3.596           3.258
        84      3.243           3.224           3.854           3.532
        85      2.991           2.974           3.606           3.286
        86      3.000           2.989           3.625           3.299
        87      3.325           3.314           3.913           3.615
        88      3.207           3.197           3.821           3.512
        89      3.125           3.109           3.763           3.422
        90      3.334           3.315           3.906           3.607
        91      2.917           2.908           3.556           3.215
        92      2.991           2.969           3.628           3.269
        93      3.191           3.176           3.826           3.487
        94      3.065           3.042           3.645           3.323
        95      3.432           3.405           3.884           3.641
        96      3.137           3.122           3.705           3.393
        97      3.137           3.103           3.750           3.404
        98      3.183           3.160           3.835           3.490
        99      3.174           3.148           3.793           3.451
       100      3.104           3.090           3.749           3.390
       101      3.061           3.048           3.631           3.323
       102      3.312           3.292           3.887           3.589
       103      2.998           2.980           3.593           3.277
       104      3.419           3.405           3.932           3.659
       105      3.400           3.378           3.920           3.631
       106      3.178           3.154           3.648           3.393
       107      3.356           3.332           3.889           3.603
       108      3.504           3.481           4.043           3.747
       109      3.082           3.059           3.602           3.319
       110      3.304           3.293           3.851           3.560
       111      3.399           3.389           3.864           3.613
       112      3.115           3.105           3.669           3.375
       113      3.194           3.180           3.736           3.442
       114      3.192           3.172           3.690           3.426
       115      3.005           2.991           3.646           3.316
       116      2.941           2.917           3.540           3.226
       117      3.251           3.239           3.811           3.513
       118      3.491           3.465           4.019           3.749
       119      3.244           3.220           3.842           3.519
       120      3.056           3.035           3.731           3.374
       121      3.059           3.030           3.671           3.350
       122      3.385           3.351           3.967           3.656
       123      3.512           3.492           4.103           3.798
       124      3.024           2.999           3.700           3.361
       125      3.233           3.200           3.784           3.503
       126      2.834           2.808           3.538           3.176
       127      3.153           3.127           3.739           3.446
       128      3.177           3.148           3.791           3.463
       129      3.022           2.997           3.672           3.319
       130      3.163           3.140           3.779           3.457
       131      3.345           3.322           3.920           3.614
       132      3.096           3.075           3.686           3.394
       133      3.022           2.992           3.598           3.293
       134      3.069           3.046           3.646           3.340
       135      3.291           3.268           3.908           3.592
       136      3.102           3.080           3.698           3.400
       137      2.917           2.899           3.538           3.210
       138      2.978           2.962           3.599           3.289
       139      2.660           2.637           3.309           2.975
       140      2.891           2.863           3.510           3.184
       141      3.141           3.114           3.750           3.435
       142      3.117           3.083           3.679           3.386
       143      3.023           3.007           3.641           3.333
       144      2.932           2.918           3.624           3.265
       145      2.946           2.922           3.594           3.255
       146      2.884           2.856           3.543           3.208
       147      2.961           2.934           3.628           3.277
       148      2.718           2.686           3.448           3.078
       149      2.707           2.684           3.398           3.045
       150      2.904           2.869           3.503           3.195
       151      2.834           2.807           3.553           3.187
       152      2.966           2.942           3.621           3.281
       153      2.621           2.599           3.397           3.006
       154      2.852           2.829           3.557           3.189
       155      3.085           3.053           3.781           3.401
       156      3.246           3.208           3.917           3.541
       157      2.704           2.680           3.455           3.054
       158      2.800           2.788           3.586           3.170
       159      2.958           2.926           3.625           3.255
       160      2.783           2.754           3.487           3.110
       161      2.982           2.950           3.670           3.302
       162      3.325           3.294           3.920           3.597
       163      3.273           3.242           3.965           3.585
       164      3.259           3.224           3.898           3.555
       165      3.079           3.047           3.673           3.362
       166      3.231           3.198           3.884           3.545
       167      3.144           3.115           3.806           3.451
       168      3.017           2.983           3.715           3.334
       169      2.774           2.749           3.443           3.081
       170      2.742           2.715           3.431           3.064
       171      3.105           3.081           3.805           3.433
       172      3.112           3.090           3.805           3.435
       173      3.216           3.182           3.837           3.501
       174      2.966           2.933           3.633           3.267
       175      3.110           3.091           3.755           3.397
       176      2.907           2.884           3.651           3.249
       177      2.685           2.659           3.398           3.016
       178      2.869           2.843           3.541           3.171
       179      2.953           2.928           3.666           3.278
       180      2.907           2.877           3.594           3.216
       181      3.106           3.077           3.757           3.400
       182      3.562           3.527           4.100           3.813
       183      3.365           3.341           3.973           3.650
       184      3.008           2.981           3.643           3.292
       185      3.209           3.184           3.829           3.483
       186      2.945           2.921           3.570           3.237
       187      3.026           2.996           3.616           3.286
       188      2.550           2.530           3.331           2.906
       189      3.081           3.060           3.748           3.383
       190      2.837           2.811           3.440           3.104
       191      2.554           2.524           3.306           2.880
       192      2.741           2.714           3.461           3.066
       193      3.066           3.039           3.781           3.380
       194      3.123           3.097           3.766           3.403
       195      3.166           3.137           3.828           3.461
       196      2.889           2.863           3.652           3.239
       197      2.642           2.615           3.433           2.998
       198      2.947           2.925           3.709           3.296
       199      2.999           2.982           3.779           3.363
       200      2.937           2.910           3.738           3.307
       201      2.843           2.820           3.686           3.236
       202      3.157           3.135           3.868           3.478
       203      2.711           2.689           3.505           3.091
       204      2.555           2.532           3.359           2.921
       205      2.597           2.572           3.411           2.971
       206      2.411           2.400           3.314           2.843
       207      2.600           2.576           3.425           3.004
       208      2.879           2.847           3.730           3.277
       209      2.749           2.726           3.514           3.107
       210      2.881           2.867           3.651           3.246
       211      2.382           2.362           3.229           2.803
       212      2.742           2.713           3.619           3.165
       213      2.736           2.710           3.593           3.148
       214      2.880           2.855           3.732           3.303
       215      2.769           2.746           3.586           3.179
       216      2.488           2.474           3.366           2.924
       217      2.440           2.410           3.318           2.863
       218      2.695           2.675           3.502           3.077
       219      2.613           2.588           3.399           2.997
       220      2.671           2.646           3.513           3.064
       221      2.949           2.916           3.679           3.295
       222      2.402           2.380           3.279           2.835
       223      2.510           2.485           3.350           2.919
       224      2.347           2.326           3.271           2.795
       225      2.566           2.531           3.418           2.978
       226      2.287           2.259           3.241           2.746
       227      2.658           2.633           3.488           3.056
       228      2.695           2.664           3.566           3.128
       229      2.859           2.837           3.691           3.278
       230      2.514           2.485           3.363           2.950
       231      2.809           2.776           3.581           3.195
       232      2.756           2.732           3.580           3.176
       233      2.908           2.883           3.759           3.329
       234      2.894           2.864           3.745           3.318
       235      2.738           2.713           3.598           3.168
       236      3.337           3.313           4.060           3.704
       237      2.902           2.879           3.740           3.316
       238      3.089           3.066           3.821           3.456
       239      2.982           2.947           3.819           3.401
       240      2.907           2.866           3.678           3.284
       241      2.799           2.767           3.640           3.203
       242      2.664           2.633           3.563           3.093
       243      2.834           2.801           3.666           3.243
       244      2.377           2.352           3.401           2.884
       245      2.482           2.449           3.407           2.927
       246      2.653           2.621           3.525           3.065
       247      2.817           2.770           3.679           3.228
       248      2.679           2.640           3.531           3.089
       249      2.745           2.710           3.567           3.143
       250      2.810           2.767           3.644           3.222
       251      2.604           2.574           3.515           3.046
       252      2.725           2.699           3.638           3.151
       253      2.610           2.580           3.456           3.010
