  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      1.952           1.986           2.400           2.100
         2      1.814           1.857           2.340           2.031
         3      2.142           2.185           2.677           2.393
         4      2.296           2.350           2.826           2.531
         5      2.407           2.453           2.952           2.666
         6      2.692           2.770           3.124           2.877
         7      2.687           2.759           3.147           2.872
         8      2.669           2.753           3.080           2.846
         9      2.560           2.638           3.051           2.770
        10      2.739           2.817           3.246           2.972
        11      2.362           2.443           2.994           2.644
        12      2.598           2.662           3.172           2.839
        13      2.730           2.790           3.363           3.012
        14      2.644           2.721           3.182           2.881
        15      2.516           2.601           3.134           2.778
        16      2.386           2.478           2.981           2.633
        17      2.770           2.826           3.272           2.964
        18      2.702           2.766           3.194           2.913
        19      2.556           2.614           3.130           2.809
        20      2.566           2.613           3.056           2.759
        21      2.734           2.773           3.283           2.961
        22      2.652           2.691           3.164           2.864
        23      2.669           2.715           3.276           2.912
        24      2.592           2.616           3.276           2.868
        25      2.639           2.662           3.309           2.911
        26      2.692           2.710           3.334           2.925
        27      2.772           2.792           3.417           3.032
        28      2.692           2.739           3.357           2.957
        29      2.648           2.686           3.395           2.967
        30      2.698           2.720           3.423           2.984
        31      2.686           2.704           3.423           2.979
        32      2.715           2.743           3.320           2.953
        33      2.740           2.766           3.442           3.044
        34      2.779           2.805           3.493           3.063
        35      2.788           2.804           3.429           3.033
        36      2.580           2.599           3.323           2.871
        37      2.655           2.682           3.407           2.948
        38      2.684           2.716           3.374           2.948
        39      2.676           2.713           3.284           2.899
        40      2.755           2.772           3.387           3.003
        41      2.656           2.687           3.323           2.936
        42      2.619           2.643           3.297           2.903
        43      2.830           2.847           3.406           3.026
        44      2.596           2.630           3.205           2.815
        45      2.651           2.665           3.272           2.884
        46      2.669           2.702           3.211           2.878
        47      2.766           2.796           3.371           3.008
        48      2.539           2.557           3.197           2.775
        49      2.601           2.627           3.280           2.854
        50      2.636           2.653           3.262           2.845
        51      2.632           2.654           3.279           2.857
        52      2.556           2.580           3.242           2.805
        53      2.552           2.573           3.201           2.777
        54      2.582           2.608           3.217           2.792
        55      2.593           2.612           3.273           2.841
        56      2.561           2.579           3.187           2.773
        57      2.570           2.585           3.187           2.776
        58      2.601           2.599           3.235           2.843
        59      2.603           2.603           3.254           2.845
        60      2.505           2.517           3.109           2.720
        61      2.640           2.662           3.328           2.911
        62      2.500           2.521           3.136           2.740
        63      2.526           2.561           3.163           2.772
        64      2.681           2.705           3.293           2.890
        65      2.722           2.742           3.327           2.945
        66      2.741           2.754           3.294           2.918
        67      2.649           2.658           3.256           2.881
        68      2.677           2.705           3.302           2.929
        69      2.673           2.695           3.368           2.957
        70      2.725           2.750           3.346           2.963
        71      2.724           2.754           3.387           2.990
        72      2.875           2.876           3.548           3.152
        73      3.107           3.122           3.720           3.360
        74      3.165           3.187           3.738           3.387
        75      3.060           3.078           3.672           3.321
        76      3.053           3.079           3.634           3.282
        77      2.920           2.925           3.594           3.201
        78      3.138           3.135           3.721           3.370
        79      3.138           3.159           3.733           3.376
        80      3.151           3.152           3.693           3.363
        81      3.023           3.044           3.612           3.270
        82      3.153           3.166           3.696           3.381
        83      3.101           3.120           3.698           3.342
        84      3.119           3.144           3.650           3.340
        85      3.082           3.094           3.669           3.314
        86      2.977           2.990           3.562           3.204
        87      3.061           3.082           3.665           3.321
        88      3.053           3.076           3.679           3.311
        89      3.063           3.078           3.657           3.320
        90      2.979           3.023           3.595           3.255
        91      2.968           2.993           3.528           3.195
        92      2.909           2.947           3.493           3.173
        93      3.072           3.094           3.649           3.318
        94      3.065           3.098           3.641           3.314
        95      3.030           3.051           3.614           3.276
        96      3.042           3.077           3.630           3.310
        97      3.086           3.120           3.573           3.288
        98      3.000           3.025           3.527           3.207
        99      2.952           2.966           3.501           3.163
       100      2.915           2.937           3.479           3.148
       101      2.844           2.869           3.382           3.040
       102      3.040           3.063           3.580           3.269
       103      3.042           3.074           3.638           3.289
       104      2.970           2.998           3.551           3.207
       105      3.107           3.161           3.639           3.328
       106      3.039           3.082           3.557           3.230
       107      3.067           3.096           3.612           3.291
       108      3.053           3.077           3.672           3.308
       109      3.052           3.082           3.612           3.276
       110      3.136           3.165           3.694           3.356
       111      3.184           3.212           3.733           3.386
       112      3.221           3.240           3.754           3.411
       113      3.139           3.189           3.615           3.320
       114      3.224           3.239           3.732           3.417
       115      3.147           3.170           3.656           3.341
       116      3.210           3.240           3.695           3.395
       117      3.130           3.158           3.655           3.348
       118      3.224           3.257           3.711           3.439
       119      3.134           3.162           3.687           3.369
