  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      4.395           4.282           5.278           4.696
         2      6.014           5.932           6.900           6.437
         3      5.566           5.495           6.908           6.227
         4      5.186           5.128           6.179           5.609
         5      7.073           6.952           8.226           7.614
         6      7.715           7.636           8.292           8.000
         7      8.808           8.753           9.136           8.942
         8      7.267           7.246           7.950           7.613
         9      8.249           8.132           9.321           8.797
        10      8.770           8.680          10.151           9.586
        11      7.077           6.960           8.803           7.965
        12      6.768           6.674           8.678           7.754
        13      7.146           7.031           8.917           8.048
        14      7.624           7.482           9.747           8.738
        15      6.807           6.672           8.708           7.778
        16      7.132           6.967           9.030           8.049
        17      8.372           8.199          10.173           9.294
        18      9.367           9.210          11.064          10.219
        19      8.049           7.852           9.977           8.975
        20      7.696           7.495           9.456           8.538
        21      8.277           8.120          10.168           9.232
        22      6.831           6.604           8.994           7.930
        23      7.070           6.887           9.335           8.307
        24      7.614           7.422           9.801           8.814
        25      9.355           9.198          11.472          10.364
        26      9.422           9.265          11.514          10.420
        27      8.290           8.156          10.566           9.360
        28      9.061           8.910          10.975           9.953
        29      8.711           8.582          10.605           9.600
        30      8.825           8.680          10.509           9.637
        31      9.300           9.163          11.169          10.199
        32      9.730           9.595          11.398          10.561
        33     10.375          10.254          12.017          11.257
        34     10.586          10.451          12.342          11.546
        35     10.156          10.026          12.471          11.271
        36     10.024           9.900          12.161          11.192
        37     10.049           9.940          11.969          11.198
        38      9.516           9.399          11.930          10.845
        39      9.357           9.228          11.924          10.608
        40      9.168           9.014          11.520          10.530
        41      9.188           9.056          11.253          10.436
        42      8.431           8.271          11.071           9.885
        43      8.159           8.061          10.533           9.499
        44      9.915           9.831          11.907          11.022
        45      9.891           9.827          11.781          10.888
        46      8.913           8.776          11.463          10.203
        47      9.416           9.248          11.448          10.465
        48      8.692           8.527          10.631           9.895
        49      7.616           7.464           9.650           8.746
        50      8.205           8.063           9.871           9.160
        51      8.453           8.328          10.617           9.774
        52      8.378           8.260          10.654           9.912
        53      8.464           8.363          11.091          10.004
        54      7.665           7.531           9.795           9.059
        55      7.580           7.484           9.965           8.964
        56      8.146           8.024          10.633           9.641
        57      8.481           8.394          11.357           9.975
        58      9.117           9.029          11.410          10.446
        59      9.424           9.357          11.269          10.643
        60      8.915           8.896           9.961           9.507
        61      8.766           8.792           9.621           9.236
        62      8.352           8.323           9.355           8.896
        63      7.643           7.647           8.605           8.178
        64      8.662           8.640           9.626           9.225
        65      7.950           7.940           9.136           8.650
        66      8.642           8.598          10.379           9.665
        67      8.911           8.884          10.647           9.950
        68      8.628           8.553          10.772           9.906
        69      8.602           8.532          10.461           9.731
        70      8.695           8.568          10.547           9.884
        71      8.693           8.591          10.674           9.860
        72      8.253           8.191           9.890           9.256
        73      8.579           8.538           9.772           9.301
        74      8.317           8.223          10.118           9.393
        75      8.825           8.737          11.104          10.196
        76      8.468           8.333          11.017           9.854
        77      8.149           8.047           9.952           9.282
        78      7.951           7.843           9.712           9.025
        79      8.433           8.328          10.178           9.437
        80      8.906           8.779          10.759           9.972
        81      8.905           8.809          10.756          10.038
        82      9.386           9.293          10.876          10.259
        83      9.018           8.903          10.445           9.836
        84      9.304           9.236          11.118          10.416
        85      8.423           8.326          10.108           9.362
        86      8.114           8.039           9.697           9.002
        87      7.795           7.732           9.080           8.513
        88      9.343           9.261          10.476          10.030
        89      9.183           9.100          10.152           9.750
        90      9.433           9.359          10.600          10.173
        91     10.089           9.970          11.698          11.315
        92      8.995           8.930          10.516          10.031
        93      9.190           9.131          10.634          10.111
        94      9.829           9.779          11.302          10.767
        95      8.627           8.590           9.978           9.427
        96      8.189           8.176           9.093           8.733
        97      7.934           7.924           8.804           8.408
        98      8.318           8.303           8.899           8.683
        99      7.698           7.694           8.756           8.291
       100      7.983           7.968           8.867           8.510
       101      8.211           8.187           9.597           9.070
       102      8.008           7.960           9.317           8.814
       103      7.182           7.171           8.315           7.812
       104      6.833           6.823           8.027           7.458
       105      8.063           8.074           9.180           8.722
       106      6.852           6.834           8.223           7.647
       107      7.091           7.103           8.027           7.602
       108      6.625           6.604           7.892           7.287
       109      6.279           6.266           7.664           7.016
       110      5.484           5.474           7.074           6.348
       111      6.664           6.633           7.888           7.335
       112      6.823           6.803           8.052           7.556
       113      6.597           6.496           8.042           7.407
       114      7.059           7.004           8.310           7.770
       115      6.857           6.813           7.979           7.477
       116      7.337           7.265           8.565           8.075
       117      7.149           7.078           8.510           7.905
       118      8.260           8.204           9.184           8.821
       119      7.676           7.650           8.838           8.377
       120      7.293           7.284           8.442           8.030
       121      7.081           7.084           8.237           7.756
       122      6.452           6.460           7.793           7.245
       123      8.566           8.517           9.452           9.123
       124      8.476           8.438           9.645           9.185
       125      7.562           7.535           8.755           8.258
       126      7.865           7.856           9.060           8.546
       127      8.120           8.099           9.073           8.664
       128      7.553           7.534           8.704           8.197
       129      7.582           7.550           8.663           8.172
       130      8.930           8.892           9.643           9.385
       131      8.935           8.889           9.567           9.383
       132      7.849           7.833           8.840           8.479
       133      8.471           8.422           9.192           8.937
       134      9.856           9.838          10.257          10.223
       135      8.965           8.945           9.634           9.426
       136      9.071           9.030           9.716           9.575
       137      8.738           8.687           9.761           9.424
       138      8.833           8.801           9.770           9.487
       139      7.797           7.770           8.928           8.544
       140      8.096           8.066           9.176           8.801
       141      8.649           8.626           9.629           9.313
       142      8.922           8.916           9.840           9.563
       143      8.240           8.230           9.375           8.996
       144      8.762           8.751           9.986           9.579
       145      8.823           8.785           9.901           9.563
       146      8.828           8.816           9.621           9.405
       147      8.167           8.149           9.154           8.835
       148      9.383           9.340          10.104           9.889
       149      9.674           9.630          10.239          10.132
       150      8.239           8.238           9.110           8.812
