  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      2.084           2.089           2.663           2.313
         2      2.622           2.623           3.165           2.854
         3      2.908           2.901           3.430           3.141
         4      3.268           3.265           3.736           3.485
         5      4.071           4.071           4.445           4.232
         6      3.597           3.604           4.035           3.781
         7      3.574           3.576           4.051           3.769
         8      3.723           3.722           4.183           3.904
         9      3.350           3.355           3.841           3.542
        10      3.807           3.809           4.216           3.981
        11      3.604           3.602           4.060           3.804
        12      3.645           3.643           4.082           3.818
        13      3.790           3.786           4.281           3.998
        14      3.945           3.942           4.404           4.134
        15      4.058           4.052           4.494           4.229
        16      4.331           4.336           4.740           4.483
        17      3.971           3.968           4.466           4.171
        18      4.529           4.533           4.984           4.733
        19      4.269           4.273           4.721           4.480
        20      3.628           3.626           4.149           3.859
        21      3.895           3.887           4.441           4.147
        22      3.043           3.029           3.594           3.302
        23      3.145           3.137           3.774           3.437
        24      3.605           3.614           4.219           3.890
        25      3.481           3.482           4.134           3.786
        26      3.164           3.141           3.792           3.428
        27      3.619           3.616           4.172           3.886
        28      4.025           4.030           4.539           4.283
        29      3.882           3.886           4.490           4.197
        30      4.447           4.445           5.058           4.778
        31      4.204           4.210           4.847           4.542
        32      3.972           3.968           4.533           4.242
        33      3.641           3.643           4.240           3.943
        34      3.232           3.220           3.833           3.512
        35      3.400           3.397           3.969           3.666
        36      3.194           3.182           3.831           3.500
        37      3.197           3.182           3.769           3.453
        38      2.907           2.897           3.557           3.195
        39      3.172           3.171           3.773           3.452
        40      3.497           3.486           4.083           3.774
        41      4.037           4.037           4.610           4.323
        42      3.538           3.529           4.188           3.853
        43      4.245           4.236           4.783           4.526
        44      4.237           4.234           4.745           4.502
        45      3.954           3.940           4.536           4.254
        46      4.366           4.354           4.965           4.686
        47      4.550           4.541           5.201           4.900
        48      3.863           3.847           4.508           4.194
        49      4.321           4.311           4.896           4.624
        50      4.098           4.081           4.661           4.386
        51      3.942           3.934           4.545           4.249
        52      4.927           4.910           5.429           5.198
        53      4.655           4.643           5.147           4.909
        54      4.610           4.597           5.084           4.860
        55      4.272           4.262           4.828           4.572
        56      4.872           4.853           5.354           5.119
        57      4.801           4.783           5.390           5.116
        58      4.590           4.578           5.167           4.890
        59      4.731           4.715           5.295           5.033
        60      4.717           4.702           5.294           5.030
        61      4.703           4.695           5.280           5.033
        62      4.736           4.722           5.331           5.056
        63      4.775           4.763           5.367           5.098
        64      5.089           5.081           5.663           5.412
        65      4.738           4.726           5.328           5.063
        66      5.275           5.267           5.829           5.584
        67      4.465           4.460           5.122           4.811
        68      4.699           4.702           5.302           5.029
        69      4.649           4.644           5.252           4.975
        70      4.407           4.412           5.040           4.749
        71      4.190           4.187           4.820           4.517
        72      4.336           4.328           4.959           4.666
        73      4.427           4.422           4.963           4.719
        74      4.118           4.109           4.660           4.396
        75      4.145           4.130           4.719           4.451
        76      4.683           4.676           5.202           4.981
        77      5.385           5.367           5.888           5.668
        78      5.156           5.146           5.613           5.428
        79      5.286           5.282           5.779           5.579
        80      5.369           5.357           5.848           5.653
        81      4.926           4.915           5.426           5.215
        82      4.710           4.703           5.224           4.992
        83      4.807           4.804           5.333           5.106
        84      4.812           4.812           5.350           5.126
        85      4.663           4.656           5.181           4.962
        86      4.661           4.654           5.196           4.962
        87      4.700           4.697           5.254           5.015
        88      4.644           4.643           5.196           4.955
        89      5.150           5.142           5.665           5.445
        90      5.227           5.220           5.696           5.512
        91      5.130           5.130           5.622           5.423
        92      4.437           4.431           5.000           4.735
        93      4.740           4.732           5.292           5.044
        94      5.020           5.012           5.505           5.303
        95      5.372           5.360           5.814           5.638
        96      5.111           5.108           5.600           5.395
        97      5.141           5.123           5.628           5.423
        98      5.203           5.187           5.742           5.502
        99      4.662           4.647           5.225           4.956
       100      4.861           4.851           5.390           5.147
       101      4.702           4.685           5.207           4.969
       102      4.944           4.923           5.438           5.216
       103      5.545           5.527           5.995           5.801
       104      4.883           4.876           5.367           5.147
       105      5.197           5.188           5.650           5.443
       106      5.326           5.311           5.731           5.555
       107      4.913           4.897           5.405           5.180
       108      4.852           4.837           5.366           5.128
       109      5.100           5.086           5.579           5.361
       110      5.346           5.339           5.793           5.603
       111      5.196           5.186           5.673           5.459
       112      5.354           5.344           5.823           5.621
       113      5.172           5.166           5.641           5.440
       114      5.193           5.175           5.662           5.461
       115      4.903           4.889           5.407           5.184
