  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      2.998           2.986           3.608           3.240
         2      3.726           3.714           4.298           3.979
         3      3.857           3.845           4.419           4.113
         4      4.369           4.366           4.782           4.558
         5      5.126           5.109           5.500           5.297
         6      4.943           4.938           5.298           5.105
         7      5.166           5.155           5.534           5.319
         8      5.027           5.023           5.506           5.227
         9      4.961           4.947           5.421           5.150
        10      5.772           5.756           6.166           5.929
        11      5.407           5.391           5.818           5.575
        12      5.615           5.599           5.977           5.756
        13      5.643           5.620           6.123           5.849
        14      5.873           5.849           6.299           6.040
        15      5.966           5.941           6.310           6.094
        16      6.059           6.039           6.442           6.205
        17      6.127           6.102           6.524           6.278
        18      7.121           7.103           7.409           7.237
        19      6.443           6.424           6.780           6.582
        20      5.815           5.787           6.230           5.993
        21      6.076           6.053           6.499           6.257
        22      4.649           4.613           5.264           4.935
        23      5.225           5.199           5.850           5.514
        24      6.285           6.275           6.831           6.526
        25      6.737           6.709           7.210           6.935
        26      6.146           6.103           6.644           6.344
        27      6.478           6.459           6.958           6.690
        28      7.432           7.408           7.783           7.583
        29      7.845           7.828           8.335           8.059
        30      7.672           7.650           8.249           7.936
        31      7.911           7.891           8.388           8.110
        32      6.917           6.886           7.380           7.105
        33      6.503           6.475           6.916           6.676
        34      6.820           6.774           7.141           6.946
        35      6.951           6.908           7.244           7.064
        36      6.829           6.783           7.154           6.959
        37      6.788           6.743           7.056           6.891
        38      6.607           6.569           6.995           6.765
        39      6.621           6.580           7.028           6.811
        40      6.492           6.460           7.024           6.743
        41      6.754           6.742           7.301           7.026
        42      6.353           6.331           6.996           6.660
        43      6.697           6.671           7.316           6.998
        44      7.860           7.832           8.249           8.035
        45      7.374           7.349           7.808           7.565
        46      8.091           8.069           8.569           8.314
        47      8.039           8.017           8.602           8.301
        48      7.154           7.141           7.767           7.444
        49      7.565           7.555           8.159           7.846
        50      7.479           7.472           8.067           7.762
        51      7.734           7.715           8.263           7.986
        52      8.310           8.288           8.827           8.567
        53      7.913           7.900           8.367           8.117
        54      7.044           7.031           7.557           7.287
        55      7.165           7.148           7.593           7.365
        56      8.492           8.471           8.930           8.691
        57      9.100           9.081           9.577           9.319
        58      8.725           8.709           9.086           8.876
        59      9.008           8.990           9.423           9.198
        60      8.869           8.850           9.272           9.046
        61      9.277           9.278           9.668           9.461
        62      8.749           8.746           9.209           8.968
        63      9.317           9.317           9.777           9.529
        64     10.214          10.217          10.605          10.395
        65      9.721           9.717          10.087           9.882
        66     10.474          10.470          10.842          10.636
        67     10.236          10.218          10.652          10.420
        68     10.308          10.300          10.691          10.501
        69      9.260           9.253           9.740           9.492
        70      8.679           8.661           9.197           8.922
        71      8.678           8.663           9.161           8.910
        72      8.262           8.239           8.738           8.506
        73      7.767           7.754           8.324           8.034
        74      8.138           8.124           8.592           8.360
        75      8.485           8.467           8.843           8.655
        76      9.379           9.369           9.774           9.569
        77      9.862           9.849          10.328          10.083
        78      9.486           9.471           9.955           9.707
        79      9.946           9.934          10.256          10.073
        80     10.233          10.213          10.546          10.365
        81      9.794           9.776          10.114           9.934
        82      9.931           9.920          10.097           9.990
        83     10.341          10.332          10.495          10.399
        84     10.605          10.595          10.726          10.658
        85     10.097          10.080          10.266          10.158
        86      9.833           9.818          10.083           9.931
        87      9.179           9.168           9.490           9.318
        88     10.316          10.301          10.459          10.364
        89     10.775          10.757          10.910          10.824
        90     10.663          10.652          10.717          10.684
        91     10.654          10.642          10.753          10.698
        92     10.034          10.016          10.188          10.101
        93      9.864           9.849          10.020           9.925
        94     10.049          10.036          10.135          10.081
        95      9.374           9.359           9.534           9.443
        96      9.204           9.201           9.471           9.313
        97      9.136           9.130           9.315           9.205
        98      9.107           9.106           9.392           9.231
        99      8.272           8.268           8.616           8.417
       100      8.861           8.856           9.146           8.981
       101      9.192           9.187           9.424           9.281
       102      8.955           8.929           9.278           9.102
       103      8.695           8.683           9.059           8.862
       104      8.302           8.291           8.692           8.468
       105      8.971           8.965           9.246           9.087
       106      8.734           8.725           9.061           8.881
       107      8.344           8.335           8.656           8.475
       108      8.392           8.385           8.768           8.549
