frame#,Prot_CA,Prot_Backbone,Prot_Sidechain,Prot_All_Heavy
0,0.000,0.000,0.000,0.000
1,1.076,1.076,1.817,1.345
2,1.463,1.477,2.340,1.797
3,1.629,1.635,2.734,2.059
4,2.245,2.232,3.350,2.705
5,2.024,2.026,3.006,2.410
6,1.394,1.415,2.530,1.877
7,1.606,1.633,2.570,2.023
8,1.782,1.799,2.473,2.052
9,2.302,2.279,3.095,2.552
10,1.929,1.930,2.785,2.270
11,1.988,1.993,2.649,2.224
12,1.805,1.823,2.733,2.191
13,2.059,2.051,2.753,2.277
14,1.784,1.802,2.375,1.960
15,1.415,1.467,2.422,1.860
16,1.570,1.610,2.349,1.856
17,1.146,1.139,2.370,1.689
18,1.677,1.680,2.557,2.107
19,1.138,1.202,2.105,1.567
20,1.547,1.555,2.476,1.966
21,1.886,1.945,2.806,2.304
22,2.216,2.241,3.089,2.609
23,2.157,2.132,2.908,2.440
24,2.123,2.124,2.900,2.476
25,2.269,2.257,2.998,2.575
26,1.966,2.000,2.931,2.402
27,1.666,1.676,2.860,2.232
28,1.941,1.945,3.056,2.476
29,1.665,1.690,2.822,2.213
30,1.443,1.494,2.770,2.099
31,1.733,1.746,2.813,2.229
32,1.652,1.681,2.676,2.107
33,1.751,1.758,2.712,2.139
34,1.981,1.997,2.802,2.351
35,1.966,2.002,3.021,2.449
36,1.703,1.757,2.676,2.121
37,1.463,1.525,2.667,2.065
38,1.332,1.423,2.443,1.878
39,1.709,1.757,2.935,2.293
40,1.791,1.838,2.813,2.201
41,1.351,1.411,2.435,1.854
42,1.777,1.802,2.872,2.256
43,1.581,1.613,2.571,2.030
44,1.948,1.991,2.921,2.394
45,1.737,1.782,2.627,2.108
46,1.645,1.715,2.610,2.045
47,1.820,1.869,2.936,2.327
48,1.679,1.776,2.737,2.184
49,1.680,1.767,2.891,2.242
50,1.597,1.666,2.785,2.094
51,1.721,1.772,2.994,2.303
52,1.530,1.651,2.602,1.986
53,1.510,1.577,2.605,1.994
54,1.379,1.520,2.649,2.010
55,1.451,1.547,2.509,1.960
56,1.814,1.878,2.523,2.140
57,1.464,1.555,2.459,1.928
58,1.166,1.258,2.402,1.797
59,1.082,1.230,2.220,1.614
60,0.992,1.097,2.229,1.571
61,1.496,1.562,2.612,2.013
62,1.505,1.533,2.576,1.974
63,1.376,1.394,2.266,1.724
64,1.968,1.997,2.952,2.425
65,1.798,1.862,2.925,2.343
66,1.828,1.856,2.806,2.234
67,1.549,1.600,2.797,2.096
68,1.870,1.922,3.047,2.370
69,2.088,2.129,3.159,2.518
70,2.343,2.319,3.338,2.688
71,1.878,1.884,3.087,2.370
72,2.046,2.063,3.164,2.473
73,2.055,2.072,3.239,2.525
74,1.858,1.875,3.147,2.380
75,1.926,1.956,2.996,2.314
76,2.124,2.138,2.937,2.389
77,2.200,2.187,2.918,2.364
78,2.368,2.403,3.176,2.596
79,2.105,2.126,3.016,2.408
80,2.660,2.654,3.257,2.782
81,2.472,2.459,3.259,2.684
82,2.532,2.540,3.057,2.641
83,2.197,2.220,3.194,2.585
84,2.078,2.151,3.175,2.505
85,2.084,2.151,2.990,2.397
86,2.138,2.205,3.129,2.521
87,2.331,2.375,3.098,2.580
88,2.293,2.345,3.235,2.648
89,2.215,2.268,3.197,2.625
90,2.051,2.088,3.045,2.439
91,2.189,2.246,3.083,2.504
92,2.302,2.369,3.052,2.594
93,1.881,1.946,2.886,2.298
94,2.026,2.084,3.061,2.469
95,1.994,2.064,2.941,2.382
96,2.161,2.225,3.100,2.524
97,2.237,2.295,3.308,2.666
98,2.111,2.155,3.113,2.501
99,2.089,2.181,3.082,2.511
100,2.079,2.139,2.915,2.396
101,2.002,2.046,3.126,2.452
102,1.872,1.912,2.919,2.301
103,1.801,1.870,2.897,2.300
104,1.694,1.761,2.979,2.300
105,1.871,1.959,3.305,2.553
106,2.088,2.174,3.193,2.558
107,1.832,1.910,3.139,2.405
108,1.724,1.782,3.218,2.369
109,2.104,2.167,3.368,2.633
110,2.022,2.093,3.135,2.458
111,2.323,2.360,3.271,2.653
112,2.087,2.155,3.060,2.473
113,2.033,2.108,3.173,2.519
114,2.127,2.205,3.274,2.598
115,2.301,2.368,3.338,2.743
116,1.923,1.979,3.150,2.481
117,2.093,2.173,3.190,2.563
118,2.316,2.398,3.331,2.711
119,2.336,2.386,3.232,2.661
120,2.083,2.168,3.118,2.455
121,2.282,2.358,3.222,2.638
122,2.265,2.320,3.288,2.663
123,2.136,2.196,3.163,2.554
124,1.960,2.017,3.074,2.420
125,1.908,1.974,3.104,2.410
126,1.994,2.072,3.112,2.467
127,2.043,2.082,3.245,2.543
128,1.930,2.020,3.001,2.356
129,2.269,2.320,3.347,2.657
130,2.087,2.141,3.139,2.498
131,1.936,2.000,3.008,2.353
132,1.950,2.049,3.029,2.385
133,2.341,2.371,3.313,2.692
134,2.431,2.466,3.302,2.721
135,2.663,2.719,3.420,2.899
136,2.241,2.309,3.251,2.631
137,2.132,2.191,3.247,2.579
138,2.144,2.205,3.009,2.436
139,2.773,2.829,3.535,3.039
140,2.595,2.666,3.251,2.814
141,2.700,2.746,3.376,2.877
142,2.356,2.389,3.014,2.546
143,2.950,2.971,3.537,3.098
144,2.316,2.338,2.972,2.480
145,2.400,2.446,3.102,2.579
146,1.825,1.898,2.782,2.166
147,2.269,2.321,3.129,2.554
148,2.242,2.288,3.108,2.538
149,2.147,2.195,2.991,2.417
150,2.364,2.417,3.302,2.651
151,2.447,2.483,3.213,2.655
152,2.212,2.271,3.062,2.513
153,2.193,2.259,3.034,2.511
154,2.275,2.309,3.117,2.552
155,2.499,2.549,3.086,2.677
156,2.274,2.329,3.066,2.552
157,2.319,2.387,3.043,2.572
158,2.631,2.667,3.320,2.841
159,1.918,2.006,2.993,2.354
160,2.407,2.470,3.227,2.694
161,2.197,2.261,3.068,2.514
162,2.210,2.274,3.102,2.570
163,2.511,2.599,3.335,2.822
164,2.292,2.368,3.307,2.664
165,1.747,1.794,2.981,2.242
166,1.886,1.912,2.841,2.239
167,2.061,2.093,3.094,2.452
168,2.093,2.098,3.058,2.443
169,2.411,2.434,3.326,2.742
170,2.530,2.568,3.525,2.893
171,2.217,2.237,3.221,2.586
172,2.222,2.273,3.095,2.529
173,2.540,2.603,3.421,2.825
174,2.372,2.463,3.319,2.707
175,2.123,2.156,3.284,2.546
176,2.391,2.406,3.316,2.681
177,2.080,2.087,3.136,2.433
178,2.699,2.698,3.677,3.001
179,2.650,2.626,3.651,2.985
180,2.640,2.609,3.624,2.979
181,2.786,2.812,3.672,3.080
182,2.781,2.826,3.532,2.991
183,3.006,3.009,3.813,3.204
184,2.469,2.503,3.357,2.758
185,2.567,2.589,3.411,2.841
186,2.642,2.693,3.469,2.899
187,2.501,2.546,3.368,2.780
188,2.201,2.233,3.141,2.547
189,2.770,2.812,3.727,3.125
190,2.960,2.951,3.788,3.224
191,3.197,3.163,4.158,3.517
192,3.338,3.325,4.197,3.607
193,3.188,3.240,4.014,3.466
194,2.979,3.007,3.832,3.249
195,2.952,2.999,3.630,3.115
196,2.887,2.908,3.795,3.166
197,2.932,2.995,3.783,3.197
198,3.105,3.171,3.918,3.379
199,2.957,3.005,3.831,3.281
200,2.318,2.366,3.431,2.752
201,2.701,2.733,3.575,2.984
202,3.208,3.269,3.935,3.455
203,2.569,2.646,3.467,2.901
204,2.808,2.847,3.728,3.126
205,2.827,2.896,3.743,3.186
206,2.643,2.669,3.556,2.979
207,3.150,3.194,4.054,3.440
208,2.894,2.935,3.792,3.190
209,3.172,3.223,4.101,3.524
210,3.431,3.505,4.214,3.688
211,3.299,3.357,4.137,3.577
212,3.841,3.868,4.699,4.147
213,3.795,3.843,4.738,4.155
214,3.107,3.149,4.036,3.459
215,3.340,3.345,4.350,3.674
216,2.792,2.844,3.823,3.218
217,3.291,3.303,4.182,3.595
218,3.697,3.757,4.413,3.944
219,3.772,3.804,4.595,4.051
220,3.989,4.024,4.631,4.169
221,3.861,3.955,4.566,4.064
222,3.731,3.823,4.310,3.900
223,4.215,4.279,4.830,4.380
224,4.679,4.706,5.386,4.888
225,4.408,4.464,5.068,4.584
226,4.371,4.384,5.047,4.567
227,4.470,4.490,5.110,4.630
228,4.594,4.608,5.198,4.777
229,4.166,4.239,4.682,4.312
230,4.025,4.078,4.707,4.265
231,4.223,4.285,4.911,4.436
232,4.401,4.436,5.123,4.634
233,4.321,4.357,5.138,4.549
234,4.140,4.201,4.859,4.334
235,4.193,4.226,4.922,4.371
236,3.531,3.567,4.425,3.795
237,3.934,3.948,4.817,4.190
238,3.808,3.855,4.627,4.060
239,3.491,3.536,4.481,3.832
240,3.235,3.269,3.990,3.442
241,3.132,3.232,3.649,3.286
242,2.829,2.858,3.807,3.212
243,2.868,2.915,3.673,3.138
244,2.694,2.736,3.597,3.022
245,2.353,2.372,3.320,2.706
246,2.683,2.723,3.659,3.090
247,2.822,2.863,3.735,3.154
248,2.438,2.493,3.412,2.828
249,2.579,2.625,3.462,2.919
250,2.796,2.834,3.788,3.210
251,2.587,2.619,3.469,2.916
252,2.750,2.761,3.512,3.002
253,2.704,2.733,3.491,2.944
254,3.012,3.037,3.849,3.302
255,2.776,2.799,3.748,3.149
256,3.018,3.055,3.828,3.310
257,2.937,2.970,3.817,3.243
258,2.864,2.905,3.749,3.199
259,2.523,2.561,3.360,2.859
260,2.577,2.638,3.452,2.903
261,2.309,2.338,3.311,2.721
262,2.382,2.438,3.235,2.704
263,2.553,2.601,3.471,2.902
264,2.607,2.652,3.500,2.954
265,2.765,2.759,3.759,3.115
266,2.694,2.725,3.507,2.995
267,2.778,2.782,3.566,3.043
268,2.648,2.716,3.350,2.878
269,2.379,2.377,3.418,2.739
270,2.216,2.250,3.112,2.543
271,2.053,2.106,2.996,2.437
