frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	0.93	0.946	1.56	1.138
2	0.843	0.86	1.645	1.162
3	1.097	1.128	1.812	1.363
4	0.925	0.942	1.703	1.193
5	0.958	0.964	1.789	1.256
6	1.051	1.066	1.801	1.307
7	0.933	0.944	1.724	1.226
8	0.938	0.956	1.766	1.258
9	1.142	1.151	1.889	1.413
10	0.999	1.017	1.793	1.293
11	0.914	0.931	1.78	1.242
12	0.911	0.926	1.804	1.266
13	1.005	1.022	1.868	1.348
14	0.93	0.957	1.816	1.297
15	1.006	1.028	1.807	1.331
16	0.929	0.945	1.806	1.291
17	0.862	0.891	1.789	1.236
18	1.079	1.099	1.92	1.41
19	0.951	0.976	1.871	1.328
20	1.012	1.022	1.929	1.376
21	0.992	1.009	1.881	1.349
22	1.039	1.057	1.928	1.388
23	1.007	1.008	1.949	1.369
24	0.998	1.008	1.926	1.369
25	0.903	0.934	1.917	1.33
26	0.955	0.983	1.887	1.331
27	1.053	1.073	1.917	1.391
28	1.073	1.09	1.937	1.411
29	1.076	1.093	1.981	1.439
30	0.946	0.959	1.846	1.305
31	1.05	1.066	1.972	1.432
32	0.983	0.994	1.962	1.386
33	1.019	1.03	2.052	1.459
34	0.998	1.021	1.927	1.362
35	0.935	0.953	1.911	1.339
36	0.899	0.926	1.835	1.275
37	1.06	1.067	1.982	1.412
38	1.164	1.181	1.957	1.448
39	1.02	1.045	1.951	1.379
40	1.129	1.147	2.002	1.458
41	1.147	1.167	2.039	1.485
42	0.99	1.011	1.936	1.357
43	0.985	1.008	1.899	1.339
44	0.988	1.004	1.879	1.329
45	1.29	1.303	2.145	1.617
46	1.069	1.082	2.025	1.452
47	1.062	1.07	2.035	1.456
48	1.227	1.24	2.154	1.605
49	1.155	1.164	2.04	1.51
50	1.083	1.098	1.96	1.43
51	1.068	1.079	1.961	1.424
52	0.967	0.994	1.948	1.364
53	1.094	1.111	2.038	1.468
54	1.089	1.104	2.01	1.434
55	1.131	1.161	2.008	1.461
56	1.136	1.156	1.972	1.446
57	1.238	1.259	2.082	1.548
58	1.22	1.234	2.072	1.524
59	1.207	1.226	2.09	1.545
60	1.162	1.179	2.098	1.537
61	1.17	1.185	2.151	1.556
62	1.197	1.212	2.13	1.558
63	1.09	1.106	2.044	1.474
64	1.087	1.106	2.08	1.485
65	1.219	1.227	2.117	1.565
66	1.116	1.136	2.018	1.463
67	1.083	1.097	1.994	1.43
68	1.191	1.203	2.11	1.541
69	1.123	1.131	2.069	1.482
70	1.08	1.103	1.984	1.416
71	1.067	1.078	2.015	1.439
72	1.158	1.174	2.093	1.526
73	1.006	1.027	1.898	1.333
74	1.086	1.105	1.938	1.401
75	1.038	1.064	1.949	1.392
76	1.009	1.03	1.934	1.375
77	0.993	1.016	1.916	1.354
78	0.962	0.988	1.879	1.31
79	0.956	0.99	1.899	1.325
80	0.907	0.932	1.804	1.236
81	0.967	0.988	1.86	1.297
82	0.95	0.986	1.828	1.283
83	0.943	0.971	1.857	1.304
84	0.973	1.009	1.845	1.318
85	0.891	0.926	1.787	1.23
86	0.911	0.944	1.879	1.295
87	0.981	1.006	1.897	1.333
88	0.971	1.007	1.868	1.317
89	0.946	0.983	1.829	1.293
90	1.001	1.017	1.912	1.359
91	0.977	0.999	1.878	1.331
92	0.916	0.93	1.885	1.3
93	0.918	0.937	1.905	1.317
94	1.006	1.021	1.874	1.346
95	0.939	0.957	1.86	1.286
96	1.003	1.019	1.889	1.339
97	0.959	0.983	1.891	1.331
98	1.006	1.019	1.911	1.351
99	1.004	1.029	1.955	1.385
100	0.876	0.921	1.844	1.281
101	1.022	1.049	1.921	1.382
102	0.976	1	1.89	1.334
103	1.014	1.038	1.868	1.348
104	0.954	0.972	1.925	1.353
105	0.972	0.986	1.923	1.343
106	1.083	1.101	1.999	1.443
107	1.063	1.077	1.939	1.398
108	0.995	1.02	1.899	1.337
109	0.98	1.005	1.923	1.347
110	0.922	0.95	1.859	1.292
111	1.025	1.044	1.901	1.359
112	1.029	1.052	1.941	1.382
113	1.033	1.055	1.947	1.392
114	1.07	1.088	1.972	1.428
115	1.037	1.061	1.904	1.37
116	1.074	1.096	1.925	1.404
117	1.005	1.033	1.883	1.355
118	1.152	1.174	1.946	1.462
119	1.084	1.118	1.923	1.417
120	1.052	1.079	1.906	1.387
121	1.121	1.154	1.941	1.433
122	1.069	1.102	1.898	1.403
123	1.156	1.194	1.975	1.478
124	1.082	1.13	1.956	1.433
125	0.992	1.029	1.868	1.337
126	1.091	1.12	1.888	1.386
127	1.192	1.224	1.992	1.494
128	1.085	1.107	1.955	1.422
129	1.078	1.101	1.953	1.428
130	1.116	1.139	1.975	1.449
131	1.083	1.114	2.023	1.471
132	1.078	1.101	1.967	1.425
133	1.09	1.114	1.932	1.411
134	1.217	1.237	2.027	1.519
135	1.092	1.118	1.973	1.433
136	1.028	1.059	1.886	1.369
137	0.99	1.018	1.907	1.347
138	1.025	1.049	1.912	1.365
139	1.067	1.093	1.935	1.406
140	1.086	1.111	1.986	1.431
141	1.002	1.019	1.943	1.361
142	1.036	1.063	1.947	1.391
143	1.1	1.115	1.965	1.424
144	0.969	0.993	1.854	1.299
145	1.039	1.055	2.005	1.419
146	1.078	1.107	1.983	1.434
147	1.059	1.079	1.987	1.423
148	1.084	1.106	1.949	1.417
149	1.079	1.11	2.015	1.448
150	1.103	1.134	2.003	1.449
151	1.193	1.216	2.101	1.547
152	1.101	1.134	2.041	1.475
153	1.094	1.129	2.018	1.459
154	1.146	1.171	2.059	1.502
155	1.131	1.157	2.06	1.497
156	1.197	1.224	2.084	1.565
157	1.246	1.254	2.165	1.605
158	1.123	1.15	2.029	1.49
159	1.103	1.131	2.038	1.482
160	1.066	1.095	2.05	1.465
161	1.092	1.116	2.049	1.468
162	1.257	1.275	2.123	1.597
163	1.034	1.059	1.994	1.418
164	1.087	1.104	2.049	1.469
165	1.161	1.18	2.053	1.504
166	1.063	1.095	2.02	1.464
167	1.037	1.053	1.991	1.427
168	0.975	0.998	1.997	1.389
169	1	1.032	2.011	1.426
170	1.008	1.03	1.971	1.389
171	1.047	1.076	2.07	1.466
172	1.076	1.094	2.046	1.467
173	1.108	1.124	2.095	1.5
174	0.998	1.022	1.982	1.394
175	0.993	1.019	1.933	1.371
176	1.004	1.014	1.938	1.38
177	0.967	0.996	1.913	1.343
178	1.007	1.03	2.023	1.435
179	1.038	1.072	2.003	1.444
180	0.95	0.975	1.921	1.35
181	0.982	1.006	1.961	1.386
182	0.979	0.991	1.945	1.351
183	0.975	0.988	1.973	1.386
184	1.036	1.053	1.982	1.406
185	1.053	1.073	1.976	1.425
186	1.006	1.019	1.953	1.377
187	1.007	1.021	1.964	1.388
188	1.043	1.063	1.96	1.396
189	1.028	1.047	1.949	1.396
190	1.003	1.024	1.926	1.369
191	1.049	1.077	1.946	1.404
192	0.999	1.032	1.936	1.371
193	1.021	1.052	1.961	1.387
194	1.148	1.166	2.001	1.464
195	1.027	1.047	1.978	1.404
196	1.043	1.065	2.003	1.439
197	0.996	1.025	1.996	1.416
198	1.025	1.053	2.088	1.475
199	1.063	1.09	2.114	1.491
200	1.008	1.038	2.044	1.437
201	0.993	1.02	1.994	1.396
202	0.989	1.012	1.998	1.402
203	0.982	1.008	1.992	1.406
204	1.141	1.147	2.086	1.51
205	1.137	1.151	2.155	1.548
206	1.091	1.105	2.103	1.494
207	1.131	1.147	2.113	1.528
208	1.182	1.198	2.133	1.557
209	1.138	1.156	2.105	1.518
210	1.102	1.131	2.093	1.494
211	1.165	1.189	2.127	1.538
212	0.973	1	2.004	1.37
213	1.135	1.162	2.111	1.509
214	1.072	1.108	2.106	1.5
215	1.142	1.161	2.19	1.578
216	1.082	1.105	2.042	1.467
217	1.128	1.154	2.073	1.503
218	1.139	1.156	2.083	1.507
219	1.087	1.117	2.052	1.486
220	1.081	1.105	2.039	1.48
221	1.144	1.18	2.082	1.518
222	1.045	1.072	2.021	1.43
223	1.033	1.06	2.009	1.426
224	0.993	1.022	1.982	1.392
225	1.065	1.098	2.038	1.45
226	1.025	1.047	1.962	1.382
227	0.999	1.027	2.021	1.418
228	1.079	1.108	2.047	1.454
229	1.154	1.183	2.1	1.523
230	1.116	1.132	2.085	1.491
231	1.165	1.189	2.18	1.577
232	1.071	1.098	2.088	1.468
233	1.137	1.16	2.067	1.489
234	1.213	1.231	2.122	1.554
235	1.228	1.243	2.166	1.58
236	1.045	1.055	2.09	1.449
237	1.16	1.18	2.167	1.557
238	1.157	1.175	2.049	1.483
239	1.101	1.12	2.051	1.455
240	1.183	1.19	2.111	1.531
241	1.086	1.099	2.063	1.466
242	1.108	1.122	2.06	1.458
243	1.135	1.144	2.071	1.465
244	1.001	1.01	2.042	1.41
245	1.051	1.063	2.037	1.427
246	1.068	1.082	2.096	1.471
247	1.07	1.087	2.059	1.445
248	1.132	1.143	2.138	1.512
249	1.108	1.114	2.105	1.493
250	1.155	1.161	2.161	1.546
251	1.037	1.06	2.09	1.459
252	1.041	1.06	2.036	1.433
253	1.056	1.072	2.068	1.456
254	1.047	1.069	2.001	1.408
255	1.076	1.095	2.078	1.468
256	1.115	1.135	2.069	1.482
257	1.125	1.147	2.094	1.499
258	1.012	1.036	2.044	1.422
259	1.084	1.095	2.121	1.493
260	1.002	1.03	2.049	1.422
261	1.037	1.062	2.062	1.443
262	0.996	1.032	2.023	1.403
263	1.044	1.077	2.03	1.42
264	0.995	1.024	1.971	1.375
265	1.024	1.051	2.009	1.41
266	1.043	1.071	2.052	1.453
267	1.168	1.192	2.115	1.543
268	0.989	1.016	2.037	1.416
269	0.99	1.018	2.026	1.423
270	1.124	1.148	2.091	1.508
271	1.097	1.118	2.081	1.504
272	1.06	1.08	2.073	1.473
273	1.069	1.09	2.109	1.498
274	1.049	1.078	2.114	1.508
275	1.105	1.125	2.083	1.492
276	0.996	1.021	2.026	1.408
277	1.047	1.074	2.067	1.461
278	1.15	1.169	2.106	1.517
279	1.082	1.109	2.082	1.481
280	1.109	1.129	2.133	1.52
281	1.076	1.099	2.102	1.493
282	1.025	1.042	2.058	1.432
283	1.008	1.035	2.101	1.458
284	1.045	1.067	2.065	1.457
285	1.072	1.082	2.122	1.498
286	0.944	0.951	2.025	1.384
287	1.073	1.085	2.068	1.465
288	1.059	1.066	2.126	1.497
289	1.062	1.078	2.093	1.49
290	1.089	1.104	2.119	1.521
291	1.152	1.17	2.233	1.615
292	1.123	1.143	2.132	1.555
293	1.171	1.194	2.185	1.591
294	1.101	1.119	2.117	1.52
295	1.112	1.132	2.104	1.512
296	1.018	1.045	2.056	1.457
297	1.066	1.083	2.092	1.488
298	1.049	1.077	2.074	1.48
299	1.082	1.105	2.039	1.475
300	1.149	1.172	2.102	1.536
301	1.088	1.111	2.046	1.478
302	1.056	1.089	2.068	1.471
303	1.105	1.129	2.103	1.513
304	1.038	1.059	2.013	1.432
305	1.088	1.107	2.047	1.477
306	1.088	1.119	2.029	1.463
307	1.039	1.064	2.071	1.452
308	1.056	1.073	2.072	1.47
309	1.057	1.075	2.024	1.439
310	1.1	1.121	2.093	1.501
311	1.122	1.142	2.121	1.531
312	1.142	1.158	2.114	1.531
313	1.135	1.162	2.069	1.507
314	1.038	1.072	2.013	1.43
315	1.112	1.132	2.12	1.52
316	1.088	1.111	2.059	1.469
317	1.096	1.109	2.045	1.462
318	1.193	1.212	2.1	1.542
319	1.084	1.097	2.048	1.462
320	1.27	1.276	2.23	1.649
321	1.193	1.206	2.144	1.57
322	1.247	1.258	2.232	1.639
323	1.161	1.177	2.158	1.557
324	1.188	1.219	2.137	1.562
325	1.125	1.147	2.085	1.493
326	1.137	1.159	2.124	1.521
327	1.141	1.162	2.149	1.558
328	1.198	1.209	2.143	1.563
329	1.24	1.255	2.17	1.592
330	1.19	1.213	2.092	1.542
331	1.244	1.26	2.187	1.612
332	1.071	1.088	2.089	1.498
333	1.063	1.077	2.037	1.455
334	1.12	1.131	2.106	1.524
335	1.122	1.135	2.078	1.509
336	1.054	1.065	1.994	1.438
337	1.093	1.105	1.987	1.462
338	1.124	1.14	2.023	1.494
339	1.045	1.061	2.032	1.463
340	1.119	1.134	2.034	1.488
341	1.047	1.067	1.998	1.459
342	1.041	1.062	1.937	1.403
343	1.007	1.029	1.948	1.389
344	0.984	1.01	1.979	1.409
345	1.127	1.15	2.104	1.552
346	0.976	1.01	1.986	1.411
347	1.035	1.048	2	1.443
348	1.119	1.144	2.042	1.489
349	1.186	1.202	2.12	1.557
350	1.143	1.156	2.102	1.543
351	1.168	1.196	2.165	1.587
352	1.136	1.153	2.135	1.545
353	1.113	1.133	2.149	1.561
354	1.153	1.173	2.118	1.544
355	1.128	1.142	2.18	1.577
356	1.117	1.135	2.143	1.544
357	1.257	1.276	2.265	1.665
358	1.246	1.261	2.231	1.634
359	1.212	1.216	2.184	1.601
360	1.247	1.247	2.227	1.635
361	1.204	1.21	2.245	1.632
362	1.188	1.191	2.187	1.587
363	1.171	1.182	2.196	1.585
364	1.163	1.177	2.195	1.586
365	1.284	1.286	2.27	1.676
366	1.168	1.179	2.165	1.569
367	1.201	1.215	2.182	1.594
368	1.175	1.184	2.192	1.593
369	1.168	1.188	2.209	1.607
370	1.144	1.163	2.243	1.61
371	1.258	1.263	2.226	1.638
372	1.25	1.258	2.216	1.635
373	1.256	1.281	2.225	1.644
374	1.194	1.209	2.185	1.591
375	1.218	1.247	2.208	1.622
376	1.111	1.122	2.154	1.539
377	1.276	1.298	2.284	1.683
378	1.395	1.408	2.365	1.774
379	1.147	1.167	2.152	1.543
380	1.165	1.195	2.229	1.597
381	1.229	1.243	2.259	1.652
382	1.307	1.321	2.307	1.702
383	1.235	1.26	2.249	1.638
384	1.373	1.391	2.318	1.732
385	1.319	1.33	2.27	1.693
386	1.367	1.386	2.355	1.754
387	1.395	1.405	2.329	1.749
388	1.307	1.322	2.231	1.671
389	1.314	1.327	2.254	1.676
390	1.167	1.182	2.211	1.603
391	1.267	1.287	2.273	1.674
392	1.25	1.269	2.256	1.654
393	1.216	1.216	2.23	1.622
394	1.194	1.217	2.239	1.624
395	1.181	1.197	2.204	1.602
396	1.251	1.257	2.258	1.646
397	1.274	1.281	2.291	1.675
398	1.186	1.201	2.183	1.585
399	1.211	1.215	2.165	1.588
400	1.173	1.187	2.162	1.572
401	1.098	1.116	2.081	1.483
402	1.144	1.16	2.203	1.576
403	1.291	1.302	2.268	1.675
404	1.108	1.125	2.098	1.502
405	1.261	1.267	2.244	1.644
406	1.27	1.275	2.189	1.627
407	1.272	1.28	2.27	1.668
408	1.309	1.319	2.301	1.7
409	1.159	1.167	2.161	1.558
410	1.278	1.285	2.282	1.684
411	1.338	1.342	2.31	1.724
412	1.335	1.338	2.352	1.742
413	1.341	1.357	2.322	1.731
414	1.226	1.233	2.296	1.667
415	1.24	1.249	2.272	1.663
416	1.142	1.162	2.202	1.582
417	1.107	1.126	2.144	1.546
418	1.11	1.132	2.178	1.566
419	1.171	1.182	2.166	1.583
420	1.066	1.089	2.107	1.508
421	1.149	1.165	2.159	1.566
422	1.168	1.188	2.186	1.597
423	1.075	1.092	2.123	1.524
424	1.109	1.125	2.156	1.551
425	1.088	1.101	2.167	1.548
426	1.072	1.092	2.109	1.504
427	1.032	1.053	2.125	1.505
428	1.157	1.17	2.197	1.59
429	1.214	1.234	2.251	1.648
430	1.086	1.103	2.086	1.496
431	1.062	1.079	2.132	1.51
