frame#,Prot_CA,Prot_Backbone,Prot_Sidechain,Prot_All_Heavy
0,0.000,0.000,0.000,0.000
1,4.675,4.629,5.273,4.898
2,4.763,4.668,5.706,5.177
3,4.914,4.791,6.003,5.489
4,5.640,5.530,6.706,6.184
5,7.143,6.987,8.081,7.641
6,7.539,7.414,8.670,8.165
7,7.351,7.216,8.584,8.029
8,8.235,8.109,9.342,8.890
9,8.534,8.405,9.566,9.070
10,8.264,8.116,9.301,8.778
11,9.001,8.876,9.885,9.499
12,8.747,8.632,9.512,9.205
13,8.794,8.676,9.683,9.319
14,8.932,8.811,9.751,9.418
15,8.881,8.759,9.718,9.349
16,9.005,8.874,9.804,9.459
17,8.106,8.005,9.040,8.608
18,8.556,8.451,9.339,9.011
19,8.462,8.365,9.387,8.949
20,8.481,8.382,9.294,8.890
21,8.367,8.297,9.289,8.881
22,7.786,7.678,8.967,8.507
23,6.866,6.754,8.127,7.590
24,7.229,7.187,8.507,8.006
25,7.017,6.953,8.248,7.750
26,6.974,6.880,8.143,7.650
27,7.194,7.112,8.121,7.705
28,7.023,6.894,8.214,7.645
29,7.328,7.245,8.500,7.969
30,6.466,6.401,7.541,7.077
31,6.953,6.891,8.072,7.576
32,6.818,6.744,8.024,7.474
33,7.215,7.075,8.535,7.934
34,6.977,6.859,8.472,7.774
35,7.392,7.241,8.636,8.067
36,7.555,7.418,8.777,8.232
37,7.728,7.577,8.926,8.411
38,8.606,8.487,9.976,9.373
39,8.914,8.770,10.053,9.551
40,8.408,8.293,9.574,9.099
41,8.689,8.567,9.755,9.311
42,7.874,7.757,8.992,8.482
43,8.017,7.904,9.069,8.605
44,8.037,7.919,9.251,8.745
45,8.188,8.087,9.352,8.891
46,7.985,7.876,9.110,8.662
47,8.080,7.966,9.261,8.780
48,8.025,7.918,9.398,8.853
49,7.806,7.678,9.155,8.605
50,8.017,7.887,9.370,8.802
51,7.820,7.691,9.222,8.667
52,8.475,8.347,9.868,9.289
53,7.762,7.604,9.422,8.761
54,8.252,8.119,9.743,9.187
55,8.533,8.405,9.786,9.278
56,8.453,8.316,9.638,9.124
57,8.507,8.337,9.801,9.209
58,8.902,8.750,10.198,9.624
59,8.857,8.721,10.317,9.678
60,8.940,8.773,10.376,9.763
61,8.627,8.472,10.139,9.498
62,8.502,8.358,9.877,9.291
63,8.825,8.708,10.137,9.575
64,8.930,8.792,10.390,9.795
65,9.423,9.281,10.637,10.130
66,8.764,8.625,10.039,9.517
67,8.704,8.566,9.905,9.409
68,9.408,9.303,10.213,9.944
69,9.769,9.650,10.679,10.323
70,8.849,8.751,9.785,9.396
71,9.187,9.092,9.849,9.563
72,9.364,9.270,10.214,9.844
73,8.410,8.294,9.494,9.001
74,8.748,8.628,9.806,9.366
75,9.107,8.954,10.296,9.795
76,8.957,8.808,10.265,9.673
77,9.033,8.886,10.238,9.679
78,8.651,8.459,10.162,9.451
79,8.493,8.333,10.062,9.351
80,8.207,8.054,9.826,9.105
81,8.733,8.572,10.271,9.592
82,9.764,9.575,11.223,10.544
83,9.352,9.177,10.769,10.141
84,8.593,8.444,10.252,9.470
85,8.668,8.522,10.205,9.500
86,8.442,8.262,10.199,9.357
87,9.448,9.277,10.681,10.076
88,8.949,8.790,10.424,9.736
89,8.554,8.379,10.245,9.437
90,9.142,8.991,10.852,10.061
91,8.661,8.479,10.511,9.627
92,8.326,8.180,9.925,9.213
93,8.557,8.409,10.082,9.405
94,8.273,8.116,10.016,9.207
95,8.134,8.017,9.795,9.107
96,8.706,8.580,10.350,9.628
97,8.505,8.365,10.208,9.461
98,8.537,8.390,10.135,9.398
99,9.315,9.200,10.736,10.129
100,8.640,8.491,10.281,9.536
101,8.959,8.845,10.463,9.799
102,9.832,9.711,11.263,10.664
103,9.423,9.332,11.034,10.355
104,9.919,9.791,11.344,10.737
105,9.720,9.594,11.420,10.660
106,9.068,8.950,10.808,10.043
107,8.921,8.760,10.796,9.970
108,9.007,8.859,10.798,10.009
109,8.684,8.556,10.410,9.719
110,8.290,8.164,10.129,9.391
111,8.182,8.039,10.102,9.266
112,8.818,8.682,10.590,9.800
113,9.032,8.896,10.926,10.089
114,8.196,8.063,10.007,9.236
115,8.502,8.365,10.164,9.434
116,8.961,8.826,10.498,9.851
117,8.918,8.776,10.555,9.929
118,8.532,8.418,10.276,9.536
119,9.020,8.886,10.773,10.077
120,8.967,8.818,10.644,9.900
121,8.724,8.595,10.274,9.610
122,9.462,9.320,10.916,10.293
123,8.547,8.401,10.273,9.505
124,8.575,8.402,10.240,9.476
125,8.422,8.295,10.124,9.322
126,7.686,7.595,9.338,8.589
127,7.362,7.250,8.930,8.182
128,7.705,7.627,9.183,8.531
129,7.768,7.676,9.083,8.509
130,7.333,7.233,8.975,8.286
131,7.407,7.319,8.870,8.299
132,7.391,7.282,8.983,8.397
133,7.652,7.547,9.175,8.613
134,7.944,7.822,9.304,8.806
135,8.297,8.160,9.937,9.327
136,8.390,8.278,9.681,9.172
137,8.327,8.220,9.721,9.209
138,8.384,8.312,9.666,9.177
139,8.231,8.145,9.641,9.092
140,8.148,8.079,9.390,8.937
141,7.989,7.908,9.307,8.816
142,8.049,7.965,9.149,8.675
143,8.122,8.016,9.610,8.987
144,8.398,8.301,9.657,9.128
145,8.609,8.516,9.888,9.346
146,9.147,9.042,10.288,9.789
147,8.500,8.440,9.641,9.151
148,8.341,8.220,9.665,9.057
149,8.194,8.097,9.479,8.954
150,7.923,7.784,9.537,8.812
151,8.490,8.389,9.811,9.213
152,8.496,8.434,9.732,9.165
153,8.617,8.525,9.975,9.385
154,8.483,8.396,9.845,9.221
155,8.317,8.214,9.669,9.031
156,8.559,8.453,10.096,9.369
157,8.238,8.142,9.668,8.984
158,8.492,8.406,9.870,9.225
159,8.719,8.632,9.885,9.338
160,9.023,8.905,10.282,9.691
161,9.312,9.195,10.516,9.920
162,8.618,8.543,9.638,9.134
163,8.776,8.664,9.941,9.383
164,9.234,9.137,10.299,9.814
165,8.694,8.594,9.743,9.272
166,8.628,8.504,9.807,9.217
167,8.310,8.196,9.671,9.035
168,8.672,8.541,10.097,9.401
169,8.808,8.718,10.022,9.468
170,8.953,8.854,10.112,9.547
171,8.839,8.722,10.071,9.468
172,8.833,8.716,9.985,9.463
173,8.665,8.576,9.720,9.235
174,8.594,8.480,9.775,9.212
175,9.038,8.956,9.998,9.575
176,8.889,8.788,9.759,9.357
177,8.723,8.616,9.727,9.253
178,8.289,8.185,9.683,9.036
179,8.460,8.378,9.624,9.109
180,8.485,8.411,9.615,9.098
181,8.181,8.070,9.476,8.879
182,8.751,8.660,9.701,9.286
183,8.798,8.705,9.823,9.375
184,8.590,8.512,9.643,9.169
185,8.232,8.145,9.406,8.860
186,8.486,8.390,9.729,9.191
187,8.525,8.446,9.686,9.198
188,8.285,8.178,9.619,9.036
189,8.830,8.737,9.869,9.442
190,8.863,8.750,9.918,9.478
191,8.154,8.087,9.372,8.843
192,8.606,8.531,9.662,9.225
193,8.661,8.568,9.924,9.412
194,8.699,8.599,10.001,9.406
195,8.040,7.913,9.568,8.891
196,8.205,8.087,9.777,9.069
197,8.405,8.290,9.922,9.255
198,8.064,7.954,9.507,8.833
199,8.032,7.916,9.455,8.835
200,8.230,8.151,9.381,8.876
201,7.832,7.696,9.551,8.790
202,8.293,8.217,9.532,9.010
203,8.056,7.964,9.401,8.810
204,7.721,7.602,9.208,8.586
205,7.922,7.818,9.181,8.617
206,7.636,7.540,9.217,8.539
207,8.280,8.152,9.777,9.101
208,7.664,7.554,9.246,8.538
209,7.959,7.856,9.293,8.742
210,7.879,7.744,9.457,8.756
211,8.221,8.106,9.541,8.945
212,8.158,8.058,9.473,8.913
213,8.217,8.113,9.503,8.990
214,7.567,7.494,8.799,8.262
215,7.654,7.567,8.994,8.472
216,7.833,7.781,9.063,8.576
217,7.547,7.454,9.122,8.429
218,7.711,7.638,9.078,8.463
219,7.680,7.634,8.768,8.333
220,7.795,7.721,9.073,8.500
221,7.909,7.843,9.300,8.705
222,7.708,7.648,8.951,8.387
223,7.806,7.731,9.216,8.562
224,8.204,8.122,9.528,8.948
225,7.940,7.870,9.398,8.729
226,8.387,8.306,9.719,9.156
227,8.027,7.949,9.440,8.843
228,8.369,8.301,9.741,9.147
229,8.170,8.106,9.378,8.844
230,8.705,8.640,9.911,9.395
231,8.393,8.333,9.682,9.098
232,8.631,8.563,9.961,9.405
233,9.161,9.104,10.223,9.801
234,8.801,8.740,9.922,9.510
235,8.618,8.566,9.821,9.334
236,8.113,8.074,9.384,8.899
237,8.176,8.122,9.630,9.014
238,8.702,8.656,9.887,9.393
239,8.580,8.510,9.904,9.298
240,8.284,8.195,9.853,9.132
241,8.431,8.365,9.874,9.253
242,8.228,8.161,9.687,9.072
243,8.417,8.372,9.809,9.224
244,8.549,8.519,9.566,9.159
245,8.656,8.644,9.786,9.303
246,8.726,8.683,9.880,9.391
247,8.682,8.640,9.842,9.371
