# Frame, Distance
0,18.718782
1,19.204113
2,17.748268
3,15.139148
4,17.239599
5,20.374289
6,18.153613
7,20.508521
8,16.484493
9,12.318261
10,14.337451
11,15.546514
12,12.818451
13,12.488810
14,17.057549
15,16.693345
16,13.193106
17,14.133669
18,16.752563
19,16.050415
20,16.899387
21,19.514796
22,21.121486
23,21.223873
24,17.944915
25,19.165634
26,19.368838
27,17.807106
28,15.876535
29,13.731894
30,15.464092
31,19.108394
32,18.159021
33,17.549704
34,17.233007
35,17.924254
36,17.631092
37,13.065077
38,12.883444
39,16.219937
40,15.791739
41,13.708176
42,15.860232
43,14.078085
44,12.295190
45,10.620394
46,9.111296
47,11.697789
48,12.396218
49,13.416690
50,13.977127
51,14.943197
52,16.647268
53,17.269507
54,20.208169
55,13.622648
56,15.992873
57,15.615359
58,16.416486
59,16.848331
60,14.286648
61,17.086831
62,16.894444
63,16.438556
64,17.150944
65,17.037493
66,15.790993
67,15.695923
68,17.666099
69,18.931373
70,18.765092
71,18.230345
72,16.640401
73,16.104789
74,16.211197
75,13.934486
76,11.895930
77,13.810754
78,16.463690
79,13.557169
80,14.084063
81,15.486387
82,18.806732
83,17.959986
84,15.049796
85,14.408683
86,14.534669
87,15.109634
88,16.820021
89,17.076310
90,17.872028
91,19.041592
92,16.297331
93,18.112634
94,19.439190
95,19.348014
96,18.504761
97,15.488789
98,19.188211
99,17.497655
100,17.714345
101,20.167810
102,17.259803
103,17.486754
104,18.380289
105,18.785937
106,19.789275
107,18.139070
108,18.022296
109,18.202993
110,15.078824
111,13.024669
112,15.213141
113,14.144092
114,17.033648
115,15.756373
116,16.931423
117,18.850106
118,17.973923
119,15.343810
120,16.380014
121,15.595683
122,13.726500
123,15.785141
124,16.267106
125,16.135592
126,16.806331
127,14.706754
128,14.469859
129,15.327190
130,14.677944
131,13.943528
132,15.642359
133,16.743028
134,16.002894
135,14.842134
136,14.632683
137,14.183387
138,13.008063
139,15.336261
140,18.502690
141,15.242394
142,16.309014
143,16.551218
144,16.331951
145,19.944479
146,18.946873
147,17.994838
148,16.238352
149,15.799261
150,18.967155
151,20.284303
152,20.886261
153,17.441796
154,18.468901
155,17.424908
156,18.163077
157,17.791394
158,15.652049
159,15.141697
160,17.475239
161,15.533430
162,17.028408
163,17.086606
164,18.239852
165,18.091148
166,14.975746
167,19.392930
168,15.959613
169,15.202606
170,14.911338
171,14.926768
172,15.649852
173,16.891859
174,15.055035
175,16.296789
176,12.398056
177,16.114183
178,16.743092
179,13.882641
180,15.568408
181,13.671944
182,13.514613
183,15.954465
184,14.403648
185,17.379641
186,17.890873
187,18.855585
188,17.635852
189,15.266810
190,17.529331
191,16.875049
192,15.407979
193,17.901056
194,15.947958
195,15.078556
196,16.702669
197,16.657937
198,16.937838
199,17.210704
200,15.975768
