#Simulation Analysis Results CSV File 2019-01-03T11:47:22.820065,,,,
"#Generated on structure: ""frame000000""",,,,
TimeStep,Distance_FAD_C8-FMN_C8,Distance_FMN_C7-Heme_Fe,Rad_Gyration_POR-glob,HBonds_ASL_2D6-POR
0,40.2559242248535,13.1553049087524,29.7972185726574,5
150,37.4803810119629,14.5550661087036,30.2104379917787,4
300,39.038444519043,12.8490085601807,30.2449852470374,3
450,38.2349433898926,13.7328052520752,30.1486881536975,6
600,38.9543876647949,14.2136926651001,29.8871478483033,4
750,39.0549011230469,14.4909496307373,29.95389888267,7
900,39.1846733093262,14.0034284591675,29.6744456800885,5
1050,39.8403472900391,13.4220714569092,30.033116976997,6
1200,40.4773483276367,14.0955181121826,30.1902316171119,5
1350,39.9582138061523,14.6124210357666,30.2276499802631,5
1500,38.2558517456055,15.6661186218262,30.4567298102457,8
1650,40.6788673400879,14.4901056289673,30.4775539799938,7
1800,36.9245338439941,15.1840496063232,30.5150623394913,7
1950,35.3672752380371,14.3529710769653,29.9456710090588,7
2100,36.6294975280762,16.4225311279297,29.9506840488593,6
2250,35.4546852111816,16.4638042449951,30.0497050828365,5
2400,34.1252593994141,17.8623294830322,29.447536481536,7
2550,34.9188461303711,17.5820159912109,29.6238019394383,4
2700,36.5763092041016,17.0013103485107,29.8542988938858,5
2850,34.0996551513672,17.2411556243896,29.922079362717,8
3000,35.910758972168,17.042121887207,29.6225360171224,6
3150,36.5244407653809,17.5827178955078,29.8048710579911,9
3300,34.9118461608887,17.660041809082,29.6372778162415,9
3450,35.2627258300781,16.5221996307373,29.2581448794283,13
3600,35.0980682373047,17.5470104217529,29.440828498655,14
3750,32.3090858459473,17.1212673187256,29.7609188560221,11
3900,33.2318801879883,16.4650650024414,29.7216524985078,8
4050,33.4520645141602,16.7246437072754,29.4098017289672,8
4200,33.6729507446289,17.1499214172363,29.3140766108404,12
4350,36.2277412414551,17.2381629943848,29.5866440226631,12
4500,33.1551933288574,17.0964660644531,29.4966125317673,11
4650,34.2658157348633,16.9972686767578,29.1534855674789,8
4800,36.4528617858887,17.0960063934326,29.3790121380782,13
4950,38.2408905029297,17.2293949127197,29.3777960451102,11
5100,36.9421157836914,16.3565158843994,29.6352026572402,7
5250,36.0770606994629,16.9010677337646,29.3614698185565,7
5400,32.7786674499512,17.4486885070801,28.5793390628236,10
5550,32.9187088012695,17.597749710083,28.6695943878919,11
5700,31.0403327941895,18.8178844451904,28.3140941772924,10
5850,30.4589672088623,17.7387828826904,28.3105092547842,8
6000,30.896520614624,18.6776714324951,28.1507294569434,10
6150,31.1811847686768,18.6246566772461,28.4191646792873,12
6300,30.3305892944336,18.3449897766113,28.2558522380112,11
6450,29.1464824676514,17.435432434082,28.0860241964327,11
6600,31.1284847259521,18.044942855835,28.2296559011568,12
6750,30.6923408508301,17.4899005889893,28.2388732598637,11
6900,29.6019039154053,17.8663368225098,28.1479722231882,9
7050,30.1614818572998,18.0620861053467,27.9743566581626,10
7200,30.9354114532471,17.7038345336914,28.0022873765456,10
7350,27.3332443237305,18.1703720092773,27.8886813219754,11
7500,30.6957244873047,18.4245586395264,27.9112164504396,11
7650,29.0360507965088,18.4163360595703,27.7787839671512,13
7800,31.7770462036133,18.503547668457,27.9268614114269,12
7950,30.5283985137939,17.6573638916016,27.9858338973783,12
8100,30.9472579956055,18.5857925415039,28.0693273299921,12
8250,29.5513114929199,18.8396949768066,28.046479193286,11
8400,28.642068862915,17.2224254608154,27.8879292824516,11
8550,30.1665630340576,17.3749771118164,28.1488281116005,10
8700,29.4524116516113,17.8297119140625,28.0516043388659,12
8850,28.7422161102295,17.7039928436279,27.9390081925811,7
9000,29.1624660491943,17.6769752502441,27.9544719007993,8
9150,27.982738494873,17.9717788696289,27.6764729540333,10
9300,29.693811416626,18.6429767608643,27.6239379991968,8
9450,26.8144950866699,18.1158771514893,27.8190170977742,7
9600,27.966007232666,19.1094627380371,27.6636112702772,8
9750,27.6368408203125,18.2524127960205,27.8266176477027,6
9900,28.1224765777588,17.8722610473633,27.9665223908268,7
10050,27.8899726867676,18.7581596374512,27.7750587898258,6
10200,28.3664169311523,18.515100479126,27.8093110455624,8
10350,29.6847724914551,17.9866809844971,27.9674783371137,9
10500,27.9028759002686,18.3308982849121,28.1821133212658,8
10650,29.1455974578857,18.097957611084,28.045206323335,10
10800,30.0535182952881,19.301794052124,27.7167886117953,7
10950,28.8657684326172,19.3267707824707,27.8273056811054,8
11100,28.6237049102783,19.0627555847168,27.9439123914943,7
11250,29.449197769165,18.8097591400146,28.0192628629947,6
11400,28.0713844299316,18.8282527923584,27.8420538592899,12
11550,27.4296283721924,19.4189472198486,27.6699690963319,8
11700,26.0937576293945,19.9049797058105,27.5760687648544,7
11850,27.8725605010986,18.84694480896,27.5388810268644,8
12000,28.0936965942383,19.5414543151855,27.5402003032048,9
12150,27.7997455596924,19.0145988464355,27.3644172795587,10
12300,26.8466796875,19.180362701416,27.4745653395251,7
12450,27.939151763916,18.5699882507324,27.609318982117,7
12600,28.5916118621826,19.2771339416504,27.5404868729174,7
12750,28.3297100067139,18.1100997924805,27.5069102972066,8
12900,27.5475063323975,19.239725112915,27.4610390424786,10
13050,27.1278438568115,18.6022567749023,27.3626293912612,10
13200,26.4706287384033,20.0954704284668,27.4689878922348,9
13350,28.207914352417,18.8282165527344,27.2181571941594,8
13500,27.3560600280762,19.3288993835449,27.228064048738,10
13650,28.6725692749023,18.6753063201904,27.4397543669334,8
13800,28.5012016296387,19.123119354248,27.4453284426486,8
13950,28.1396865844727,18.9186229705811,27.3686566735831,8
14100,27.2764663696289,18.7404899597168,27.5159821409254,11
14250,26.0791034698486,19.150032043457,27.3328227454067,13
14400,28.4214210510254,18.5623416900635,27.4346302893796,12
14550,27.4176597595215,18.4804592132568,27.3895604165605,13
14700,27.809211730957,19.3305072784424,27.3684806823436,11
14850,28.207799911499,18.7731151580811,27.2933347189469,13
15000,28.4677314758301,18.3218097686768,27.2011541962893,13
15150,27.080638885498,19.5184230804443,27.1459792019138,12
15300,27.7577037811279,19.9529647827148,27.2220543123468,15
15450,27.6373195648193,19.4527187347412,27.0787836325637,13
15600,26.7493534088135,18.8007507324219,26.884305528295,13
15750,28.9356269836426,18.7140026092529,27.2933059217572,14
15900,27.100757598877,18.9715366363525,27.1316829551877,14
16050,29.0845565795898,17.5478649139404,27.0506901738984,14
16200,28.1603870391846,18.5347118377686,27.0363052834495,13
16350,27.1243648529053,18.8112297058105,26.826631220382,15
16500,28.5773372650146,18.1473426818848,27.1017966884675,13
16650,28.4414157867432,19.064208984375,27.2944641076715,14
16800,26.8779716491699,18.6805953979492,27.091174034294,15
16950,26.7136421203613,18.65625,27.1406977646824,18
17100,27.9414863586426,17.9787101745605,27.1946142909074,16
17250,29.0398559570312,17.8091259002686,27.1070832337137,16
17400,30.6638641357422,18.490592956543,27.2933648789616,14
17550,27.3000926971436,18.2626495361328,27.0645215091932,15
17700,28.3641757965088,18.7437515258789,27.2809754667793,15
17850,28.2489528656006,18.7800102233887,27.2583271383759,12
18000,27.4891929626465,18.3843517303467,27.0993461002158,14
18150,27.7531280517578,18.2859382629395,27.2683277677807,16
18300,28.0618476867676,17.496976852417,27.0425535244538,14
