frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	2.242	2.248	2.739	2.451
2	2.173	2.186	2.719	2.401
3	2.655	2.661	3.197	2.885
4	2.404	2.412	3.022	2.676
5	2.543	2.551	3.108	2.786
6	2.286	2.286	2.908	2.55
7	2.856	2.85	3.352	3.068
8	3.038	3.037	3.571	3.272
9	3.19	3.193	3.702	3.411
10	2.834	2.836	3.426	3.098
11	2.789	2.795	3.35	3.026
12	3.071	3.077	3.617	3.329
13	2.769	2.77	3.355	3.021
14	3.033	3.039	3.585	3.293
15	3.329	3.331	3.877	3.598
16	3.027	3.026	3.669	3.321
17	2.883	2.892	3.545	3.168
18	2.947	2.952	3.632	3.252
19	2.765	2.772	3.412	3.037
20	2.895	2.909	3.592	3.215
21	3.152	3.164	3.726	3.391
22	2.765	2.778	3.468	3.078
23	3.18	3.192	3.809	3.451
24	3.157	3.155	3.803	3.456
25	3.112	3.123	3.783	3.394
26	2.996	3.005	3.734	3.312
27	3.19	3.192	3.885	3.504
28	2.855	2.855	3.537	3.154
29	3.121	3.12	3.808	3.431
30	2.976	2.984	3.679	3.277
31	3.186	3.191	3.86	3.485
32	3.071	3.08	3.76	3.381
33	3.091	3.094	3.779	3.388
34	2.999	3	3.687	3.304
35	3.097	3.093	3.744	3.39
36	3.256	3.249	3.942	3.563
37	2.913	2.911	3.654	3.234
38	2.959	2.964	3.636	3.256
39	3.108	3.109	3.792	3.387
40	2.745	2.749	3.479	3.043
41	3.101	3.106	3.83	3.424
42	2.941	2.94	3.688	3.261
43	3.248	3.244	3.898	3.525
44	3.211	3.207	3.896	3.498
45	2.961	2.948	3.692	3.262
46	2.744	2.734	3.497	3.055
47	2.841	2.837	3.57	3.153
48	3.039	3.036	3.688	3.303
49	3.756	3.76	4.318	3.985
50	3.538	3.536	4.13	3.782
51	4.057	4.059	4.603	4.28
52	4.052	4.043	4.64	4.302
53	4.003	4.001	4.585	4.248
54	4.184	4.177	4.772	4.44
55	3.969	3.96	4.568	4.227
56	3.984	3.974	4.538	4.213
57	4.137	4.125	4.721	4.382
58	4.55	4.542	5.112	4.797
59	4.124	4.123	4.702	4.389
60	4.115	4.112	4.737	4.401
61	3.984	3.979	4.605	4.268
62	4.324	4.318	4.895	4.575
63	4.385	4.384	4.935	4.636
64	4.607	4.605	5.143	4.843
65	3.907	3.915	4.498	4.158
66	3.789	3.788	4.394	4.06
67	4.126	4.121	4.687	4.377
68	3.865	3.863	4.48	4.146
69	3.811	3.809	4.416	4.078
70	4.058	4.057	4.636	4.314
71	3.778	3.78	4.42	4.069
72	4.219	4.221	4.798	4.48
73	3.954	3.956	4.563	4.218
74	3.957	3.956	4.557	4.225
75	3.859	3.852	4.458	4.123
76	4.027	4.027	4.572	4.264
77	3.85	3.847	4.419	4.1
78	4.223	4.223	4.74	4.447
79	4.425	4.422	4.942	4.642
80	4.461	4.458	4.977	4.679
81	4.125	4.125	4.644	4.352
82	4.093	4.094	4.582	4.302
83	4.189	4.188	4.695	4.406
84	4.451	4.45	4.959	4.672
85	4.173	4.171	4.734	4.43
86	4.344	4.346	4.877	4.591
87	4.38	4.38	4.88	4.607
88	4.148	4.147	4.679	4.386
89	4.25	4.246	4.8	4.485
90	4.438	4.438	4.962	4.665
91	4.117	4.115	4.7	4.367
92	3.968	3.966	4.549	4.216
93	3.744	3.737	4.384	4.01
94	3.942	3.935	4.52	4.189
95	3.943	3.935	4.582	4.22
96	4.167	4.166	4.77	4.432
97	4.419	4.415	5.01	4.674
98	4.371	4.368	4.966	4.638
99	4.382	4.382	4.931	4.62
100	4.229	4.228	4.847	4.498
101	4.519	4.518	5.083	4.763
102	4.567	4.566	5.082	4.8
103	4.257	4.26	4.788	4.492
104	3.614	3.61	4.258	3.897
105	3.984	3.983	4.59	4.25
106	4.054	4.05	4.59	4.299
107	4.155	4.152	4.77	4.419
108	4.157	4.156	4.778	4.427
109	4.117	4.122	4.738	4.394
110	4.336	4.33	4.939	4.603
111	4.323	4.325	4.928	4.59
112	4.046	4.05	4.664	4.326
113	4.402	4.398	4.963	4.64
114	4.693	4.696	5.202	4.906
115	4.706	4.701	5.239	4.929
116	4.904	4.901	5.445	5.139
117	5.018	5.017	5.517	5.231
118	4.59	4.589	5.105	4.816
119	4.668	4.666	5.187	4.89
120	4.614	4.61	5.125	4.834
121	4.645	4.643	5.129	4.851
122	4.851	4.847	5.348	5.068
123	4.674	4.678	5.237	4.928
124	4.679	4.673	5.252	4.938
125	4.897	4.895	5.424	5.134
126	5.164	5.161	5.656	5.382
127	4.819	4.82	5.295	5.025
128	4.867	4.866	5.343	5.074
129	4.941	4.939	5.418	5.152
130	4.713	4.708	5.19	4.92
131	4.765	4.765	5.236	4.964
132	5.003	5.003	5.471	5.206
133	4.569	4.569	5.063	4.786
134	4.628	4.627	5.105	4.839
135	4.734	4.733	5.256	4.963
136	5.121	5.122	5.575	5.322
137	4.884	4.883	5.433	5.126
138	4.994	4.996	5.542	5.24
139	5.148	5.148	5.641	5.372
140	4.933	4.927	5.509	5.184
