Frame,Distance HEM800-ACE918
0,5.036891
1,6.387467
2,6.303924
3,6.2497196
4,6.6044497
5,7.044305
6,6.367816
7,6.477712
8,6.653373
9,6.6049414
10,6.393149
11,6.611118
12,7.3276954
13,7.256388
14,8.49365
15,8.831859
16,8.278995
17,8.432495
18,8.126842
19,8.123707
20,8.198442
21,8.577676
22,8.548564
23,8.451288
24,8.723652
25,8.516236
26,9.059306
27,8.4641695
28,8.923882
29,8.983401
30,8.308141
31,8.403934
32,7.9798017
33,8.560864
34,8.626026
35,8.910324
36,10.455588
37,9.944524
38,12.722975
39,12.633378
40,10.845345
41,10.183968
42,10.469656
43,9.999136
44,8.311623
45,8.483902
46,8.378094
47,8.419229
48,8.258964
49,8.875839
50,8.645062
51,10.643088
52,8.939888
53,8.544557
54,8.4446745
55,8.305446
56,8.361799
57,8.830135
58,8.399205
59,8.30134
60,8.560836
61,8.544307
62,8.350385
63,8.559698
64,8.467613
65,8.149457
66,8.035671
67,9.039305
68,9.510597
69,8.744022
70,8.506512
71,8.579367
72,8.899941
73,8.276402
74,8.779357
75,8.52824
76,8.708046
77,8.758074
78,8.586453
79,8.108236
80,8.216175
81,8.494165
82,8.608027
83,8.393234
84,8.458327
85,8.559957
86,8.391814
87,8.400278
88,8.238458
89,8.572395
90,8.155238
91,8.297343
92,8.309762
93,8.757474
94,8.321039
95,8.346032
96,8.117254
97,9.720767
98,9.733106
99,8.077964
100,8.783391
101,8.344189
102,8.7680435
103,8.390073
104,8.693665
105,8.375779
106,9.028222
107,8.115964
108,8.603214
109,8.947586
110,8.662073
111,8.636447
112,9.260752
113,8.920719
114,8.575727
115,8.515891
116,8.366343
117,8.4998255
118,8.496316
119,8.8361025
120,8.449483
121,8.713716
122,8.328514
123,8.80256
124,8.819117
125,8.154777
126,9.307148
127,8.973254
128,8.737878
129,8.4493885
130,8.503997
131,8.721981
132,8.146052
133,8.953002
134,8.707277
135,8.956327
136,8.60148
137,9.089339
138,9.402906
139,9.0218115
140,8.831141
141,8.976994
142,10.340476
143,9.136238
144,9.74396
145,10.151032
146,10.489961
147,8.946195
148,7.7145743
149,7.8893695
150,7.6918683
151,7.3761444
152,7.5839663
153,7.5093694
154,9.257721
155,9.243288
156,9.340949
157,9.401272
158,10.261247
159,10.677114
160,10.917064
161,12.086896
162,11.640503
163,9.587586
164,8.968638
165,10.55992
166,10.814404
167,11.427445
168,10.4396715
169,11.061522
170,10.842668
171,10.400292
172,10.919827
173,11.609122
174,10.548266
175,11.498421
176,12.453902
177,11.576072
178,12.169181
179,12.292033
180,11.729596
181,9.49663
182,9.386619
183,9.326513
184,11.162959
185,10.068306
186,9.804502
187,10.615493
188,10.37684
189,9.97282
190,10.86327
191,11.162145
192,10.444022
193,11.580117
194,12.453792
195,12.330918
196,10.78995
197,10.8581505
198,10.080045
199,9.755621
200,10.315748
