frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	0.877	0.902	1.483	1.098
2	0.766	0.796	1.524	1.069
3	0.877	0.901	1.615	1.159
4	0.817	0.84	1.677	1.167
5	0.874	0.902	1.675	1.186
6	0.807	0.836	1.726	1.183
7	0.868	0.891	1.762	1.233
8	0.836	0.86	1.71	1.188
9	0.898	0.927	1.771	1.242
10	0.855	0.893	1.671	1.168
11	0.962	0.985	1.752	1.266
12	1.045	1.065	1.862	1.362
13	1.001	1.038	1.869	1.363
14	0.998	1.035	1.862	1.353
15	0.987	1.006	1.896	1.367
16	0.989	1.023	1.844	1.345
17	0.913	0.959	1.795	1.278
18	0.914	0.944	1.788	1.269
19	0.926	0.956	1.726	1.234
20	0.998	1.034	1.805	1.318
21	1.041	1.05	1.837	1.337
22	0.907	0.94	1.787	1.267
23	0.865	0.895	1.786	1.257
24	0.92	0.945	1.841	1.3
25	0.923	0.951	1.798	1.269
26	0.854	0.891	1.763	1.223
27	1.023	1.034	1.891	1.358
28	1	1.022	1.854	1.324
29	0.951	0.972	1.85	1.312
30	0.944	0.961	1.831	1.289
31	0.892	0.921	1.787	1.232
32	0.931	0.95	1.832	1.288
33	0.992	1.012	1.877	1.335
34	0.947	0.958	1.849	1.293
35	0.965	0.987	1.941	1.355
36	1	1.031	1.934	1.379
37	1.031	1.057	1.945	1.398
38	1.036	1.055	1.998	1.427
39	0.975	1	1.949	1.371
40	0.993	1.013	1.878	1.322
41	1.015	1.043	1.893	1.352
42	1.013	1.04	1.894	1.354
43	1.017	1.04	1.896	1.336
44	1.072	1.101	1.948	1.408
45	1.077	1.092	1.98	1.426
46	1.063	1.1	1.95	1.42
47	1.069	1.107	1.968	1.425
48	1.016	1.061	1.938	1.381
49	1.012	1.047	1.933	1.369
50	1.014	1.048	1.95	1.399
51	1.079	1.109	2.046	1.472
52	1.144	1.172	2.04	1.498
53	1.099	1.131	2.025	1.485
54	1.1	1.13	1.986	1.468
55	1.048	1.075	2.014	1.465
56	1.011	1.044	1.944	1.392
57	1.011	1.042	1.963	1.411
58	1.098	1.131	1.984	1.474
59	1.152	1.178	2.031	1.522
60	1.135	1.163	2.061	1.518
61	1.061	1.078	2.029	1.473
62	1.223	1.248	2.147	1.608
63	1.164	1.197	2.075	1.543
64	1.127	1.159	2.044	1.512
65	1.171	1.197	2.102	1.551
66	1.143	1.165	2.062	1.515
67	1.111	1.14	2.056	1.501
68	1.114	1.131	2.03	1.484
69	1.154	1.177	2.054	1.518
70	1.107	1.116	2.066	1.497
71	1.074	1.08	2.029	1.466
72	1.063	1.077	2.053	1.486
73	1.05	1.066	1.981	1.428
74	1.166	1.184	2.11	1.551
75	1.12	1.137	2.04	1.494
76	1.299	1.317	2.185	1.664
77	1.15	1.169	2.027	1.501
78	1.107	1.131	2	1.463
79	1.248	1.28	2.116	1.605
80	1.135	1.162	2.055	1.513
81	1.133	1.152	2.099	1.539
82	1.109	1.144	2.122	1.544
83	1.162	1.182	2.101	1.54
84	1.158	1.179	2.137	1.558
85	1.187	1.214	2.1	1.538
86	1.079	1.106	2.039	1.479
87	1.032	1.071	2.009	1.444
88	1.022	1.051	2.031	1.45
89	1.101	1.13	2.069	1.498
90	1.018	1.056	2.066	1.484
91	1.234	1.269	2.191	1.65
92	1.157	1.174	2.168	1.596
93	1.11	1.14	2.068	1.509
94	1.074	1.104	2.033	1.478
95	1.18	1.207	2.105	1.562
96	1.195	1.213	2.104	1.558
97	1.115	1.15	2.028	1.483
98	1.088	1.113	1.996	1.461
99	1.05	1.071	2.006	1.447
100	1.007	1.038	1.956	1.413
101	0.974	1.009	1.91	1.358
102	0.993	1.016	1.937	1.385
103	1.018	1.054	1.938	1.412
104	0.989	1.024	1.971	1.41
105	1.03	1.062	1.998	1.429
106	1.028	1.062	2.016	1.446
107	1.132	1.165	2.061	1.533
108	1.196	1.221	2.117	1.591
109	1.238	1.267	2.136	1.619
110	1.099	1.123	2.081	1.52
111	1.139	1.162	2.072	1.526
112	1.162	1.197	2.118	1.572
113	1.161	1.193	2.109	1.568
114	1.12	1.141	2.065	1.507
115	1.053	1.083	2.061	1.487
116	1.259	1.281	2.189	1.649
117	1.2	1.226	2.111	1.578
118	1.131	1.165	2.087	1.531
119	1.247	1.274	2.096	1.592
120	1.142	1.176	2.105	1.56
121	1.21	1.243	2.097	1.577
122	1.226	1.265	2.141	1.618
123	1.297	1.339	2.192	1.679
124	1.259	1.295	2.171	1.651
125	1.165	1.193	2.105	1.556
126	1.24	1.269	2.14	1.606
127	1.218	1.244	2.141	1.598
128	1.363	1.393	2.269	1.738
129	1.386	1.413	2.297	1.771
130	1.287	1.314	2.19	1.656
131	1.382	1.413	2.264	1.744
132	1.261	1.288	2.162	1.626
133	1.264	1.301	2.186	1.651
134	1.492	1.528	2.307	1.824
135	1.408	1.438	2.296	1.786
136	1.418	1.455	2.343	1.829
137	1.267	1.304	2.2	1.683
138	1.351	1.384	2.257	1.739
139	1.405	1.44	2.304	1.802
140	1.392	1.416	2.351	1.815
141	1.316	1.353	2.245	1.729
142	1.241	1.271	2.229	1.687
143	1.339	1.359	2.319	1.776
144	1.422	1.446	2.356	1.839
145	1.4	1.43	2.292	1.779
146	1.178	1.221	2.125	1.586
147	1.286	1.315	2.239	1.705
148	1.185	1.223	2.143	1.61
149	1.311	1.335	2.258	1.715
150	1.205	1.24	2.18	1.628
151	1.365	1.394	2.27	1.747
152	1.283	1.304	2.282	1.707
153	1.351	1.377	2.366	1.797
154	1.288	1.319	2.29	1.728
155	1.317	1.345	2.341	1.77
156	1.291	1.329	2.284	1.724
157	1.38	1.398	2.346	1.789
158	1.327	1.36	2.304	1.745
159	1.444	1.473	2.382	1.85
160	1.285	1.313	2.319	1.752
161	1.43	1.451	2.36	1.832
162	1.422	1.447	2.339	1.811
163	1.427	1.453	2.371	1.829
164	1.359	1.391	2.322	1.774
165	1.269	1.307	2.249	1.699
166	1.526	1.558	2.421	1.905
167	1.455	1.483	2.364	1.838
168	1.383	1.408	2.296	1.767
169	1.182	1.21	2.175	1.599
170	1.308	1.332	2.269	1.726
171	1.207	1.234	2.157	1.604
172	1.184	1.215	2.218	1.621
173	1.266	1.297	2.193	1.652
174	1.226	1.255	2.227	1.648
175	1.236	1.267	2.225	1.656
176	1.292	1.33	2.263	1.714
177	1.4	1.427	2.35	1.808
178	1.359	1.376	2.348	1.78
179	1.272	1.298	2.286	1.707
180	1.256	1.296	2.262	1.691
181	1.327	1.362	2.376	1.785
182	1.36	1.392	2.372	1.8
183	1.259	1.291	2.315	1.716
184	1.452	1.482	2.44	1.882
185	1.303	1.347	2.273	1.721
186	1.399	1.432	2.319	1.773
187	1.255	1.295	2.235	1.667
188	1.199	1.235	2.211	1.638
189	1.196	1.238	2.228	1.662
190	1.223	1.267	2.181	1.644
191	1.275	1.317	2.17	1.659
192	1.289	1.329	2.242	1.71
193	1.455	1.481	2.388	1.847
194	1.497	1.523	2.426	1.891
195	1.349	1.362	2.293	1.733
196	1.274	1.297	2.233	1.666
197	1.304	1.324	2.222	1.68
198	1.224	1.247	2.17	1.603
199	1.266	1.29	2.22	1.656
200	1.226	1.254	2.215	1.631
201	1.309	1.34	2.281	1.717
202	1.227	1.257	2.207	1.628
203	1.195	1.229	2.191	1.607
204	1.249	1.274	2.161	1.614
205	1.166	1.199	2.127	1.557
206	1.251	1.273	2.239	1.653
207	1.3	1.333	2.193	1.649
208	1.418	1.438	2.287	1.743
209	1.284	1.309	2.196	1.634
210	1.369	1.397	2.237	1.713
211	1.232	1.263	2.203	1.636
212	1.328	1.353	2.291	1.723
213	1.2	1.231	2.201	1.612
214	1.279	1.307	2.246	1.681
215	1.351	1.369	2.259	1.722
216	1.333	1.366	2.243	1.707
217	1.271	1.296	2.247	1.667
218	1.394	1.414	2.317	1.77
219	1.282	1.31	2.269	1.69
220	1.364	1.386	2.33	1.763
221	1.369	1.386	2.342	1.76
222	1.248	1.274	2.252	1.664
223	1.453	1.472	2.406	1.848
224	1.472	1.495	2.375	1.843
225	1.414	1.438	2.392	1.83
226	1.281	1.308	2.276	1.703
227	1.346	1.369	2.317	1.746
228	1.394	1.414	2.369	1.81
229	1.369	1.395	2.327	1.771
230	1.34	1.37	2.36	1.772
231	1.408	1.438	2.344	1.791
232	1.389	1.419	2.336	1.767
233	1.296	1.336	2.302	1.707
234	1.495	1.517	2.391	1.853
235	1.273	1.301	2.186	1.637
236	1.365	1.403	2.28	1.734
237	1.407	1.439	2.319	1.768
238	1.504	1.534	2.357	1.85
239	1.311	1.337	2.256	1.688
240	1.398	1.422	2.292	1.744
241	1.477	1.497	2.331	1.803
242	1.48	1.509	2.38	1.843
243	1.515	1.528	2.381	1.837
244	1.444	1.452	2.397	1.834
245	1.288	1.304	2.265	1.688
246	1.276	1.291	2.257	1.683
247	1.35	1.375	2.287	1.731
248	1.358	1.383	2.339	1.782
