Frame,HEM800-ACE918
0,5.203224
1,6.618486
2,6.415619
3,6.680762
4,6.628869
5,6.379320
6,6.592321
7,6.421188
8,6.283105
9,6.626691
10,6.946679
11,6.121822
12,6.339082
13,6.459438
14,6.874672
15,6.314698
16,6.403375
17,6.103122
18,6.534601
19,6.281184
20,6.351424
21,6.804376
22,6.546304
23,6.405635
24,6.363007
25,6.303367
26,6.498066
27,6.330066
28,5.974799
29,6.280182
30,6.360085
31,6.223108
32,6.482752
33,6.344166
34,6.340286
35,6.291066
36,6.529484
37,6.127584
38,6.117851
39,6.024734
40,5.771291
41,6.423608
42,6.045589
43,5.935801
44,6.421435
45,6.447472
46,6.334104
47,6.330355
48,6.238900
49,6.495315
50,6.337087
51,6.795225
52,6.489938
53,6.303341
54,6.195174
55,6.652167
56,6.581968
57,6.584474
58,6.526686
59,6.572974
60,6.160025
61,6.228792
62,6.151781
63,6.250539
64,5.879204
65,6.201353
66,6.132846
67,6.170397
68,6.366831
69,6.110645
70,6.423033
71,6.203194
72,6.143307
73,6.449895
74,6.292640
75,6.220423
76,5.997276
77,6.848740
78,6.425799
79,6.489050
80,6.631088
81,6.759239
82,6.676542
83,8.228632
84,6.385602
85,6.286769
86,6.422592
87,6.208958
88,6.235606
89,6.369394
90,6.615675
91,6.193486
92,6.353029
93,6.086431
94,6.849073
95,6.655566
96,6.022249
97,6.271473
98,6.328697
99,6.439939
100,6.052124
101,6.653429
102,6.921171
103,6.862268
104,6.260189
105,6.159628
106,5.991080
107,6.470662
108,6.479394
109,6.296915
110,6.033610
111,6.584288
112,5.951852
113,5.671992
114,6.639271
115,6.572597
116,6.265857
117,6.442820
118,6.438044
119,6.879948
120,6.520561
121,6.291638
122,6.335141
123,6.058600
124,6.086606
125,6.040816
126,6.265771
127,6.358380
128,6.116887
129,6.347038
130,6.242588
131,6.368571
132,6.198137
133,6.439949
134,6.160500
135,6.468470
136,6.136456
137,6.331008
138,6.142596
139,6.551381
140,6.545467
141,6.979388
142,6.949596
143,6.892261
144,6.621369
145,6.440308
146,6.599304
147,6.635711
148,6.191687
149,6.369618
150,6.216341
151,6.383358
152,6.227765
153,6.288210
154,6.253121
155,6.243255
156,6.374988
157,6.272204
158,6.561296
159,6.084129
160,6.213940
161,6.626161
162,6.297121
163,6.153774
164,6.245478
165,6.109282
166,6.325552
167,6.456947
168,6.109668
169,6.336377
170,6.183314
171,5.976072
172,6.357163
173,6.282389
174,7.019701
175,6.712498
176,6.701188
177,6.609148
178,5.741728
179,6.348953
180,6.334411
181,8.797322
182,10.242604
183,9.763826
184,6.598324
185,7.925587
186,8.248620
187,8.526392
188,8.577598
189,8.143547
190,8.228818
191,8.773614
192,8.296884
193,8.665090
194,9.683224
195,8.559585
196,8.623338
197,8.295300
198,7.773890
199,8.333304
200,8.451059
