frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	2.133	2.136	2.655	2.367
2	1.899	1.918	2.514	2.156
3	2.04	2.047	2.654	2.29
4	2.302	2.309	2.867	2.532
5	2.489	2.498	2.994	2.699
6	2.732	2.74	3.311	2.981
7	3.511	3.523	3.948	3.714
8	3.336	3.336	3.767	3.535
9	3.005	3.011	3.501	3.235
10	3.147	3.157	3.653	3.367
11	2.501	2.52	3.136	2.794
12	2.599	2.621	3.188	2.85
13	2.586	2.597	3.245	2.86
14	2.352	2.364	3.024	2.64
15	2.424	2.436	3.048	2.687
16	2.796	2.817	3.359	3.036
17	3.015	3.022	3.55	3.235
18	3.683	3.699	4.152	3.88
19	3.534	3.541	4.055	3.746
20	3.916	3.922	4.397	4.129
21	4.134	4.132	4.648	4.356
22	4.534	4.534	5.039	4.754
23	4.345	4.347	4.842	4.558
24	4.796	4.806	5.247	4.992
25	4.423	4.431	4.9	4.632
26	4.45	4.453	4.9	4.642
27	4.492	4.493	4.92	4.667
28	4.711	4.713	5.146	4.903
29	4.632	4.64	5.056	4.819
30	4.55	4.552	5.014	4.748
31	4.474	4.482	4.932	4.672
32	4.698	4.701	5.151	4.884
33	4.632	4.642	5.073	4.811
34	4.658	4.665	5.112	4.841
35	4.638	4.643	5.109	4.83
36	4.677	4.69	5.161	4.884
37	4.443	4.448	4.954	4.658
38	5.041	5.044	5.525	5.25
39	5.19	5.202	5.694	5.409
40	5.649	5.653	6.059	5.822
41	5.262	5.268	5.728	5.463
42	4.736	4.736	5.206	4.929
43	5.047	5.05	5.573	5.262
44	5.124	5.13	5.58	5.315
45	5.506	5.519	5.927	5.694
46	5.385	5.393	5.775	5.548
47	4.897	4.908	5.338	5.087
48	4.883	4.889	5.355	5.083
49	5.077	5.082	5.489	5.249
50	4.957	4.965	5.373	5.135
51	4.816	4.824	5.257	4.998
52	4.706	4.711	5.178	4.912
53	4.813	4.828	5.294	5.025
54	4.712	4.716	5.186	4.915
55	4.894	4.897	5.39	5.108
56	4.799	4.808	5.303	5.015
57	4.947	4.952	5.477	5.174
58	5.089	5.09	5.563	5.292
59	4.817	4.816	5.273	4.998
60	5.077	5.083	5.597	5.291
61	5.262	5.267	5.713	5.445
62	4.944	4.952	5.414	5.15
63	5.095	5.097	5.537	5.286
64	5.519	5.525	5.978	5.713
65	5.038	5.044	5.514	5.239
66	5.265	5.269	5.766	5.471
67	5.252	5.259	5.734	5.461
68	4.624	4.631	5.164	4.852
69	4.963	4.974	5.469	5.184
70	5.06	5.072	5.491	5.243
71	4.757	4.76	5.286	4.982
72	4.753	4.76	5.262	4.975
73	5.055	5.066	5.486	5.232
74	5.333	5.334	5.763	5.518
75	5.728	5.734	6.11	5.895
76	5.435	5.437	5.826	5.602
77	5.46	5.47	5.873	5.638
78	5.538	5.552	5.934	5.711
79	5.174	5.186	5.605	5.348
80	5.076	5.086	5.524	5.258
81	5.013	5.023	5.499	5.224
82	5.201	5.207	5.623	5.371
83	5.205	5.214	5.642	5.379
84	5.208	5.208	5.683	5.409
85	5.54	5.552	5.949	5.716
86	5.267	5.28	5.703	5.455
87	5.268	5.277	5.682	5.433
88	5.688	5.692	6.1	5.854
89	5.705	5.713	6.119	5.884
90	5.201	5.215	5.618	5.379
91	5.745	5.758	6.117	5.899
92	5.668	5.673	6.056	5.834
93	5.721	5.729	6.102	5.888
94	5.679	5.685	6.07	5.847
95	5.497	5.51	5.926	5.67
96	5.076	5.086	5.534	5.265
97	4.983	4.994	5.458	5.18
98	4.828	4.834	5.305	5.025
99	5.3	5.305	5.704	5.465
100	4.948	4.954	5.439	5.159
101	5.428	5.438	5.882	5.617
102	5.335	5.34	5.764	5.509
103	4.988	4.989	5.452	5.179
104	4.891	4.895	5.408	5.115
105	5.27	5.28	5.75	5.475
106	5.334	5.347	5.799	5.537
107	5.564	5.569	6.062	5.785
108	5.54	5.551	6.005	5.74
109	5.681	5.688	6.084	5.853
110	5.629	5.638	6.061	5.817
111	5.351	5.359	5.821	5.547
112	5.419	5.426	5.841	5.6
113	5.428	5.431	5.868	5.623
114	5.448	5.453	5.917	5.643
115	5.438	5.44	5.91	5.647
116	5.266	5.27	5.704	5.452
117	5.184	5.187	5.618	5.368
118	5.092	5.096	5.548	5.282
119	5.271	5.284	5.671	5.439
120	5.393	5.402	5.799	5.569
121	4.771	4.778	5.244	4.971
122	4.939	4.949	5.397	5.132
123	5.24	5.252	5.679	5.431
124	5.417	5.434	5.832	5.59
125	5.583	5.599	6.041	5.785
126	5.809	5.822	6.221	5.998
127	5.769	5.78	6.223	5.972
128	5.33	5.349	5.796	5.54
129	5.578	5.587	6.052	5.779
130	5.748	5.763	6.145	5.913
131	5.7	5.711	6.134	5.884
132	5.723	5.733	6.148	5.9
133	5.822	5.831	6.258	6.002
134	5.932	5.941	6.339	6.098
135	6.15	6.157	6.583	6.337
136	6.222	6.225	6.606	6.385
137	5.889	5.898	6.255	6.041
138	5.509	5.524	5.925	5.689
139	5.426	5.439	5.816	5.578
140	5.577	5.586	5.964	5.736
141	5.892	5.903	6.254	6.036
142	5.733	5.743	6.098	5.877
143	5.139	5.148	5.556	5.305
144	5.555	5.563	5.964	5.723
145	5.952	5.963	6.314	6.101
146	5.75	5.758	6.125	5.894
147	5.532	5.541	5.921	5.687
148	5.688	5.693	6.08	5.849
149	5.655	5.67	6.031	5.821
150	5.981	5.991	6.345	6.142
151	5.879	5.893	6.278	6.057
152	5.722	5.734	6.129	5.903
153	5.778	5.781	6.147	5.933
154	5.732	5.735	6.128	5.905
155	5.577	5.582	5.944	5.731
156	5.656	5.663	6.009	5.806
157	5.628	5.632	6.007	5.782
158	5.612	5.619	6.032	5.798
159	5.412	5.421	5.849	5.594
160	5.964	5.971	6.317	6.115
161	5.809	5.821	6.162	5.961
162	5.763	5.768	6.158	5.935
163	5.629	5.631	6.058	5.812
164	5.541	5.538	5.957	5.719
165	5.623	5.636	6.059	5.806
166	5.568	5.573	6.002	5.756
167	5.454	5.457	5.885	5.63
168	5.916	5.923	6.323	6.096
169	5.658	5.663	6.094	5.841
170	5.829	5.833	6.254	6.01
171	6.106	6.106	6.513	6.288
172	6.025	6.032	6.428	6.214
173	5.801	5.804	6.214	5.988
174	5.974	5.979	6.378	6.158
175	6.102	6.101	6.506	6.28
176	5.954	5.959	6.333	6.123
177	6.106	6.111	6.465	6.265
178	6.069	6.079	6.44	6.237
179	5.84	5.844	6.25	6.026
180	6.062	6.072	6.462	6.255
181	6.34	6.348	6.705	6.513
182	6.284	6.295	6.643	6.457
183	6.3	6.308	6.688	6.486
184	6.006	6.02	6.381	6.185
185	6.197	6.21	6.567	6.373
186	6.062	6.08	6.459	6.241
187	6.125	6.137	6.495	6.291
188	6.331	6.346	6.695	6.498
189	5.941	5.951	6.362	6.142
190	6.069	6.077	6.481	6.263
191	5.944	5.952	6.354	6.126
192	5.927	5.931	6.369	6.13
193	6.137	6.147	6.535	6.324
194	6.327	6.342	6.723	6.515
195	6.108	6.122	6.506	6.293
196	6.076	6.085	6.473	6.261
197	5.717	5.723	6.144	5.905
198	5.71	5.72	6.131	5.898
199	5.686	5.697	6.132	5.888
200	5.799	5.808	6.195	5.977
201	6.066	6.074	6.488	6.254
202	5.921	5.93	6.3	6.095
203	5.769	5.777	6.192	5.952
204	5.602	5.603	6.058	5.802
205	5.81	5.815	6.22	5.996
206	5.71	5.718	6.083	5.877
207	5.843	5.848	6.239	6.021
208	5.467	5.473	5.915	5.669
209	5.765	5.769	6.166	5.95
210	5.691	5.701	6.072	5.862
211	5.447	5.455	5.866	5.634
212	5.331	5.335	5.787	5.535
213	5.539	5.543	5.964	5.732
214	5.745	5.747	6.133	5.917
215	5.402	5.407	5.848	5.597
216	5.414	5.418	5.912	5.631
217	5.512	5.52	5.949	5.709
218	5.5	5.508	5.902	5.667
219	5.368	5.376	5.837	5.577
220	5.171	5.178	5.673	5.383
221	5.766	5.771	6.209	5.958
222	5.499	5.503	5.954	5.693
223	5.831	5.838	6.276	6.025
224	5.708	5.714	6.136	5.89
225	5.781	5.781	6.199	5.957
226	5.753	5.755	6.202	5.943
227	5.574	5.584	5.987	5.749
228	5.668	5.675	6.097	5.85
229	5.812	5.819	6.201	5.988
230	5.984	5.989	6.377	6.149
231	5.91	5.921	6.267	6.06
232	5.989	5.996	6.358	6.148
233	6.208	6.218	6.568	6.357
234	6.287	6.294	6.605	6.43
235	5.964	5.968	6.361	6.14
236	5.74	5.751	6.119	5.906
237	5.829	5.839	6.184	5.985
238	5.981	5.985	6.368	6.148
239	5.398	5.411	5.817	5.579
240	5.534	5.544	5.931	5.705
241	5.674	5.682	6.084	5.851
242	5.232	5.242	5.677	5.425
243	5.69	5.692	6.094	5.857
244	5.585	5.593	5.981	5.75
245	5.375	5.385	5.846	5.589
246	5.16	5.176	5.586	5.349
247	5.128	5.131	5.566	5.319
248	5.075	5.069	5.533	5.269
249	4.914	4.914	5.408	5.124
250	5.021	5.019	5.497	5.23
251	5.406	5.407	5.817	5.585
252	5.331	5.34	5.776	5.521
253	5.433	5.435	5.87	5.615
254	5.514	5.517	5.949	5.694
255	5.291	5.292	5.735	5.481
256	5.108	5.108	5.595	5.327
257	5.286	5.287	5.772	5.501
258	5.444	5.443	5.961	5.671
259	5.346	5.347	5.812	5.547
260	5.188	5.181	5.663	5.386
261	5.486	5.483	5.934	5.671
262	5.628	5.622	6.083	5.813
263	5.49	5.485	5.94	5.685
264	5.179	5.174	5.665	5.385
265	5.475	5.474	5.94	5.684
266	5.585	5.582	6.066	5.809
267	5.245	5.245	5.743	5.476
268	5.48	5.48	5.962	5.699
269	5.209	5.203	5.73	5.448
270	5.12	5.116	5.625	5.352
271	5.217	5.221	5.704	5.434
272	5.231	5.237	5.71	5.441
273	5.087	5.088	5.613	5.319
274	5.148	5.152	5.625	5.359
275	4.704	4.706	5.23	4.937
276	4.926	4.927	5.474	5.167
277	4.962	4.959	5.454	5.175
278	4.864	4.867	5.41	5.112
279	4.757	4.752	5.288	4.985
