# Frame, Distance
0,20.064261
1,16.332333
2,14.322121
3,11.953110
4,13.605873
5,15.434171
6,13.955676
7,13.607014
8,15.247007
9,18.474676
10,17.240561
11,18.837443
12,20.283417
13,20.409676
14,17.507397
15,17.988549
16,20.054580
17,21.010653
18,23.119408
19,22.402993
20,22.797930
21,22.538957
22,23.005451
23,23.081077
24,22.772457
25,23.824804
26,23.728331
27,19.010214
28,23.357951
29,27.800232
30,25.769867
31,26.888643
32,24.211746
33,21.886021
34,19.160106
35,24.171634
36,23.143085
37,23.966197
38,22.642120
39,26.157775
40,23.376486
41,26.417655
42,24.862444
43,25.644768
44,28.177394
45,24.691232
46,21.438246
47,19.285370
48,22.623910
49,17.350327
50,18.318581
51,12.464864
52,16.070460
53,13.669600
54,18.053993
55,16.933488
56,15.636694
57,20.745978
58,19.788831
59,15.129625
60,21.337184
61,19.898451
62,20.147521
63,20.608331
64,21.533937
65,17.428414
66,20.849548
67,22.187834
68,22.245481
69,10.598379
70,9.118033
71,14.323854
72,19.099356
73,19.536404
74,8.673472
75,17.409253
76,14.778260
77,16.114699
78,20.896783
79,22.523408
80,20.548496
81,18.744023
82,19.598886
83,25.384260
84,24.615266
85,23.841099
86,20.233640
87,23.262849
88,23.494382
89,24.686834
90,24.683066
91,22.585119
92,16.164396
93,17.490134
94,19.974941
95,12.291744
96,10.076954
97,15.961261
98,6.786600
99,14.794434
100,16.511745
101,16.792455
102,19.961123
103,17.388561
104,22.612867
105,20.829513
106,14.412122
107,13.360213
108,16.997040
109,17.732869
110,19.090171
111,21.233293
112,21.326261
113,16.358636
114,16.137143
115,19.936524
116,18.736468
117,20.220853
118,17.432020
119,26.088585
120,27.513305
121,24.566926
122,22.581294
123,23.909676
124,23.084556
125,26.108566
126,24.110267
127,23.611711
128,23.274162
129,24.331720
130,24.166345
131,17.935162
132,18.748880
133,21.604042
134,17.491641
135,20.923887
136,20.011754
137,20.188648
138,22.342322
139,25.524333
140,24.692986
141,23.885275
142,22.996014
143,22.753803
144,19.919458
145,17.675261
146,20.728063
147,22.525493
148,23.887207
149,19.952683
150,19.410535
151,18.465824
152,25.069112
153,18.162641
154,23.619641
155,21.044739
156,21.624958
157,23.597352
158,26.467434
159,21.698493
160,23.533250
161,24.334596
162,23.685791
163,26.824813
164,21.887429
165,23.507345
166,22.095035
167,20.657359
168,19.971556
169,24.729079
170,20.917366
171,24.507657
172,21.942399
173,22.732573
174,23.538486
175,23.139275
176,25.423824
177,30.289586
178,26.074058
179,26.259028
180,22.958465
181,26.414373
182,26.463788
183,26.030353
184,23.030289
185,23.311190
186,25.949141
187,24.766345
188,24.373042
189,24.568401
190,22.496310
191,18.981951
192,22.192197
193,20.176162
194,23.880042
195,18.669225
196,21.725648
197,16.686246
198,19.932120
199,25.740620
200,26.680099
