#Frame,Distance HEM800-ACE918
0,6.507727
1,10.363873
2,10.72293
3,9.945959
4,9.616396
5,9.336873
6,10.765849
7,10.7667465
8,10.556535
9,11.472123
10,11.4627495
11,10.538194
12,10.190024
13,10.627561
14,11.059976
15,10.271227
16,12.030723
17,10.578562
18,11.250848
19,108.451866
20,11.225081
21,10.728866
22,9.521462
23,8.680515
24,9.5513935
25,8.868487
26,9.692292
27,8.785198
28,8.7071905
29,9.027975
30,9.045331
31,9.254587
32,8.914536
33,8.931743
34,8.6815815
35,9.132764
36,9.573019
37,9.377495
38,10.116497
39,9.4533615
40,8.580345
41,9.084598
42,9.543629
43,9.345167
44,9.726273
45,9.288672
46,8.53767
47,9.502441
48,9.253269
49,8.944669
50,10.0681505
51,10.101608
52,10.215711
53,9.117533
54,9.288409
55,9.41704
56,9.180438
57,8.837921
58,9.445951
59,9.9734
60,10.769925
61,8.958546
62,9.069611
63,9.670144
64,10.014572
65,9.528961
66,8.778811
67,8.497399
68,9.001172
69,9.152965
70,9.346153
71,103.490425
72,9.039467
73,9.07737
74,9.330359
75,9.12052
76,102.79347
77,8.648149
78,8.59046
79,8.798691
80,8.763554
81,101.84669
82,9.609466
83,9.752574
84,9.03439
85,9.408258
86,8.322337
87,7.6386356
88,7.87857
89,8.694562
90,9.070586
91,8.966258
92,8.686031
93,8.479107
94,9.523589
95,103.23776
96,102.71981
97,8.439869
98,9.581748
99,9.407071
100,8.684681
101,9.143874
102,8.428184
103,9.537174
104,8.608428
105,8.9606905
106,9.477975
107,9.068765
108,9.382816
109,9.680231
110,9.530586
111,10.001683
112,10.782049
113,10.14667
114,10.054887
115,10.111767
116,10.255491
117,10.414469
118,9.937852
119,9.4975605
120,7.3451967
121,7.3084893
122,9.420885
123,9.274714
124,9.130251
125,7.4967217
126,10.15311
127,10.130743
128,8.685886
129,8.528175
130,7.5031586
131,7.5228972
132,9.175177
133,9.892615
134,10.283944
135,10.538498
136,9.843309
137,7.9933414
138,9.551551
139,8.711643
140,10.033388
141,9.293413
142,9.305275
143,9.063728
144,9.169812
145,8.898846
146,9.885316
147,9.013982
148,9.023939
149,8.802537
150,8.978302
151,9.0113945
152,8.413921
153,8.851051
154,7.9923525
155,9.31421
156,9.101407
157,8.061398
158,109.2524
159,8.67469
160,104.07038
161,8.716743
162,8.711311
163,9.575928
164,9.83184
165,8.693208
166,9.113986
167,8.436395
168,8.819176
169,9.427709
170,104.43862
171,9.161425
172,10.048907
173,10.290256
174,10.006923
175,9.133383
176,9.495823
177,9.167174
178,9.274223
179,8.713753
180,8.852469
181,9.453763
182,9.945398
183,9.063426
184,10.634019
185,8.978188
186,8.171042
187,9.412769
188,8.792996
189,8.887097
190,9.139483
191,9.258816
192,9.239273
193,8.602378
194,10.460431
195,8.980719
196,8.675048
197,8.58731
198,8.8789625
199,8.39721
200,8.679135
