frame#,Prot_CA,Prot_Backbone,Prot_Sidechain,Prot_All_Heavy
0,0.000,0.000,0.000,0.000
1,0.947,0.964,1.557,1.188
2,0.922,0.941,1.604,1.176
3,0.971,0.990,1.683,1.234
4,1.045,1.058,1.805,1.334
5,1.078,1.099,1.846,1.374
6,1.021,1.034,1.797,1.317
7,1.096,1.097,1.861,1.397
8,1.076,1.093,1.842,1.363
9,1.027,1.044,1.824,1.331
10,1.109,1.109,1.929,1.437
11,1.077,1.095,1.894,1.400
12,1.120,1.138,1.900,1.417
13,1.078,1.100,1.889,1.398
14,1.026,1.042,1.831,1.320
15,1.072,1.087,1.882,1.374
16,1.097,1.115,1.919,1.424
17,1.107,1.121,1.901,1.403
18,1.340,1.352,2.043,1.593
19,1.251,1.266,2.010,1.541
20,1.074,1.089,1.908,1.402
21,1.268,1.277,2.024,1.564
22,1.165,1.177,1.962,1.469
23,1.224,1.244,2.034,1.536
24,1.129,1.146,1.950,1.456
25,1.226,1.252,2.035,1.548
26,1.055,1.080,1.941,1.416
27,1.096,1.128,1.928,1.421
28,1.150,1.172,1.935,1.452
29,1.176,1.194,1.978,1.478
30,1.223,1.242,2.014,1.518
31,1.121,1.135,2.005,1.473
32,1.121,1.131,2.005,1.462
33,1.223,1.230,2.031,1.514
34,1.134,1.137,1.942,1.435
35,1.185,1.193,2.023,1.492
36,1.176,1.187,2.003,1.498
37,1.213,1.229,2.056,1.539
38,1.200,1.213,2.072,1.538
39,1.197,1.206,2.054,1.519
40,1.189,1.201,2.079,1.546
41,1.212,1.228,2.064,1.546
42,1.099,1.120,2.004,1.470
43,1.200,1.223,2.099,1.565
44,1.274,1.290,2.159,1.607
45,1.327,1.345,2.135,1.639
46,1.296,1.309,2.158,1.626
47,1.214,1.233,2.107,1.581
48,1.237,1.258,2.175,1.629
49,1.271,1.297,2.228,1.673
50,1.311,1.324,2.224,1.686
51,1.137,1.164,2.079,1.537
52,1.115,1.135,2.061,1.500
53,1.188,1.207,2.140,1.580
54,1.254,1.272,2.159,1.629
55,1.303,1.321,2.214,1.675
56,1.382,1.408,2.255,1.731
57,1.122,1.156,2.041,1.498
58,1.118,1.150,2.074,1.513
59,1.234,1.266,2.130,1.604
60,1.285,1.314,2.149,1.622
61,1.206,1.234,2.089,1.558
62,1.386,1.409,2.191,1.703
63,1.401,1.427,2.205,1.732
64,1.245,1.272,2.129,1.624
65,1.271,1.301,2.150,1.626
66,1.230,1.262,2.120,1.599
67,1.288,1.308,2.118,1.607
68,1.445,1.458,2.217,1.743
69,1.346,1.363,2.203,1.684
70,1.269,1.286,2.089,1.588
71,1.199,1.217,2.093,1.555
72,1.187,1.209,2.083,1.543
73,1.269,1.285,2.140,1.622
74,1.272,1.294,2.070,1.585
75,1.242,1.272,2.034,1.559
76,1.218,1.256,2.041,1.551
77,1.313,1.337,2.148,1.645
78,1.238,1.265,2.112,1.599
79,1.159,1.185,2.065,1.525
80,1.134,1.167,2.058,1.519
81,1.218,1.233,2.117,1.580
82,1.150,1.176,2.067,1.535
83,1.185,1.216,2.021,1.524
84,1.261,1.277,2.082,1.584
85,1.171,1.193,2.057,1.522
86,1.177,1.193,2.070,1.539
87,1.310,1.330,2.171,1.657
88,1.273,1.288,2.150,1.635
89,1.147,1.171,2.017,1.507
90,1.194,1.207,2.092,1.572
91,1.139,1.166,2.071,1.539
92,1.275,1.293,2.218,1.688
93,1.142,1.150,2.138,1.570
94,1.190,1.209,2.122,1.576
95,1.240,1.262,2.185,1.627
96,1.314,1.338,2.196,1.675
97,1.245,1.263,2.162,1.619
98,1.231,1.257,2.125,1.603
99,1.243,1.265,2.123,1.611
100,1.270,1.291,2.172,1.636
101,1.331,1.354,2.163,1.665
102,1.315,1.341,2.159,1.657
103,1.395,1.418,2.260,1.753
104,1.264,1.285,2.192,1.640
105,1.241,1.271,2.157,1.624
106,1.352,1.383,2.237,1.718
107,1.296,1.324,2.171,1.639
108,1.334,1.360,2.222,1.693
109,1.350,1.372,2.241,1.713
110,1.379,1.392,2.231,1.713
111,1.201,1.227,2.072,1.548
112,1.202,1.219,2.090,1.570
113,1.225,1.245,2.112,1.592
114,1.245,1.260,2.156,1.612
115,1.202,1.211,2.115,1.578
116,1.277,1.292,2.165,1.635
117,1.211,1.226,2.162,1.602
118,1.272,1.287,2.218,1.659
119,1.275,1.276,2.233,1.668
120,1.265,1.273,2.154,1.620
121,1.184,1.193,2.095,1.545
122,1.196,1.206,2.093,1.555
123,1.314,1.317,2.171,1.663
124,1.246,1.265,2.164,1.626
125,1.263,1.272,2.202,1.662
126,1.272,1.277,2.261,1.700
127,1.287,1.294,2.239,1.690
128,1.341,1.360,2.229,1.713
129,1.406,1.422,2.292,1.769
130,1.229,1.244,2.181,1.638
131,1.214,1.224,2.179,1.622
132,1.227,1.248,2.147,1.613
133,1.314,1.328,2.233,1.696
134,1.268,1.279,2.218,1.662
135,1.253,1.265,2.192,1.646
136,1.265,1.280,2.219,1.665
137,1.284,1.288,2.243,1.677
138,1.359,1.366,2.299,1.751
139,1.354,1.368,2.268,1.733
140,1.396,1.406,2.282,1.779
141,1.351,1.362,2.319,1.765
142,1.427,1.434,2.366,1.823
143,1.368,1.372,2.310,1.767
144,1.325,1.329,2.258,1.699
145,1.305,1.326,2.211,1.673
146,1.349,1.358,2.300,1.749
147,1.267,1.273,2.237,1.661
148,1.278,1.297,2.225,1.681
149,1.258,1.264,2.170,1.626
150,1.363,1.369,2.246,1.716
