Frame,Distance HEM800-RTZ602
0,9.099499
1,9.248486
2,9.312842
3,9.596343
4,9.600585
5,9.7132635
6,9.4016075
7,9.280157
8,9.381799
9,9.18508
10,9.292374
11,10.283991
12,9.313529
13,10.159104
14,9.758176
15,9.555416
16,9.883133
17,9.403851
18,10.274167
19,10.207097
20,10.412603
21,9.698052
22,9.805738
23,9.25024
24,9.027719
25,9.179768
26,9.38851
27,9.433761
28,9.775709
29,10.127384
30,10.008086
31,9.515526
32,10.057669
33,9.304512
34,10.259297
35,9.857424
36,9.636998
37,9.68723
38,9.839955
39,9.74392
40,10.299992
41,9.878272
42,9.918348
43,10.111027
44,10.209345
45,9.985624
46,10.23713
47,9.931106
48,9.410801
49,9.607868
50,9.770345
51,9.634516
52,9.337332
53,9.928326
54,9.708097
55,10.494624
56,10.02506
57,10.093343
58,9.788105
59,10.034487
60,10.612268
61,10.246826
62,10.50751
63,10.12498
64,10.245992
65,10.340183
66,9.743486
67,10.074702
68,9.471001
69,9.882097
70,9.614285
71,9.910624
72,9.668293
73,10.541407
74,9.823543
75,9.722734
76,10.067985
77,9.667644
78,10.055766
79,9.811906
80,10.480281
81,10.2980585
82,9.881566
83,10.102382
84,9.529839
85,9.787381
86,9.990418
87,10.467637
88,9.594458
89,10.372285
90,9.7688675
91,9.921342
92,10.453983
93,10.428992
94,9.65154
95,9.864372
96,10.349957
97,9.931848
98,9.944833
99,10.138501
100,9.529359
101,9.750272
102,9.670609
103,9.584593
104,10.236824
105,10.097361
106,10.212121
107,9.810987
108,10.0952835
109,10.509111
110,9.833458
111,10.147006
112,9.726357
113,10.308405
114,9.998747
115,9.796016
116,9.891919
117,9.614135
118,9.629951
119,10.083746
120,10.205213
121,9.602335
122,9.733333
123,10.308364
124,9.944635
125,10.001241
126,9.609528
127,9.949294
128,10.090586
129,10.30241
130,9.495244
131,9.547225
132,10.037376
133,9.842931
134,9.807654
135,10.119451
136,9.893122
137,9.735243
138,9.886918
139,10.139038
140,9.468019
141,9.55462
142,9.690505
143,8.990833
144,9.78861
145,9.170391
146,9.906646
147,9.178838
148,9.383406
149,9.741574
150,9.757411
151,10.222438
152,9.814159
153,8.962947
154,9.40003
155,9.897263
156,9.11092
157,9.298196
158,9.273349
159,9.39071
160,9.045114
161,9.875008
162,9.751348
163,9.778536
164,9.4177885
165,9.502218
166,8.850176
167,9.571856
168,9.405281
169,9.520786
170,10.001911
171,10.355761
172,9.601021
173,9.6771965
174,10.221845
175,9.402688
176,9.406171
177,9.426137
178,8.778149
179,9.430285
180,9.076099
181,10.072048
182,9.488266
183,9.04471
184,9.405422
185,10.239544
186,9.214451
187,9.550609
188,9.362838
189,9.637911
190,8.984555
191,9.720057
192,9.390339
193,9.35377
194,9.215171
195,9.064633
196,8.810482
197,9.307667
198,9.270686
199,8.910634
200,9.770057
