frame#,Prot_CA,Prot_Backbone,Prot_Sidechain,Prot_All_Heavy
0,0.000,0.000,0.000,0.000
1,2.208,2.211,2.702,2.397
2,2.031,2.040,2.687,2.315
3,2.123,2.134,2.726,2.388
4,3.309,3.318,3.740,3.491
5,3.361,3.371,3.810,3.567
6,3.873,3.884,4.261,4.055
7,4.456,4.465,4.810,4.628
8,4.457,4.468,4.843,4.648
9,5.043,5.060,5.419,5.255
10,4.370,4.388,4.786,4.592
11,4.629,4.639,5.010,4.827
12,4.256,4.267,4.683,4.471
13,4.198,4.205,4.647,4.439
14,4.764,4.766,5.202,5.018
15,4.648,4.657,5.061,4.881
16,3.706,3.709,4.220,3.955
17,4.046,4.059,4.523,4.287
18,3.987,3.990,4.492,4.232
19,4.365,4.373,4.865,4.631
20,4.418,4.424,4.971,4.703
21,4.424,4.437,4.880,4.655
22,4.215,4.220,4.671,4.449
23,4.758,4.770,5.200,5.004
24,4.511,4.519,4.983,4.767
25,3.795,3.801,4.282,4.040
26,4.246,4.258,4.743,4.533
27,4.282,4.291,4.729,4.527
28,4.078,4.092,4.579,4.341
29,3.949,3.953,4.453,4.231
30,4.354,4.370,4.818,4.617
31,4.643,4.655,5.094,4.896
32,4.780,4.793,5.255,5.067
33,5.061,5.076,5.483,5.316
34,4.965,4.980,5.423,5.239
35,4.734,4.750,5.195,5.013
36,4.489,4.498,4.990,4.782
37,4.571,4.575,5.053,4.859
38,4.870,4.876,5.397,5.198
39,4.107,4.104,4.665,4.413
40,5.105,5.115,5.593,5.415
41,5.442,5.443,5.975,5.772
42,5.485,5.477,5.975,5.797
43,5.050,5.044,5.575,5.376
44,5.190,5.190,5.721,5.521
45,5.046,5.053,5.563,5.357
46,4.775,4.784,5.279,5.071
47,4.090,4.110,4.631,4.397
48,4.386,4.398,4.892,4.682
49,4.356,4.378,4.855,4.638
50,4.154,4.174,4.670,4.447
51,4.067,4.074,4.589,4.353
52,4.212,4.222,4.778,4.531
53,4.231,4.238,4.792,4.538
54,4.297,4.313,4.831,4.590
55,4.306,4.323,4.844,4.612
56,4.540,4.539,5.115,4.867
57,4.000,4.005,4.553,4.296
58,4.899,4.904,5.448,5.229
59,4.965,4.971,5.507,5.284
60,5.283,5.288,5.791,5.582
61,4.754,4.760,5.249,5.044
62,5.256,5.263,5.741,5.553
63,5.086,5.090,5.627,5.393
64,4.906,4.915,5.414,5.186
65,5.519,5.530,6.014,5.819
66,4.956,4.967,5.445,5.233
67,5.342,5.350,5.846,5.642
68,4.966,4.972,5.497,5.275
69,4.751,4.759,5.329,5.073
70,4.979,4.983,5.541,5.303
71,4.661,4.669,5.188,4.965
72,4.692,4.696,5.238,4.998
73,5.045,5.049,5.604,5.376
74,4.738,4.749,5.288,5.050
75,4.946,4.955,5.507,5.275
76,5.401,5.407,5.925,5.714
77,5.234,5.250,5.818,5.577
78,5.149,5.159,5.675,5.470
79,5.048,5.050,5.641,5.394
80,4.898,4.910,5.470,5.227
81,4.653,4.659,5.200,4.958
82,5.514,5.515,6.051,5.830
83,4.943,4.948,5.448,5.245
84,4.933,4.927,5.457,5.235
85,4.870,4.875,5.405,5.188
86,4.815,4.817,5.334,5.122
87,4.602,4.612,5.134,4.896
88,4.523,4.525,5.067,4.831
89,4.765,4.769,5.329,5.092
90,4.926,4.927,5.507,5.261
91,4.774,4.777,5.299,5.069
92,4.917,4.925,5.471,5.241
93,4.502,4.507,5.013,4.799
94,4.281,4.288,4.860,4.610
95,4.682,4.691,5.264,5.026
96,4.618,4.633,5.166,4.935
97,4.932,4.941,5.498,5.265
98,4.768,4.785,5.305,5.074
99,4.929,4.939,5.461,5.238
100,5.093,5.106,5.625,5.407
101,5.181,5.187,5.698,5.486
102,5.051,5.061,5.552,5.357
103,4.942,4.946,5.448,5.250
104,5.365,5.374,5.895,5.701
105,5.678,5.686,6.202,6.008
106,5.416,5.418,5.961,5.759
107,5.031,5.031,5.551,5.346
108,5.207,5.207,5.772,5.545
109,5.065,5.069,5.645,5.410
110,4.723,4.732,5.269,5.043
111,4.879,4.885,5.465,5.226
112,4.514,4.517,5.084,4.837
113,4.772,4.777,5.331,5.106
114,5.034,5.047,5.572,5.365
115,5.056,5.065,5.617,5.391
116,4.921,4.928,5.506,5.272
117,5.059,5.057,5.599,5.391
118,5.201,5.205,5.808,5.572
119,5.170,5.178,5.677,5.491
120,5.163,5.165,5.695,5.496
121,5.411,5.416,5.969,5.767
122,5.168,5.175,5.748,5.522
123,5.225,5.230,5.751,5.549
124,5.501,5.499,6.069,5.854
125,5.374,5.381,5.981,5.752
126,5.116,5.126,5.700,5.473
127,5.468,5.470,6.055,5.835
128,5.375,5.380,5.949,5.733
129,5.795,5.811,6.351,6.153
130,5.236,5.246,5.801,5.576
131,5.415,5.424,6.024,5.780
132,5.258,5.259,5.898,5.644
133,5.576,5.569,6.215,5.964
134,4.971,4.971,5.604,5.334
135,4.982,4.985,5.584,5.336
136,5.031,5.031,5.637,5.384
137,5.013,5.016,5.615,5.372
138,6.033,6.027,6.595,6.390
139,5.875,5.870,6.464,6.247
140,5.676,5.672,6.256,6.046
141,5.922,5.922,6.476,6.282
142,5.849,5.852,6.383,6.203
143,5.346,5.344,5.956,5.721
144,5.695,5.694,6.259,6.052
145,5.497,5.496,6.080,5.855
146,5.722,5.719,6.275,6.067
147,6.003,6.007,6.604,6.391
148,6.015,6.018,6.544,6.362
149,5.833,5.834,6.397,6.193
150,5.598,5.598,6.156,5.955
151,5.973,5.975,6.507,6.327
152,5.619,5.617,6.184,5.977
153,5.935,5.937,6.476,6.296
154,5.703,5.707,6.274,6.070
155,5.715,5.716,6.305,6.090
156,5.973,5.971,6.486,6.310
157,6.070,6.068,6.586,6.414
158,5.932,5.933,6.473,6.283
159,6.140,6.137,6.664,6.478
160,6.115,6.113,6.612,6.438
161,5.911,5.904,6.455,6.239
162,5.793,5.794,6.327,6.127
163,6.040,6.035,6.562,6.372
164,5.884,5.886,6.424,6.211
165,6.262,6.257,6.763,6.584
166,6.204,6.197,6.735,6.531
167,6.237,6.230,6.709,6.550
168,6.154,6.143,6.664,6.475
169,5.566,5.563,6.095,5.889
170,5.810,5.804,6.362,6.161
171,6.088,6.090,6.617,6.425
172,6.386,6.386,6.905,6.720
173,6.392,6.384,6.890,6.714
174,6.524,6.519,7.001,6.844
175,6.457,6.452,6.969,6.798
176,6.765,6.757,7.286,7.111
177,6.231,6.226,6.712,6.558
178,6.582,6.575,7.077,6.907
179,6.185,6.174,6.698,6.507
180,6.264,6.259,6.768,6.582
181,6.174,6.165,6.657,6.493
182,6.492,6.493,6.980,6.814
183,6.180,6.175,6.636,6.482
184,6.032,6.030,6.538,6.355
185,6.365,6.362,6.886,6.694
186,6.277,6.267,6.810,6.614
187,6.289,6.288,6.790,6.627
188,6.206,6.195,6.713,6.533
189,6.087,6.081,6.616,6.428
190,5.805,5.801,6.349,6.136
191,5.805,5.785,6.375,6.151
192,6.267,6.254,6.823,6.620
193,6.069,6.061,6.615,6.409
194,6.478,6.474,6.984,6.808
195,6.440,6.435,6.969,6.784
196,6.419,6.418,6.938,6.750
197,6.168,6.166,6.670,6.480
198,5.994,5.992,6.521,6.327
199,6.756,6.749,7.220,7.081
200,5.965,5.963,6.455,6.293
201,6.538,6.536,7.042,6.875
202,6.705,6.696,7.189,7.041
203,6.535,6.527,7.032,6.873
204,6.597,6.592,7.097,6.944
205,5.959,5.955,6.481,6.293
206,6.208,6.197,6.730,6.543
207,6.571,6.561,7.061,6.906
208,6.276,6.267,6.777,6.612
209,6.216,6.209,6.710,6.548
210,6.437,6.425,6.929,6.762
211,6.897,6.889,7.358,7.215
212,6.699,6.694,7.203,7.048
213,6.717,6.708,7.194,7.046
214,6.327,6.321,6.785,6.632
215,6.858,6.848,7.318,7.167
216,6.912,6.903,7.362,7.231
217,6.638,6.627,7.107,6.948
218,6.650,6.645,7.133,6.967
219,6.606,6.601,7.095,6.930
220,6.755,6.745,7.234,7.081
221,7.087,7.079,7.526,7.392
222,6.725,6.721,7.151,7.020
223,7.018,7.013,7.431,7.312
224,7.015,7.012,7.433,7.312
225,6.833,6.828,7.282,7.135
226,6.862,6.861,7.277,7.157
227,6.550,6.549,6.995,6.851
228,6.312,6.309,6.794,6.627
229,6.867,6.869,7.289,7.166
230,6.934,6.930,7.372,7.235
231,6.774,6.778,7.217,7.082
232,6.647,6.648,7.080,6.946
233,6.554,6.557,6.973,6.853
234,6.774,6.774,7.194,7.076
235,6.632,6.632,7.095,6.950
236,7.458,7.459,7.883,7.770
237,6.932,6.938,7.370,7.246
238,7.048,7.049,7.540,7.396
239,7.070,7.068,7.518,7.380
240,6.878,6.873,7.385,7.217
241,6.700,6.703,7.172,7.027
242,6.396,6.392,6.875,6.713
243,6.533,6.531,6.981,6.831
244,6.851,6.850,7.308,7.161
245,6.715,6.712,7.159,7.023
246,6.609,6.609,7.095,6.931
247,6.747,6.748,7.247,7.091
248,6.992,6.989,7.447,7.306
249,7.056,7.061,7.504,7.375
250,7.108,7.105,7.561,7.430
251,7.091,7.089,7.544,7.418
252,7.377,7.374,7.844,7.708
253,7.257,7.256,7.716,7.583
254,7.299,7.300,7.755,7.621
255,7.098,7.090,7.560,7.427
256,7.049,7.048,7.508,7.366
257,7.143,7.144,7.625,7.466
258,6.751,6.753,7.264,7.092
