#Frame,Distance HEM800-RTZ602
0,9.221696
1,9.259573
2,9.24776
3,8.818386
4,9.645274
5,9.287276
6,9.125491
7,8.82131
8,8.758555
9,9.586291
10,9.368681
11,9.301261
12,9.136665
13,9.256635
14,9.960971
15,9.48562
16,8.931898
17,9.334632
18,9.731417
19,8.964612
20,9.377965
21,9.178513
22,9.401994
23,9.042955
24,9.146625
25,9.590699
26,10.037883
27,10.088179
28,10.280256
29,9.9543705
30,10.231661
31,10.139057
32,9.72525
33,9.571184
34,9.567556
35,9.581613
36,9.577893
37,9.739359
38,9.702197
39,10.66739
40,10.096273
41,9.084702
42,9.588303
43,9.700887
44,10.10221
45,9.849613
46,9.798054
47,9.198527
48,12.816089
49,13.240078
50,12.370862
51,12.084983
52,12.218428
53,12.827668
54,13.057968
55,12.658753
56,12.546655
57,12.774213
58,12.252718
59,12.6002655
60,12.592531
61,12.45334
62,12.471484
63,11.455924
64,12.417742
65,12.333256
66,12.767479
67,10.846259
68,12.266574
69,12.0940895
70,12.232794
71,12.229893
72,12.244834
73,11.830199
74,11.753779
75,12.371307
76,12.851755
77,12.362791
78,12.702926
79,12.687179
80,12.738235
81,12.885356
82,12.322557
83,12.235576
84,11.836805
85,13.509679
86,12.64002
87,12.621347
88,12.804233
89,12.557956
90,12.532331
91,12.562031
92,12.69001
93,13.031411
94,12.194982
95,12.666443
96,12.5667
97,12.194171
98,12.986665
99,12.624709
100,12.266932
101,12.283729
102,12.388141
103,12.232873
104,12.369743
105,11.992098
106,12.303664
107,11.6430435
108,11.706034
109,11.49423
110,11.623616
111,11.178914
112,11.377078
113,11.179003
114,11.016117
115,11.49909
116,10.783417
117,10.052546
118,9.944077
119,10.527207
120,10.745098
121,10.369677
122,10.483119
123,10.0362
124,10.422448
125,10.0157995
126,11.962069
127,12.016196
128,11.36373
129,11.318111
130,11.697103
131,11.914302
132,11.705356
133,11.224155
134,11.77302
135,11.615974
136,11.278116
137,11.399229
138,11.567949
139,11.5268135
140,11.379862
141,11.565197
142,11.964045
143,12.022523
144,11.582435
145,11.469192
146,11.355636
147,11.894334
148,8.686662
149,11.917931
150,11.561122
151,10.922063
152,11.167222
153,10.327514
154,11.1987505
155,9.126603
156,10.675444
157,11.291717
158,9.907099
159,9.155162
160,9.4483
161,9.459781
162,11.616877
163,11.256073
164,11.529687
165,11.458481
166,11.214444
167,11.045993
168,10.815918
169,10.228776
170,11.083926
171,10.430489
172,10.975965
173,10.634987
174,10.73867
175,10.797372
176,10.698156
177,11.233131
178,10.783863
179,10.760056
180,9.908896
181,9.11668
182,10.951697
183,10.994172
184,10.714511
185,10.182149
186,10.768841
187,10.328652
188,11.448049
189,11.613297
190,11.271128
191,11.583974
192,10.997333
193,10.998045
194,11.489826
195,11.535833
196,11.88623
197,11.245437
198,11.391957
199,11.262144
200,11.434956
