Frame,Distance HEM800-RTZ602
0,9.122548
1,9.522412
2,9.172691
3,10.623656
4,9.923641
5,9.279996
6,9.554957
7,9.677178
8,9.892474
9,9.466017
10,9.514391
11,9.747612
12,9.887072
13,10.202484
14,9.3154
15,9.498093
16,9.81386
17,10.037668
18,9.50952
19,9.938968
20,9.998168
21,9.933047
22,10.232243
23,9.773906
24,9.878823
25,9.433254
26,9.544671
27,9.220094
28,9.363573
29,9.624616
30,9.2471895
31,9.796259
32,10.212631
33,9.526946
34,9.673954
35,9.539132
36,9.815721
37,9.99391
38,9.67726
39,9.400572
40,9.801342
41,10.003401
42,9.653439
43,9.447636
44,9.971304
45,9.233196
46,10.4371605
47,9.996061
48,9.825107
49,9.648024
50,9.704775
51,9.480059
52,9.59615
53,9.228325
54,9.622874
55,9.697734
56,9.13033
57,9.509316
58,9.938595
59,9.454376
60,9.3701315
61,9.921851
62,10.125484
63,9.765123
64,9.967364
65,9.556928
66,10.090595
67,9.349481
68,9.541073
69,9.611834
70,9.745178
71,9.718088
72,9.688603
73,9.80433
74,10.117604
75,9.702439
76,9.490528
77,9.453638
78,9.7955
79,9.729059
80,9.735658
81,9.7938175
82,9.485415
83,9.2881155
84,9.788512
85,9.582656
86,9.553826
87,9.677151
88,9.376111
89,9.679403
90,9.803849
91,9.291389
92,9.563706
93,9.968911
94,9.192693
95,9.649725
96,9.683981
97,9.675615
98,9.044702
99,9.585912
100,9.715382
101,9.793613
102,9.7388935
103,10.033474
104,9.41298
105,9.718095
106,9.561127
107,9.16984
108,10.064134
109,9.094239
110,9.535001
111,9.546695
112,9.515802
113,10.247545
114,10.403405
115,10.04665
116,9.652723
117,10.389608
118,9.72142
119,10.149982
120,9.792588
121,10.1547365
122,9.892296
123,10.282634
124,10.001397
125,10.325116
126,9.729067
127,9.811606
128,10.318677
129,10.164453
130,9.717526
131,9.729066
132,10.327468
133,9.843425
134,10.288425
135,10.662486
136,10.574978
137,10.206702
138,10.333661
139,9.646826
140,10.052847
141,9.638785
142,10.056114
143,9.449647
144,10.298959
145,10.0807085
146,9.74261
147,10.159289
148,10.891656
149,10.236455
150,10.298541
151,9.90029
152,10.03644
153,9.985092
154,10.079509
155,10.634599
156,10.131124
157,9.334204
158,11.197612
159,9.542496
160,9.608774
161,9.996145
162,9.7561865
163,9.595839
164,9.487055
165,9.790686
166,9.981841
167,9.422525
168,9.350982
169,9.920364
170,9.999227
171,9.746117
172,9.815056
173,9.84648
174,9.688681
175,10.545485
176,9.75782
177,10.293862
178,9.764122
179,9.92334
180,9.556561
181,9.602758
182,9.051553
183,9.933114
184,9.692588
185,9.689316
186,9.992873
187,10.270619
188,9.844505
189,9.575619
190,10.076197
191,9.989425
192,10.420414
193,9.733442
194,9.838784
195,10.048198
196,10.37646
197,10.221402
198,9.758162
199,9.517377
200,10.286148
