# Frame, Distance
0,24.309566
1,23.195056
2,27.206021
3,24.516472
4,27.196437
5,28.495830
6,29.914443
7,26.319262
8,22.653818
9,24.576931
10,17.803394
11,18.100908
12,19.017225
13,24.549930
14,25.007683
15,24.313035
16,25.029887
17,22.038725
18,24.714183
19,25.369254
20,25.162479
21,22.009141
22,21.907817
23,24.351472
24,23.684000
25,22.074380
26,20.603134
27,25.978310
28,26.370993
29,23.216606
30,26.001472
31,25.116718
32,25.659275
33,26.379627
34,26.616620
35,21.055155
36,22.609232
37,21.981556
38,24.746831
39,23.868493
40,23.080056
41,20.228254
42,14.279493
43,23.804169
44,24.251648
45,21.599063
46,23.330662
47,24.639388
48,24.893280
49,25.971807
50,26.319938
51,25.004678
52,24.784916
53,22.704827
54,23.320246
55,19.964873
56,18.534210
57,21.925421
58,18.108745
59,22.846053
60,22.793986
61,23.510591
62,27.340965
63,23.142604
64,23.899709
65,22.450469
66,23.249148
67,23.630514
68,22.568190
69,20.860077
70,22.921937
71,23.611867
72,23.943141
73,21.724930
74,18.602275
75,19.163211
76,19.107155
77,19.038620
78,15.682951
79,20.953768
80,21.807282
81,20.595761
82,18.725613
83,24.422367
84,26.164570
85,18.646655
86,16.435465
87,18.247535
88,17.886458
89,19.905127
90,19.595754
91,20.163859
92,20.996697
93,22.971113
94,22.908387
95,22.155464
96,20.995085
97,21.343063
98,21.377437
99,21.451308
100,14.781458
101,22.256259
102,22.210894
103,24.546994
104,23.187007
105,22.811671
106,20.474828
107,21.068185
108,19.601545
109,18.820803
110,19.172562
111,15.746608
112,21.911200
113,14.923657
114,16.899841
115,16.296439
116,14.901074
117,19.034628
118,16.065007
119,15.013329
120,13.361791
121,17.368852
122,18.161035
123,19.735127
124,22.089599
125,21.830520
126,21.890782
127,21.523711
128,22.922676
129,27.352157
130,26.823147
131,26.484923
132,25.493704
133,27.303796
134,28.934536
135,28.586020
136,25.843678
137,33.673414
138,27.424831
139,23.120962
140,26.368838
141,22.373044
142,23.166414
143,24.612906
144,23.747901
145,19.477612
146,26.107263
147,16.555623
148,15.957759
149,20.774824
150,18.806381
151,16.722441
152,21.452458
153,20.147408
154,14.593340
155,17.099092
156,15.389845
157,16.348930
158,18.519070
159,15.934754
160,16.926500
161,19.133134
162,22.992697
163,22.683148
164,18.398951
165,20.255599
166,23.948211
167,21.732979
168,22.531254
169,21.585197
170,22.650746
171,22.077275
172,20.910359
173,18.242113
174,18.646239
175,18.438901
176,16.921563
177,16.449669
178,13.837986
179,14.473725
180,18.298218
181,11.276007
182,19.182500
183,14.285275
184,16.295324
185,21.315479
186,15.361674
187,16.847493
188,8.253248
189,14.670455
190,17.227232
191,16.187875
192,16.353634
193,14.252232
194,14.655275
195,18.431162
196,18.941392
197,15.792170
198,8.130589
199,19.633127
200,16.293268
