# Frame, Distance
0,19.266470
1,19.926148
2,24.443121
3,25.986200
4,25.844662
5,20.309310
6,17.780458
7,14.313704
8,24.315908
9,23.880108
10,25.156524
11,21.850778
12,25.736952
13,29.991029
14,20.437702
15,25.121248
16,19.830576
17,15.988275
18,13.297713
19,20.638305
20,20.553942
21,13.106215
22,14.967675
23,11.232131
24,18.899547
25,15.399550
26,16.130521
27,20.681733
28,14.168358
29,20.864155
30,22.831453
31,23.090333
32,22.908684
33,24.853050
34,22.424664
35,24.104957
36,18.392603
37,18.099164
38,17.269734
39,19.061553
40,25.422316
41,22.830833
42,21.196963
43,17.659688
44,22.679626
45,18.677062
46,19.278086
47,17.823259
48,16.391558
49,18.046248
50,17.168219
51,20.294268
52,18.181658
53,19.647822
54,17.691319
55,16.165597
56,15.084054
57,15.496906
58,15.119058
59,16.873510
60,15.433651
61,14.178068
62,15.814981
63,17.975961
64,16.118603
65,15.396961
66,12.828088
67,16.757204
68,13.816791
69,12.892827
70,15.346993
71,15.617764
72,16.195601
73,16.878307
74,18.084258
75,11.692640
76,16.071559
77,13.972920
78,13.906299
79,14.872235
80,15.312669
81,14.885417
82,10.131343
83,12.498246
84,13.854667
85,12.308274
86,13.201748
87,16.233956
88,17.230252
89,13.914463
90,14.500561
91,7.198760
92,15.600828
93,18.081456
94,16.151603
95,8.566554
96,11.675619
97,10.390308
98,9.762890
99,13.711373
100,12.868317
101,13.862201
102,12.994327
103,11.539070
104,17.200591
105,13.995213
106,9.664613
107,13.424563
108,12.450400
109,14.753158
110,14.663257
111,10.475933
112,17.100026
113,15.437528
114,13.295367
115,5.374420
116,8.354564
117,7.096832
118,0.891045
119,0.106667
120,5.872681
121,15.322525
122,11.688104
123,16.140386
124,9.814801
125,10.554796
126,12.699910
127,16.715083
128,11.580812
129,12.830534
130,12.392152
131,8.946638
132,10.953986
133,10.828914
134,12.008041
135,16.160176
136,15.313293
137,14.013797
138,14.579547
139,15.350348
140,14.314331
141,16.891444
142,11.153576
143,16.421657
144,16.994711
145,14.205535
146,16.067056
147,13.250153
148,13.084680
149,15.066709
150,16.236771
151,15.149765
152,15.319690
153,14.950311
154,12.625312
155,10.919234
156,12.152043
157,8.951468
158,10.484437
159,11.084809
160,14.200118
161,11.859203
162,11.317182
163,6.483740
164,10.342591
165,9.973625
166,11.401367
167,10.162910
168,9.282522
169,13.768734
170,10.731709
171,9.507483
172,10.104882
173,13.246699
174,15.698338
175,16.204824
176,16.270414
177,15.996155
178,11.587803
179,18.074712
180,16.395061
181,16.920494
182,9.705151
183,13.061714
184,14.212160
185,16.835809
186,16.442993
187,16.453473
188,12.256341
189,12.944099
190,13.874728
191,15.024583
192,15.445636
193,14.879268
194,12.208141
195,15.693075
196,16.267218
197,16.698359
198,14.497021
199,15.120880
200,15.371451
