Frame,Distance HEM800-TRA1
0,7.8349037
1,8.452775
2,8.11508
3,8.374379
4,8.201008
5,8.252198
6,8.263519
7,8.109008
8,8.403281
9,8.08295
10,8.113389
11,8.1184635
12,8.666352
13,8.509694
14,8.586959
15,8.135551
16,8.062644
17,8.303879
18,8.5156555
19,8.326423
20,8.270171
21,8.210596
22,8.662279
23,8.646336
24,8.603201
25,8.615631
26,8.6151495
27,8.597752
28,8.462033
29,8.6075735
30,8.399797
31,8.564252
32,8.62253
33,8.754533
34,8.375151
35,8.280564
36,7.949732
37,8.052726
38,8.126139
39,8.5408535
40,8.2205715
41,8.399409
42,8.471925
43,8.3332205
44,8.442958
45,8.371261
46,8.390073
47,8.154947
48,8.469645
49,8.241956
50,8.146205
51,8.929799
52,8.082192
53,8.213216
54,7.975028
55,8.120738
56,8.500086
57,8.457745
58,8.571944
59,8.09033
60,8.176474
61,8.450427
62,8.208861
63,8.274399
64,8.287038
65,7.8991537
66,8.280542
67,8.384882
68,7.936688
69,8.07175
70,8.476415
71,8.570238
72,8.232386
73,8.963218
74,8.220447
75,8.411942
76,8.492681
77,8.8132105
78,8.183606
79,8.463537
80,8.810762
81,8.587291
82,8.411679
83,8.195599
84,8.240003
85,9.028355
86,8.082641
87,8.035045
88,8.663522
89,8.390947
90,8.040143
91,8.088574
92,8.114152
93,8.430655
94,8.555447
95,8.537342
96,7.9124913
97,8.302115
98,8.317884
99,8.246453
100,8.770066
101,8.519031
102,8.6252575
103,7.8192735
104,8.765321
105,8.406505
106,8.241545
107,8.668605
108,8.550674
109,8.18965
110,8.5807295
111,8.602966
112,8.504812
113,8.471092
114,7.9863443
115,8.151672
116,8.049179
117,8.332549
118,8.766052
119,8.070975
120,8.654549
121,9.714968
122,8.3182955
123,8.954578
124,8.534599
125,8.980935
126,8.332955
127,9.2429905
128,8.526877
129,8.659118
130,8.342607
131,8.533699
132,9.39691
133,8.6993885
134,8.347361
135,8.423929
136,8.813924
137,8.550182
138,8.364648
139,8.088593
140,8.310172
141,8.314554
142,8.118727
143,8.604264
144,7.960934
145,8.381554
146,8.249234
147,8.180006
148,7.9957004
149,8.517429
150,8.390493
151,7.9699326
152,8.264095
153,8.36893
154,8.467349
155,9.343543
156,8.209081
157,7.832374
158,8.304106
159,8.118965
160,8.199039
161,8.459531
162,8.04921
163,8.353363
164,8.245679
165,7.9495916
166,8.034588
167,8.145784
168,8.571516
169,8.266568
170,8.5528755
171,8.219961
172,8.612183
173,7.9666476
174,8.131137
175,8.263384
176,7.930564
177,8.007822
178,8.704895
179,8.345785
180,8.20714
181,8.394927
182,8.656122
183,8.355064
184,8.041621
185,8.161698
186,7.8840456
187,8.02341
188,7.8414903
189,8.231545
190,8.23478
191,8.230283
192,8.316746
193,8.137884
194,8.225378
195,8.041115
196,9.176189
197,7.9763823
198,8.668596
199,8.273295
200,7.953942
