#Frame,Distance HEM800-TRA1
0,7.9046965
1,8.4598675
2,8.548551
3,8.366823
4,8.766448
5,8.470161
6,8.186134
7,8.6158285
8,8.35318
9,8.314149
10,9.033195
11,8.402438
12,8.244272
13,104.949974
14,8.1810055
15,8.479696
16,8.33419
17,8.602378
18,8.719641
19,8.205326
20,8.067825
21,8.286319
22,8.290553
23,8.225851
24,8.153913
25,8.289875
26,8.456731
27,8.359099
28,8.11157
29,8.05025
30,8.244393
31,7.95127
32,9.331989
33,8.5774
34,7.8264017
35,7.9409122
36,8.068354
37,8.113495
38,8.117044
39,8.220207
40,8.580364
41,7.887977
42,7.970083
43,8.545289
44,8.241939
45,8.272457
46,8.253503
47,8.359651
48,8.138593
49,9.593934
50,8.411831
51,8.201086
52,8.514247
53,8.252259
54,8.581909
55,8.646845
56,8.440426
57,8.053683
58,7.9943185
59,8.056107
60,8.433388
61,8.732455
62,8.636484
63,8.407234
64,8.534991
65,8.470852
66,8.138405
67,8.214683
68,8.576167
69,8.000034
70,7.8596816
71,8.071861
72,8.428575
73,8.215802
74,8.242469
75,8.183435
76,8.712009
77,8.038232
78,8.191894
79,8.1058655
80,110.1453
81,8.747463
82,8.064896
83,8.163117
84,8.302101
85,7.949174
86,8.452679
87,8.343602
88,8.364015
89,8.115972
90,8.374067
91,8.398556
92,8.154586
93,8.3142805
94,8.356837
95,8.207918
96,7.911509
97,8.397555
98,8.316544
99,8.13753
100,7.6547294
101,8.354419
102,8.300455
103,8.536058
104,8.13517
105,8.190381
106,7.9743357
107,7.708416
108,8.111803
109,8.531753
110,8.643911
111,8.203659
112,8.3416815
113,8.059352
114,8.50458
115,7.9807773
116,8.120661
117,7.9713345
118,8.41398
119,8.348611
120,8.032143
121,7.96653
122,8.400429
123,8.274322
124,7.6417594
125,8.299919
126,8.545726
127,8.028771
128,8.4008875
129,8.283776
130,8.167638
131,8.243829
132,8.358506
133,8.613922
134,8.310861
135,7.856351
136,8.203401
137,8.080084
138,8.02174
139,8.364153
140,8.223582
141,8.08033
142,8.275349
143,8.358963
144,8.137436
145,8.448998
146,8.770375
147,8.875583
148,8.487522
149,8.255736
150,8.254176
151,8.538262
152,8.345268
153,8.595723
154,8.125916
155,103.43479
156,8.114624
157,8.306302
158,7.9487715
159,8.097145
160,8.057606
161,8.687959
162,8.020309
163,8.322426
164,7.935698
165,8.127072
166,8.111112
167,8.304341
168,9.817592
169,9.940466
170,9.509034
171,9.274158
172,9.386545
173,9.678646
174,9.771298
175,9.011479
176,9.596053
177,9.491667
178,9.092195
179,9.014899
180,9.109151
181,9.254104
182,9.460037
183,9.10789
184,9.214882
185,9.209536
186,9.129068
187,9.056165
188,9.236761
189,9.257463
190,9.166405
191,9.002957
192,8.955846
193,9.135751
194,9.349371
195,9.16683
196,9.324323
197,9.338151
198,9.225611
199,9.732528
200,8.945346
