frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	0.822	0.836	1.539	1.077
2	0.956	0.972	1.668	1.212
3	0.878	0.896	1.663	1.185
4	0.951	0.966	1.687	1.224
5	0.981	0.996	1.753	1.283
6	0.95	0.962	1.702	1.248
7	0.913	0.919	1.76	1.252
8	0.961	0.971	1.786	1.284
9	0.906	0.918	1.741	1.239
10	1.108	1.116	1.83	1.359
11	0.914	0.927	1.731	1.226
12	0.939	0.956	1.773	1.262
13	1.027	1.04	1.773	1.296
14	1.014	1.016	1.864	1.342
15	0.975	0.984	1.792	1.281
16	0.908	0.914	1.776	1.246
17	0.953	0.969	1.765	1.264
18	0.832	0.857	1.67	1.155
19	0.91	0.933	1.791	1.269
20	0.987	0.997	1.786	1.297
21	1.004	1.02	1.764	1.294
22	1.059	1.075	1.807	1.338
23	0.979	1.008	1.766	1.292
24	1.035	1.059	1.805	1.331
25	1.107	1.129	1.888	1.401
26	0.973	1.007	1.781	1.275
27	0.998	1.029	1.81	1.311
28	1.021	1.056	1.785	1.314
29	1.009	1.043	1.938	1.401
30	1.039	1.071	1.895	1.386
31	0.978	1.001	1.835	1.323
32	0.958	0.989	1.772	1.282
33	0.996	1.02	1.957	1.404
34	1.068	1.096	1.931	1.409
35	1.092	1.117	1.945	1.425
36	1.043	1.059	1.928	1.402
37	1.03	1.055	1.965	1.419
38	0.971	1.012	1.825	1.312
39	0.947	0.984	1.801	1.289
40	1.12	1.153	1.984	1.474
41	1.069	1.098	1.937	1.407
42	1.055	1.079	1.961	1.42
43	1.047	1.07	1.976	1.423
44	1.123	1.156	2.032	1.497
45	1.054	1.089	1.977	1.438
46	1.041	1.074	1.979	1.429
47	1.166	1.197	2.051	1.523
48	1.087	1.113	1.956	1.426
49	1.154	1.183	2.05	1.515
50	1.098	1.124	2.042	1.476
51	1.096	1.126	2.026	1.466
52	1.114	1.13	2.068	1.498
53	1.115	1.143	1.99	1.455
54	1.152	1.177	2.005	1.473
55	1.12	1.157	2.005	1.463
56	1.101	1.127	2.015	1.45
57	1.115	1.134	2.043	1.474
58	1.288	1.304	2.101	1.594
59	1.12	1.146	1.983	1.453
60	1.128	1.15	2.044	1.489
61	1.19	1.214	2.046	1.518
62	1.113	1.14	2.011	1.474
63	1.225	1.254	2.134	1.597
64	1.154	1.175	2.085	1.529
65	1.265	1.282	2.157	1.627
66	1.16	1.183	2.096	1.541
67	1.154	1.184	2.067	1.525
68	1.267	1.284	2.108	1.585
69	1.137	1.163	2.041	1.499
70	1.192	1.218	2.094	1.565
71	1.203	1.217	2.079	1.54
72	1.298	1.313	2.155	1.644
73	1.114	1.134	2.011	1.466
74	1.241	1.262	2.137	1.584
75	1.179	1.214	2.059	1.521
76	1.333	1.358	2.171	1.654
77	1.183	1.21	2.096	1.527
78	1.099	1.13	2.014	1.448
79	1.237	1.254	2.103	1.556
80	1.261	1.277	2.098	1.558
81	1.119	1.141	2.024	1.456
82	1.155	1.18	2.083	1.506
83	1.203	1.222	2.108	1.541
84	1.294	1.313	2.161	1.621
85	1.33	1.346	2.163	1.617
86	1.241	1.264	2.158	1.58
87	1.213	1.23	2.128	1.557
88	1.22	1.24	2.081	1.545
89	1.254	1.27	2.114	1.571
90	1.308	1.326	2.122	1.595
91	1.249	1.266	2.122	1.563
92	1.203	1.227	2.095	1.532
93	1.231	1.25	2.144	1.577
94	1.314	1.343	2.223	1.666
95	1.235	1.267	2.189	1.602
96	1.216	1.243	2.107	1.544
97	1.149	1.173	2.127	1.547
98	1.18	1.193	2.084	1.518
99	1.21	1.239	2.136	1.574
100	1.257	1.281	2.125	1.58
101	1.163	1.199	2.06	1.515
102	1.275	1.301	2.175	1.624
103	1.225	1.254	2.133	1.581
104	1.344	1.374	2.234	1.685
105	1.137	1.17	2.108	1.526
106	1.2	1.233	2.146	1.568
107	1.273	1.294	2.209	1.631
108	1.306	1.329	2.241	1.665
109	1.206	1.227	2.148	1.571
110	1.203	1.23	2.149	1.561
111	1.224	1.246	2.163	1.577
112	1.19	1.217	2.118	1.551
113	1.221	1.247	2.083	1.537
114	1.242	1.269	2.167	1.6
115	1.196	1.222	2.138	1.573
116	1.219	1.243	2.165	1.596
117	1.196	1.215	2.143	1.571
118	1.189	1.213	2.096	1.53
119	1.184	1.203	2.163	1.561
120	1.268	1.295	2.247	1.653
121	1.153	1.183	2.131	1.547
122	1.208	1.228	2.183	1.594
123	1.194	1.218	2.136	1.555
124	1.245	1.271	2.183	1.629
125	1.258	1.283	2.205	1.638
126	1.139	1.168	2.13	1.538
127	1.234	1.262	2.182	1.618
128	1.211	1.24	2.18	1.607
129	1.242	1.269	2.185	1.633
130	1.279	1.304	2.229	1.662
131	1.261	1.284	2.16	1.604
132	1.263	1.281	2.173	1.615
133	1.313	1.331	2.213	1.672
134	1.24	1.261	2.181	1.623
135	1.278	1.313	2.176	1.637
136	1.293	1.314	2.164	1.634
137	1.307	1.326	2.215	1.664
138	1.269	1.293	2.203	1.645
139	1.184	1.202	2.157	1.57
140	1.215	1.229	2.142	1.58
141	1.194	1.22	2.124	1.564
142	1.338	1.353	2.209	1.68
143	1.252	1.266	2.155	1.612
144	1.343	1.363	2.244	1.694
145	1.241	1.26	2.228	1.646
146	1.271	1.288	2.25	1.675
147	1.322	1.343	2.312	1.73
148	1.264	1.282	2.187	1.627
149	1.284	1.292	2.209	1.64
150	1.239	1.26	2.186	1.621
151	1.282	1.291	2.25	1.668
152	1.238	1.258	2.209	1.631
153	1.264	1.28	2.306	1.708
154	1.266	1.288	2.292	1.695
155	1.332	1.344	2.282	1.724
156	1.348	1.37	2.3	1.738
157	1.293	1.306	2.284	1.708
158	1.239	1.259	2.25	1.655
159	1.254	1.278	2.249	1.666
160	1.239	1.26	2.25	1.678
161	1.265	1.277	2.258	1.681
162	1.256	1.272	2.269	1.675
163	1.241	1.267	2.211	1.642
164	1.245	1.268	2.198	1.633
165	1.132	1.152	2.147	1.555
166	1.226	1.251	2.186	1.612
167	1.221	1.253	2.226	1.636
168	1.201	1.221	2.186	1.601
169	1.182	1.209	2.167	1.583
170	1.186	1.21	2.107	1.542
171	1.181	1.212	2.158	1.571
172	1.212	1.251	2.152	1.586
173	1.264	1.292	2.235	1.658
174	1.249	1.271	2.194	1.626
175	1.2	1.231	2.166	1.598
176	1.178	1.207	2.186	1.593
177	1.161	1.182	2.151	1.565
178	1.229	1.249	2.213	1.632
179	1.277	1.292	2.245	1.68
180	1.283	1.308	2.256	1.675
181	1.37	1.397	2.297	1.745
182	1.293	1.31	2.216	1.651
183	1.279	1.316	2.232	1.664
184	1.271	1.295	2.29	1.688
185	1.201	1.225	2.196	1.609
186	1.223	1.251	2.243	1.652
187	1.219	1.249	2.214	1.621
188	1.226	1.254	2.242	1.644
189	1.239	1.268	2.203	1.63
190	1.224	1.245	2.25	1.651
191	1.283	1.305	2.246	1.675
192	1.333	1.364	2.262	1.71
193	1.307	1.336	2.276	1.7
194	1.336	1.364	2.258	1.701
195	1.224	1.25	2.227	1.639
196	1.327	1.353	2.298	1.735
197	1.363	1.389	2.375	1.792
198	1.206	1.232	2.213	1.636
199	1.285	1.311	2.321	1.722
200	1.361	1.391	2.334	1.749
201	1.295	1.32	2.256	1.694
202	1.321	1.351	2.289	1.724
203	1.316	1.335	2.381	1.774
204	1.342	1.36	2.348	1.76
205	1.48	1.493	2.454	1.891
206	1.404	1.428	2.391	1.809
207	1.343	1.363	2.337	1.744
208	1.477	1.492	2.443	1.876
209	1.304	1.335	2.304	1.71
210	1.393	1.411	2.353	1.793
211	1.339	1.362	2.29	1.727
212	1.356	1.368	2.284	1.721
213	1.209	1.24	2.248	1.639
214	1.39	1.415	2.327	1.77
215	1.37	1.388	2.31	1.754
216	1.266	1.284	2.231	1.656
217	1.297	1.307	2.246	1.686
218	1.372	1.389	2.289	1.74
219	1.343	1.358	2.289	1.731
220	1.365	1.38	2.323	1.766
221	1.386	1.396	2.327	1.775
222	1.437	1.454	2.319	1.786
223	1.381	1.394	2.283	1.742
224	1.508	1.517	2.382	1.848
225	1.279	1.3	2.26	1.681
226	1.312	1.332	2.261	1.696
227	1.351	1.369	2.371	1.771
228	1.357	1.369	2.363	1.761
229	1.328	1.35	2.33	1.738
230	1.389	1.402	2.332	1.764
231	1.407	1.424	2.385	1.792
232	1.292	1.306	2.288	1.706
233	1.353	1.368	2.327	1.753
234	1.385	1.402	2.29	1.743
235	1.38	1.403	2.306	1.749
236	1.314	1.328	2.264	1.695
237	1.324	1.347	2.268	1.708
238	1.382	1.394	2.306	1.747
239	1.32	1.344	2.318	1.734
240	1.342	1.367	2.33	1.756
241	1.327	1.344	2.289	1.713
242	1.425	1.433	2.383	1.802
243	1.381	1.388	2.348	1.767
244	1.279	1.3	2.266	1.686
245	1.303	1.319	2.302	1.698
246	1.302	1.315	2.325	1.717
247	1.297	1.317	2.314	1.711
248	1.351	1.372	2.338	1.75
249	1.277	1.291	2.248	1.665
250	1.3	1.321	2.325	1.728
251	1.274	1.298	2.271	1.686
252	1.195	1.223	2.192	1.612
253	1.147	1.173	2.196	1.585
254	1.262	1.281	2.244	1.646
255	1.23	1.249	2.222	1.638
256	1.17	1.19	2.239	1.621
257	1.258	1.271	2.257	1.669
258	1.287	1.306	2.317	1.702
259	1.248	1.263	2.246	1.643
260	1.254	1.265	2.199	1.635
261	1.24	1.257	2.223	1.632
262	1.307	1.322	2.271	1.685
263	1.282	1.294	2.258	1.672
264	1.349	1.364	2.292	1.725
265	1.222	1.234	2.254	1.639
266	1.257	1.27	2.255	1.654
267	1.325	1.327	2.296	1.706
268	1.332	1.338	2.31	1.719
269	1.249	1.262	2.237	1.641
270	1.381	1.392	2.329	1.741
271	1.279	1.295	2.288	1.688
272	1.259	1.272	2.249	1.647
273	1.321	1.337	2.262	1.686
274	1.333	1.351	2.283	1.704
275	1.338	1.357	2.295	1.707
276	1.275	1.286	2.258	1.663
277	1.267	1.282	2.251	1.661
278	1.32	1.336	2.264	1.675
279	1.36	1.37	2.317	1.737
280	1.26	1.277	2.289	1.683
281	1.29	1.305	2.279	1.679
282	1.198	1.219	2.25	1.64
283	1.208	1.228	2.253	1.638
284	1.261	1.281	2.239	1.647
285	1.272	1.295	2.274	1.678
286	1.288	1.299	2.274	1.687
287	1.244	1.272	2.24	1.646
288	1.173	1.199	2.198	1.582
289	1.169	1.185	2.224	1.604
290	1.104	1.123	2.184	1.555
291	1.205	1.225	2.191	1.599
292	1.212	1.228	2.204	1.604
293	1.231	1.246	2.211	1.614
294	1.161	1.189	2.224	1.617
295	1.209	1.218	2.24	1.626
296	1.181	1.204	2.235	1.613
297	1.295	1.314	2.337	1.734
298	1.232	1.247	2.256	1.647
299	1.146	1.17	2.179	1.583
300	1.071	1.09	2.133	1.512
301	1.166	1.182	2.167	1.566
302	1.198	1.22	2.184	1.593
303	1.183	1.199	2.224	1.614
304	1.172	1.197	2.198	1.605
305	1.26	1.286	2.302	1.704
306	1.344	1.36	2.327	1.743
307	1.219	1.233	2.264	1.659
308	1.193	1.212	2.269	1.648
309	1.226	1.24	2.299	1.658
310	1.24	1.244	2.32	1.682
311	1.174	1.19	2.265	1.626
312	1.151	1.165	2.236	1.603
313	1.234	1.255	2.315	1.684
314	1.2	1.221	2.241	1.638
315	1.162	1.174	2.253	1.631
316	1.118	1.138	2.238	1.617
317	1.191	1.211	2.272	1.655
318	1.265	1.277	2.303	1.699
319	1.256	1.272	2.316	1.698
320	1.322	1.341	2.29	1.708
321	1.267	1.289	2.321	1.701
322	1.159	1.175	2.214	1.595
323	1.206	1.23	2.237	1.641
324	1.184	1.213	2.243	1.626
325	1.325	1.346	2.341	1.738
326	1.243	1.257	2.277	1.668
327	1.321	1.345	2.325	1.726
328	1.287	1.308	2.32	1.723
329	1.217	1.237	2.274	1.662
330	1.202	1.22	2.222	1.619
331	1.323	1.346	2.359	1.766
332	1.284	1.303	2.281	1.695
333	1.216	1.239	2.236	1.643
334	1.239	1.256	2.29	1.671
335	1.335	1.349	2.344	1.752
336	1.288	1.307	2.346	1.738
337	1.314	1.324	2.369	1.767
338	1.371	1.392	2.407	1.807
339	1.314	1.334	2.378	1.771
340	1.361	1.376	2.388	1.786
341	1.305	1.319	2.326	1.721
342	1.408	1.419	2.419	1.819
343	1.29	1.299	2.325	1.725
344	1.43	1.447	2.408	1.824
345	1.292	1.303	2.338	1.723
346	1.327	1.346	2.379	1.759
