frame#	Prot_CA	Prot_Backbone	Prot_Sidechain	Prot_All_Heavy
0	0	0	0	0
1	1.779	1.777	2.352	2.017
2	2.296	2.307	2.806	2.493
3	2.295	2.316	2.851	2.507
4	1.916	1.921	2.567	2.182
5	2.362	2.38	2.947	2.613
6	2.587	2.598	3.178	2.851
7	2.648	2.653	3.216	2.883
8	2.684	2.686	3.275	2.914
9	2.965	2.957	3.528	3.184
10	2.835	2.83	3.465	3.093
11	2.307	2.307	3.067	2.628
12	2.923	2.925	3.498	3.162
13	2.879	2.882	3.464	3.132
14	2.474	2.479	3.173	2.77
15	2.899	2.898	3.536	3.173
16	3.727	3.735	4.293	4.019
17	3.579	3.584	4.148	3.855
18	3.383	3.391	3.987	3.675
19	3.055	3.059	3.691	3.352
20	3.44	3.444	4.079	3.742
21	3.449	3.45	4.029	3.74
22	3.639	3.635	4.228	3.916
23	4.034	4.041	4.52	4.3
24	4.069	4.073	4.553	4.315
25	4.09	4.09	4.541	4.323
26	4.299	4.304	4.76	4.545
27	3.608	3.606	4.101	3.859
28	4.081	4.087	4.522	4.294
29	4.162	4.162	4.604	4.388
30	4.07	4.071	4.522	4.292
31	4.499	4.514	4.953	4.736
32	4.866	4.876	5.351	5.118
33	4.543	4.542	5.015	4.794
34	4.855	4.864	5.281	5.095
35	4.736	4.743	5.188	4.981
36	4.999	4.999	5.384	5.225
37	4.799	4.802	5.234	5.049
38	4.654	4.658	5.074	4.875
39	4.564	4.574	4.985	4.77
40	4.939	4.947	5.377	5.18
41	4.819	4.831	5.209	5.014
42	4.581	4.588	5.005	4.8
43	4.644	4.65	5.077	4.864
44	4.614	4.622	5.047	4.851
45	4.545	4.553	5.004	4.797
46	4.857	4.862	5.278	5.1
47	4.966	4.978	5.427	5.237
48	5.454	5.458	5.857	5.706
49	5.099	5.1	5.513	5.337
50	5.179	5.184	5.636	5.432
51	4.988	4.986	5.419	5.226
52	4.841	4.844	5.291	5.086
53	5.329	5.338	5.74	5.575
54	5.404	5.411	5.808	5.641
55	5.358	5.365	5.777	5.604
56	5.381	5.381	5.777	5.619
57	5.31	5.311	5.772	5.572
58	5.695	5.702	6.129	5.944
59	5.429	5.431	5.877	5.677
60	5.529	5.538	5.993	5.794
61	5.114	5.115	5.568	5.363
62	5.055	5.059	5.51	5.308
63	5.385	5.386	5.804	5.622
64	5.542	5.539	6.019	5.83
65	5.723	5.732	6.171	6.01
66	6.427	6.428	6.837	6.697
67	6.231	6.228	6.638	6.494
68	6.444	6.437	6.853	6.72
69	6.598	6.593	6.98	6.853
70	6.71	6.706	7.112	6.989
71	6.897	6.897	7.316	7.198
72	7.015	7.017	7.439	7.33
73	6.565	6.566	6.957	6.842
74	6.99	6.986	7.427	7.289
75	6.824	6.821	7.247	7.112
76	7.028	7.023	7.415	7.311
77	7.026	7.026	7.461	7.329
78	6.722	6.729	7.145	7.001
79	7.036	7.039	7.45	7.321
80	6.292	6.298	6.704	6.562
81	6.604	6.604	7.008	6.855
82	6.937	6.935	7.325	7.197
83	6.921	6.92	7.348	7.203
84	7.35	7.351	7.713	7.617
