Frame,HEM800-TRA1
0,7.904681
1,8.460051
2,8.548445
3,8.366646
4,8.766577
5,8.470054
6,8.186146
7,8.615820
8,8.353191
9,8.314296
10,9.033287
11,8.402447
12,8.244371
13,8.245991
14,8.180926
15,8.479644
16,8.334170
17,8.602283
18,8.719668
19,8.205228
20,8.067724
21,8.286497
22,8.290502
23,8.225908
24,8.153896
25,8.290012
26,8.456616
27,8.359073
28,8.111623
29,8.050430
30,8.244377
31,7.951371
32,9.332177
33,8.577466
34,7.826415
35,7.940956
36,8.068383
37,8.113267
38,8.117230
39,8.220303
40,8.580535
41,7.887919
42,7.970182
43,8.545417
44,8.241884
45,8.272494
46,8.253638
47,8.359586
48,8.138609
49,9.593856
50,8.411756
51,8.201137
52,8.514251
53,8.252352
54,8.581889
55,8.646835
56,8.440427
57,8.053789
58,7.994341
59,8.055981
60,8.433374
61,8.732337
62,8.636386
63,8.407258
64,8.535067
65,8.470922
66,8.138325
67,8.214568
68,8.576120
69,8.000194
70,7.859572
71,8.072115
72,8.428598
73,8.215746
74,8.242454
75,8.183560
76,8.711958
77,8.038253
78,8.191970
79,8.105829
80,7.717489
81,8.747475
82,8.065008
83,8.163058
84,8.302183
85,7.949046
86,8.453022
87,8.343764
88,8.364036
89,8.116066
90,8.374143
91,8.398506
92,8.154695
93,8.314416
94,8.356960
95,8.207707
96,7.911395
97,8.397535
98,8.316667
99,8.137482
100,7.654582
101,8.354467
102,8.300420
103,8.535897
104,8.135125
105,8.190441
106,7.974380
107,7.708312
108,8.111775
109,8.531699
110,8.644100
111,8.203437
112,8.341707
113,8.059337
114,8.504545
115,7.980740
116,8.120658
117,7.971313
118,8.413996
119,8.348565
120,8.032068
121,7.966513
122,8.400638
123,8.274257
124,7.641775
125,8.299929
126,8.545728
127,8.029002
128,8.400801
129,8.283854
130,8.167538
131,8.243759
132,8.358494
133,8.614043
134,8.310906
135,7.856415
136,8.203396
137,8.079996
138,8.021817
139,8.364221
140,8.223769
141,8.080348
142,8.275398
143,8.358799
144,8.137126
145,8.448952
146,8.770385
147,8.875741
148,8.487432
149,8.255804
150,8.254107
151,8.538301
152,8.345179
153,8.595847
154,8.125987
155,8.660312
156,8.114497
157,8.306313
158,7.948801
159,8.097082
160,8.057678
161,8.688003
162,8.020301
163,8.322234
164,7.935575
165,8.127004
166,8.110967
167,8.304350
168,9.817571
169,9.940314
170,9.509087
171,9.274293
172,9.386456
173,9.678635
174,9.771187
175,9.011635
176,9.595927
177,9.491810
178,9.092072
179,9.014709
180,9.109221
181,9.254133
182,9.460180
183,9.107897
184,9.214761
185,9.209472
186,9.129257
187,9.056126
188,9.236580
189,9.257443
190,9.166380
191,9.002782
192,8.955910
193,9.135861
194,9.349604
195,9.166663
196,9.324278
197,9.338024
198,9.225615
199,9.732423
200,8.945498
