#Simulation Analysis Results CSV File 2020-11-24T17:02:55.056059
#Generated on structure: "frame530"
TimeStep,Torsion_psi,Torsion_phi
0.0,116.484,-47.073
120.0,133.393,-50.262
240.0,138.363,-50.924
360.0,152.497,-75.067
480.0,154.433,-66.371
600.0,108.381,-40.341
720.0,123.113,-63.255
840.0,143.768,-73.531
960.0,144.555,-61.688
1080.0,130.076,-62.072
1200.0,144.928,-47.024
1320.0,141.828,-58.021
1440.0,150.186,-66.376
1560.0,138.138,-53.26
1680.0,132.653,-63.434
1800.0,144.748,-64.508
1920.0,155.341,-61.008
2040.0,133.229,-72.79
2160.0,139.969,-36.486
2280.0,144.017,-67.091
2400.0,128.25,-59.087
2520.0,134.27,-47.401
2640.0,143.455,-49.684
2760.0,147.122,-72.062
2880.0,142.283,-67.672
3000.0,140.126,-56.388
3120.0,147.051,-49.0
3240.0,138.101,-43.862
3360.0,128.864,-50.161
3480.0,132.942,-56.136
3600.0,154.136,-58.643
3720.0,137.453,-74.756
3840.0,137.596,-81.101
3960.0,143.424,-56.392
4080.0,133.15,-64.287
4200.0,140.41,-67.26
4320.0,133.72,-64.638
4440.0,136.888,-65.213
4560.0,131.916,-68.717
4680.0,136.099,-67.802
4800.0,139.085,-79.425
4920.0,128.506,-70.663
5040.0,136.922,-64.039
5160.0,152.258,-72.55
5280.0,148.88,-54.637
5400.0,126.582,-43.356
5520.0,123.099,-50.54
5640.0,142.726,-79.84
5760.0,136.795,-46.587
5880.0,166.841,-73.137
6000.0,153.549,-65.696
6120.0,134.973,-46.056
6240.0,146.736,-59.195
6360.0,144.313,-60.187
6480.0,142.709,-58.156
6600.0,132.388,-59.037
6720.0,116.392,-52.892
6840.0,140.175,-51.771
6960.0,123.267,-46.662
7080.0,134.25,-54.556
7200.0,131.45,-80.574
7320.0,150.049,-68.281
7440.0,139.369,-57.227
7560.0,141.073,-53.586
7680.0,133.992,-67.858
7800.0,117.991,-31.355
7920.0,147.256,-66.186
8040.0,130.14,-27.737
8160.0,139.649,-82.273
8280.0,143.42,-60.214
8400.0,127.185,-54.561
8520.0,148.248,-69.852
8640.0,140.109,-66.423
8760.0,134.015,-58.106
8880.0,142.572,-62.43
9000.0,147.234,-64.571
9120.0,117.632,-52.633
9240.0,132.399,-66.208
9360.0,127.784,-54.226
9480.0,151.565,-64.419
9600.0,149.838,-64.369
9720.0,140.313,-59.972
9840.0,149.914,-49.009
9960.0,127.31,-63.185
10080.0,132.598,-59.029
10200.0,142.663,-73.653
10320.0,157.819,-57.706
10440.0,118.652,-36.306
10560.0,143.04,-63.263
10680.0,138.018,-72.975
10800.0,145.31,-75.316
10920.0,125.997,-60.844
11040.0,141.147,-59.949
11160.0,132.005,-49.78
11280.0,132.571,-58.591
11400.0,157.441,-71.433
11520.0,143.1,-60.797
11640.0,133.525,-65.9
11760.0,140.895,-60.802
11880.0,146.209,-61.647
12000.0,139.115,-71.957
12120.0,135.57,-72.912
12240.0,133.511,-61.862
12360.0,144.477,-78.046
12480.0,150.024,-61.236
12600.0,155.478,-67.406
12720.0,148.456,-61.87
12840.0,144.24,-73.571
12960.0,142.28,-59.008
13080.0,145.887,-75.005
13200.0,121.159,-60.807
13320.0,147.668,-85.031
13440.0,148.394,-51.157
13560.0,123.376,-59.062
13680.0,137.35,-61.63
13800.0,140.904,-71.663
13920.0,156.422,-79.04
14040.0,132.731,-82.202
14160.0,143.602,-64.239
14280.0,147.816,-62.112
14400.0,139.091,-73.957
14520.0,138.74,-52.292
14640.0,140.745,-61.275
14760.0,148.477,-50.681
14880.0,158.982,-85.261
15000.0,140.924,-60.85
15120.0,161.749,-62.817
15240.0,152.131,-56.909
15360.0,136.147,-39.54
15480.0,154.7,-66.022
15600.0,140.596,-71.728
15720.0,151.937,-62.078
15840.0,134.096,-52.123
15960.0,139.942,-66.02
16080.0,129.001,-66.739
16200.0,133.503,-72.332
16320.0,143.044,-67.49
16440.0,144.755,-66.139
16560.0,136.927,-54.03
16680.0,144.81,-58.134
16800.0,143.424,-46.787
16920.0,156.216,-69.394
17040.0,134.841,-59.448
17160.0,143.856,-56.37
17280.0,138.19,-54.894
17400.0,137.511,-73.26
17520.0,143.014,-55.566
17640.0,148.216,-65.336
17760.0,172.732,-60.283
17880.0,130.128,-70.681
18000.0,154.458,-66.811
18120.0,150.07,-43.953
18240.0,134.662,-52.608
18360.0,148.756,-51.124
18480.0,131.52,-55.293
18600.0,144.028,-53.447
18720.0,142.149,-58.755
18840.0,150.349,-55.995
18960.0,130.541,-63.941
19080.0,140.475,-50.994
19200.0,126.656,-46.935
19320.0,133.59,-54.589
19440.0,152.778,-64.595
19560.0,141.884,-79.811
19680.0,138.806,-59.944
19800.0,173.163,-74.55
19920.0,146.543,-69.899
20040.0,124.831,-55.439
20160.0,151.65,-49.922
20280.0,143.77,-57.304
20400.0,149.882,-54.176
20520.0,158.939,-63.733
20640.0,141.817,-58.386
20760.0,155.921,-78.159
20880.0,140.891,-61.427
21000.0,165.646,-61.022
21120.0,110.8,-42.737
21240.0,133.488,-56.805
21360.0,126.871,-61.605
21480.0,141.174,-58.581
21600.0,132.109,-72.678
21720.0,147.012,-59.824
21840.0,138.784,-61.79
21960.0,131.499,-42.428
22080.0,149.675,-58.021
22200.0,139.097,-36.712
22320.0,124.871,-64.45
22440.0,146.946,-44.742
22560.0,149.575,-53.149
22680.0,141.008,-37.548
22800.0,137.136,-81.818
22920.0,148.47,-70.664
23040.0,159.697,-75.403
23160.0,129.841,-54.057
23280.0,133.137,-64.667
23400.0,140.249,-57.603
23520.0,161.703,-77.938
23640.0,143.985,-69.516
23760.0,135.547,-41.592
23880.0,131.273,-54.125
24000.0,137.388,-61.704
24120.0,142.551,-65.807
24240.0,133.76,-57.784
24360.0,112.42,-29.401
24480.0,131.791,-64.151
24600.0,126.338,-29.321
24720.0,131.765,-59.786
24840.0,121.129,-46.006
24960.0,152.37,-67.987
25080.0,130.139,-54.662
25200.0,150.521,-46.916
25320.0,105.634,-34.639
25440.0,136.317,-80.21
25560.0,144.019,-53.185
25680.0,118.823,-27.583
25800.0,138.062,-70.813
25920.0,130.355,-70.464
26040.0,116.797,-64.106
26160.0,143.67,-67.864
26280.0,137.613,-60.121
26400.0,115.917,-62.133
26520.0,131.944,-69.051
26640.0,129.658,-57.573
26760.0,124.702,-65.166
26880.0,145.058,-72.762
27000.0,134.404,-44.718
27120.0,141.361,-51.504
27240.0,127.948,-35.732
27360.0,146.099,-64.324
27480.0,153.421,-56.93
27600.0,134.699,-58.129
27720.0,136.409,-67.162
27840.0,126.797,-48.238
27960.0,144.762,-83.271
28080.0,128.398,-50.521
28200.0,134.945,-67.927
28320.0,140.622,-62.959
28440.0,125.674,-54.734
28560.0,133.706,-74.011
28680.0,134.865,-64.489
28800.0,141.899,-66.226
28920.0,141.837,-74.728
29040.0,140.057,-49.312
29160.0,142.965,-50.459
29280.0,141.891,-58.254
29400.0,120.544,-42.243
29520.0,129.957,-60.11
29640.0,132.211,-69.594
29760.0,137.399,-47.155
29880.0,120.04,-58.429
30000.0,125.159,-55.868
30120.0,134.743,-35.754
30240.0,128.699,-48.816
30360.0,124.017,-62.106
30480.0,131.57,-66.921
30600.0,140.816,-60.779
30720.0,138.223,-51.112
30840.0,141.764,-55.307
30960.0,120.862,-49.697
31080.0,135.984,-51.949
31200.0,128.149,-55.932
31320.0,118.059,-40.084
31440.0,134.17,-55.109
31560.0,143.143,-71.254
31680.0,135.18,-56.349
31800.0,127.487,-55.192
31920.0,133.738,-47.278
32040.0,130.987,-59.082
32160.0,126.903,-60.005
32280.0,134.151,-50.655
32400.0,127.395,-70.422
32520.0,138.5,-73.298
32640.0,142.019,-53.553
32760.0,150.243,-63.185
32880.0,133.228,-58.038
33000.0,123.32,-45.372
33120.0,135.753,-49.26
33240.0,143.207,-79.037
33360.0,124.349,-51.066
33480.0,108.519,-35.151
33600.0,116.332,-61.465
33720.0,134.044,-51.659
33840.0,131.839,-59.187
33960.0,143.6,-53.387
34080.0,125.052,-47.325
34200.0,151.11,-58.241
34320.0,141.028,-43.938
34440.0,132.516,-49.713
34560.0,146.435,-70.071
34680.0,143.49,-68.112
34800.0,126.896,-25.334
34920.0,141.722,-59.063
35040.0,142.464,-67.083
35160.0,145.255,-60.257
35280.0,127.082,-56.133
35400.0,122.229,-53.774
35520.0,136.843,-44.977
35640.0,135.618,-52.767
35760.0,137.472,-78.256
35880.0,126.219,-55.268
36000.0,144.114,-42.194
36120.0,125.142,-69.39
36240.0,136.721,-60.235
36360.0,137.436,-78.193
36480.0,159.81,-75.124
36600.0,118.641,-55.218
36720.0,141.766,-53.638
36840.0,148.268,-87.087
36960.0,138.203,-55.182
37080.0,124.523,-66.58
37200.0,130.607,-45.351
37320.0,165.131,-85.742
37440.0,141.067,-62.943
37560.0,126.685,-58.397
37680.0,145.779,-73.186
37800.0,144.219,-76.464
37920.0,129.552,-68.587
38040.0,147.22,-65.297
38160.0,129.438,-57.417
38280.0,140.164,-54.816
38400.0,120.909,-46.469
38520.0,154.946,-60.52
38640.0,130.455,-61.712
38760.0,135.083,-74.772
38880.0,136.676,-66.485
39000.0,135.399,-59.566
39120.0,142.064,-57.557
39240.0,139.982,-72.708
39360.0,125.81,-64.42
39480.0,142.275,-69.435
39600.0,133.377,-75.508
39720.0,134.244,-52.224
39840.0,136.451,-65.349
39960.0,149.001,-76.046
40080.0,128.327,-44.965
40200.0,148.054,-53.76
40320.0,143.472,-64.083
40440.0,126.196,-71.556
40560.0,131.692,-69.309
40680.0,140.111,-57.541
40800.0,154.037,-49.476
40920.0,138.245,-63.774
41040.0,142.709,-61.525
41160.0,145.099,-60.837
41280.0,133.697,-70.263
41400.0,145.175,-82.557
41520.0,131.808,-63.64
41640.0,128.037,-63.853
41760.0,140.413,-70.933
41880.0,132.162,-40.408
42000.0,142.342,-54.694
42120.0,127.036,-53.816
42240.0,136.803,-62.954
42360.0,145.613,-62.65
42480.0,141.787,-70.163
42600.0,137.822,-39.717
42720.0,152.359,-51.915
42840.0,140.928,-35.344
42960.0,129.634,-52.091
43080.0,134.731,-52.359
43200.0,154.585,-65.23
43320.0,153.799,-58.51
43440.0,144.611,-59.691
43560.0,133.629,-49.283
43680.0,139.085,-78.697
43800.0,120.933,-17.088
43920.0,138.282,-55.468
44040.0,143.349,-50.804
44160.0,127.351,-48.996
44280.0,150.287,-71.546
44400.0,131.077,-33.845
44520.0,147.002,-66.329
44640.0,153.218,-79.67
44760.0,133.838,-59.656
44880.0,141.79,-64.485
45000.0,123.888,-54.112
45120.0,135.593,-60.802
45240.0,141.524,-65.949
45360.0,137.528,-63.7
45480.0,138.688,-57.691
45600.0,136.666,-72.764
45720.0,141.539,-58.49
45840.0,152.51,-71.407
45960.0,131.265,-61.668
46080.0,131.163,-63.541
46200.0,137.296,-65.29
46320.0,141.834,-57.629
46440.0,135.945,-66.203
46560.0,125.081,-76.546
46680.0,131.998,-54.013
46800.0,128.62,-62.117
46920.0,143.34,-75.392
47040.0,140.659,-43.227
47160.0,130.478,-58.123
47280.0,138.657,-74.54
47400.0,141.501,-63.799
47520.0,122.873,-48.793
47640.0,138.642,-52.368
47760.0,141.228,-64.73
47880.0,136.58,-60.299
48000.0,168.358,-68.219
48120.0,134.65,-60.919
48240.0,137.007,-52.16
48360.0,127.886,-47.192
48480.0,126.68,-57.788
48600.0,140.172,-54.685
48720.0,142.906,-57.891
48840.0,139.417,-69.068
48960.0,120.714,-52.288
49080.0,148.212,-63.743
49200.0,139.028,-66.813
49320.0,141.671,-53.632
49440.0,142.077,-70.349
49560.0,126.36,-53.814
49680.0,134.414,-58.004
49800.0,136.984,-63.677
49920.0,139.399,-43.74
50040.0,138.708,-51.147
50160.0,149.125,-76.255
50280.0,134.684,-45.4
