  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      1.121           1.131           1.770           1.369
         2      1.438           1.452           2.050           1.672
         3      1.183           1.201           1.988           1.523
         4      1.580           1.585           2.286           1.871
         5      1.204           1.221           1.930           1.504
         6      1.295           1.307           2.035           1.595
         7      1.254           1.267           2.033           1.573
         8      1.365           1.385           2.062           1.630
         9      1.498           1.512           2.146           1.747
        10      1.563           1.591           2.236           1.831
        11      1.686           1.692           2.326           1.925
        12      1.465           1.480           2.167           1.742
        13      1.749           1.761           2.416           2.011
        14      1.817           1.827           2.457           2.060
        15      1.716           1.723           2.366           1.955
        16      2.027           2.041           2.620           2.257
        17      1.976           1.992           2.567           2.201
        18      2.256           2.269           2.780           2.454
        19      1.603           1.620           2.326           1.888
        20      1.554           1.574           2.302           1.854
        21      1.535           1.550           2.254           1.830
        22      2.047           2.064           2.621           2.275
        23      2.010           2.022           2.660           2.279
        24      1.974           1.992           2.592           2.215
        25      2.612           2.621           3.133           2.829
        26      2.707           2.725           3.222           2.909
        27      2.548           2.567           3.086           2.764
        28      2.452           2.465           3.003           2.675
        29      3.126           3.140           3.605           3.322
        30      2.481           2.495           3.054           2.725
        31      1.781           1.801           2.528           2.102
        32      1.749           1.770           2.489           2.054
        33      1.815           1.832           2.551           2.127
        34      1.883           1.893           2.570           2.167
        35      1.974           1.996           2.634           2.246
        36      2.335           2.345           2.945           2.592
        37      1.866           1.882           2.563           2.143
        38      1.768           1.782           2.519           2.078
        39      2.233           2.242           2.867           2.489
        40      1.961           1.974           2.644           2.240
        41      2.206           2.215           2.834           2.470
        42      1.884           1.893           2.648           2.215
        43      1.892           1.898           2.590           2.175
        44      1.927           1.944           2.639           2.228
        45      2.174           2.173           2.848           2.465
        46      1.858           1.856           2.667           2.225
        47      2.275           2.271           2.996           2.591
        48      1.839           1.848           2.645           2.198
        49      1.901           1.913           2.711           2.258
        50      1.641           1.647           2.542           2.029
        51      1.611           1.624           2.473           1.981
        52      1.602           1.611           2.473           1.980
        53      1.842           1.847           2.663           2.204
        54      1.639           1.640           2.503           2.006
        55      1.645           1.652           2.524           2.012
        56      1.608           1.617           2.520           2.013
        57      1.659           1.665           2.506           2.034
        58      2.016           2.016           2.817           2.375
        59      1.915           1.923           2.729           2.282
        60      1.830           1.834           2.659           2.199
        61      1.923           1.937           2.728           2.283
        62      1.721           1.734           2.540           2.076
        63      2.134           2.140           2.857           2.442
        64      2.278           2.287           2.924           2.552
        65      2.256           2.267           2.901           2.528
        66      2.189           2.198           2.902           2.509
        67      2.396           2.407           3.029           2.666
        68      2.426           2.434           3.049           2.701
        69      2.551           2.563           3.134           2.794
        70      2.855           2.863           3.403           3.089
        71      2.700           2.713           3.262           2.938
        72      2.574           2.588           3.190           2.836
        73      2.033           2.039           2.789           2.360
        74      2.038           2.047           2.713           2.322
        75      2.026           2.038           2.731           2.325
        76      2.429           2.438           3.007           2.672
        77      2.401           2.411           3.054           2.676
